Date,PAYX
2012-01-17,20.155860900878906
2012-01-18,20.459487915039062
2012-01-19,20.8858699798584
2012-01-20,20.872949600219727
2012-01-23,20.834182739257812
2012-01-24,20.89232063293457
2012-01-25,20.9698486328125
2012-01-26,21.034448623657227
2012-01-27,20.795421600341797
2012-01-30,20.599666595458984
2012-01-31,20.56052589416504
2012-02-01,20.75627326965332
2012-02-02,20.619247436523438
2012-02-03,20.847614288330078
2012-02-06,20.704072952270508
2012-02-07,20.68450164794922
2012-02-08,20.65186882019043
2012-02-09,20.671445846557617
2012-02-10,20.430007934570312
2012-02-13,20.430007934570312
2012-02-14,20.371294021606445
2012-02-15,20.345195770263672
2012-02-16,20.619247436523438
2012-02-17,20.54094123840332
2012-02-21,20.430007934570312
2012-02-22,20.403913497924805
2012-02-23,20.436542510986328
2012-02-24,20.501794815063477
2012-02-27,20.37781524658203
2012-02-28,20.501794815063477
2012-02-29,20.423498153686523
2012-03-01,20.612722396850586
2012-03-02,20.423498153686523
2012-03-05,20.508319854736328
2012-03-06,20.247314453125
2012-03-07,20.30604362487793
2012-03-08,20.423498153686523
2012-03-09,20.547470092773438
2012-03-12,20.58661651611328
2012-03-13,20.8084716796875
2012-03-14,20.71712875366211
2012-03-15,20.730175018310547
2012-03-16,20.76932144165039
2012-03-19,20.795421600341797
2012-03-20,20.762802124023438
2012-03-21,20.847614288330078
2012-03-22,20.867206573486328
2012-03-23,20.710599899291992
2012-03-26,20.965072631835938
2012-03-27,20.945497512817383
2012-03-28,20.867206573486328
2012-03-29,20.45612144470215
2012-03-30,20.221216201782227
2012-04-02,20.72364616394043
2012-04-03,20.893299102783203
2012-04-04,20.567041397094727
2012-04-05,20.58661651611328
2012-04-09,20.260366439819336
2012-04-10,19.986310958862305
2012-04-11,20.201642990112305
2012-04-12,20.36476707458496
2012-04-13,20.1168155670166
2012-04-16,20.1885929107666
2012-04-17,20.345195770263672
2012-04-18,20.208171844482422
2012-04-19,20.077667236328125
2012-04-20,20.071142196655273
2012-04-23,19.953691482543945
2012-04-24,19.894960403442383
2012-04-25,20.162492752075195
2012-04-26,20.299514770507812
2012-04-27,20.319093704223633
2012-04-30,20.214691162109375
2012-05-01,20.162492752075195
2012-05-02,20.058090209960938
2012-05-03,19.986310958862305
2012-05-04,19.729150772094727
2012-05-07,19.656618118286133
2012-05-08,19.841243743896484
2012-05-09,19.722551345825195
2012-05-10,19.68958854675293
2012-05-11,19.722551345825195
2012-05-14,19.709367752075195
2012-05-15,19.82146453857422
2012-05-16,19.953336715698242
2012-05-17,19.722551345825195
2012-05-18,19.392852783203125
2012-05-21,19.630237579345703
2012-05-22,19.715959548950195
2012-05-23,19.907190322875977
2012-05-24,20.05884552001953
2012-05-25,19.97312355041504
2012-05-29,20.0654354095459
2012-05-30,19.847837448120117
2012-05-31,19.762123107910156
2012-06-01,19.307130813598633
2012-06-04,19.373075485229492
2012-06-05,19.458799362182617
2012-06-06,20.02587890625
2012-06-07,20.217103958129883
2012-06-08,20.447893142700195
2012-06-11,20.322607040405273
2012-06-12,20.487459182739258
2012-06-13,20.48085594177246
2012-06-14,20.916065216064453
2012-06-15,21.12047004699707
2012-06-18,21.31829261779785
2012-06-19,21.48314666748047
2012-06-20,21.450180053710938
2012-06-21,21.17322540283203
2012-06-22,21.272140502929688
2012-06-25,20.922658920288086
2012-06-26,20.94243812561035
2012-06-27,21.054540634155273
2012-06-28,20.428110122680664
2012-06-29,20.71164894104004
2012-07-02,20.691871643066406
2012-07-03,20.70505714416504
2012-07-05,20.929256439208984
2012-07-06,20.54020881652832
2012-07-09,20.731430053710938
2012-07-10,20.658897399902344
2012-07-11,20.869909286499023
2012-07-12,20.7710018157959
2012-07-13,21.014972686767578
2012-07-16,21.12047004699707
2012-07-17,21.423799514770508
2012-07-18,21.8853816986084
2012-07-19,21.582050323486328
2012-07-20,21.384241104125977
2012-07-23,21.212791442871094
2012-07-24,21.087507247924805
2012-07-25,21.09410285949707
2012-07-26,21.45676612854004
2012-07-27,21.812843322753906
2012-07-30,21.892745971679688
2012-07-31,21.766233444213867
2012-08-01,21.559823989868164
2012-08-02,21.34676170349121
2012-08-03,21.71297264099121
2012-08-06,21.593116760253906
2012-08-07,21.679677963256836
2012-08-08,21.919368743896484
2012-08-09,21.919368743896484
2012-08-10,22.092491149902344
2012-08-13,22.065860748291016
2012-08-14,21.952672958374023
2012-08-15,21.86610984802246
2012-08-16,22.159076690673828
2012-08-17,22.132444381713867
2012-08-20,21.81949806213379
2012-08-21,21.90605926513672
2012-08-22,21.879430770874023
2012-08-23,21.959327697753906
2012-08-24,22.099151611328125
2012-08-27,22.12579345703125
2012-08-28,22.12579345703125
2012-08-29,22.132444381713867
2012-08-30,22.10581398010254
2012-08-31,22.145763397216797
2012-09-04,22.28558921813965
2012-09-05,22.305561065673828
