Date,AOS
2010-01-04,5.849098205566406
2010-01-05,5.774360179901123
2010-01-06,5.776983261108398
2010-01-07,5.794027805328369
2010-01-08,5.87925386428833
2010-01-11,5.851719379425049
2010-01-12,5.81107234954834
2010-01-13,5.778295516967773
2010-01-14,5.805830478668213
2010-01-15,5.761247634887695
2010-01-19,5.862208843231201
2010-01-20,5.8949875831604
2010-01-21,5.693070411682129
2010-01-22,5.63013219833374
2010-01-25,5.618332386016846
2010-01-26,5.558019161224365
2010-01-27,5.770749568939209
2010-01-28,5.685130596160889
2010-01-29,5.608730792999268
2010-02-01,5.598193645477295
2010-02-02,5.60609769821167
2010-02-03,5.6179518699646
2010-02-04,5.4612040519714355
2010-02-05,5.491500377655029
2010-02-08,5.524427890777588
2010-02-09,5.6627397537231445
2010-02-10,5.644296646118164
2010-02-11,5.74308967590332
2010-02-12,5.782605171203613
2010-02-16,5.791825771331787
2010-02-17,5.753626823425293
2010-02-18,5.860321044921875
2010-02-19,5.885349750518799
2010-02-22,5.91827917098999
2010-02-23,5.870859146118164
2010-02-24,5.957794666290283
2010-02-25,5.9604291915893555
2010-02-26,5.967017650604248
2010-03-01,6.04604959487915
2010-03-02,6.209385871887207
2010-03-03,6.2449493408203125
2010-03-04,6.2449493408203125
2010-03-05,6.2936906814575195
2010-03-08,6.2449493408203125
2010-03-09,6.264708995819092
2010-03-10,6.277881145477295
2010-03-11,6.368769645690918
2010-03-12,6.396431922912598
2010-03-15,6.493905067443848
2010-03-16,6.528152942657471
2010-03-17,6.559768199920654
2010-03-18,6.54000997543335
2010-03-19,6.472827911376953
2010-03-22,6.570302486419678
2010-03-23,6.918050289154053
2010-03-24,6.883805274963379
2010-03-25,6.773156642913818
2010-03-26,6.770519733428955
2010-03-29,6.8495564460754395
2010-03-30,6.943080425262451
2010-03-31,6.924641132354736
2010-04-01,6.918050289154053
2010-04-05,7.0787506103515625
2010-04-06,7.103776454925537
2010-04-07,7.055042743682861
2010-04-08,7.138026237487793
2010-04-09,7.20388650894165
2010-04-12,7.149882793426514
2010-04-13,7.343515872955322
2010-04-14,7.454158782958984
2010-04-15,7.383028507232666
2010-04-16,7.376441478729248
2010-04-19,7.354053497314453
2010-04-20,6.84428596496582
2010-04-21,6.857458114624023
2010-04-22,6.964156627655029
2010-04-23,7.007621765136719
2010-04-26,6.983912467956543
2010-04-27,6.920685291290283
2010-04-28,6.869784355163574
2010-04-29,7.069424629211426
2010-04-30,6.82615327835083
2010-05-03,6.9649786949157715
2010-05-04,6.802356719970703
2010-05-05,6.594780445098877
2010-05-06,6.560405731201172
2010-05-07,6.311845302581787
2010-05-10,6.6529541015625
2010-05-11,6.600069999694824
2010-05-12,6.857884407043457
2010-05-13,6.812933921813965
2010-05-14,6.633121967315674
2010-05-17,6.506198883056641
2010-05-18,6.388526916503906
2010-05-19,6.338287830352783
2010-05-20,6.114846229553223
2010-05-21,6.12674617767334
2010-05-24,5.986603260040283
2010-05-25,6.043452739715576
2010-05-26,6.093693733215332
2010-05-27,6.318456649780273
2010-05-28,6.163765907287598
2010-06-01,5.983956813812256
2010-06-02,6.06063985824585
2010-06-03,6.254995822906494
2010-06-04,6.063284397125244
2010-06-07,5.966768264770508
2010-06-08,6.0950140953063965
2010-06-09,6.110881328582764
2010-06-10,6.379273414611816
2010-06-11,6.5088419914245605
2010-06-14,6.351508617401123
2010-06-15,6.514130115509033
2010-06-16,6.556438446044922
2010-06-17,6.551149368286133
2010-06-18,6.510164737701416
2010-06-21,6.314488410949707
2010-06-22,6.243094444274902
2010-06-23,6.278793811798096
2010-06-24,6.26953649520874
2010-06-25,6.4215803146362305
2010-06-28,6.5326385498046875
2010-06-29,6.449346542358398
2010-06-30,6.371339797973633
2010-07-01,6.368696689605713
2010-07-02,6.404391765594482
2010-07-06,6.370018482208252
2010-07-07,6.699228286743164
2010-07-08,6.795743465423584
2010-07-09,6.908123970031738
2010-07-12,6.8473076820373535
2010-07-13,7.147430419921875
2010-07-14,7.065457820892334
2010-07-15,7.035049915313721
2010-07-16,6.765332221984863
2010-07-19,6.864492893218994
2010-07-20,6.8063225746154785
2010-07-21,6.946467399597168
2010-07-22,7.117022514343262
2010-07-23,7.266418933868408
2010-07-26,7.421110153198242
2010-07-27,7.246588706970215
2010-07-28,7.286404609680176
2010-07-29,7.314279079437256
2010-07-30,7.257207870483398
2010-08-02,7.384617328643799
2010-08-03,7.271809101104736
2010-08-04,7.291716575622559
2010-08-05,7.266500949859619
2010-08-06,7.221372127532959
2010-08-09,7.34745979309082
2010-08-10,7.0939621925354
2010-08-11,6.79799222946167
2010-08-12,6.743576526641846
2010-08-13,6.754190921783447
2010-08-16,6.820554256439209
2010-08-17,7.0276031494140625
2010-08-18,7.059451103210449
2010-08-19,6.79799222946167
2010-08-20,6.7701215744018555
2010-08-23,6.686504364013672
2010-08-24,6.698453426361084
2010-08-25,6.807284832000732
2010-08-26,6.766138553619385
2010-08-27,6.95062255859375
2010-08-30,6.81790018081665
2010-08-31,6.815247535705566
2010-09-01,7.1470513343811035
2010-09-02,7.044854640960693
2010-09-03,7.188194274902344
2010-09-07,7.1470513343811035
2010-09-08,7.161647319793701
2010-09-09,7.144394874572754
2010-09-10,7.161647319793701
2010-09-13,7.40452766418457
2010-09-14,7.371348857879639
2010-09-15,7.460272312164307
2010-09-16,7.466907978057861
2010-09-17,7.4496541023254395
2010-09-20,7.6261725425720215
2010-09-21,7.677934646606445
2010-09-22,7.545215129852295
2010-09-23,7.389932155609131
2010-09-24,7.643424987792969
