Date,COR
2010-01-04,18.283130645751953
2010-01-05,18.15268325805664
2010-01-06,17.981046676635742
2010-01-07,17.692686080932617
2010-01-08,17.884929656982422
2010-01-11,18.084028244018555
2010-01-12,18.207616806030273
2010-01-13,18.56462287902832
2010-01-14,18.681339263916016
2010-01-15,18.48223876953125
2010-01-19,18.79118537902832
2010-01-20,18.633277893066406
2010-01-21,18.248809814453125
2010-01-22,18.303726196289062
2010-01-25,18.612682342529297
2010-01-26,18.83924674987793
2010-01-27,18.715669631958008
2010-01-28,18.729400634765625
2010-01-29,18.715669631958008
2010-02-01,19.052080154418945
2010-02-02,19.6013240814209
2010-02-03,19.443422317504883
2010-02-04,18.825510025024414
2010-02-05,18.544021606445312
2010-02-08,18.50283432006836
2010-02-09,18.64700698852539
2010-02-10,18.722749710083008
2010-02-11,18.949993133544922
2010-02-12,18.832923889160156
2010-02-16,18.984418869018555
2010-02-17,18.998193740844727
2010-02-18,19.184114456176758
2010-02-19,19.376914978027344
2010-02-22,19.20476531982422
2010-02-23,19.10836410522461
2010-02-24,19.20476531982422
2010-02-25,19.335599899291992
2010-02-26,19.308055877685547
2010-03-01,19.32871437072754
2010-03-02,19.597267150878906
2010-03-03,19.280513763427734
2010-03-04,19.273630142211914
2010-03-05,19.56282615661621
2010-03-08,19.32871437072754
2010-03-09,19.273630142211914
2010-03-10,19.31493377685547
2010-03-11,19.335599899291992
2010-03-12,19.232309341430664
2010-03-15,19.10836410522461
2010-03-16,19.528400421142578
2010-03-17,19.418222427368164
2010-03-18,19.673009872436523
2010-03-19,19.748760223388672
2010-03-22,20.168794631958008
2010-03-23,20.113706588745117
2010-03-24,19.776290893554688
2010-03-25,19.693668365478516
2010-03-26,19.686782836914062
2010-03-29,19.85892677307129
2010-03-30,20.161903381347656
2010-03-31,19.914011001586914
2010-04-01,19.686782836914062
2010-04-05,19.914011001586914
2010-04-06,19.98975944519043
2010-04-07,19.99665069580078
2010-04-08,20.093042373657227
2010-04-09,20.292734146118164
2010-04-12,20.203214645385742
2010-04-13,20.28585433959961
2010-04-14,20.10681915283203
2010-04-15,20.30651092529297
2010-04-16,20.57505989074707
2010-04-19,20.53373908996582
2010-04-20,20.919349670410156
2010-04-21,20.90558624267578
2010-04-22,21.62859535217285
2010-04-23,21.4357967376709
2010-04-26,21.504653930664062
2010-04-27,21.2498836517334
2010-04-28,21.201671600341797
2010-04-29,21.594161987304688
2010-04-30,21.242990493774414
2010-05-03,21.539085388183594
2010-05-04,21.325626373291016
2010-05-05,21.366933822631836
2010-05-06,21.174131393432617
2010-05-07,20.595718383789062
2010-05-10,21.387592315673828
2010-05-11,21.497772216796875
2010-05-12,21.89026641845703
2010-05-13,21.759431838989258
2010-05-14,21.55974006652832
2010-05-17,21.621721267700195
2010-05-18,21.54597282409668
2010-05-19,21.635482788085938
2010-05-20,21.179859161376953
2010-05-21,21.283409118652344
2010-05-24,21.193666458129883
2010-05-25,20.89682388305664
2010-05-26,21.014177322387695
2010-05-27,21.794267654418945
2010-05-28,21.594066619873047
2010-06-01,21.269601821899414
2010-06-02,21.904722213745117
2010-06-03,22.146350860595703
2010-06-04,21.24199104309082
2010-06-07,21.24199104309082
2010-06-08,21.13844108581543
2010-06-09,21.359352111816406
2010-06-10,21.877111434936523
2010-06-11,22.035886764526367
2010-06-14,22.236087799072266
2010-06-15,22.408681869506836
2010-06-16,22.615781784057617
2010-06-17,22.698623657226562
2010-06-18,22.47770881652832
2010-06-21,22.381059646606445
2010-06-22,22.063501358032227
2010-06-23,22.001373291015625
2010-06-24,21.808074951171875
2010-06-25,22.001373291015625
2010-06-28,22.45700454711914
2010-06-29,21.897823333740234
2010-06-30,21.918529510498047
2010-07-01,21.35244369506836
2010-07-02,21.345550537109375
2010-07-06,21.635482788085938
2010-07-07,21.93924331665039
2010-07-08,22.035886764526367
2010-07-09,21.980661392211914
2010-07-12,21.918529510498047
2010-07-13,22.31893539428711
2010-07-14,22.636499404907227
2010-07-15,22.595062255859375
2010-07-16,22.187759399414062
2010-07-19,22.084213256835938
2010-07-20,22.270606994628906
2010-07-21,22.098018646240234
2010-07-22,20.454998016357422
2010-07-23,21.076311111450195
2010-07-26,21.055591583251953
2010-07-27,20.11672019958496
2010-07-28,19.97174644470215
2010-07-29,20.006267547607422
2010-07-30,20.689714431762695
2010-08-02,21.110816955566406
2010-08-03,20.696611404418945
2010-08-04,20.95895004272461
2010-08-05,20.945144653320312
2010-08-06,20.876102447509766
2010-08-09,20.744935989379883
2010-08-10,20.689714431762695
2010-08-11,20.1029109954834
2010-08-12,20.123628616333008
2010-08-13,20.047687530517578
2010-08-16,19.81987190246582
2010-08-17,20.358341217041016
2010-08-18,20.337629318237305
2010-08-19,20.137439727783203
2010-08-20,20.019752502441406
2010-08-23,19.756704330444336
2010-08-24,19.292892456054688
2010-08-25,19.327499389648438
2010-08-26,19.133686065673828
2010-08-27,19.195980072021484
2010-08-30,19.11983299255371
2010-08-31,18.884458541870117
2010-09-01,19.362123489379883
2010-09-02,19.438270568847656
2010-09-03,19.438270568847656
2010-09-07,19.40365219116211
2010-09-08,19.417491912841797
2010-09-09,19.55594253540039
2010-09-10,19.708240509033203
2010-09-13,19.72901153564453
2010-09-14,20.137432098388672
2010-09-15,20.94044303894043
2010-09-16,20.857370376586914
2010-09-17,20.89198112487793
2010-09-20,21.21040916442871
2010-09-21,21.31425666809082
2010-09-22,21.058115005493164
2010-09-23,21.002744674682617
2010-09-24,21.701908111572266
2010-09-27,21.425010681152344
2010-09-28,21.57730484008789
