Date,ADP
2010-01-04,25.898801803588867
2010-01-05,25.759723663330078
2010-01-06,25.699247360229492
2010-01-07,25.687152862548828
2010-01-08,25.650867462158203
2010-01-11,25.765750885009766
2010-01-12,25.5843563079834
2010-01-13,25.771800994873047
2010-01-14,25.699247360229492
2010-01-15,25.560171127319336
2010-01-19,25.947166442871094
2010-01-20,25.602502822875977
2010-01-21,25.48760414123535
2010-01-22,24.89500617980957
2010-01-25,24.955488204956055
2010-01-26,24.828495025634766
2010-01-27,24.80430793762207
2010-01-28,24.59871482849121
2010-01-29,24.665225982666016
2010-02-01,24.834548950195312
2010-02-02,24.901058197021484
2010-02-03,24.671274185180664
2010-02-04,24.417312622070312
2010-02-05,24.356836318969727
2010-02-08,24.42940330505371
2010-02-09,24.61080551147461
2010-02-10,24.59871482849121
2010-02-11,24.73174476623535
2010-02-12,24.54428482055664
2010-02-16,24.973621368408203
2010-02-17,25.070369720458984
2010-02-18,24.9071044921875
2010-02-19,25.130842208862305
2010-02-22,25.15502166748047
2010-02-23,24.91315269470215
2010-02-24,25.542037963867188
2010-02-25,25.221542358398438
2010-02-26,25.161081314086914
2010-03-01,25.37876319885254
2010-03-02,25.306198120117188
2010-03-03,25.34248161315918
2010-03-04,25.221542358398438
2010-03-05,26.110437393188477
2010-03-08,26.0922908782959
2010-03-09,26.4067325592041
2010-03-10,26.741914749145508
2010-03-11,26.77239418029785
2010-03-12,26.699264526367188
2010-03-15,26.961320877075195
2010-03-16,26.9674129486084
2010-03-17,27.235557556152344
2010-03-18,27.253843307495117
2010-03-19,27.180702209472656
2010-03-22,27.320886611938477
2010-03-23,27.369640350341797
2010-03-24,27.022260665893555
2010-03-25,26.802865982055664
2010-03-26,26.961320877075195
2010-03-29,27.144147872924805
2010-03-30,27.174623489379883
2010-03-31,27.101486206054688
2010-04-01,26.92475128173828
2010-04-05,27.05272102355957
2010-04-06,26.991777420043945
2010-04-07,26.77239418029785
2010-04-08,26.741914749145508
2010-04-09,26.9735050201416
2010-04-12,26.943035125732422
2010-04-13,26.784570693969727
2010-04-14,26.92475128173828
2010-04-15,27.229463577270508
2010-04-16,26.991777420043945
2010-04-19,27.253843307495117
2010-04-20,27.442766189575195
2010-04-21,27.4610538482666
2010-04-22,27.467144012451172
2010-04-23,27.717016220092773
2010-04-26,27.625591278076172
2010-04-27,27.071008682250977
2010-04-28,26.900371551513672
2010-04-29,27.05272102355957
2010-04-30,26.431106567382812
2010-05-03,26.61393928527832
2010-05-04,26.12030029296875
2010-05-05,25.998411178588867
2010-05-06,25.236616134643555
2010-05-07,25.328035354614258
2010-05-10,25.888717651367188
2010-05-11,25.900897979736328
2010-05-12,26.21781349182129
2010-05-13,25.870441436767578
2010-05-14,25.47430419921875
2010-05-17,25.66931915283203
2010-05-18,25.431629180908203
2010-05-19,25.346317291259766
2010-05-20,24.572338104248047
2010-05-21,24.755170822143555
2010-05-24,24.547958374023438
2010-05-25,24.46263885498047
2010-05-26,24.322473526000977
2010-05-27,25.084270477294922
2010-05-28,24.913623809814453
2010-06-01,24.675947189331055
2010-06-02,25.2731876373291
2010-06-03,25.571796417236328
2010-06-04,24.65765953063965
2010-06-07,24.383403778076172
2010-06-08,25.03550910949707
2010-06-09,25.109243392944336
2010-06-10,25.82209014892578
2010-06-11,25.70532989501953
2010-06-14,25.742206573486328
2010-06-15,26.196943283081055
2010-06-16,26.0617618560791
2010-06-17,26.0617618560791
2010-06-18,25.98186492919922
2010-06-21,25.625444412231445
2010-06-22,25.281312942504883
2010-06-23,25.232152938842773
2010-06-24,24.937170028686523
2010-06-25,25.109243392944336
2010-06-28,25.1461181640625
2010-06-29,24.8204288482666
2010-06-30,24.740541458129883
2010-07-01,24.40254783630371
2010-07-02,24.230487823486328
2010-07-06,24.21819496154785
2010-07-07,24.709815979003906
2010-07-08,24.808128356933594
2010-07-09,25.023221969604492
2010-07-12,25.18299102783203
2010-07-13,25.496395111083984
2010-07-14,25.625444412231445
2010-07-15,25.637725830078125
2010-07-16,24.967906951904297
2010-07-19,25.20757484436035
2010-07-20,25.459524154663086
2010-07-21,24.73439598083496
2010-07-22,25.47795867919922
2010-07-23,25.742206573486328
2010-07-26,25.840538024902344
2010-07-27,25.83438491821289
2010-07-28,25.87126350402832
2010-07-29,25.391921997070312
2010-07-30,25.361215591430664
2010-08-02,25.779083251953125
2010-08-03,25.815950393676758
2010-08-04,25.89583969116211
2010-08-05,25.766786575317383
2010-08-06,25.54555320739746
2010-08-09,25.668460845947266
2010-08-10,25.416505813598633
2010-08-11,24.826576232910156
2010-08-12,24.580766677856445
2010-08-13,24.45171356201172
2010-08-16,24.62377166748047
2010-08-17,24.795848846435547
2010-08-18,24.715961456298828
2010-08-19,24.24277687072754
2010-08-20,24.212053298950195
2010-08-23,23.996971130371094
2010-08-24,23.8494873046875
2010-08-25,23.92323112487793
2010-08-26,23.8126163482666
2010-08-27,24.187469482421875
2010-08-30,23.861780166625977
2010-08-31,23.726585388183594
2010-09-01,24.193613052368164
2010-09-02,24.390260696411133
2010-09-03,24.62993049621582
2010-09-07,24.384122848510742
2010-09-08,24.582462310791016
2010-09-09,24.74361228942871
2010-09-10,24.855188369750977
2010-09-13,25.047334671020508
2010-09-14,25.134111404418945
2010-09-15,25.536996841430664
2010-09-16,25.493619918823242
2010-09-17,25.617578506469727
2010-09-20,26.05145263671875
2010-09-21,25.884103775024414
2010-09-22,25.977079391479492
2010-09-23,25.797330856323242
2010-09-24,26.429553985595703
2010-09-27,26.09485626220703
2010-09-28,26.330385208129883
