Date,NRG
2010-01-04,17.922956466674805
2010-01-05,18.200775146484375
2010-01-06,18.598724365234375
2010-01-07,18.703840255737305
2010-01-08,18.395986557006836
2010-01-11,18.56869125366211
2010-01-12,18.05059814453125
2010-01-13,18.245817184448242
2010-01-14,18.058103561401367
2010-01-15,18.320907592773438
2010-01-19,18.88404655456543
2010-01-20,18.52363395690918
2010-01-21,18.02056884765625
2010-01-22,18.56869125366211
2010-01-25,18.726364135742188
2010-01-26,18.711355209350586
2010-01-27,18.763912200927734
2010-01-28,18.561182022094727
2010-01-29,18.10316276550293
2010-02-01,17.945478439331055
2010-02-02,17.690189361572266
2010-02-03,17.352298736572266
2010-02-04,16.593931198120117
2010-02-05,16.301097869873047
2010-02-08,16.21100425720215
2010-02-09,16.436254501342773
2010-02-10,16.263559341430664
2010-02-11,16.684038162231445
2010-02-12,16.563901901245117
2010-02-16,16.886768341064453
2010-02-17,16.961862564086914
2010-02-18,16.946842193603516
2010-02-19,17.419879913330078
2010-02-22,17.322269439697266
2010-02-23,16.714073181152344
2010-02-24,16.413734436035156
2010-02-25,16.571409225463867
2010-02-26,16.398714065551758
2010-03-01,16.954349517822266
2010-03-02,17.021923065185547
2010-03-03,16.894275665283203
2010-03-04,16.744102478027344
2010-03-05,17.13454818725586
2010-03-08,17.194622039794922
2010-03-09,17.081995010375977
2010-03-10,16.999404907226562
2010-03-11,17.22465705871582
2010-03-12,16.66151237487793
2010-03-15,16.721582412719727
2010-03-16,16.894275665283203
2010-03-17,16.871747970581055
2010-03-18,16.53386688232422
2010-03-19,16.563901901245117
2010-03-22,16.233524322509766
2010-03-23,16.2034912109375
2010-03-24,15.895645141601562
2010-03-25,15.257417678833008
2010-03-26,15.204850196838379
2010-03-29,15.467649459838867
2010-03-30,15.835566520690918
2010-03-31,15.692912101745605
2010-04-01,16.11338233947754
2010-04-05,16.256046295166016
2010-04-06,16.2485408782959
2010-04-07,16.105878829956055
2010-04-08,16.263559341430664
2010-04-09,16.36867904663086
2010-04-12,16.82670021057129
2010-04-13,16.931825637817383
2010-04-14,16.886768341064453
2010-04-15,17.044452667236328
2010-04-16,16.406227111816406
2010-04-19,16.563901901245117
2010-04-20,16.909297943115234
2010-04-21,16.77413558959961
2010-04-22,16.82670021057129
2010-04-23,17.097009658813477
2010-04-26,17.50998306274414
2010-04-27,17.7052059173584
2010-04-28,17.690189361572266
2010-04-29,17.86288070678711
2010-04-30,18.148210525512695
2010-05-03,18.89906883239746
2010-05-04,18.22329330444336
2010-05-05,17.787796020507812
2010-05-06,17.08949851989746
2010-05-07,16.999404907226562
2010-05-10,16.571409225463867
2010-05-11,16.496322631835938
2010-05-12,17.555030822753906
2010-05-13,17.58506202697754
2010-05-14,17.051965713500977
2010-05-17,17.044452667236328
2010-05-18,16.9693660736084
2010-05-19,16.886768341064453
2010-05-20,16.15093231201172
2010-05-21,16.36867904663086
2010-05-24,16.2185115814209
2010-05-25,16.28608512878418
2010-05-26,16.6014461517334
2010-05-27,17.284727096557617
2010-05-28,17.53250503540039
2010-06-01,16.65400505065918
2010-06-02,17.127046585083008
2010-06-03,17.58506202697754
2010-06-04,16.901790618896484
2010-06-07,16.909297943115234
2010-06-08,16.916807174682617
2010-06-09,16.991897583007812
2010-06-10,17.58506202697754
2010-06-11,17.22465705871582
2010-06-14,17.209638595581055
2010-06-15,17.697694778442383
2010-06-16,17.525001525878906
2010-06-17,17.479948043823242
2010-06-18,17.75025749206543
2010-06-21,17.720226287841797
2010-06-22,16.819196701049805
2010-06-23,16.676532745361328
2010-06-24,16.35365867614746
2010-06-25,16.406227111816406
2010-06-28,16.51134490966797
2010-06-29,15.963218688964844
2010-06-30,15.92567253112793
2010-07-01,15.91065788269043
2010-07-02,15.767986297607422
2010-07-06,16.045806884765625
2010-07-07,16.6014461517334
2010-07-08,16.766632080078125
2010-07-09,16.991897583007812
2010-07-12,17.269710540771484
2010-07-13,17.194622039794922
2010-07-14,17.127046585083008
2010-07-15,17.172090530395508
2010-07-16,16.70656394958496
2010-07-19,16.86424446105957
2010-07-20,16.924314498901367
2010-07-21,16.54888916015625
2010-07-22,16.819196701049805
2010-07-23,17.187114715576172
2010-07-26,17.46492576599121
2010-07-27,17.600078582763672
2010-07-28,17.397361755371094
2010-07-29,16.834209442138672
2010-07-30,17.029434204101562
2010-08-02,17.269710540771484
2010-08-03,17.44991111755371
2010-08-04,17.412372589111328
2010-08-05,17.442407608032227
2010-08-06,17.26219940185547
2010-08-09,17.29222869873047
2010-08-10,17.337289810180664
2010-08-11,16.946842193603516
2010-08-12,16.82670021057129
2010-08-13,16.488815307617188
2010-08-16,16.458784103393555
2010-08-17,16.481300354003906
2010-08-18,16.361177444458008
2010-08-19,15.985738754272461
2010-08-20,15.565265655517578
2010-08-23,15.625330924987793
2010-08-24,15.257417678833008
2010-08-25,15.370038986206055
2010-08-26,15.212361335754395
2010-08-27,15.490174293518066
2010-08-30,15.257417678833008
2010-08-31,15.257417678833008
2010-09-01,15.798028945922852
2010-09-02,16.21100425720215
2010-09-03,16.256046295166016
2010-09-07,15.97072982788086
2010-09-08,16.045806884765625
2010-09-09,16.361177444458008
2010-09-10,16.398714065551758
2010-09-13,16.42874526977539
2010-09-14,16.256046295166016
2010-09-15,16.263559341430664
2010-09-16,16.195980072021484
2010-09-17,16.173458099365234
2010-09-20,15.963218688964844
2010-09-21,15.850587844848633
2010-09-22,15.77550220489502
2010-09-23,15.467649459838867
2010-09-24,15.580284118652344
2010-09-27,15.542737007141113
2010-09-28,15.685394287109375
