Date,HST
2010-01-04,7.144645690917969
2010-01-05,7.307852268218994
2010-01-06,7.350161075592041
2010-01-07,7.622166633605957
2010-01-08,7.549631118774414
2010-01-11,7.483143329620361
2010-01-12,7.241360187530518
2010-01-13,7.537543296813965
2010-01-14,7.50127649307251
2010-01-15,7.241360187530518
2010-01-19,7.507318496704102
2010-01-20,7.404561996459961
2010-01-21,7.029801845550537
2010-01-22,6.697349548339844
2010-01-25,6.812198162078857
2010-01-26,6.606681823730469
2010-01-27,6.630861282348633
2010-01-28,6.570416450500488
2010-01-29,6.407215118408203
2010-02-01,6.612725734710693
2010-02-02,6.872644901275635
2010-02-03,6.854511260986328
2010-02-04,6.461615562438965
2010-02-05,6.5885467529296875
2010-02-08,6.516013145446777
2010-02-09,6.509969234466553
2010-02-10,6.5522847175598145
2010-02-11,6.697349548339844
2010-02-12,6.812198162078857
2010-02-16,7.0237555503845215
2010-02-17,7.1386027336120605
2010-02-18,7.060022830963135
2010-02-19,7.078157901763916
2010-02-22,7.084200859069824
2010-02-23,6.9693522453308105
2010-02-24,7.029801845550537
2010-02-25,7.035844326019287
2010-02-26,7.078157901763916
2010-03-01,7.108381748199463
2010-03-02,7.09024715423584
2010-03-03,7.168822765350342
2010-03-04,7.283673286437988
2010-03-05,7.5798516273498535
2010-03-08,7.610080242156982
2010-03-09,7.585899829864502
2010-03-10,7.6765666007995605
2010-03-11,7.743061542510986
2010-03-12,7.912303924560547
2010-03-15,7.85790491104126
2010-03-16,8.069462776184082
2010-03-17,8.244755744934082
2010-03-18,8.268933296203613
2010-03-19,8.190351486206055
2010-03-22,8.407957077026367
2010-03-23,8.432132720947266
2010-03-24,8.704136848449707
2010-03-25,8.788762092590332
2010-03-26,8.825028419494629
2010-03-29,8.84317684173584
2010-03-30,8.927858352661133
2010-03-31,8.861318588256836
2010-04-01,8.958102226257324
2010-04-05,9.151657104492188
2010-04-06,9.302875518798828
2010-04-07,9.030685424804688
2010-04-08,9.048829078674316
2010-04-09,9.145610809326172
2010-04-12,9.060927391052246
2010-04-13,9.314970970153809
2010-04-14,9.369409561157227
2010-04-15,9.091171264648438
2010-04-16,8.837125778198242
2010-04-19,8.970197677612305
2010-04-20,9.181902885437012
2010-04-21,9.502481460571289
2010-04-22,9.871452331542969
2010-04-23,10.00451946258545
2010-04-26,10.149689674377441
2010-04-27,9.780721664428711
2010-04-28,9.671847343444824
2010-04-29,10.143645286560059
2010-04-30,9.835161209106445
2010-05-03,10.246468544006348
2010-05-04,9.901697158813477
2010-05-05,9.629505157470703
2010-05-06,9.296825408935547
2010-05-07,8.915760040283203
2010-05-10,9.702086448669434
2010-05-11,9.629505157470703
2010-05-12,9.835161209106445
2010-05-13,9.72628402709961
2010-05-14,9.006491661071777
2010-05-17,9.054876327514648
2010-05-18,8.722201347351074
2010-05-19,8.716156005859375
2010-05-20,8.08104133605957
2010-05-21,8.5165433883667
2010-05-24,8.2746000289917
2010-05-25,8.2746000289917
2010-05-26,8.195963859558105
2010-05-27,8.909709930419922
2010-05-28,8.625421524047852
2010-06-01,8.55888557434082
2010-06-02,8.952051162719727
2010-06-03,8.879469871520996
2010-06-04,8.256452560424805
2010-06-07,8.08104133605957
2010-06-08,8.365328788757324
2010-06-09,8.504448890686035
2010-06-10,8.976247787475586
2010-06-11,8.970197677612305
2010-06-14,9.085121154785156
2010-06-15,9.363361358642578
2010-06-16,9.284730911254883
2010-06-17,9.314970970153809
2010-06-18,9.381509780883789
2010-06-21,9.296825408935547
2010-06-22,9.006491661071777
2010-06-23,8.964147567749023
2010-06-24,8.504448890686035
2010-06-25,8.722201347351074
2010-06-28,8.607197761535645
2010-06-29,8.219812393188477
2010-06-30,8.159284591674805
2010-07-01,8.14112377166748
2010-07-02,7.911117076873779
2010-07-06,7.765846252441406
2010-07-07,8.286393165588379
2010-07-08,8.431663513183594
2010-07-09,8.601143836975098
2010-07-12,8.601143836975098
2010-07-13,8.915892601013184
2010-07-14,8.927998542785645
2010-07-15,8.582983016967773
2010-07-16,8.14112377166748
2010-07-19,8.213757514953613
2010-07-20,8.474035263061523
2010-07-21,8.219812393188477
2010-07-22,8.443771362304688
2010-07-23,8.601143836975098
2010-07-26,8.86746883392334
2010-07-27,8.79483413696289
2010-07-28,8.752464294433594
2010-07-29,8.667726516723633
2010-07-30,8.679831504821777
2010-08-02,8.958264350891113
2010-08-03,8.964320182800293
2010-08-04,9.127741813659668
2010-08-05,8.988527297973633
2010-08-06,8.79483413696289
2010-08-09,8.891682624816895
2010-08-10,8.782730102539062
2010-08-11,8.467979431152344
2010-08-12,8.29244613647461
2010-08-13,8.280344009399414
2010-08-16,8.231916427612305
2010-08-17,8.51640510559082
2010-08-18,8.637465476989746
2010-08-19,8.262181282043457
2010-08-20,8.12901782989502
2010-08-23,8.056387901306152
2010-08-24,7.92927360534668
2010-08-25,8.086647033691406
2010-08-26,8.007963180541992
2010-08-27,8.165338516235352
2010-08-30,7.892958164215088
2010-08-31,7.965590953826904
2010-09-01,8.262181282043457
2010-09-02,8.383241653442383
2010-09-03,8.570878028869629
2010-09-07,8.4558744430542
2010-09-08,8.528507232666016
2010-09-09,8.534562110900879
2010-09-10,8.601143836975098
2010-09-13,8.825098037719727
2010-09-14,8.800888061523438
2010-09-15,8.891682624816895
2010-09-16,8.79483413696289
2010-09-17,8.752464294433594
2010-09-20,9.115639686584473
2010-09-21,8.84325885772705
2010-09-22,8.679831504821777
2010-09-23,8.480083465576172
2010-09-24,8.812997817993164
2010-09-27,8.643514633178711
