Date,HD
2010-01-04,19.698383331298828
2010-01-05,19.842662811279297
2010-01-06,19.77396583557129
2010-01-07,20.00756072998047
2010-01-08,19.911375045776367
2010-01-11,19.34796714782715
2010-01-12,19.224306106567383
2010-01-13,19.327363967895508
2010-01-14,19.444164276123047
2010-01-15,19.629676818847656
2010-01-19,19.842662811279297
2010-01-20,19.691503524780273
2010-01-21,19.567842483520508
2010-01-22,19.045663833618164
2010-01-25,18.976953506469727
2010-01-26,19.052536010742188
2010-01-27,19.128114700317383
2010-01-28,18.784578323364258
2010-01-29,19.244915008544922
2010-02-01,19.506000518798828
2010-02-02,19.945722579956055
2010-02-03,19.56096839904785
2010-02-04,19.189943313598633
2010-02-05,19.224306106567383
2010-02-08,19.643415451049805
2010-02-09,19.835796356201172
2010-02-10,19.68464469909668
2010-02-11,19.91823959350586
2010-02-12,19.92510986328125
2010-02-16,20.2274227142334
2010-02-17,20.625925064086914
2010-02-18,20.81831169128418
2010-02-19,20.71524429321289
2010-02-22,20.83205223083496
2010-02-23,21.127490997314453
2010-02-24,21.546607971191406
2010-02-25,21.546607971191406
2010-02-26,21.436676025390625
2010-03-01,21.594701766967773
2010-03-02,21.546607971191406
2010-03-03,21.622190475463867
2010-03-04,21.601573944091797
2010-03-05,21.848920822143555
2010-03-08,21.958850860595703
2010-03-09,21.928401947021484
2010-03-10,21.949155807495117
2010-03-11,22.239879608154297
2010-03-12,22.461376190185547
2010-03-15,22.62749671936035
2010-03-16,22.530597686767578
2010-03-17,22.509822845458984
2010-03-18,22.42677116394043
2010-03-19,22.399076461791992
2010-03-22,22.613651275634766
2010-03-23,22.55828094482422
2010-03-24,22.37138557434082
2010-03-25,22.579051971435547
2010-03-26,22.66902732849121
2010-03-29,22.565196990966797
2010-03-30,22.62749671936035
2010-03-31,22.392152786254883
2010-04-01,22.412931442260742
2010-04-05,22.606735229492188
2010-04-06,22.530597686767578
2010-04-07,22.572132110595703
2010-04-08,22.82131576538086
2010-04-09,23.015119552612305
2010-04-12,23.174327850341797
2010-04-13,23.769603729248047
2010-04-14,24.21260643005371
2010-04-15,24.323354721069336
2010-04-16,24.233367919921875
2010-04-19,24.34412384033203
2010-04-20,24.351041793823242
2010-04-21,24.41334342956543
2010-04-22,24.724821090698242
2010-04-23,25.188581466674805
2010-04-26,25.25780487060547
2010-04-27,24.42717742919922
2010-04-28,24.35795021057129
2010-04-29,24.61406898498535
2010-04-30,24.385650634765625
2010-05-03,24.828649520874023
2010-05-04,24.517173767089844
2010-05-05,24.39257049560547
2010-05-06,23.506580352783203
2010-05-07,23.139711380004883
2010-05-10,24.42717742919922
2010-05-11,24.662521362304688
2010-05-12,24.842485427856445
2010-05-13,24.41334342956543
2010-05-14,24.36488151550293
2010-05-17,24.634836196899414
2010-05-18,24.039554595947266
2010-05-19,23.797290802001953
2010-05-20,22.76593780517578
2010-05-21,22.855918884277344
2010-05-24,22.994365692138672
2010-05-25,23.520416259765625
2010-05-26,23.561954498291016
2010-05-27,23.91495704650879
2010-05-28,23.437358856201172
2010-06-01,23.378808975219727
2010-06-02,23.60883903503418
2010-06-03,23.302125930786133
2010-06-04,22.409921646118164
2010-06-07,21.9916934967041
2010-06-08,22.17291831970215
2010-06-09,22.13806915283203
2010-06-10,22.807233810424805
2010-06-11,22.458707809448242
2010-06-14,22.34718132019043
2010-06-15,22.48658561706543
2010-06-16,22.402935028076172
2010-06-17,22.242630004882812
2010-06-18,22.263532638549805
2010-06-21,21.908042907714844
2010-06-22,21.33646583557129
2010-06-23,21.259798049926758
2010-06-24,20.68124771118164
2010-06-25,21.050676345825195
2010-06-28,20.6254940032959
2010-06-29,19.95631980895996
2010-06-30,19.565975189208984
2010-07-01,19.46142578125
2010-07-02,19.34990119934082
2010-07-06,19.057147979736328
2010-07-07,19.524160385131836
2010-07-08,19.621749877929688
2010-07-09,19.698421478271484
2010-07-12,19.733264923095703
2010-07-13,19.963298797607422
2010-07-14,19.712360382080078
2010-07-15,19.75418472290039
2010-07-16,18.89682388305664
2010-07-19,18.868942260742188
2010-07-20,19.468395233154297
2010-07-21,19.147756576538086
2010-07-22,19.670536041259766
2010-07-23,19.691442489624023
2010-07-26,20.207265853881836
2010-07-27,19.92147445678711
2010-07-28,19.572954177856445
2010-07-29,19.55204200744629
2010-07-30,19.872682571411133
2010-08-02,20.297876358032227
2010-08-03,19.830860137939453
2010-08-04,20.019062042236328
2010-08-05,20.0120849609375
2010-08-06,19.99117088317871
2010-08-09,20.00511932373047
2010-08-10,19.684478759765625
2010-08-11,19.315052032470703
2010-08-12,19.245346069335938
2010-08-13,19.036226272583008
2010-08-16,19.085025787353516
2010-08-17,19.733264923095703
2010-08-18,20.116640090942383
2010-08-19,19.670536041259766
2010-08-20,19.635684967041016
2010-08-23,19.39869499206543
2010-08-24,19.36383819580078
2010-08-25,19.747209548950195
2010-08-26,19.782060623168945
2010-08-27,20.033000946044922
2010-08-30,19.510221481323242
2010-08-31,19.55661392211914
2010-09-01,20.15414047241211
2010-09-02,20.674335479736328
2010-09-03,20.983640670776367
2010-09-07,20.618099212646484
2010-09-08,20.70245361328125
2010-09-09,20.674335479736328
2010-09-10,20.864137649536133
2010-09-13,21.082059860229492
2010-09-14,21.067995071411133
2010-09-15,21.04690933227539
2010-09-16,21.05394172668457
2010-09-17,21.011764526367188
2010-09-20,21.5460147857666
2010-09-21,21.728788375854492
2010-09-22,21.707704544067383
2010-09-23,21.679574966430664
2010-09-24,22.241952896118164
2010-09-27,22.21384048461914
2010-09-28,22.361461639404297
