Date,SWK
2010-01-04,35.70397186279297
2010-01-05,36.22553634643555
2010-01-06,37.13322448730469
2010-01-07,38.4405403137207
2010-01-08,38.89437484741211
2010-01-11,38.65730285644531
2010-01-12,38.054439544677734
2010-01-13,38.413448333740234
2010-01-14,38.305057525634766
2010-01-15,37.75639724731445
2010-01-19,38.13572692871094
2010-01-20,37.62091827392578
2010-01-21,36.699710845947266
2010-01-22,36.12394332885742
2010-01-25,36.45584487915039
2010-01-26,36.11039352416992
2010-01-27,35.541419982910156
2010-01-28,34.80985641479492
2010-01-29,34.71501922607422
2010-02-01,35.378841400146484
2010-02-02,36.74712371826172
2010-02-03,38.162818908691406
2010-02-04,37.01130676269531
2010-02-05,36.869056701660156
2010-02-08,36.25941848754883
2010-02-09,36.72679901123047
2010-02-10,36.42198181152344
2010-02-11,36.65229415893555
2010-02-12,36.77421951293945
2010-02-16,37.167091369628906
2010-02-17,37.824134826660156
2010-02-18,38.17637634277344
2010-02-19,37.878318786621094
2010-02-22,38.08153533935547
2010-02-23,37.41770553588867
2010-02-24,38.02734375
2010-02-25,37.932518005371094
2010-02-26,38.779212951660156
2010-03-01,40.23719787597656
2010-03-02,40.04642868041992
2010-03-03,40.05324172973633
2010-03-04,39.814781188964844
2010-03-05,40.257625579833984
2010-03-08,40.244014739990234
2010-03-09,40.380271911621094
2010-03-10,40.45520782470703
2010-03-11,40.08047866821289
2010-03-12,39.41962814331055
2010-03-15,39.25613021850586
2010-03-16,39.35150909423828
2010-03-17,39.814781188964844
2010-03-18,39.889739990234375
2010-03-19,39.562713623046875
2010-03-22,40.196319580078125
2010-03-23,40.80948257446289
2010-03-24,40.264442443847656
2010-03-25,39.46051788330078
2010-03-26,39.930606842041016
2010-03-29,39.74666976928711
2010-03-30,39.6649169921875
2010-03-31,39.113040924072266
2010-04-01,39.51500701904297
2010-04-05,40.35301208496094
2010-04-06,40.686851501464844
2010-04-07,40.44837951660156
2010-04-08,40.366641998291016
2010-04-09,41.16374588012695
2010-04-12,41.129676818847656
2010-04-13,41.60658264160156
2010-04-14,42.17205810546875
2010-04-15,41.708770751953125
2010-04-16,41.191001892089844
2010-04-19,41.19782257080078
2010-04-20,42.06306838989258
2010-04-21,42.2606201171875
2010-04-22,42.92148208618164
2010-04-23,42.81246566772461
2010-04-26,43.125877380371094
2010-04-27,43.84804916381836
2010-04-28,44.011558532714844
2010-04-29,44.331764221191406
2010-04-30,42.34239959716797
2010-05-03,43.1326904296875
2010-05-04,41.85184860229492
2010-05-05,40.884422302246094
2010-05-06,39.801151275634766
2010-05-07,38.234188079833984
2010-05-10,41.715599060058594
2010-05-11,41.8654899597168
2010-05-12,42.65578079223633
2010-05-13,42.07669448852539
2010-05-14,41.102439880371094
2010-05-17,40.95254135131836
2010-05-18,40.22356033325195
2010-05-19,39.297000885009766
2010-05-20,36.93972396850586
2010-05-21,37.73002624511719
2010-05-24,37.13050079345703
2010-05-25,37.389400482177734
2010-05-26,37.36212921142578
2010-05-27,38.895050048828125
2010-05-28,38.230342864990234
2010-06-01,37.613609313964844
2010-06-02,39.230804443359375
2010-06-03,39.477508544921875
2010-06-04,37.73695755004883
2010-06-07,36.51721954345703
2010-06-08,37.09968185424805
2010-06-09,36.22939682006836
2010-06-10,37.058563232421875
2010-06-11,37.66157531738281
2010-06-14,37.901424407958984
2010-06-15,39.26507568359375
2010-06-16,38.93614959716797
2010-06-17,38.12070846557617
2010-06-18,38.367401123046875
2010-06-21,37.87399673461914
2010-06-22,35.81824493408203
2010-06-23,35.756591796875
2010-06-24,35.74287796020508
2010-06-25,35.67434310913086
2010-06-28,35.4619140625
2010-06-29,34.550537109375
2010-06-30,34.61904525756836
2010-07-01,34.34494400024414
2010-07-02,33.97492218017578
2010-07-06,34.002315521240234
2010-07-07,35.468772888183594
2010-07-08,35.22208023071289
2010-07-09,35.701759338378906
2010-07-12,35.81824493408203
2010-07-13,37.0242919921875
2010-07-14,36.811866760253906
2010-07-15,36.318485260009766
2010-07-16,34.98910140991211
2010-07-19,35.44821548461914
2010-07-20,36.058082580566406
2010-07-21,36.75019836425781
2010-07-22,38.53871154785156
2010-07-23,39.299346923828125
2010-07-26,39.96404266357422
2010-07-27,38.92931365966797
2010-07-28,38.49073028564453
2010-07-29,39.21710968017578
2010-07-30,39.75845718383789
2010-08-02,40.46427917480469
2010-08-03,40.073673248291016
2010-08-04,40.087379455566406
2010-08-05,39.7036247253418
2010-08-06,39.66252517700195
2010-08-09,39.792720794677734
2010-08-10,39.55972671508789
2010-08-11,37.860313415527344
2010-08-12,37.565650939941406
2010-08-13,37.64103698730469
2010-08-16,37.77122116088867
2010-08-17,39.14857482910156
2010-08-18,39.14857482910156
2010-08-19,37.81919860839844
2010-08-20,37.72325134277344
2010-08-23,37.353214263916016
2010-08-24,36.58573532104492
2010-08-25,36.770748138427734
2010-08-26,36.39387130737305
2010-08-27,37.353214263916016
2010-08-30,36.61314010620117
2010-08-31,36.757049560546875
2010-09-01,39.13625717163086
2010-09-02,39.55003356933594
2010-09-03,40.1086311340332
2010-09-07,39.618988037109375
2010-09-08,40.398258209228516
2010-09-09,40.66032791137695
2010-09-10,40.887901306152344
2010-09-13,41.94301986694336
2010-09-14,42.04648208618164
2010-09-15,41.722354888916016
2010-09-16,40.894798278808594
2010-09-17,41.094791412353516
2010-09-20,41.8258056640625
2010-09-21,41.68097686767578
2010-09-22,41.39822769165039
2010-09-23,40.34309387207031
2010-09-24,41.72924041748047
2010-09-27,41.35686111450195
2010-09-28,42.22576904296875
