Date,DOC
2010-01-04,12.021171569824219
2010-01-05,11.989190101623535
2010-01-06,11.917230606079102
2010-01-07,12.081135749816895
2010-01-08,12.161086082458496
2010-01-11,12.297014236450195
2010-01-12,12.089127540588379
2010-01-13,12.181083679199219
2010-01-14,12.145098686218262
2010-01-15,12.133109092712402
2010-01-19,12.508893966674805
2010-01-20,12.281020164489746
2010-01-21,11.917230606079102
2010-01-22,11.733332633972168
2010-01-25,11.737329483032227
2010-01-26,11.385528564453125
2010-01-27,11.481472969055176
2010-01-28,11.421512603759766
2010-01-29,11.333560943603516
2010-02-01,11.56542682647705
2010-02-02,11.83327579498291
2010-02-03,11.685361862182617
2010-02-04,11.101689338684082
2010-02-05,11.205635070800781
2010-02-08,10.905799865722656
2010-02-09,11.005444526672363
2010-02-10,11.216933250427246
2010-02-11,11.404014587402344
2010-02-12,11.200663566589355
2010-02-16,11.770051956176758
2010-02-17,11.916461944580078
2010-02-18,12.103547096252441
2010-02-19,12.152355194091797
2010-02-22,12.026276588439941
2010-02-23,11.794453620910645
2010-02-24,11.949002265930176
2010-02-25,11.798516273498535
2010-02-26,11.704975128173828
2010-03-01,11.8107271194458
2010-03-02,11.896130561828613
2010-03-03,11.892059326171875
2010-03-04,12.034408569335938
2010-03-05,12.363836288452148
2010-03-08,12.420783042907715
2010-03-09,12.432978630065918
2010-03-10,12.648538589477539
2010-03-11,12.880353927612305
2010-03-12,13.067436218261719
2010-03-15,13.067436218261719
2010-03-16,13.425345420837402
2010-03-17,13.7466402053833
2010-03-18,13.624631881713867
2010-03-19,13.466010093688965
2010-03-22,13.81985092163086
2010-03-23,13.758845329284668
2010-03-24,13.779173851013184
2010-03-25,13.653097152709961
2010-03-26,13.57175064086914
2010-03-29,13.47414493560791
2010-03-30,13.47821044921875
2010-03-31,13.42127513885498
2010-04-01,13.40500545501709
2010-04-05,13.535149574279785
2010-04-06,13.669365882873535
2010-04-07,13.262661933898926
2010-04-08,13.323661804199219
2010-04-09,13.527018547058105
2010-04-12,13.380606651306152
2010-04-13,13.453814506530762
2010-04-14,13.258589744567871
2010-04-15,12.880353927612305
2010-04-16,12.677001953125
2010-04-19,12.790881156921387
2010-04-20,12.969834327697754
2010-04-21,13.104043006896973
2010-04-22,13.33180046081543
2010-04-23,13.457878112792969
2010-04-26,13.68970012664795
2010-04-27,13.083707809448242
2010-04-28,13.124382019042969
2010-04-29,13.57210922241211
2010-04-30,13.25436782836914
2010-05-03,13.700026512145996
2010-05-04,13.291500091552734
2010-05-05,13.122313499450684
2010-05-06,12.755059242248535
2010-05-07,12.80044937133789
2010-05-10,13.914607048034668
2010-05-11,13.931114196777344
2010-05-12,14.021894454956055
2010-05-13,13.811442375183105
2010-05-14,13.448311805725098
2010-05-17,13.46481990814209
2010-05-18,13.142949104309082
2010-05-19,13.056294441223145
2010-05-20,12.383673667907715
2010-05-21,12.808694839477539
2010-05-24,12.602372169494629
2010-05-25,12.7220458984375
2010-05-26,12.680777549743652
2010-05-27,13.398792266845703
2010-05-28,13.147076606750488
2010-06-01,12.936624526977539
2010-06-02,13.332768440246582
2010-06-03,13.122313499450684
2010-06-04,12.45382022857666
2010-06-07,12.441442489624023
2010-06-08,12.816956520080566
2010-06-09,12.76330852508545
2010-06-10,13.394668579101562
2010-06-11,13.555597305297852
2010-06-14,13.799065589904785
2010-06-15,14.174578666687012
2010-06-16,14.108556747436523
2010-06-17,14.174578666687012
2010-06-18,13.501954078674316
2010-06-21,13.411175727844238
2010-06-22,13.225478172302246
2010-06-23,13.37403392791748
2010-06-24,13.221351623535156
2010-06-25,13.514337539672852
2010-06-28,13.407045364379883
2010-06-29,13.30801010131836
2010-06-30,13.30801010131836
2010-07-01,13.25849437713623
2010-07-02,13.101688385009766
2010-07-06,12.965506553649902
2010-07-07,13.55147647857666
2010-07-08,13.547348976135254
2010-07-09,13.827954292297363
2010-07-12,13.84445571899414
2010-07-13,14.166325569152832
2010-07-14,14.153949737548828
2010-07-15,14.104423522949219
2010-07-16,13.807319641113281
2010-07-19,14.071413040161133
2010-07-20,14.314876556396484
2010-07-21,13.92286491394043
2010-07-22,14.426299095153809
2010-07-23,14.496445655822754
2010-07-26,14.830687522888184
2010-07-27,14.682140350341797
2010-07-28,14.56659984588623
2010-07-29,14.56659984588623
2010-07-30,14.636749267578125
2010-08-02,15.181446075439453
2010-08-03,14.904969215393066
2010-08-04,15.045273780822754
2010-08-05,14.738062858581543
2010-08-06,14.754773139953613
2010-08-09,14.88852596282959
2010-08-10,14.721333503723145
2010-08-11,14.541604995727539
2010-08-12,14.378592491149902
2010-08-13,14.424569129943848
2010-08-16,14.437102317810059
2010-08-17,14.712981224060059
2010-08-18,14.566681861877441
2010-08-19,14.282454490661621
2010-08-20,14.290815353393555
2010-08-23,14.249018669128418
2010-08-24,14.136164665222168
2010-08-25,14.395307540893555
2010-08-26,14.340970993041992
2010-08-27,14.675354957580566
2010-08-30,14.77567195892334
2010-08-31,14.721333503723145
2010-09-01,15.24382209777832
2010-09-02,15.356666564941406
2010-09-03,15.590738296508789
2010-09-07,15.247991561889648
2010-09-08,15.356666564941406
2010-09-09,15.168574333190918
2010-09-10,15.235445022583008
2010-09-13,15.440267562866211
2010-09-14,15.406827926635742
2010-09-15,15.494600296020508
2010-09-16,15.348310470581055
2010-09-17,15.511320114135742
2010-09-20,15.870789527893066
2010-09-21,15.398468971252441
2010-09-22,15.24382209777832
2010-09-23,14.846729278564453
2010-09-24,15.323230743408203
2010-09-27,15.101703643798828
2010-09-28,15.139318466186523
