Date,BKR
2010-01-04,20.85542106628418
2010-01-05,22.079240798950195
2010-01-06,23.181678771972656
2010-01-07,23.348560333251953
2010-01-08,23.818876266479492
2010-01-11,23.56601905822754
2010-01-12,23.115936279296875
2010-01-13,23.54073715209961
2010-01-14,24.03632164001465
2010-01-15,23.90989875793457
2010-01-19,24.299293518066406
2010-01-20,23.839107513427734
2010-01-21,23.581192016601562
2010-01-22,22.387714385986328
2010-01-25,22.549543380737305
2010-01-26,23.712669372558594
2010-01-27,24.07172966003418
2010-01-28,23.57456398010254
2010-01-29,22.970867156982422
2010-02-01,24.010841369628906
2010-02-02,23.975332260131836
2010-02-03,24.005773544311523
2010-02-04,22.940433502197266
2010-02-05,22.69185447692871
2010-02-08,22.60053825378418
2010-02-09,23.107839584350586
2010-02-10,22.960723876953125
2010-02-11,23.68109893798828
2010-02-12,23.589786529541016
2010-02-16,24.320302963256836
2010-02-17,24.37611198425293
2010-02-18,24.680492401123047
2010-02-19,24.78702163696289
2010-02-22,24.41669273376465
2010-02-23,23.873878479003906
2010-02-24,24.305086135864258
2010-02-25,24.29494285583496
2010-02-26,24.310161590576172
2010-03-01,24.50800895690918
2010-03-02,24.9747314453125
2010-03-03,25.365365982055664
2010-03-04,25.32477378845215
2010-03-05,25.816862106323242
2010-03-08,25.537839889526367
2010-03-09,25.334918975830078
2010-03-10,25.355215072631836
2010-03-11,25.355215072631836
2010-03-12,25.385658264160156
2010-03-15,25.299407958984375
2010-03-16,25.892955780029297
2010-03-17,26.308948516845703
2010-03-18,25.045757293701172
2010-03-19,24.112308502197266
2010-03-22,24.092023849487305
2010-03-23,23.904315948486328
2010-03-24,23.615137100219727
2010-03-25,22.762874603271484
2010-03-26,22.762874603271484
2010-03-29,23.1585750579834
2010-03-30,23.310766220092773
2010-03-31,23.762269973754883
2010-04-01,24.518152236938477
2010-04-05,25.203027725219727
2010-04-06,25.32477378845215
2010-04-07,24.858051300048828
2010-04-08,24.726154327392578
2010-04-09,24.77688217163086
2010-04-12,24.77181053161621
2010-04-13,24.457277297973633
2010-04-14,24.995027542114258
2010-04-15,24.898635864257812
2010-04-16,24.1021671295166
2010-04-19,24.163042068481445
2010-04-20,25.512475967407227
2010-04-21,25.816862106323242
2010-04-22,26.27850914001465
2010-04-23,27.485902786254883
2010-04-26,27.333709716796875
2010-04-27,25.842226028442383
2010-04-28,25.994417190551758
2010-04-29,26.085731506347656
2010-04-30,25.243608474731445
2010-05-03,25.730627059936523
2010-05-04,24.320302963256836
2010-05-05,24.005773544311523
2010-05-06,23.32381820678711
2010-05-07,22.519723892211914
2010-05-10,23.9955997467041
2010-05-11,23.766576766967773
2010-05-12,24.13300132751465
2010-05-13,23.80220603942871
2010-05-14,23.089710235595703
2010-05-17,23.06937026977539
2010-05-18,22.646955490112305
2010-05-19,22.255090713500977
2010-05-20,20.718154907226562
2010-05-21,21.288137435913086
2010-05-24,20.5552978515625
2010-05-25,20.67743682861328
2010-05-26,20.682518005371094
2010-05-27,20.91153907775879
2010-05-28,19.41023063659668
2010-06-01,18.254976272583008
2010-06-02,20.168514251708984
2010-06-03,20.041282653808594
2010-06-04,19.578168869018555
2010-06-07,19.374605178833008
2010-06-08,19.430583953857422
2010-06-09,19.517099380493164
2010-06-10,21.58840560913086
2010-06-11,21.68509864807129
2010-06-14,21.34412384033203
2010-06-15,22.183841705322266
2010-06-16,22.3823184967041
2010-06-17,22.32124900817871
2010-06-18,22.733469009399414
2010-06-21,22.438297271728516
2010-06-22,21.451004028320312
2010-06-23,21.63930320739746
2010-06-24,21.125289916992188
2010-06-25,21.756351470947266
2010-06-28,21.37466049194336
2010-06-29,20.7843074798584
2010-06-30,21.15582275390625
2010-07-01,21.23725128173828
2010-07-02,21.527334213256836
2010-07-06,22.356870651245117
2010-07-07,22.972665786743164
2010-07-08,23.507034301757812
2010-07-09,23.54266357421875
2010-07-12,23.41542625427246
2010-07-13,23.761491775512695
2010-07-14,23.893814086914062
2010-07-15,24.000688552856445
2010-07-16,23.41033935546875
2010-07-19,24.275503158569336
2010-07-20,25.02362060546875
2010-07-21,24.560489654541016
2010-07-22,25.14575958251953
2010-07-23,24.972728729248047
2010-07-26,25.288251876831055
2010-07-27,24.881122589111328
2010-07-28,24.876033782958984
2010-07-29,24.697355270385742
2010-07-30,24.641199111938477
2010-08-02,25.641759872436523
2010-08-03,22.287866592407227
2010-08-04,21.864152908325195
2010-08-05,21.685487747192383
2010-08-06,21.302629470825195
2010-08-09,21.353670120239258
2010-08-10,20.955486297607422
2010-08-11,20.51647186279297
2010-08-12,20.388853073120117
2010-08-13,20.312273025512695
2010-08-16,20.383747100830078
2010-08-17,20.92996597290039
2010-08-18,20.771709442138672
2010-08-19,20.29186248779297
2010-08-20,19.914091110229492
2010-08-23,19.914091110229492
2010-08-24,19.801794052124023
2010-08-25,19.87836456298828
2010-08-26,19.189210891723633
2010-08-27,19.766050338745117
2010-08-30,19.469974517822266
2010-08-31,19.184104919433594
2010-09-01,20.164234161376953
2010-09-02,20.271438598632812
2010-09-03,20.159130096435547
2010-09-07,19.837522506713867
2010-09-08,20.123394012451172
2010-09-09,19.924304962158203
2010-09-10,20.10807991027832
2010-09-13,20.644088745117188
2010-09-14,20.4858455657959
2010-09-15,20.414377212524414
2010-09-16,20.353118896484375
2010-09-17,20.358224868774414
2010-09-20,20.720661163330078
2010-09-21,20.55220603942871
2010-09-22,20.414377212524414
2010-09-23,20.097871780395508
2010-09-24,20.96059799194336
2010-09-27,20.741085052490234
2010-09-28,20.868703842163086
