Date,MTCH
2010-01-04,5.476004600524902
2010-01-05,5.596150875091553
2010-01-06,5.55076265335083
2010-01-07,5.577462196350098
2010-01-08,5.612170696258545
2010-01-11,5.657558917999268
2010-01-12,5.6014909744262695
2010-01-13,5.807075500488281
2010-01-14,5.780375957489014
2010-01-15,5.6949381828308105
2010-01-19,5.700277805328369
2010-01-20,5.7696967124938965
2010-01-21,5.580131530761719
2010-01-22,5.470664978027344
2010-01-25,5.4199371337890625
2010-01-26,5.409257411956787
2010-01-27,5.462655544281006
2010-01-28,5.414597034454346
2010-01-29,5.3611979484558105
2010-02-01,5.417266368865967
2010-02-02,5.433285713195801
2010-02-03,5.6175103187561035
2010-02-04,5.54542350769043
2010-02-05,5.652219295501709
2010-02-08,5.649550437927246
2010-02-09,5.700277805328369
2010-02-10,5.713627815246582
2010-02-11,5.751007080078125
2010-02-12,5.751007080078125
2010-02-16,5.767025947570801
2010-02-17,5.825763702392578
2010-02-18,5.844454288482666
2010-02-19,5.919211387634277
2010-02-22,5.84178352355957
2010-02-23,5.887172222137451
2010-02-24,5.900522232055664
2010-02-25,6.001978874206543
2010-02-26,5.977949142456055
2010-03-01,6.159503936767578
2010-03-02,6.1541643142700195
2010-03-03,6.124795436859131
2010-03-04,6.196883201599121
2010-03-05,6.327708721160889
2010-03-08,6.402467250823975
2010-03-09,6.399796485900879
2010-03-10,6.386447906494141
2010-03-11,6.381107807159424
2010-03-12,6.343728542327881
2010-03-15,6.314359664916992
2010-03-16,6.378437519073486
2010-03-17,6.431835174560547
2010-03-18,6.479895114898682
2010-03-19,6.378437519073486
2010-03-22,6.359748840332031
2010-03-23,6.373097896575928
2010-03-24,6.327708721160889
2010-03-25,6.218242168426514
2010-03-26,6.172854423522949
2010-03-29,6.106105327606201
2010-03-30,6.082076549530029
2010-03-31,6.082076549530029
2010-04-01,6.012659072875977
2010-04-05,6.052707195281982
2010-04-06,6.114116191864014
2010-04-07,6.162174224853516
2010-04-08,6.20222282409668
2010-04-09,6.130135536193848
2010-04-12,6.114116191864014
2010-04-13,6.2636308670043945
2010-04-14,6.343728542327881
2010-04-15,6.407806873321533
2010-04-16,6.317028999328613
2010-04-19,6.311689376831055
2010-04-20,6.346398830413818
2010-04-21,6.279650688171387
2010-04-22,6.301009654998779
2010-04-23,6.284990310668945
2010-04-26,6.258291244506836
2010-04-27,6.1862030029296875
2010-04-28,6.034018039703369
2010-04-29,6.07940673828125
2010-04-30,5.993969917297363
2010-05-03,6.100766658782959
2010-05-04,5.911202430725098
2010-05-05,5.812414646148682
2010-05-06,5.649550437927246
2010-05-07,5.5027031898498535
2010-05-10,5.732316493988037
2010-05-11,5.79372501373291
2010-05-12,5.951249599456787
2010-05-13,6.047368049621582
2010-05-14,6.031348705291748
2010-05-17,6.167514324188232
2010-05-18,6.012659072875977
2010-05-19,5.953920841217041
2010-05-20,5.734987258911133
2010-05-21,5.734987258911133
2010-05-24,5.916541576385498
2010-05-25,6.036688327789307
2010-05-26,6.0260090827941895
2010-05-27,6.26630163192749
2010-05-28,6.2636308670043945
2010-06-01,6.151495456695557
2010-06-02,6.191543102264404
2010-06-03,6.268970966339111
2010-06-04,6.132804870605469
2010-06-07,6.015328884124756
2010-06-08,5.99931001663208
2010-06-09,5.943240642547607
2010-06-10,6.074067115783691
2010-06-11,6.204893589019775
2010-06-14,6.220912456512451
2010-06-15,6.271641254425049
2010-06-16,6.271641254425049
2010-06-17,6.32236909866333
2010-06-18,6.317028999328613
2010-06-21,6.276980876922607
2010-06-22,6.215572834014893
2010-06-23,6.140814781188965
2010-06-24,6.044697284698486
2010-06-25,6.140814781188965
2010-06-28,6.146154880523682
2010-06-29,5.924551486968994
2010-06-30,5.8658127784729
2010-07-01,5.844454288482666
2010-07-02,5.761685848236084
2010-07-06,5.79372501373291
2010-07-07,5.956590175628662
2010-07-08,5.977949142456055
2010-07-09,5.98061990737915
2010-07-12,5.99931001663208
2010-07-13,6.082076549530029
2010-07-14,6.164844512939453
2010-07-15,6.164844512939453
2010-07-16,6.007318496704102
2010-07-19,6.036688327789307
2010-07-20,6.12746524810791
2010-07-21,6.1087751388549805
2010-07-22,6.359748840332031
2010-07-23,6.4051361083984375
2010-07-26,6.4585347175598145
2010-07-27,6.335718631744385
2010-07-28,6.616061210632324
2010-07-29,6.6828083992004395
2010-07-30,6.674798965454102
2010-08-02,6.685478687286377
2010-08-03,6.728196620941162
2010-08-04,6.741546630859375
2010-08-05,6.722857475280762
2010-08-06,6.688148021697998
2010-08-09,6.70416784286499
2010-08-10,6.80295467376709
2010-08-11,6.653439998626709
2010-08-12,6.3944573402404785
2010-08-13,6.287660598754883
2010-08-16,6.351738452911377
2010-08-17,6.391787052154541
2010-08-18,6.3944573402404785
2010-08-19,6.375768184661865
2010-08-20,6.341058731079102
2010-08-23,6.3330488204956055
2010-08-24,6.397127151489258
2010-08-25,6.511934280395508
2010-08-26,6.543972969055176
2010-08-27,6.600041389465332
2010-08-30,6.546641826629639
2010-08-31,6.616061210632324
2010-09-01,6.733537197113037
2010-09-02,6.851013660430908
2010-09-03,6.9017415046691895
2010-09-07,6.832324028015137
2010-09-08,6.92310094833374
2010-09-09,6.9951887130737305
2010-09-10,6.957810401916504
2010-09-13,6.9658203125
2010-09-14,7.003199100494385
2010-09-15,7.029898643493652
2010-09-16,7.024558067321777
2010-09-17,7.037907123565674
2010-09-20,7.059267044067383
2010-09-21,7.008538722991943
2010-09-22,6.9951887130737305
2010-09-23,7.043247222900391
2010-09-24,7.155384540557861
