Date,CCL
2010-01-04,23.892757415771484
2010-01-05,24.1237735748291
2010-01-06,23.691539764404297
2010-01-07,23.952375411987305
2010-01-08,24.757247924804688
2010-01-11,24.906295776367188
2010-01-12,24.503856658935547
2010-01-13,25.37580108642578
2010-01-14,26.135961532592773
2010-01-15,25.50994873046875
2010-01-19,26.09124183654785
2010-01-20,25.569570541381836
2010-01-21,25.49504280090332
2010-01-22,24.81686782836914
2010-01-25,25.010631561279297
2010-01-26,25.144784927368164
2010-01-27,25.24911117553711
2010-01-28,25.644088745117188
2010-01-29,24.839221954345703
2010-02-01,25.442869186401367
2010-02-02,25.778242111206055
2010-02-03,25.778242111206055
2010-02-04,24.518770217895508
2010-02-05,24.24301528930664
2010-02-08,24.712526321411133
2010-02-09,24.44424057006836
2010-02-10,24.302644729614258
2010-02-11,24.72743034362793
2010-02-12,24.459136962890625
2010-02-16,24.95100975036621
2010-02-17,25.421924591064453
2010-02-18,25.25000762939453
2010-02-19,25.33222770690918
2010-02-22,25.496671676635742
2010-02-23,25.167776107788086
2010-02-24,26.75992202758789
2010-02-25,26.655269622802734
2010-02-26,26.8795166015625
2010-03-01,26.984167098999023
2010-03-02,26.72254180908203
2010-03-03,26.69264793395996
2010-03-04,27.021541595458984
2010-03-05,27.686803817749023
2010-03-08,27.612049102783203
2010-03-09,27.612049102783203
2010-03-10,27.783964157104492
2010-03-11,27.843778610229492
2010-03-12,28.02316665649414
2010-03-15,27.76902961730957
2010-03-16,27.746597290039062
2010-03-17,28.105388641357422
2010-03-18,28.15024757385254
2010-03-19,28.120336532592773
2010-03-22,28.33710289001465
2010-03-23,29.009841918945312
2010-03-24,28.74823570251465
2010-03-25,28.808027267456055
2010-03-26,29.00237274169922
2010-03-29,29.136917114257812
2010-03-30,29.293886184692383
2010-03-31,29.06217384338379
2010-04-01,29.33126449584961
2010-04-05,29.443389892578125
2010-04-06,29.398530960083008
2010-04-07,28.628625869750977
2010-04-08,28.84539222717285
2010-04-09,29.136917114257812
2010-04-12,29.017322540283203
2010-04-13,29.047224044799805
2010-04-14,29.27145004272461
2010-04-15,29.510662078857422
2010-04-16,29.12944984436035
2010-04-19,29.077125549316406
2010-04-20,29.839557647705078
2010-04-21,30.07127571105957
2010-04-22,31.095317840576172
2010-04-23,31.969873428344727
2010-04-26,32.77717590332031
2010-04-27,31.715736389160156
2010-04-28,31.08785629272461
2010-04-29,32.261409759521484
2010-04-30,31.170085906982422
2010-05-03,31.70827293395996
2010-05-04,30.347835540771484
2010-05-05,29.600357055664062
2010-05-06,28.426815032958984
2010-05-07,27.417705535888672
2010-05-10,29.3088436126709
2010-05-11,29.06217384338379
2010-05-12,29.959148406982422
2010-05-13,29.077125549316406
2010-05-14,28.082958221435547
2010-05-17,28.49408721923828
2010-05-18,27.97084617614746
2010-05-19,27.746000289916992
2010-05-20,26.321975708007812
2010-05-21,26.68922233581543
2010-05-24,26.501855850219727
2010-05-25,26.396926879882812
2010-05-26,26.20205307006836
2010-05-27,27.566116333007812
2010-05-28,27.153900146484375
2010-06-01,26.734188079833984
2010-06-02,27.76099395751953
2010-06-03,27.85842514038086
2010-06-04,26.449386596679688
2010-06-07,25.902259826660156
2010-06-08,26.20205307006836
2010-06-09,26.01468276977539
2010-06-10,27.22886085510254
2010-06-11,27.213863372802734
2010-06-14,27.258831024169922
2010-06-15,28.053287506103516
2010-06-16,27.543628692626953
2010-06-17,26.981525421142578
2010-06-18,26.53933334350586
2010-06-21,26.037166595458984
2010-06-22,24.875465393066406
2010-06-23,24.965404510498047
2010-06-24,24.24589729309082
2010-06-25,24.418275833129883
2010-06-28,24.05852508544922
2010-06-29,22.58953285217285
2010-06-30,22.664480209350586
2010-07-01,23.4664249420166
2010-07-02,22.949283599853516
2010-07-06,22.85184669494629
2010-07-07,23.653799057006836
2010-07-08,23.668794631958008
2010-07-09,24.07350730895996
2010-07-12,23.736238479614258
2010-07-13,24.5981502532959
2010-07-14,24.545690536499023
2010-07-15,24.58316421508789
2010-07-16,23.541378021240234
2010-07-19,23.533878326416016
2010-07-20,23.766225814819336
2010-07-21,23.556365966796875
2010-07-22,25.23521614074707
2010-07-23,25.62495994567871
2010-07-26,26.34446144104004
2010-07-27,25.872285842895508
2010-07-28,25.954730987548828
2010-07-29,25.7823429107666
2010-07-30,25.992202758789062
2010-08-02,26.62177085876465
2010-08-03,26.52433967590332
2010-08-04,26.966524124145508
2010-08-05,26.861604690551758
2010-08-06,26.70421600341797
2010-08-09,26.351957321166992
2010-08-10,25.722379684448242
2010-08-11,24.643129348754883
2010-08-12,24.448261260986328
2010-08-13,24.365814208984375
2010-08-16,24.335838317871094
2010-08-17,24.815507888793945
2010-08-18,24.83805274963379
2010-08-19,24.176513671875
2010-08-20,23.898361206054688
2010-08-23,23.69539451599121
2010-08-24,22.883481979370117
2010-08-25,23.04135513305664
2010-08-26,22.973697662353516
2010-08-27,23.650283813476562
2010-08-30,23.18419647216797
2010-08-31,23.439781188964844
2010-09-01,24.732810974121094
2010-09-02,25.416912078857422
2010-09-03,26.063411712646484
2010-09-07,25.46201515197754
2010-09-08,25.98824119567871
2010-09-09,26.446819305419922
2010-09-10,26.521995544433594
2010-09-13,26.935466766357422
2010-09-14,26.98056411743164
2010-09-15,26.762556076049805
2010-09-16,26.702417373657227
2010-09-17,27.003122329711914
2010-09-20,27.86012077331543
2010-09-21,28.243526458740234
2010-09-22,27.85260581970215
2010-09-23,27.627073287963867
2010-09-24,28.408903121948242
2010-09-27,28.581815719604492
2010-09-28,28.822368621826172
