Date,FAST
2010-01-04,2.857252836227417
2010-01-05,2.9163966178894043
2010-01-06,3.108783483505249
2010-01-07,3.161809206008911
2010-01-08,3.1937592029571533
2010-01-11,3.1312177181243896
2010-01-12,3.1305391788482666
2010-01-13,3.174046277999878
2010-01-14,3.1475329399108887
2010-01-15,3.117621421813965
2010-01-19,3.0469207763671875
2010-01-20,3.008850574493408
2010-01-21,2.9578661918640137
2010-01-22,2.8926029205322266
2010-01-25,2.898721933364868
2010-01-26,2.8654119968414307
2010-01-27,2.8722083568573
2010-01-28,2.820542097091675
2010-01-29,2.8198626041412354
2010-02-01,2.823263168334961
2010-02-02,2.919795274734497
2010-02-03,2.924553871154785
2010-02-04,2.864732503890991
2010-02-05,2.8545336723327637
2010-02-08,2.8015077114105225
2010-02-09,2.878326892852783
2010-02-10,2.8776352405548096
2010-02-11,2.919902801513672
2010-02-12,2.8984220027923584
2010-02-16,2.9781057834625244
2010-02-17,2.987806797027588
2010-02-18,3.0238378047943115
2010-02-19,3.0397744178771973
2010-02-22,3.0529396533966064
2010-02-23,3.0439305305480957
2010-02-24,3.0612540245056152
2010-02-25,3.074420213699341
2010-02-26,3.074420213699341
2010-03-01,3.1125292778015137
2010-03-02,3.105600118637085
2010-03-03,3.119457483291626
2010-03-04,3.1243081092834473
2010-03-05,3.1665759086608887
2010-03-08,3.1492531299591064
2010-03-09,3.1381676197052
2010-03-10,3.1367812156677246
2010-03-11,3.1333158016204834
2010-03-12,3.1367812156677246
2010-03-15,3.179049253463745
2010-03-16,3.2116150856018066
2010-03-17,3.287140130996704
2010-03-18,3.280212640762329
2010-03-19,3.2552661895751953
2010-03-22,3.3522744178771973
2010-03-23,3.395235061645508
2010-03-24,3.3495028018951416
2010-03-25,3.3280227184295654
2010-03-26,3.3453452587127686
2010-03-29,3.355738878250122
2010-03-30,3.3605880737304688
2010-03-31,3.3252511024475098
2010-04-01,3.3661324977874756
2010-04-05,3.4437379837036133
2010-04-06,3.470067262649536
2010-04-07,3.5837044715881348
2010-04-08,3.520650863647461
2010-04-09,3.5442090034484863
2010-04-12,3.5961763858795166
2010-04-13,3.672396659851074
2010-04-14,3.7021913528442383
2010-04-15,3.8109772205352783
2010-04-16,3.763859748840332
2010-04-19,3.801969289779663
2010-04-20,3.759702682495117
2010-04-21,3.768017053604126
2010-04-22,3.8601720333099365
2010-04-23,3.8941268920898438
2010-04-26,3.8871970176696777
2010-04-27,3.7610890865325928
2010-04-28,3.779797077178955
2010-04-29,3.8830392360687256
2010-04-30,3.7894976139068604
2010-05-03,3.913527488708496
2010-05-04,3.747922897338867
2010-05-05,3.6938774585723877
2010-05-06,3.5580670833587646
2010-05-07,3.479768753051758
2010-05-10,3.705655336380005
2010-05-11,3.759009599685669
2010-05-12,3.842158555984497
2010-05-13,3.8095908164978027
2010-05-14,3.7181267738342285
2010-05-17,3.7174363136291504
2010-05-18,3.6426026821136475
2010-05-19,3.621121406555176
2010-05-20,3.409785747528076
2010-05-21,3.488776206970215
2010-05-24,3.434730052947998
2010-05-25,3.4402732849121094
2010-05-26,3.424335479736328
2010-05-27,3.5587594509124756
2010-05-28,3.495012044906616
2010-06-01,3.4416587352752686
2010-06-02,3.5885543823242188
2010-06-03,3.6010260581970215
2010-06-04,3.423643112182617
2010-06-07,3.3488101959228516
2010-06-08,3.397312641143799
2010-06-09,3.4063212871551514
2010-06-10,3.568460702896118
2010-06-11,3.5830109119415283
2010-06-14,3.603105306625366
2010-06-15,3.7042694091796875
2010-06-16,3.7195141315460205
2010-06-17,3.755544424057007
2010-06-18,3.7881126403808594
2010-06-21,3.7915756702423096
2010-06-22,3.659924030303955
2010-06-23,3.6987268924713135
2010-06-24,3.6044912338256836
2010-06-25,3.6204283237457275
2010-06-28,3.6155779361724854
2010-06-29,3.4984779357910156
2010-06-30,3.4776899814605713
2010-07-01,3.452051877975464
2010-07-02,3.410477876663208
2010-07-06,3.3834547996520996
2010-07-07,3.4790756702423096
2010-07-08,3.5476739406585693
2010-07-09,3.6079556941986084
2010-07-12,3.6460671424865723
2010-07-13,3.495012044906616
2010-07-14,3.5199568271636963
2010-07-15,3.4492814540863037
2010-07-16,3.3023853302001953
2010-07-19,3.3044626712799072
2010-07-20,3.3432679176330566
2010-07-21,3.29060697555542
2010-07-22,3.3862268924713135
2010-07-23,3.4201791286468506
2010-07-26,3.4610607624053955
2010-07-27,3.4042437076568604
2010-07-28,3.386918306350708
2010-07-29,3.393155574798584
2010-07-30,3.4007790088653564
2010-08-02,3.4652178287506104
2010-08-03,3.4742252826690674
2010-08-04,3.5414369106292725
2010-08-05,3.5490589141845703
2010-08-06,3.5449020862579346
2010-08-09,3.5594520568847656
2010-08-10,3.5102574825286865
2010-08-11,3.356431722640991
2010-08-12,3.3578174114227295
2010-08-13,3.337031364440918
2010-08-16,3.3349525928497314
2010-08-17,3.4596757888793945
2010-08-18,3.4687583446502686
2010-08-19,3.3415799140930176
2010-08-20,3.3548569679260254
2010-08-23,3.319918394088745
2010-08-24,3.2332687377929688
2010-08-25,3.2074148654937744
2010-08-26,3.1787641048431396
2010-08-27,3.2116072177886963
2010-08-30,3.150813102722168
2010-08-31,3.1633901596069336
2010-09-01,3.296858310699463
2010-09-02,3.421941041946411
2010-09-03,3.4491934776306152
2010-09-07,3.408662796020508
2010-09-08,3.472952127456665
2010-09-09,3.5162768363952637
2010-09-10,3.5582027435302734
2010-09-13,3.6071178913116455
2010-09-14,3.607816219329834
2010-09-15,3.612009048461914
2010-09-16,3.5756728649139404
