Date,Close,Volume
2010-01-04,28.743410110473633,1062400
2010-01-05,28.940046310424805,1393500
2010-01-06,28.268169403076172,2028700
2010-01-07,28.096107482910156,1186400
2010-01-08,28.391082763671875,3329500
2010-01-11,28.505786895751953,2296600
2010-01-12,28.259979248046875,2665100
2010-01-13,28.52218246459961,1905700
2010-01-14,28.44023895263672,1332100
2010-01-15,28.243595123291016,2866500
2010-01-19,28.235397338867188,1681200
2010-01-20,28.15346336364746,2029900
2010-01-21,28.97282600402832,5102700
2010-01-22,28.333715438842773,3292700
2010-01-25,28.407468795776367,2309700
2010-01-26,28.30913543701172,2050900
2010-01-27,28.44023895263672,1558100
2010-01-28,28.104299545288086,2253200
2010-01-29,27.9404239654541,2097000
2010-02-01,28.235397338867188,2564600
2010-02-02,28.513980865478516,2531700
2010-02-03,27.83390998840332,5831300
2010-02-04,27.383256912231445,2623400
2010-02-05,27.063697814941406,3252900
2010-02-08,27.00635528564453,1499000
2010-02-09,27.416027069091797,2847900
2010-02-10,27.121055603027344,1503900
2010-02-11,26.998149871826172,2463700
2010-02-12,26.93260383605957,2626400
2010-02-16,27.792936325073242,2557400
2010-02-17,28.014171600341797,1172800
2010-02-18,27.8093204498291,1473600
2010-02-19,28.120685577392578,2177600
2010-02-22,28.30913543701172,2047700
2010-02-23,30.242841720581055,9134000
2010-02-24,29.980648040771484,3461400
2010-02-25,29.997045516967773,3295100
2010-02-26,29.882335662841797,2952300
2010-03-01,29.775802612304688,1551300
2010-03-02,29.767616271972656,1514300
2010-03-03,29.603748321533203,1118400
2010-03-04,29.7512264251709,1266500
2010-03-05,29.972463607788086,1852600
2010-03-08,29.89051628112793,2261500
2010-03-09,30.00523567199707,1332400
2010-03-10,30.35755729675293,2034300
2010-03-11,30.529619216918945,2365800
2010-03-12,30.488656997680664,1586500
2010-03-15,30.34116554260254,1081000
2010-03-16,30.718076705932617,1173000
2010-03-17,30.79183578491211,1093500
2010-03-18,31.160541534423828,959300
2010-03-19,31.635765075683594,3963400
2010-03-22,31.439115524291992,2101200
2010-03-23,31.4800968170166,1583700
2010-03-24,30.996665954589844,1642300
2010-03-25,30.48046875,1963600
2010-03-26,30.046192169189453,2779400
2010-03-29,30.332975387573242,1227600
2010-03-30,30.332975387573242,911800
2010-03-31,30.25104331970215,1151500
2010-04-01,30.029817581176758,1355300
2010-04-05,30.283815383911133,1633500
2010-04-06,30.02161407470703,1627100
2010-04-07,29.931486129760742,1777700
2010-04-08,30.078977584838867,2538600
2010-04-09,30.48046875,1507500
2010-04-12,30.300209045410156,774100
2010-04-13,30.43950653076172,994800
2010-04-14,31.365381240844727,2417300
2010-04-15,32.65179443359375,4850400
2010-04-16,32.2830696105957,3394800
2010-04-19,32.22572708129883,2935800
2010-04-20,32.20112609863281,2004100
2010-04-21,33.069664001464844,2996300
2010-04-22,33.42197799682617,1765300
2010-04-23,33.31547164916992,2095100
2010-04-26,33.17619323730469,1034100
2010-04-27,32.422367095947266,2109500
2010-04-28,32.586246490478516,1344000
2010-04-29,33.33185958862305,1997200
2010-04-30,33.356441497802734,2516700
2010-05-03,34.54452133178711,3486000
2010-05-04,33.610450744628906,2002100
2010-05-05,33.29908752441406,2492300
2010-05-06,31.97989845275879,4375600
