Date,TPR
2010-01-04,23.753684997558594
2010-01-05,24.041536331176758
2010-01-06,24.51255226135254
2010-01-07,24.525634765625
2010-01-08,24.3817081451416
2010-01-11,25.06861114501953
2010-01-12,25.251773834228516
2010-01-13,25.03590202331543
2010-01-14,24.53217887878418
2010-01-15,24.067697525024414
2010-01-19,24.499460220336914
2010-01-20,23.125661849975586
2010-01-21,22.30792236328125
2010-01-22,22.268674850463867
2010-01-25,22.301389694213867
2010-01-26,22.641557693481445
2010-01-27,22.903244018554688
2010-01-28,22.811655044555664
2010-01-29,22.818195343017578
2010-02-01,23.073320388793945
2010-02-02,23.37425422668457
2010-02-03,23.217254638671875
2010-02-04,22.549970626831055
2010-02-05,22.451847076416016
2010-02-08,22.366806030273438
2010-02-09,22.700435638427734
2010-02-10,22.720060348510742
2010-02-11,23.145286560058594
2010-02-12,23.20416259765625
2010-02-16,23.66864013671875
2010-02-17,23.583593368530273
2010-02-18,23.838726043701172
2010-02-19,23.799480438232422
2010-02-22,23.917232513427734
2010-02-23,23.917232513427734
2010-02-24,24.32283592224121
2010-02-25,24.002283096313477
2010-02-26,23.838726043701172
2010-03-01,24.21815299987793
2010-03-02,24.120031356811523
2010-03-03,23.858360290527344
2010-03-04,24.372955322265625
2010-03-05,24.707286834716797
2010-03-08,24.61549949645996
2010-03-09,25.47426414489746
2010-03-10,25.290706634521484
2010-03-11,25.231712341308594
2010-03-12,25.087493896484375
2010-03-15,24.943279266357422
2010-03-16,24.792509078979492
2010-03-17,25.061269760131836
2010-03-18,24.96294403076172
2010-03-19,24.812166213989258
2010-03-22,25.133386611938477
2010-03-23,25.139930725097656
2010-03-24,25.33659553527832
2010-03-25,25.369369506835938
2010-03-26,26.42479705810547
2010-03-29,26.208459854125977
2010-03-30,26.16257095336914
2010-03-31,25.90691375732422
2010-04-01,26.313350677490234
2010-04-05,26.575572967529297
2010-04-06,26.70012092590332
2010-04-07,26.542789459228516
2010-04-08,26.529674530029297
2010-04-09,27.10000228881836
2010-04-12,26.995105743408203
2010-04-13,27.231107711791992
2010-04-14,27.932533264160156
2010-04-15,28.181640625
2010-04-16,27.73586654663086
2010-04-19,27.4539794921875
2010-04-20,27.552310943603516
2010-04-21,28.214418411254883
2010-04-22,28.312753677368164
2010-04-23,28.59463119506836
2010-04-26,28.48973274230957
2010-04-27,27.51298713684082
2010-04-28,27.76209259033203
2010-04-29,28.260305404663086
2010-04-30,27.36876678466797
2010-05-03,28.207853317260742
2010-05-04,27.42121124267578
2010-05-05,26.732891082763672
2010-05-06,25.64470672607422
2010-05-07,25.094043731689453
2010-05-10,26.923015594482422
2010-05-11,27.172109603881836
2010-05-12,27.794870376586914
2010-05-13,27.290103912353516
2010-05-14,26.26090431213379
2010-05-17,26.35268783569336
2010-05-18,25.73647689819336
2010-05-19,25.454599380493164
2010-05-20,24.78594398498535
2010-05-21,25.192378997802734
2010-05-24,25.395601272583008
2010-05-25,25.625030517578125
2010-05-26,25.802026748657227
2010-05-27,27.499879837036133
2010-05-28,26.94922637939453
2010-06-01,26.39858055114746
2010-06-02,27.270437240600586
2010-06-03,27.499879837036133
2010-06-04,26.045936584472656
2010-06-07,25.756465911865234
2010-06-08,26.23015594482422
2010-06-09,26.848560333251953
2010-06-10,27.73672103881836
2010-06-11,28.16435432434082
2010-06-14,28.493289947509766
2010-06-15,29.157764434814453
2010-06-16,28.624868392944336
2010-06-17,28.420930862426758
2010-06-18,28.361709594726562
2010-06-21,27.73672103881836
2010-06-22,26.78278350830078
2010-06-23,26.71040916442871
2010-06-24,25.973573684692383
2010-06-25,25.76303482055664
2010-06-28,25.67751693725586
2010-06-29,24.348573684692383
2010-06-30,24.045948028564453
2010-07-01,23.986736297607422
2010-07-02,23.53278350830078
2010-07-06,22.82884979248047
2010-07-07,23.73673439025879
2010-07-08,23.763050079345703
2010-07-09,24.013050079345703
2010-07-12,23.703842163085938
2010-07-13,24.447254180908203
2010-07-14,24.1906795501709
2010-07-15,24.177534103393555
2010-07-16,22.868318557739258
2010-07-19,22.611738204956055
2010-07-20,23.190689086914062
2010-07-21,23.09201431274414
2010-07-22,24.111740112304688
2010-07-23,24.585418701171875
2010-07-26,25.04593849182129
2010-07-27,24.374895095825195
2010-07-28,24.13148307800293
2010-07-29,23.980148315429688
2010-07-30,24.32225799560547
2010-08-02,25.28278350830078
2010-08-03,24.407779693603516
2010-08-04,25.85514259338379
2010-08-05,25.48015022277832
2010-08-06,25.631471633911133
2010-08-09,25.815677642822266
2010-08-10,25.72356605529785
2010-08-11,24.809097290039062
2010-08-12,24.874893188476562
2010-08-13,24.545940399169922
2010-08-16,24.499893188476562
2010-08-17,24.920942306518555
2010-08-18,25.03936195373535
2010-08-19,24.447254180908203
2010-08-20,24.545940399169922
2010-08-23,24.868309020996094
2010-08-24,24.526199340820312
2010-08-25,24.90120506286621
2010-08-26,24.118314743041992
2010-08-27,24.289369583129883
2010-08-30,23.53278350830078
2010-08-31,23.578845977783203
2010-09-01,24.730152130126953
2010-09-02,25.20573616027832
2010-09-03,25.839845657348633
2010-09-07,25.615262985229492
2010-09-08,25.95212173461914
2010-09-09,25.813425064086914
2010-09-10,25.727558135986328
2010-09-13,26.440919876098633
2010-09-14,26.876867294311523
2010-09-15,27.378856658935547
2010-09-16,27.411888122558594
2010-09-17,27.444917678833008
2010-09-20,27.563819885253906
2010-09-21,27.596839904785156
2010-09-22,27.332639694213867
2010-09-23,27.08823013305664
2010-09-24,28.032798767089844
2010-09-27,28.118648529052734
2010-09-28,28.871658325195312
