Date,GPN
2010-01-04,24.89185905456543
2010-01-05,24.839872360229492
2010-01-06,24.750070571899414
2010-01-07,24.5941219329834
2010-01-08,23.14324188232422
2010-01-11,22.599748611450195
2010-01-12,22.57611846923828
2010-01-13,22.595022201538086
2010-01-14,22.202762603759766
2010-01-15,21.966463088989258
2010-01-19,22.098785400390625
2010-01-20,22.065704345703125
2010-01-21,21.67817497253418
2010-01-22,21.45604705810547
2010-01-25,21.408802032470703
2010-01-26,21.380435943603516
2010-01-27,21.508033752441406
2010-01-28,21.39933967590332
2010-01-29,21.030715942382812
2010-02-01,21.26702117919922
2010-02-02,21.41824722290039
2010-02-03,21.389892578125
2010-02-04,21.370986938476562
2010-02-05,21.32845687866211
2010-02-08,21.2575626373291
2010-02-09,21.493860244750977
2010-02-10,21.37093162536621
2010-02-11,21.555328369140625
2010-02-12,21.035232543945312
2010-02-16,21.082517623901367
2010-02-17,20.661712646484375
2010-02-18,20.727922439575195
2010-02-19,20.609710693359375
2010-02-22,20.3402156829834
2010-02-23,20.19837760925293
2010-02-24,20.373315811157227
2010-02-25,20.302387237548828
2010-02-26,20.240930557250977
2010-03-01,20.69482421875
2010-03-02,20.571880340576172
2010-03-03,20.245651245117188
2010-03-04,20.212553024291992
2010-03-05,20.638078689575195
2010-03-08,20.784650802612305
2010-03-09,21.290555953979492
2010-03-10,21.470224380493164
2010-03-11,21.3992977142334
2010-03-12,21.37093162536621
2010-03-15,21.09671401977539
2010-03-16,21.2763671875
2010-03-17,21.777545928955078
2010-03-18,21.957218170166016
2010-03-19,21.758638381958008
2010-03-22,22.09905242919922
2010-03-23,21.928844451904297
2010-03-24,21.328378677368164
2010-03-25,21.489137649536133
2010-03-26,21.56005096435547
2010-03-29,21.687713623046875
2010-03-30,21.90047836303711
2010-03-31,21.536418914794922
2010-04-01,21.578969955444336
2010-04-05,21.129793167114258
2010-04-06,21.380388259887695
2010-04-07,20.90285301208496
2010-04-08,20.638078689575195
2010-04-09,20.458412170410156
2010-04-12,20.765737533569336
2010-04-13,20.59079360961914
2010-04-14,20.92649269104004
2010-04-15,21.574243545532227
2010-04-16,21.687713623046875
2010-04-19,21.67826271057129
2010-04-20,21.45130729675293
2010-04-21,21.50804328918457
2010-04-22,21.3992977142334
2010-04-23,21.706626892089844
2010-04-26,21.418214797973633
2010-04-27,21.082517623901367
2010-04-28,21.00214195251465
2010-04-29,20.93594741821289
2010-04-30,20.240930557250977
2010-05-03,20.434770584106445
2010-05-04,20.26929473876953
2010-05-05,20.330759048461914
2010-05-06,20.292926788330078
2010-05-07,19.139272689819336
2010-05-10,19.67355728149414
2010-05-11,19.456066131591797
2010-05-12,19.84848403930664
2010-05-13,20.27422332763672
2010-05-14,19.68293571472168
2010-05-17,20.028240203857422
2010-05-18,20.10866355895996
2010-05-19,20.023515701293945
2010-05-20,19.403839111328125
2010-05-21,19.881601333618164
2010-05-24,19.531558990478516
2010-05-25,19.479522705078125
2010-05-26,19.49843978881836
2010-05-27,20.009323120117188
2010-05-28,19.957286834716797
2010-06-01,19.602510452270508
2010-06-02,19.668733596801758
2010-06-03,20.009323120117188
2010-06-04,19.3328800201416
2010-06-07,18.949722290039062
2010-06-08,18.968650817871094
2010-06-09,18.921350479125977
2010-06-10,19.62616729736328
2010-06-11,19.664016723632812
2010-06-14,19.611967086791992
2010-06-15,20.17015838623047
2010-06-16,20.127580642700195
2010-06-17,20.132305145263672
2010-06-18,20.155961990356445
2010-06-21,18.396282196044922
2010-06-22,18.637531280517578
2010-06-23,18.405731201171875
2010-06-24,18.046228408813477
2010-06-25,18.282747268676758
2010-06-28,18.254364013671875
2010-06-29,17.587392807006836
2010-06-30,17.284652709960938
2010-07-01,17.076513290405273
2010-07-02,17.1096248626709
2010-07-06,17.147462844848633
2010-07-07,17.70565414428711
2010-07-08,17.544818878173828
2010-07-09,17.786067962646484
2010-07-12,17.767141342163086
2010-07-13,18.098276138305664
2010-07-14,18.159759521484375
2010-07-15,18.08880043029785
2010-07-16,17.478599548339844
2010-07-19,17.611042022705078
2010-07-20,17.68672752380371
2010-07-21,17.68672752380371
2010-07-22,18.348976135253906
2010-07-23,18.769969940185547
2010-07-26,18.95446014404297
2010-07-27,18.888233184814453
2010-07-28,17.28938102722168
2010-07-29,17.691457748413086
2010-07-30,17.847564697265625
2010-08-02,18.225982666015625
2010-08-03,18.112464904785156
2010-08-04,18.08407211303711
2010-08-05,18.046228408813477
2010-08-06,18.254364013671875
2010-08-09,18.51453971862793
2010-08-10,18.35370635986328
2010-08-11,17.932708740234375
2010-08-12,17.738759994506836
2010-08-13,17.60150718688965
2010-08-16,17.6772403717041
2010-08-17,17.85234832763672
2010-08-18,17.980134963989258
2010-08-19,17.795555114746094
2010-08-20,17.932804107666016
2010-08-23,17.729293823242188
2010-08-24,17.700897216796875
2010-08-25,17.838163375854492
2010-08-26,17.880739212036133
2010-08-27,18.1505184173584
2010-08-30,17.95174217224121
2010-08-31,17.80975914001465
2010-09-01,18.3587646484375
2010-09-02,18.486553192138672
2010-09-03,18.694799423217773
2010-09-07,18.38715934753418
2010-09-08,18.467618942260742
2010-09-09,18.72793197631836
2010-09-10,18.879371643066406
2010-09-13,19.19175148010254
2010-09-14,19.130220413208008
2010-09-15,19.23434829711914
2010-09-16,19.347932815551758
2010-09-17,19.30060577392578
2010-09-20,19.560909271240234
2010-09-21,19.366865158081055
2010-09-22,19.281673431396484
2010-09-23,19.10655975341797
2010-09-24,19.60350799560547
2010-09-27,19.840152740478516
2010-09-28,19.8732852935791
