Date,LEN
2010-01-04,10.909303665161133
2010-01-05,11.36211109161377
2010-01-06,11.487892150878906
2010-01-07,12.963708877563477
2010-01-08,13.374588012695312
2010-01-11,13.634533882141113
2010-01-12,13.525520324707031
2010-01-13,13.62614917755127
2010-01-14,13.710001945495605
2010-01-15,13.382974624633789
2010-01-19,13.592608451843262
2010-01-20,13.198500633239746
2010-01-21,12.837929725646973
2010-01-22,12.425971984863281
2010-01-25,12.358713150024414
2010-01-26,12.241012573242188
2010-01-27,12.703412055969238
2010-01-28,12.938817977905273
2010-01-29,12.913590431213379
2010-02-01,12.879968643188477
2010-02-02,13.914060592651367
2010-02-03,13.670248985290527
2010-02-04,12.896778106689453
2010-02-05,12.367121696472168
2010-02-08,12.938817977905273
2010-02-09,13.11536693572998
2010-02-10,13.123777389526367
2010-02-11,14.283976554870605
2010-02-12,14.25876235961914
2010-02-16,14.578239440917969
2010-02-17,14.578239440917969
2010-02-18,14.326016426086426
2010-02-19,14.55301284790039
2010-02-22,14.435318946838379
2010-02-23,13.68706226348877
2010-02-24,13.678654670715332
2010-02-25,13.678654670715332
2010-02-26,13.796361923217773
2010-03-01,13.989724159240723
2010-03-02,13.956096649169922
2010-03-03,14.115838050842285
2010-03-04,13.914060592651367
2010-03-05,14.300798416137695
2010-03-08,14.460538864135742
2010-03-09,14.536198616027832
2010-03-10,14.233535766601562
2010-03-11,13.989724159240723
2010-03-12,13.72910213470459
2010-03-15,13.527326583862305
2010-03-16,14.073801040649414
2010-03-17,13.989724159240723
2010-03-18,13.90565299987793
2010-03-19,13.544139862060547
2010-03-22,13.703877449035645
2010-03-23,14.3428316116333
2010-03-24,14.8724946975708
2010-03-25,15.175156593322754
2010-03-26,15.385334968566895
2010-03-29,15.33488941192627
2010-03-30,15.175156593322754
2010-03-31,14.468945503234863
2010-04-01,14.401687622070312
2010-04-05,14.763199806213379
2010-04-06,14.536198616027832
2010-04-07,14.25035285949707
2010-04-08,14.510977745056152
2010-04-09,14.729567527770996
2010-04-12,14.435318946838379
2010-04-13,14.527793884277344
2010-04-14,15.368525505065918
2010-04-15,14.956562042236328
2010-04-16,14.418496131896973
2010-04-19,14.494166374206543
2010-04-20,15.107889175415039
2010-04-21,15.570300102233887
2010-04-22,16.59598731994629
2010-04-23,17.260168075561523
2010-04-26,16.898643493652344
2010-04-27,15.923405647277832
2010-04-28,16.26810646057129
2010-04-29,17.251754760742188
2010-04-30,16.747310638427734
2010-05-03,17.4465274810791
2010-05-04,16.865253448486328
2010-05-05,16.267135620117188
2010-05-06,15.542655944824219
2010-05-07,14.733936309814453
2010-05-10,16.64622688293457
2010-05-11,16.39350700378418
2010-05-12,16.39350700378418
2010-05-13,15.795379638671875
2010-05-14,15.50896167755127
2010-05-17,15.517385482788086
2010-05-18,15.298352241516113
2010-05-19,15.289931297302246
2010-05-20,14.691814422607422
2010-05-21,14.717087745666504
2010-05-24,14.573869705200195
2010-05-25,14.455933570861816
2010-05-26,14.53175163269043
2010-05-27,14.801325798034668
2010-05-28,14.573869705200195
2010-06-01,13.756725311279297
2010-06-02,13.942055702209473
2010-06-03,13.714604377746582
2010-06-04,13.032241821289062
2010-06-07,12.434124946594238
2010-06-08,12.425703048706055
2010-06-09,12.1561279296875
2010-06-10,13.124908447265625
2010-06-11,13.099639892578125
2010-06-14,12.846914291381836
2010-06-15,13.276542663574219
2010-06-16,13.099639892578125
2010-06-17,12.889032363891602
2010-06-18,12.41727352142334
2010-06-21,12.274063110351562
2010-06-22,11.962369918823242
2010-06-23,12.41727352142334
2010-06-24,12.274063110351562
2010-06-25,12.36673641204834
2010-06-28,12.105578422546387
2010-06-29,11.76861572265625
2010-06-30,11.718063354492188
2010-07-01,11.86970329284668
2010-07-02,11.499040603637695
2010-07-06,11.448493003845215
2010-07-07,12.02133560180664
2010-07-08,11.945523262023926
2010-07-09,12.274063110351562
2010-07-12,12.425703048706055
2010-07-13,12.83848762512207
2010-07-14,12.290911674499512
2010-07-15,12.535213470458984
2010-07-16,11.836008071899414
2010-07-19,11.675487518310547
2010-07-20,12.410489082336426
2010-07-21,12.089457511901855
2010-07-22,12.469624519348145
2010-07-23,12.61324405670166
2010-07-26,13.027210235595703
2010-07-27,12.68928050994873
2010-07-28,12.25841999053955
2010-07-29,12.427386283874512
2010-07-30,12.47807502746582
2010-08-02,12.824455261230469
2010-08-03,12.351346969604492
2010-08-04,12.207732200622559
2010-08-05,12.25841999053955
2010-08-06,12.157041549682617
2010-08-09,12.503418922424316
2010-08-10,11.844453811645508
2010-08-11,11.514971733093262
2010-08-12,11.329110145568848
2010-08-13,11.261526107788086
2010-08-16,11.101007461547852
2010-08-17,11.219285011291504
2010-08-18,11.388249397277832
2010-08-19,10.889802932739258
2010-08-20,10.788424491882324
2010-08-23,10.746183395385742
2010-08-24,10.8982515335083
2010-08-25,11.278420448303223
2010-08-26,11.0418701171875
2010-08-27,11.379800796508789
2010-08-30,11.092558860778809
2010-08-31,11.109457015991211
2010-09-01,11.607906341552734
2010-09-02,11.810659408569336
2010-09-03,12.207732200622559
2010-09-07,11.945831298828125
2010-09-08,12.199283599853516
2010-09-09,12.29220962524414
2010-09-10,12.27531623840332
2010-09-13,12.62169075012207
2010-09-14,12.452725410461426
2010-09-15,12.241525650024414
2010-09-16,11.903592109680176
2010-09-17,11.819108963012695
2010-09-20,12.79065990447998
2010-09-21,12.849799156188965
2010-09-22,12.520315170288086
2010-09-23,12.410489082336426
2010-09-24,12.866692543029785
2010-09-27,13.0103120803833
2010-09-28,13.187728881835938
