Date,AEE
2010-01-04,15.615402221679688
2010-01-05,15.55352783203125
2010-01-06,15.44665241241455
2010-01-07,15.300400733947754
2010-01-08,15.193521499633789
2010-01-11,15.317279815673828
2010-01-12,15.300400733947754
2010-01-13,15.401646614074707
2010-01-14,15.457901954650879
2010-01-15,15.379155158996582
2010-01-19,15.576029777526855
2010-01-20,15.283522605895996
2010-01-21,14.917890548706055
2010-01-22,14.501623153686523
2010-01-25,14.574750900268555
2010-01-26,14.614126205444336
2010-01-27,14.619756698608398
2010-01-28,14.473504066467285
2010-01-29,14.372246742248535
2010-02-01,14.338499069213867
2010-02-02,14.496004104614258
2010-02-03,14.406005859375
2010-02-04,14.051612854003906
2010-02-05,13.984110832214355
2010-02-08,13.736605644226074
2010-02-09,13.854732513427734
2010-02-10,13.730978012084961
2010-02-11,13.854732513427734
2010-02-12,13.815359115600586
2010-02-16,14.113492012023926
2010-02-17,14.287872314453125
2010-02-18,14.42287540435791
2010-02-19,14.42850399017334
2010-02-22,14.293497085571289
2010-02-23,14.225998878479004
2010-02-24,14.141615867614746
2010-02-25,14.102240562438965
2010-02-26,13.899734497070312
2010-03-01,14.085365295410156
2010-03-02,14.248497009277344
2010-03-03,14.304743766784668
2010-03-04,14.39474868774414
2010-03-05,14.591633796691895
2010-03-08,14.560229301452637
2010-03-09,14.60019302368164
2010-03-10,14.60019302368164
2010-03-11,14.708681106567383
2010-03-12,14.565933227539062
2010-03-15,14.55451488494873
2010-03-16,14.560229301452637
2010-03-17,14.657291412353516
2010-03-18,14.845717430114746
2010-03-19,14.868558883666992
2010-03-22,14.742942810058594
2010-03-23,14.777201652526855
2010-03-24,14.560229301452637
2010-03-25,14.440323829650879
2010-03-26,14.634450912475586
2010-03-29,14.80574893951416
2010-03-30,14.897111892700195
2010-03-31,14.891404151916504
2010-04-01,15.102662086486816
2010-04-05,15.119800567626953
2010-04-06,15.216856002807617
2010-04-07,15.108369827270508
2010-04-08,14.99988842010498
2010-04-09,15.13692569732666
2010-04-12,15.262537956237793
2010-04-13,15.182599067687988
2010-04-14,15.216856002807617
2010-04-15,15.216856002807617
2010-04-16,15.045568466186523
2010-04-19,15.01701831817627
2010-04-20,15.245412826538086
2010-04-21,15.365324020385742
2010-04-22,15.211153030395508
2010-04-23,15.313926696777344
2010-04-26,15.233991622924805
2010-04-27,14.9370756149292
2010-04-28,15.114084243774414
2010-04-29,15.051274299621582
2010-04-30,14.822883605957031
2010-05-03,14.714387893676758
2010-05-04,14.64016056060791
2010-05-05,14.55451488494873
2010-05-06,14.080588340759277
2010-05-07,13.817936897277832
2010-05-10,14.388919830322266
2010-05-11,14.411766052246094
2010-05-12,14.560229301452637
2010-05-13,14.42889404296875
2010-05-14,14.3261137008667
2010-05-17,14.366086959838867
2010-05-18,14.291861534118652
2010-05-19,14.103429794311523
2010-05-20,13.78367805480957
2010-05-21,13.78367805480957
2010-05-24,13.680896759033203
2010-05-25,13.55528450012207
2010-05-26,13.652350425720215
2010-05-27,13.93783950805664
2010-05-28,14.080588340759277
2010-06-01,13.68661117553711
2010-06-02,14.023499488830566
2010-06-03,14.194790840148926
2010-06-04,13.755131721496582
2010-06-07,13.86247444152832
2010-06-08,13.920509338378906
2010-06-09,13.810250282287598
2010-06-10,14.071371078491211
2010-06-11,13.995935440063477
2010-06-14,14.019144058227539
2010-06-15,14.431135177612305
2010-06-16,14.634230613708496
2010-06-17,14.831517219543457
2010-06-18,14.819916725158691
2010-06-21,14.692251205444336
2010-06-22,14.297680854797363
2010-06-23,14.11198616027832
2010-06-24,14.053963661193848
2010-06-25,14.077177047729492
2010-06-28,14.187420845031738
2010-06-29,13.885684967041016
2010-06-30,13.7928466796875
2010-07-01,13.688404083251953
2010-07-02,13.740628242492676
2010-07-06,13.903092384338379
2010-07-07,14.326690673828125
2010-07-08,14.390517234802246
2010-07-09,14.448539733886719
2010-07-12,14.465953826904297
2010-07-13,14.547188758850098
2010-07-14,14.529780387878418
2010-07-15,14.552989959716797
2010-07-16,14.274471282958984
2010-07-19,14.587809562683105
2010-07-20,14.518176078796387
2010-07-21,14.320884704589844
2010-07-22,14.547188758850098
2010-07-23,14.67485523223877
2010-07-26,14.883740425109863
2010-07-27,15.156460762023926
2010-07-28,15.202885627746582
2010-07-29,14.970780372619629
2010-07-30,14.72126293182373
2010-08-02,15.034602165222168
2010-08-03,15.150657653808594
2010-08-04,15.17967414855957
2010-08-05,15.690306663513184
2010-08-06,15.783150672912598
2010-08-09,15.846981048583984
2010-08-10,16.026859283447266
2010-08-11,15.678696632385254
2010-08-12,15.504617691040039
2010-08-13,16.00364875793457
2010-08-16,16.29958724975586
2010-08-17,16.229942321777344
2010-08-18,16.00945472717285
2010-08-19,15.73093318939209
2010-08-20,15.748334884643555
2010-08-23,16.050064086914062
2010-08-24,16.27056884765625
2010-08-25,16.212539672851562
2010-08-26,16.102291107177734
2010-08-27,16.404029846191406
2010-08-30,16.021055221557617
2010-08-31,16.287979125976562
2010-09-01,16.76378631591797
2010-09-02,16.514280319213867
2010-09-03,16.624530792236328
2010-09-07,16.533361434936523
2010-09-08,16.298095703125
2010-09-09,16.315738677978516
2010-09-10,16.345149993896484
2010-09-13,16.515716552734375
2010-09-14,16.5568904876709
2010-09-15,16.351036071777344
2010-09-16,16.209875106811523
2010-09-17,16.127527236938477
2010-09-20,16.239280700683594
2010-09-21,16.198108673095703
2010-09-22,16.356910705566406
2010-09-23,16.121644973754883
2010-09-24,16.445140838623047
2010-09-27,16.615707397460938
2010-09-28,16.686288833618164
