Date,DRI
2010-01-04,19.009632110595703
2010-01-05,18.928146362304688
2010-01-06,18.813262939453125
2010-01-07,18.988319396972656
2010-01-08,18.671030044555664
2010-01-11,18.621795654296875
2010-01-12,18.53426742553711
2010-01-13,18.66008949279785
2010-01-14,19.568204879760742
2010-01-15,19.31108856201172
2010-01-19,19.60649299621582
2010-01-20,19.983966827392578
2010-01-21,19.994909286499023
2010-01-22,19.78156280517578
2010-01-25,19.699495315551758
2010-01-26,19.956607818603516
2010-01-27,20.033201217651367
2010-01-28,20.487253189086914
2010-01-29,20.21919822692871
2010-02-01,20.70608139038086
2010-02-02,20.94678497314453
2010-02-03,20.799076080322266
2010-02-04,20.45990753173828
2010-02-05,20.56385040283203
2010-02-08,20.531024932861328
2010-02-09,21.012434005737305
2010-02-10,20.81548500061035
2010-02-11,21.20390510559082
2010-02-12,21.32973289489746
2010-02-16,22.10654067993164
2010-02-17,22.20501136779785
2010-02-18,22.166725158691406
2010-02-19,22.4566650390625
2010-02-22,22.4566650390625
2010-02-23,22.221431732177734
2010-02-24,22.423839569091797
2010-02-25,22.06278419494629
2010-02-26,22.183137893676758
2010-03-01,22.51137351989746
2010-03-02,22.1612491607666
2010-03-03,22.20501136779785
2010-03-04,22.128433227539062
2010-03-05,22.418367385864258
2010-03-08,22.97089385986328
2010-03-09,22.992774963378906
2010-03-10,23.113126754760742
2010-03-11,23.12953758239746
2010-03-12,22.987316131591797
2010-03-15,23.217069625854492
2010-03-16,23.304594039916992
2010-03-17,23.791479110717773
2010-03-18,23.791479110717773
2010-03-19,23.879011154174805
2010-03-22,24.14159393310547
2010-03-23,24.021238327026367
2010-03-24,24.568307876586914
2010-03-25,24.447952270507812
2010-03-26,24.229122161865234
2010-03-29,24.60111427307129
2010-03-30,24.50812530517578
2010-03-31,24.365888595581055
2010-04-01,24.34400177001953
2010-04-05,24.896533966064453
2010-04-06,24.759767532348633
2010-04-07,25.51889991760254
2010-04-08,25.513395309448242
2010-04-09,25.74443244934082
2010-04-12,25.793941497802734
2010-04-13,25.85447120666504
2010-04-14,26.058000564575195
2010-04-15,25.810443878173828
2010-04-16,25.777435302734375
2010-04-19,25.969980239868164
2010-04-20,25.920473098754883
2010-04-21,26.074499130249023
2010-04-22,26.767620086669922
2010-04-23,26.778621673583984
2010-04-26,26.410049438476562
2010-04-27,25.859962463378906
2010-04-28,25.183338165283203
2010-04-29,25.35936737060547
2010-04-30,24.616737365722656
2010-05-03,25.00731658935547
2010-05-04,24.116146087646484
2010-05-05,24.02263832092285
2010-05-06,23.59356117248535
2010-05-07,23.439544677734375
2010-05-10,24.413198471069336
2010-05-11,24.605735778808594
2010-05-12,24.820281982421875
2010-05-13,24.314189910888672
2010-05-14,23.912612915039062
2010-05-17,24.18766212463379
2010-05-18,24.05563735961914
2010-05-19,23.97863006591797
2010-05-20,23.06546974182129
2010-05-21,22.883949279785156
2010-05-24,22.735408782958984
2010-05-25,22.905946731567383
2010-05-26,23.136991500854492
2010-05-27,24.061145782470703
2010-05-28,23.59906578063965
2010-06-01,23.714597702026367
2010-06-02,24.26468849182129
2010-06-03,24.09964942932129
2010-06-04,23.252506256103516
2010-06-07,22.63640022277832
2010-06-08,22.795934677124023
2010-06-09,23.026968002319336
2010-06-10,23.544055938720703
2010-06-11,23.813608169555664
2010-06-14,24.094152450561523
2010-06-15,24.352706909179688
2010-06-16,24.567235946655273
2010-06-17,24.501218795776367
2010-06-18,24.468210220336914
2010-06-21,23.610071182250977
2010-06-22,23.31852149963379
2010-06-23,23.048967361450195
2010-06-24,21.70674705505371
2010-06-25,21.453699111938477
2010-06-28,21.8222599029541
2010-06-29,21.44269371032715
2010-06-30,21.371183395385742
2010-07-01,21.56922149658203
2010-07-02,21.167644500732422
2010-07-06,20.68906021118164
2010-07-07,21.243885040283203
2010-07-08,21.35484504699707
2010-07-09,21.876373291015625
2010-07-12,22.015073776245117
2010-07-13,22.858388900756836
2010-07-14,22.66974449157715
2010-07-15,22.808462142944336
2010-07-16,22.05947494506836
2010-07-19,22.03172492980957
2010-07-20,22.647567749023438
2010-07-21,22.56989288330078
2010-07-22,23.61849021911621
2010-07-23,23.61849021911621
2010-07-26,24.117820739746094
2010-07-27,23.956924438476562
2010-07-28,23.624034881591797
2010-07-29,23.285606384277344
2010-07-30,23.241207122802734
2010-08-02,23.468692779541016
2010-08-03,23.402114868164062
2010-08-04,23.4742374420166
2010-08-05,23.374374389648438
2010-08-06,23.2023868560791
2010-08-09,23.651777267456055
2010-08-10,23.43539810180664
2010-08-11,22.375713348388672
2010-08-12,22.447832107543945
2010-08-13,21.99842643737793
2010-08-16,22.309131622314453
2010-08-17,22.73077964782715
2010-08-18,23.058128356933594
2010-08-19,22.780719757080078
2010-08-20,22.897233963012695
2010-08-23,22.86948585510254
2010-08-24,22.42009162902832
2010-08-25,22.658658981323242
2010-08-26,23.024839401245117
2010-08-27,23.574106216430664
2010-08-30,22.958255767822266
2010-08-31,22.89168357849121
2010-09-01,23.701725006103516
2010-09-02,24.5339412689209
2010-09-03,24.72257423400879
2010-09-07,24.622709274291992
2010-09-08,24.617162704467773
2010-09-09,24.350852966308594
2010-09-10,24.827993392944336
2010-09-13,25.255199432373047
2010-09-14,25.31067657470703
2010-09-15,25.338417053222656
2010-09-16,24.96668815612793
2010-09-17,24.81689453125
2010-09-20,24.983335494995117
2010-09-21,24.42298126220703
2010-09-22,24.095632553100586
2010-09-23,23.906986236572266
2010-09-24,24.195499420166016
2010-09-27,24.06233787536621
2010-09-28,24.201045989990234
