Date,SNA
2010-01-04,30.240612030029297
2010-01-05,30.22651481628418
2010-01-06,30.395845413208008
2010-01-07,30.90386199951172
2010-01-08,31.5459041595459
2010-01-11,31.679962158203125
2010-01-12,31.016746520996094
2010-01-13,31.214298248291016
2010-01-14,31.115516662597656
2010-01-15,30.62162208557129
2010-01-19,31.052011489868164
2010-01-20,30.68511962890625
2010-01-21,30.61456298828125
2010-01-22,30.487567901611328
2010-01-25,30.388784408569336
2010-01-26,30.106548309326172
2010-01-27,29.774938583374023
2010-01-28,29.111711502075195
2010-01-29,28.843589782714844
2010-02-01,29.415109634399414
2010-02-02,30.33234405517578
2010-02-03,30.289993286132812
2010-02-04,28.504924774169922
2010-02-05,28.44141387939453
2010-02-08,28.30735969543457
2010-02-09,28.935302734375
2010-02-10,28.935302734375
2010-02-11,29.231658935546875
2010-02-12,29.3586483001709
2010-02-16,29.810211181640625
2010-02-17,29.965444564819336
2010-02-18,30.035987854003906
2010-02-19,30.268835067749023
2010-02-22,30.247676849365234
2010-02-23,29.956350326538086
2010-02-24,30.034515380859375
2010-02-25,29.927919387817383
2010-02-26,29.99897575378418
2010-03-01,30.418209075927734
2010-03-02,30.567413330078125
2010-03-03,30.524782180786133
2010-03-04,30.602943420410156
2010-03-05,30.872949600219727
2010-03-08,30.673999786376953
2010-03-09,30.68109130859375
2010-03-10,31.015056610107422
2010-03-11,30.922685623168945
2010-03-12,30.773481369018555
2010-03-15,30.673999786376953
2010-03-16,30.773481369018555
2010-03-17,30.929786682128906
2010-03-18,31.078994750976562
2010-03-19,30.46794319152832
2010-03-22,30.57451629638672
2010-03-23,30.82320785522461
2010-03-24,30.503461837768555
2010-03-25,30.276103973388672
2010-03-26,30.411094665527344
2010-03-29,30.59583282470703
2010-03-30,30.97241973876953
2010-03-31,30.794776916503906
2010-04-01,31.029264450073242
2010-04-05,31.562170028686523
2010-04-06,31.597702026367188
2010-04-07,31.661653518676758
2010-04-08,31.675853729248047
2010-04-09,31.903228759765625
2010-04-12,32.08796691894531
2010-04-13,32.187442779541016
2010-04-14,32.37928771972656
2010-04-15,32.279823303222656
2010-04-16,31.93163299560547
2010-04-19,31.832172393798828
2010-04-20,34.52511215209961
2010-04-21,34.404327392578125
2010-04-22,35.072227478027344
2010-04-23,34.9727668762207
2010-04-26,34.72406005859375
2010-04-27,34.06326675415039
2010-04-28,34.43275451660156
2010-04-29,35.20014190673828
2010-04-30,34.23380661010742
2010-05-03,34.64590072631836
2010-05-04,33.56589126586914
2010-05-05,32.90507507324219
2010-05-06,31.690061569213867
2010-05-07,30.908462524414062
2010-05-10,33.04719924926758
2010-05-11,33.068511962890625
2010-05-12,33.80036926269531
2010-05-13,33.18928909301758
2010-05-14,32.485870361328125
2010-05-17,32.627967834472656
2010-05-18,32.13447570800781
2010-05-19,31.633827209472656
2010-05-20,30.174787521362305
2010-05-21,30.768428802490234
2010-05-24,30.60391616821289
2010-05-25,30.761280059814453
2010-05-26,30.947214126586914
2010-05-27,31.8841552734375
2010-05-28,31.61237335205078
2010-06-01,30.625381469726562
2010-06-02,31.626676559448242
2010-06-03,31.66959571838379
2010-06-04,30.2963924407959
2010-06-07,29.237878799438477
2010-06-08,29.459583282470703
2010-06-09,29.545412063598633
2010-06-10,30.510944366455078
2010-06-11,30.761280059814453
2010-06-14,30.904312133789062
2010-06-15,31.5336971282959
2010-06-16,31.33344268798828
2010-06-17,31.290529251098633
2010-06-18,31.304824829101562
2010-06-21,31.254777908325195
2010-06-22,30.39650535583496
2010-06-23,30.460887908935547
2010-06-24,29.93877410888672
2010-06-25,30.139041900634766
2010-06-28,30.139041900634766
2010-06-29,29.531110763549805
2010-06-30,29.259326934814453
2010-07-01,29.402372360229492
2010-07-02,28.865968704223633
2010-07-06,29.016143798828125
2010-07-07,30.10327911376953
2010-07-08,30.367902755737305
2010-07-09,30.65398597717285
2010-07-12,30.52524757385254
2010-07-13,31.469329833984375
2010-07-14,31.33344268798828
2010-07-15,31.16179656982422
2010-07-16,29.72420883178711
2010-07-19,30.153337478637695
2010-07-20,30.84710693359375
2010-07-21,30.982995986938477
2010-07-22,31.8483943939209
2010-07-23,32.499229431152344
2010-07-26,32.492088317871094
2010-07-27,32.38479232788086
2010-07-28,31.912761688232422
2010-07-29,31.81977653503418
2010-07-30,31.948530197143555
2010-08-02,32.89973831176758
2010-08-03,32.44917678833008
2010-08-04,32.399112701416016
2010-08-05,31.948530197143555
2010-08-06,31.576614379882812
2010-08-09,31.56232261657715
2010-08-10,30.93291664123535
2010-08-11,29.945941925048828
2010-08-12,29.84579849243164
2010-08-13,29.881572723388672
2010-08-16,29.645551681518555
2010-08-17,30.181943893432617
2010-08-18,30.261186599731445
2010-08-19,29.540851593017578
2010-08-20,29.483219146728516
2010-08-23,29.23831558227539
2010-08-24,28.726869583129883
2010-08-25,28.971784591674805
2010-08-26,28.957387924194336
2010-08-27,29.692121505737305
2010-08-30,29.425588607788086
2010-08-31,29.699325561523438
2010-09-01,30.84465217590332
2010-09-02,31.233631134033203
2010-09-03,32.0548095703125
2010-09-07,31.65864372253418
2010-09-08,31.87472152709961
2010-09-09,31.925140380859375
2010-09-10,32.0620231628418
2010-09-13,32.6599006652832
2010-09-14,32.69590377807617
2010-09-15,32.78235626220703
2010-09-16,32.71751403808594
2010-09-17,32.8183708190918
2010-09-20,33.79802703857422
2010-09-21,33.48828125
2010-09-22,33.13531494140625
2010-09-23,32.59507369995117
2010-09-24,33.783626556396484
2010-09-27,33.27217102050781
2010-09-28,33.517093658447266
