Date,STZ
2010-01-04,13.908287048339844
2010-01-05,13.735725402832031
2010-01-06,13.916915893554688
2010-01-07,13.778865814208984
2010-01-08,13.511402130126953
2010-01-11,13.537282943725586
2010-01-12,13.502769470214844
2010-01-13,13.727100372314453
2010-01-14,14.089478492736816
2010-01-15,14.158498764038086
2010-01-19,14.51224136352539
2010-01-20,14.52087116241455
2010-01-21,14.48636531829834
2010-01-22,14.3310546875
2010-01-25,14.3310546875
2010-01-26,14.167125701904297
2010-01-27,14.098101615905762
2010-01-28,13.95142650604248
2010-01-29,13.87377643585205
2010-02-01,14.003193855285645
2010-02-02,14.14123821258545
2010-02-03,14.072218894958496
2010-02-04,13.330212593078613
2010-02-05,13.226675033569336
2010-02-08,12.881559371948242
2010-02-09,13.11451244354248
2010-02-10,13.054121971130371
2010-02-11,13.364725112915039
2010-02-12,13.252564430236816
2010-02-16,13.468259811401367
2010-02-17,13.52865982055664
2010-02-18,13.451004981994629
2010-02-19,13.459635734558105
2010-02-22,13.399234771728516
2010-02-23,13.131770133972168
2010-02-24,12.959211349487305
2010-02-25,12.795280456542969
2010-02-26,12.976468086242676
2010-03-01,13.166279792785645
2010-03-02,13.347466468811035
2010-03-03,13.312956809997559
2010-03-04,13.433747291564941
2010-03-05,13.640822410583496
2010-03-08,13.614934921264648
2010-03-09,13.640822410583496
2010-03-10,13.476889610290527
2010-03-11,13.658073425292969
2010-03-12,13.899660110473633
2010-03-15,13.916915893554688
2010-03-16,13.95142650604248
2010-03-17,14.011821746826172
2010-03-18,13.968679428100586
2010-03-19,13.8047513961792
2010-03-22,13.899660110473633
2010-03-23,14.12398624420166
2010-03-24,13.9945650100708
2010-03-25,13.960051536560059
2010-03-26,13.813377380371094
2010-03-29,14.072218894958496
2010-03-30,14.167125701904297
2010-03-31,14.1843843460083
2010-04-01,14.236148834228516
2010-04-05,14.38282299041748
2010-04-06,14.667546272277832
2010-04-07,14.529502868652344
2010-04-08,14.538125991821289
2010-04-09,14.17575454711914
2010-04-12,14.796964645385742
2010-04-13,14.727943420410156
2010-04-14,14.891875267028809
2010-04-15,14.90913200378418
2010-04-16,14.684803009033203
2010-04-19,15.176599502563477
2010-04-20,15.711531639099121
2010-04-21,15.76329517364502
2010-04-22,15.79781436920166
2010-04-23,15.823698997497559
2010-04-26,15.884093284606934
2010-04-27,15.651134490966797
2010-04-28,15.69428539276123
2010-04-29,16.004880905151367
2010-04-30,15.76329517364502
2010-05-03,16.04802703857422
2010-05-04,15.79781436920166
2010-05-05,15.62525463104248
2010-05-06,15.262876510620117
2010-05-07,14.417335510253906
2010-05-10,15.021296501159668
2010-05-11,15.090320587158203
2010-05-12,15.62525463104248
2010-05-13,15.564855575561523
2010-05-14,15.357779502868652
2010-05-17,15.418179512023926
2010-05-18,15.314644813537598
2010-05-19,14.978154182434082
2010-05-20,14.17575454711914
2010-05-21,14.063591003417969
2010-05-24,14.089478492736816
2010-05-25,13.63219165802002
2010-05-26,13.87377643585205
2010-05-27,14.408707618713379
2010-05-28,14.37419605255127
2010-06-01,13.908287048339844
2010-06-02,14.167125701904297
2010-06-03,14.193009376525879
2010-06-04,13.683958053588867
2010-06-07,13.5890531539917
2010-06-08,13.8047513961792
2010-06-09,13.839263916015625
2010-06-10,14.167125701904297
2010-06-11,14.546753883361816
2010-06-14,14.6157808303833
2010-06-15,14.48636531829834
2010-06-16,14.356943130493164
2010-06-17,14.12398624420166
2010-06-18,14.063591003417969
2010-06-21,14.080841064453125
2010-06-22,14.003193855285645
2010-06-23,13.9945650100708
2010-06-24,13.856518745422363
2010-06-25,13.813377380371094
2010-06-28,13.761610984802246
2010-06-29,13.312956809997559
2010-06-30,13.476889610290527
2010-07-01,13.416492462158203
2010-07-02,13.278443336486816
2010-07-06,13.459635734558105
2010-07-07,13.839263916015625
2010-07-08,13.847892761230469
2010-07-09,13.86514663696289
2010-07-12,13.86514663696289
2010-07-13,14.115360260009766
2010-07-14,14.12398624420166
2010-07-15,14.210267066955566
2010-07-16,14.098101615905762
2010-07-19,14.253401756286621
2010-07-20,14.434593200683594
2010-07-21,14.26203727722168
2010-07-22,14.555386543273926
2010-07-23,14.719320297241211
2010-07-26,14.848738670349121
2010-07-27,14.935017585754395
2010-07-28,14.736572265625
2010-07-29,14.727943420410156
2010-07-30,14.719320297241211
2010-08-02,15.029918670654297
2010-08-03,14.94363784790039
2010-08-04,15.14208698272705
2010-08-05,14.935017585754395
2010-08-06,14.88325023651123
2010-08-09,14.98677921295166
2010-08-10,14.978154182434082
2010-08-11,14.581262588500977
2010-08-12,14.589900970458984
2010-08-13,14.408707618713379
2010-08-16,14.227522850036621
2010-08-17,14.555386543273926
2010-08-18,14.538125991821289
2010-08-19,14.391453742980957
2010-08-20,14.37419605255127
2010-08-23,14.391453742980957
2010-08-24,14.3310546875
2010-08-25,14.451849937438965
2010-08-26,14.391453742980957
2010-08-27,14.529502868652344
2010-08-30,14.279285430908203
2010-08-31,14.37419605255127
2010-09-01,14.633037567138672
2010-09-02,14.88325023651123
2010-09-03,15.021296501159668
2010-09-07,14.805593490600586
2010-09-08,14.64166259765625
2010-09-09,14.710684776306152
2010-09-10,14.736572265625
2010-09-13,14.865991592407227
2010-09-14,15.090320587158203
2010-09-15,15.271506309509277
2010-09-16,15.297389030456543
2010-09-17,15.495830535888672
2010-09-20,15.73741626739502
2010-09-21,15.659761428833008
2010-09-22,15.62525463104248
2010-09-23,15.383667945861816
2010-09-24,15.62525463104248
2010-09-27,15.504461288452148
2010-09-28,15.392301559448242
