Date,CTRA
2010-01-04,8.349188804626465
2010-01-05,8.338354110717773
2010-01-06,8.30223274230957
2010-01-07,8.228188514709473
2010-01-08,8.210124969482422
2010-01-11,7.998824119567871
2010-01-12,7.791133880615234
2010-01-13,7.9211649894714355
2010-01-14,7.912135124206543
2010-01-15,7.764044761657715
2010-01-19,7.9175567626953125
2010-01-20,7.812801837921143
2010-01-21,7.764044761657715
2010-01-22,7.576218128204346
2010-01-25,7.643040180206299
2010-01-26,7.460631370544434
2010-01-27,7.178893566131592
2010-01-28,7.043447017669678
2010-01-29,6.911605358123779
2010-02-01,7.218871593475342
2010-02-02,7.406840801239014
2010-02-03,7.311046600341797
2010-02-04,6.945946216583252
2010-02-05,6.949558258056641
2010-02-08,6.806772708892822
2010-02-09,6.936910152435303
2010-02-10,6.926063537597656
2010-02-11,7.0561981201171875
2010-02-12,7.139341831207275
2010-02-16,7.3797287940979
2010-02-17,7.300202369689941
2010-02-18,7.39961051940918
2010-02-19,7.468295574188232
2010-02-22,7.433953762054443
2010-02-23,7.179105758666992
2010-02-24,7.258633136749268
2010-02-25,7.30743408203125
2010-02-26,7.255016803741455
2010-03-01,7.3688836097717285
2010-03-02,7.3688836097717285
2010-03-03,7.385152339935303
2010-03-04,7.273092746734619
2010-03-05,7.47733211517334
2010-03-08,7.4809465408325195
2010-03-09,7.395998001098633
2010-03-10,7.5423970222473145
2010-03-11,7.457448959350586
2010-03-12,7.565893650054932
2010-03-15,7.3797287940979
2010-03-16,7.439373016357422
2010-03-17,7.522515296936035
2010-03-18,7.142953395843506
2010-03-19,6.893531799316406
2010-03-22,6.786891460418701
2010-03-23,6.911606311798096
2010-03-24,6.898951530456543
2010-03-25,6.6784491539001465
2010-03-26,6.579038619995117
2010-03-29,6.7109808921813965
2010-03-30,6.6224188804626465
2010-03-31,6.651337146759033
2010-04-01,6.82123327255249
2010-04-05,7.021860122680664
2010-04-06,7.047166347503662
2010-04-07,6.900761604309082
2010-04-08,6.938716888427734
2010-04-09,7.222483158111572
2010-04-12,7.162841796875
2010-04-13,7.309237003326416
2010-04-14,7.321887969970703
2010-04-15,7.300202369689941
2010-04-16,7.039934158325195
2010-04-19,6.973057270050049
2010-04-20,7.0489726066589355
2010-04-21,7.045354843139648
2010-04-22,7.137536525726318
2010-04-23,7.211639881134033
2010-04-26,7.1266889572143555
2010-04-27,6.786891460418701
2010-04-28,6.906183242797852
2010-04-29,6.461556434631348
2010-04-30,6.530238151550293
2010-05-03,6.734477519989014
2010-05-04,6.582653045654297
2010-05-05,6.289849281311035
2010-05-06,5.9283647537231445
2010-05-07,5.767355918884277
2010-05-10,6.092991352081299
2010-05-11,5.993490695953369
2010-05-12,6.205153465270996
2010-05-13,6.187062740325928
2010-05-14,6.120128154754639
2010-05-17,5.971782684326172
2010-05-18,5.951883792877197
2010-05-19,5.948267459869385
2010-05-20,5.561120510101318
2010-05-21,5.673283100128174
2010-05-24,5.4869489669799805
2010-05-25,5.698611259460449
2010-05-26,5.8632378578186035
2010-05-27,6.297419548034668
2010-05-28,6.2757086753845215
2010-06-01,5.957309722900391
2010-06-02,6.389679431915283
2010-06-03,6.724360942840576
2010-06-04,6.326362609863281
2010-06-07,6.248573303222656
2010-06-08,6.239526271820068
2010-06-09,6.183443069458008
2010-06-10,6.57782506942749
2010-06-11,6.695413112640381
2010-06-14,6.695413112640381
2010-06-15,6.9486870765686035
2010-06-16,6.914313793182373
2010-06-17,6.765968322753906
2010-06-18,6.590488433837891
2010-06-21,6.498226165771484
2010-06-22,6.002537250518799
2010-06-23,5.953690528869629
2010-06-24,5.877710342407227
2010-06-25,5.957309722900391
2010-06-28,6.03690767288208
2010-06-29,5.713083267211914
2010-06-30,5.666047096252441
2010-07-01,5.658811092376709
2010-07-02,5.595492362976074
2010-07-06,5.6425299644470215
2010-07-07,5.850573539733887
2010-07-08,6.080326557159424
2010-07-09,6.058616638183594
2010-07-12,5.998917102813721
2010-07-13,6.060429573059082
2010-07-14,6.060429573059082
2010-07-15,6.027864456176758
2010-07-16,5.7655463218688965
2010-07-19,5.772783279418945
2010-07-20,6.009774208068848
2010-07-21,5.922938346862793
2010-07-22,5.928365707397461
2010-07-23,5.760119438171387
2010-07-26,5.734792709350586
2010-07-27,5.508657455444336
2010-07-28,5.42905855178833
2010-07-29,5.523130416870117
2010-07-30,5.512274265289307
2010-08-02,5.660620212554932
2010-08-03,5.8435139656066895
2010-08-04,5.932244300842285
2010-08-05,5.88516092300415
2010-08-06,5.767458438873291
2010-08-09,5.8543806076049805
2010-08-10,5.834460258483887
2010-08-11,5.608105182647705
2010-08-12,5.571890354156494
2010-08-13,5.557403564453125
2010-08-16,5.465052127838135
2010-08-17,5.48859167098999
2010-08-18,5.459619045257568
2010-08-19,5.358213901519775
2010-08-20,5.3020782470703125
2010-08-23,5.34553861618042
2010-08-24,5.193429470062256
2010-08-25,5.064861297607422
2010-08-26,5.055807590484619
2010-08-27,5.195240497589111
2010-08-30,5.1028876304626465
2010-08-31,5.041320323944092
2010-09-01,5.2115373611450195
2010-09-02,5.233267784118652
2010-09-03,5.3020782470703125
2010-09-07,5.175319671630859
2010-09-08,5.180753707885742
2010-09-09,5.151780128479004
2010-09-10,5.273104667663574
2010-09-13,5.305697917938232
2010-09-14,5.309319972991943
2010-09-15,5.218780994415283
2010-09-16,5.0376996994018555
2010-09-17,4.887401580810547
2010-09-20,5.01053524017334
2010-09-21,5.073914527893066
2010-09-22,4.967077255249023
2010-09-23,5.068484306335449
2010-09-24,5.195240497589111
