Date,EXR
2010-01-04,6.916342258453369
2010-01-05,6.869807243347168
2010-01-06,6.893074989318848
2010-01-07,6.840724468231201
2010-01-08,6.68948221206665
2010-01-11,6.74183464050293
2010-01-12,6.503342628479004
2010-01-13,6.619679927825928
2010-01-14,6.596409320831299
2010-01-15,6.625495910644531
2010-01-19,6.817455291748047
2010-01-20,6.834905624389648
2010-01-21,6.724383354187012
2010-01-22,6.677847862243652
2010-01-25,6.701117515563965
2010-01-26,6.6022257804870605
2010-01-27,6.631311893463135
2010-01-28,6.573144912719727
2010-01-29,6.6022257804870605
2010-02-01,6.6662139892578125
2010-02-02,6.817455291748047
2010-02-03,6.753468990325928
2010-02-04,6.503342628479004
2010-02-05,6.6022257804870605
2010-02-08,6.474255084991455
2010-02-09,6.445170879364014
2010-02-10,6.474255084991455
2010-02-11,6.567326545715332
2010-02-12,6.608043670654297
2010-02-16,6.74183464050293
2010-02-17,6.747653961181641
2010-02-18,6.887259483337402
2010-02-19,7.0210490226745605
2010-02-22,6.980327606201172
2010-02-23,6.701117515563965
2010-02-24,6.68948221206665
2010-02-25,6.648763179779053
2010-02-26,6.5615105628967285
2010-03-01,6.596409320831299
2010-03-02,6.497523784637451
2010-03-03,6.578959941864014
2010-03-04,6.82327127456665
2010-03-05,7.102482318878174
2010-03-08,7.2595415115356445
2010-03-09,7.3642473220825195
2010-03-10,7.3642473220825195
2010-03-11,7.364249229431152
2010-03-12,7.458059787750244
2010-03-15,7.504964828491211
2010-03-16,7.680859088897705
2010-03-17,7.698451995849609
2010-03-18,7.72776985168457
2010-03-19,7.546006679534912
2010-03-22,7.563595294952393
2010-03-23,7.657408237457275
2010-03-24,7.645681858062744
2010-03-25,7.563595294952393
2010-03-26,7.622228145599365
2010-03-29,7.639822006225586
2010-03-30,7.663271427154541
2010-03-31,7.434604644775391
2010-04-01,7.452197074890137
2010-04-05,7.645681858062744
2010-04-06,7.856760025024414
2010-04-07,7.9505743980407715
2010-04-08,7.874350070953369
2010-04-09,8.085428237915039
2010-04-12,7.991616249084473
2010-04-13,8.267187118530273
2010-04-14,8.43722152709961
2010-04-15,8.026790618896484
2010-04-16,7.833308219909668
2010-04-19,7.915392875671387
2010-04-20,7.97988748550415
2010-04-21,8.261321067810059
2010-04-22,8.284777641296387
2010-04-23,8.501718521118164
2010-04-26,8.695204734802246
2010-04-27,8.407904624938965
2010-04-28,8.337546348571777
2010-04-29,8.888690948486328
2010-04-30,8.80660629272461
2010-05-03,9.123223304748535
2010-05-04,9.14667797088623
2010-05-05,9.281530380249023
2010-05-06,9.011823654174805
2010-05-07,8.824195861816406
2010-05-10,9.334300994873047
2010-05-11,9.299120903015137
2010-05-12,9.516064643859863
2010-05-13,9.287393569946289
2010-05-14,9.175989151000977
2010-05-17,9.304985046386719
2010-05-18,8.894554138183594
2010-05-19,8.753839492797852
2010-05-20,8.220281600952148
2010-05-21,8.583802223205566
2010-05-24,8.466540336608887
2010-05-25,8.425497055053711
2010-05-26,8.478264808654785
2010-05-27,8.9531888961792
2010-05-28,8.818334579467773
2010-06-01,8.443086624145508
2010-06-02,8.648299217224121
2010-06-03,8.554489135742188
2010-06-04,8.13819694519043
2010-06-07,8.056113243103027
2010-06-08,8.149924278259277
2010-06-09,8.23200511932373
2010-06-10,8.466540336608887
2010-06-11,8.608237266540527
2010-06-14,8.915251731872559
2010-06-15,9.163225173950195
2010-06-16,8.8385009765625
2010-06-17,8.797170639038086
2010-06-18,8.791267395019531
2010-06-21,8.708609580993652
2010-06-22,8.620049476623535
2010-06-23,8.602333068847656
2010-06-24,8.401593208312988
2010-06-25,8.596427917480469
2010-06-28,8.531482696533203
2010-06-29,8.212661743164062
2010-06-30,8.206758499145508
2010-07-01,8.17723560333252
2010-07-02,7.95287561416626
2010-07-06,7.698999881744385
2010-07-07,8.165430068969727
2010-07-08,8.224468231201172
2010-07-09,8.342548370361328
2010-07-12,8.413400650024414
2010-07-13,8.661375045776367
2010-07-14,8.448827743530273
2010-07-15,8.401593208312988
2010-07-16,8.189045906066895
2010-07-19,8.23627758026123
2010-07-20,8.383882522583008
2010-07-21,8.295316696166992
2010-07-22,8.684989929199219
2010-07-23,8.862116813659668
2010-07-26,9.110091209411621
2010-07-27,9.110091209411621
2010-07-28,9.110091209411621
2010-07-29,9.06875991821289
2010-07-30,9.157323837280273
2010-08-02,9.322643280029297
2010-08-03,9.340353012084961
2010-08-04,9.358061790466309
2010-08-05,9.31673526763916
2010-08-06,9.245884895324707
2010-08-09,9.464340209960938
2010-08-10,9.281310081481934
2010-08-11,9.092375755310059
2010-08-12,8.956583023071289
2010-08-13,8.820786476135254
2010-08-16,8.950676918029785
2010-08-17,9.245884895324707
2010-08-18,9.23408031463623
2010-08-19,8.938868522644043
2010-08-20,8.921156883239746
2010-08-23,8.755840301513672
2010-08-24,8.744035720825195
2010-08-25,8.99200439453125
2010-08-26,8.85621166229248
2010-08-27,8.962486267089844
2010-08-30,8.868020057678223
2010-08-31,9.027433395385742
2010-09-01,9.434816360473633
2010-09-02,9.417106628417969
2010-09-03,9.61784553527832
2010-09-07,9.452528953552246
2010-09-08,9.476144790649414
2010-09-09,9.269500732421875
2010-09-10,9.35215950012207
2010-09-13,9.619534492492676
2010-09-14,9.714604377746582
2010-09-15,9.863143920898438
2010-09-16,9.809667587280273
2010-09-17,9.857198715209961
2010-09-20,10.148341178894043
2010-09-21,9.845317840576172
2010-09-22,9.750249862670898
2010-09-23,9.524467468261719
2010-09-24,9.922557830810547
2010-09-27,9.690834045410156
