Date,D
2010-01-04,20.200096130371094
2010-01-05,19.95123291015625
2010-01-06,19.971967697143555
2010-01-07,20.003076553344727
2010-01-08,19.992708206176758
2010-01-11,20.288246154785156
2010-01-12,20.184541702270508
2010-01-13,20.298608779907227
2010-01-14,20.277868270874023
2010-01-15,20.143062591552734
2010-01-19,20.44377899169922
2010-01-20,20.241580963134766
2010-01-21,19.977153778076172
2010-01-22,19.59865951538086
2010-01-25,19.7386531829834
2010-01-26,19.754207611083984
2010-01-27,19.702354431152344
2010-01-28,19.494966506958008
2010-01-29,19.42237663269043
2010-02-01,19.572738647460938
2010-02-02,19.697174072265625
2010-02-03,19.515697479248047
2010-02-04,19.111282348632812
2010-02-05,19.05424690246582
2010-02-08,18.805376052856445
2010-02-09,18.960922241210938
2010-02-10,18.97647476196289
2010-02-11,19.220165252685547
2010-02-12,19.25646209716797
2010-02-16,19.826797485351562
2010-02-17,19.899389266967773
2010-02-18,20.075664520263672
2010-02-19,20.308977127075195
2010-02-22,20.22083854675293
2010-02-23,20.127513885498047
2010-02-24,20.215660095214844
2010-02-25,20.115968704223633
2010-02-26,19.932336807250977
2010-03-01,20.09497833251953
2010-03-02,20.189428329467773
2010-03-03,20.25763702392578
2010-03-04,20.331079483032227
2010-03-05,20.51996421813965
2010-03-08,20.504228591918945
2010-03-09,20.577682495117188
2010-03-10,20.661630630493164
2010-03-11,20.803293228149414
2010-03-12,20.82427406311035
2010-03-15,20.834768295288086
2010-03-16,20.929210662841797
2010-03-17,21.28074073791504
2010-03-18,21.254507064819336
2010-03-19,21.354204177856445
2010-03-22,21.055137634277344
2010-03-23,21.08660888671875
2010-03-24,21.028900146484375
2010-03-25,21.12334442138672
2010-03-26,21.301719665527344
2010-03-29,21.606040954589844
2010-03-30,21.648012161254883
2010-03-31,21.569320678710938
2010-04-01,21.94707489013672
2010-04-05,21.93657112121582
2010-04-06,21.87886619567871
2010-04-07,21.852643966674805
2010-04-08,21.75819206237793
2010-04-09,21.821151733398438
2010-04-12,21.931333541870117
2010-04-13,21.86313247680664
2010-04-14,21.763444900512695
2010-04-15,21.742456436157227
2010-04-16,21.606040954589844
2010-04-19,21.65850830078125
2010-04-20,21.731948852539062
2010-04-21,21.700481414794922
2010-04-22,21.695228576660156
2010-04-23,21.915599822998047
2010-04-26,21.962820053100586
2010-04-27,21.585054397583008
2010-04-28,21.731948852539062
2010-04-29,21.668996810913086
2010-04-30,21.931333541870117
2010-05-03,22.282878875732422
2010-05-04,21.868377685546875
2010-05-05,21.920841217041016
2010-05-06,21.097108840942383
2010-05-07,21.102352142333984
2010-05-10,21.98905372619629
2010-05-11,21.931333541870117
2010-05-12,21.957565307617188
2010-05-13,21.794918060302734
2010-05-14,21.506345748901367
2010-05-17,21.653261184692383
2010-05-18,21.359437942504883
2010-05-19,21.2125301361084
2010-05-20,20.588172912597656
2010-05-21,20.740324020385742
2010-05-24,20.593421936035156
2010-05-25,20.582935333251953
2010-05-26,20.470386505126953
2010-05-27,20.778295516967773
2010-05-28,20.68272590637207
2010-06-01,20.486310958862305
2010-06-02,21.086198806762695
2010-06-03,21.314476013183594
2010-06-04,20.70927619934082
2010-06-07,20.8791561126709
2010-06-08,21.319778442382812
2010-06-09,21.192365646362305
2010-06-10,21.664840698242188
2010-06-11,21.5533504486084
2010-06-14,21.489652633666992
2010-06-15,21.91435432434082
2010-06-16,22.12139320373535
2010-06-17,22.21694564819336
2010-06-18,22.296586990356445
2010-06-21,22.20102310180664
2010-06-22,21.691390991210938
2010-06-23,21.35693359375
2010-06-24,21.314476013183594
2010-06-25,21.325092315673828
2010-06-28,21.537425994873047
2010-06-29,20.847301483154297
2010-06-30,20.565937042236328
2010-07-01,20.6933536529541
2010-07-02,20.528770446777344
2010-07-06,20.778295516967773
2010-07-07,21.33040428161621
2010-07-08,21.632993698120117
2010-07-09,21.712621688842773
2010-07-12,21.760398864746094
2010-07-13,21.81879425048828
2010-07-14,21.99929428100586
2010-07-15,21.90904426574707
2010-07-16,21.463104248046875
2010-07-19,21.978055953979492
2010-07-20,22.275346755981445
2010-07-21,21.903732299804688
2010-07-22,22.41337013244629
2010-07-23,22.51424217224121
2010-07-26,22.61509895324707
2010-07-27,22.970781326293945
2010-07-28,22.816835403442383
2010-07-29,22.132001876831055
2010-07-30,22.291275024414062
2010-08-02,22.933624267578125
2010-08-03,22.891159057617188
2010-08-04,23.092885971069336
2010-08-05,23.119428634643555
2010-08-06,23.183135986328125
2010-08-09,23.374248504638672
2010-08-10,23.45388412475586
2010-08-11,23.204370498657227
2010-08-12,23.25214958190918
2010-08-13,23.310535430908203
2010-08-16,23.374248504638672
2010-08-17,23.735240936279297
2010-08-18,23.416715621948242
2010-08-19,23.183135986328125
2010-08-20,23.32115364074707
2010-08-23,23.54412269592285
2010-08-24,23.575984954833984
2010-08-25,23.14578628540039
2010-08-26,22.93658447265625
2010-08-27,23.29060935974121
2010-08-30,22.899038314819336
2010-08-31,22.92049789428711
2010-09-01,23.526628494262695
2010-09-02,23.37643814086914
2010-09-03,23.596372604370117
2010-09-07,23.50516700744629
2010-09-08,23.456890106201172
2010-09-09,23.56954574584961
2010-09-10,23.22088050842285
2010-09-13,23.558813095092773
2010-09-14,23.617815017700195
2010-09-15,23.32278823852539
2010-09-16,23.381803512573242
2010-09-17,23.29060935974121
2010-09-20,23.757280349731445
2010-09-21,23.66073226928711
2010-09-22,23.714365005493164
2010-09-23,23.29060935974121
2010-09-24,23.725099563598633
2010-09-27,23.741191864013672
2010-09-28,23.70363998413086
