Date,BF-B
2010-01-04,10.836402893066406
2010-01-05,10.723607063293457
2010-01-06,10.872658729553223
2010-01-07,10.765904426574707
2010-01-08,10.76389217376709
2010-01-11,10.804176330566406
2010-01-12,10.880716323852539
2010-01-13,11.106308937072754
2010-01-14,11.015670776367188
2010-01-15,10.844459533691406
2010-01-19,10.850502967834473
2010-01-20,10.761877059936523
2010-01-21,10.60678482055664
2010-01-22,10.415438652038574
2010-01-25,10.425505638122559
2010-01-26,10.389250755310059
2010-01-27,10.357022285461426
2010-01-28,10.31673526763916
2010-01-29,10.33687973022461
2010-02-01,10.411408424377441
2010-02-02,10.479887008666992
2010-02-03,10.348969459533691
2010-02-04,9.968284606933594
2010-02-05,9.970294952392578
2010-02-08,9.982380867004395
2010-02-09,10.232146263122559
2010-02-10,10.222070693969727
2010-02-11,10.222070693969727
2010-02-12,10.201929092407227
2010-02-16,10.30263900756836
2010-02-17,10.473845481872559
2010-02-18,10.628938674926758
2010-02-19,10.663180351257324
2010-02-22,10.641022682189941
2010-02-23,10.552398681640625
2010-02-24,10.719579696655273
2010-02-25,10.68936824798584
2010-02-26,10.546360969543457
2010-03-01,10.761877059936523
2010-03-02,10.86460018157959
2010-03-03,10.880716323852539
2010-03-04,11.063004493713379
2010-03-05,11.243268966674805
2010-03-08,11.235167503356934
2010-03-09,11.32023811340332
2010-03-10,11.097434997558594
2010-03-11,11.212889671325684
2010-03-12,11.218966484069824
2010-03-15,11.150097846984863
2010-03-16,11.253396034240723
2010-03-17,11.435685157775879
2010-03-18,11.620003700256348
2010-03-19,11.660510063171387
2010-03-22,11.678742408752441
2010-03-23,11.74963092803955
2010-03-24,11.660510063171387
2010-03-25,11.63418197631836
2010-03-26,11.603800773620605
2010-03-29,11.905596733093262
2010-03-30,12.031173706054688
2010-03-31,12.04129695892334
2010-04-01,12.15269947052002
2010-04-05,12.185110092163086
2010-04-06,12.140545845031738
2010-04-07,12.014967918395996
2010-04-08,12.033193588256836
2010-04-09,12.12434196472168
2010-04-12,12.179024696350098
2010-04-13,12.189156532287598
2010-04-14,12.102062225341797
2010-04-15,12.085858345031738
2010-04-16,11.873188972473145
2010-04-19,11.980531692504883
2010-04-20,12.008893966674805
2010-04-21,12.014967918395996
2010-04-22,12.037245750427246
2010-04-23,12.05345344543457
2010-04-26,12.057502746582031
2010-04-27,11.78204345703125
2010-04-28,11.75773811340332
2010-04-29,11.901543617248535
2010-04-30,11.784064292907715
2010-05-03,11.84280014038086
2010-05-04,11.44784164428711
2010-05-05,11.502524375915527
2010-05-06,11.354668617248535
2010-05-07,11.172381401062012
2010-05-10,11.597725868225098
2010-05-11,11.662537574768066
2010-05-12,11.927875518798828
2010-05-13,11.840779304504395
2010-05-14,11.595698356628418
2010-05-17,11.696967124938965
2010-05-18,11.662537574768066
2010-05-19,11.628106117248535
2010-05-20,11.148076057434082
2010-05-21,11.265549659729004
2010-05-24,11.152128219604492
2010-05-25,11.054906845092773
2010-05-26,11.028576850891113
2010-05-27,11.433664321899414
2010-05-28,11.23314380645752
2010-06-01,11.156174659729004
2010-06-02,11.541010856628418
2010-06-03,11.63060188293457
2010-06-04,11.376082420349121
2010-06-07,11.308891296386719
2010-06-08,11.642818450927734
2010-06-09,11.832184791564941
2010-06-10,12.048020362854004
2010-06-11,11.962498664855957
2010-06-14,12.092813491821289
2010-06-15,12.212947845458984
2010-06-16,12.243489265441895
2010-06-17,12.241454124450684
2010-06-18,12.109101295471191
2010-06-21,12.164084434509277
2010-06-22,12.164084434509277
2010-06-23,12.092813491821289
2010-06-24,12.113174438476562
2010-06-25,11.874947547912598
2010-06-28,12.011368751525879
2010-06-29,11.754810333251953
2010-06-30,11.653003692626953
2010-07-01,11.65096378326416
2010-07-02,11.791458129882812
2010-07-06,11.948247909545898
2010-07-07,12.237381935119629
2010-07-08,12.544843673706055
2010-07-09,12.463398933410645
2010-07-12,12.347335815429688
2010-07-13,12.40434741973877
2010-07-14,12.471540451049805
2010-07-15,12.577423095703125
2010-07-16,12.367696762084961
2010-07-19,12.38194751739502
2010-07-20,12.715877532958984
2010-07-21,12.4165620803833
2010-07-22,12.650720596313477
2010-07-23,12.844159126281738
2010-07-26,13.062031745910645
2010-07-27,13.159765243530273
2010-07-28,12.9866943359375
2010-07-29,12.923568725585938
2010-07-30,12.87062931060791
2010-08-02,13.18420124053955
2010-08-03,13.121077537536621
2010-08-04,13.137371063232422
2010-08-05,12.872664451599121
2010-08-06,12.734209060668945
2010-08-09,12.754566192626953
2010-08-10,12.80750846862793
2010-08-11,12.493939399719238
2010-08-12,12.42674732208252
2010-08-13,12.39620304107666
2010-08-16,12.326970100402832
2010-08-17,12.770856857299805
2010-08-18,12.656831741333008
2010-08-19,12.465434074401855
2010-08-20,12.471540451049805
2010-08-23,12.526519775390625
2010-08-24,12.597786903381348
2010-08-25,12.559097290039062
2010-08-26,12.463398933410645
2010-08-27,12.644614219665527
2010-08-30,12.438962936401367
2010-08-31,12.479686737060547
2010-09-01,11.915665626525879
2010-09-02,11.92590045928955
2010-09-03,12.091681480407715
2010-09-07,12.063023567199707
2010-09-08,12.085537910461426
2010-09-09,12.134660720825195
2010-09-10,12.071212768554688
2010-09-13,11.966833114624023
2010-09-14,12.329093933105469
2010-09-15,12.27383041381836
2010-09-16,12.453940391540527
2010-09-17,12.490779876708984
2010-09-20,12.613579750061035
2010-09-21,12.474401473999023
2010-09-22,12.482596397399902
2010-09-23,12.462126731872559
2010-09-24,12.652469635009766
2010-09-27,12.533761978149414
2010-09-28,12.642234802246094
