Date,JNJ
2010-01-04,40.6750602722168
2010-01-05,40.203426361083984
2010-01-06,40.53044128417969
2010-01-07,40.24114990234375
2010-01-08,40.37949752807617
2010-01-11,40.38579177856445
2010-01-12,40.599605560302734
2010-01-13,40.85744094848633
2010-01-14,40.939205169677734
2010-01-15,40.599605560302734
2010-01-19,41.096397399902344
2010-01-20,40.97063064575195
2010-01-21,40.228572845458984
2010-01-22,39.74435043334961
2010-01-25,39.756919860839844
2010-01-26,39.486515045166016
2010-01-27,39.89527130126953
2010-01-28,40.12166976928711
2010-01-29,39.53052520751953
2010-02-01,39.67517852783203
2010-02-02,40.24114990234375
2010-02-03,40.01475524902344
2010-02-04,39.39218521118164
2010-02-05,39.39218521118164
2010-02-08,39.2224006652832
2010-02-09,39.467655181884766
2010-02-10,39.44879913330078
2010-02-11,39.561981201171875
2010-02-12,39.44248580932617
2010-02-16,40.00218963623047
2010-02-17,40.234867095947266
2010-02-18,40.58074188232422
2010-02-19,40.43498611450195
2010-02-22,40.232215881347656
2010-02-23,40.1181526184082
2010-02-24,40.206871032714844
2010-02-25,40.099151611328125
2010-02-26,39.921714782714844
2010-03-01,40.168846130371094
2010-03-02,40.20052719116211
2010-03-03,40.17517852783203
2010-03-04,40.28290557861328
2010-03-05,40.58074188232422
2010-03-08,40.68213653564453
2010-03-09,40.726478576660156
2010-03-10,40.739158630371094
2010-03-11,40.69479751586914
2010-03-12,40.669456481933594
2010-03-15,40.91658401489258
2010-03-16,40.89124298095703
2010-03-17,40.967288970947266
2010-03-18,41.22709274291992
2010-03-19,41.258785247802734
2010-03-22,41.25244140625
2010-03-23,41.417179107666016
2010-03-24,41.0306510925293
2010-03-25,40.91658401489258
2010-03-26,40.79618835449219
2010-03-29,41.075008392333984
2010-03-30,41.12569808959961
2010-03-31,41.3158073425293
2010-04-01,41.6770133972168
2010-04-05,41.44255065917969
2010-04-06,41.38550567626953
2010-04-07,41.3284797668457
2010-04-08,41.144710540771484
2010-04-09,41.277793884277344
2010-04-12,41.258785247802734
2010-04-13,41.6199836730957
2010-04-14,41.499576568603516
2010-04-15,41.51224899291992
2010-04-16,41.201744079589844
2010-04-19,41.84175491333008
2010-04-20,41.8163948059082
2010-04-21,41.43620300292969
2010-04-22,41.04966735839844
2010-04-23,41.21443557739258
2010-04-26,41.0369873046875
2010-04-27,40.73282241821289
2010-04-28,40.94829177856445
2010-04-29,41.19540786743164
2010-04-30,40.745487213134766
2010-05-03,41.39818572998047
2010-05-04,40.99897384643555
2010-05-05,41.277793884277344
2010-05-06,40.17517852783203
2010-05-07,40.1181526184082
2010-05-10,41.0306510925293
2010-05-11,40.97996520996094
2010-05-12,41.12569808959961
2010-05-13,40.97996520996094
2010-05-14,40.53638458251953
2010-05-17,40.47935104370117
2010-05-18,39.902713775634766
2010-05-19,39.42744445800781
2010-05-20,38.36920928955078
2010-05-21,38.57831954956055
2010-05-24,38.38188171386719
2010-05-25,38.242469787597656
2010-05-26,37.80522537231445
2010-05-27,37.7476806640625
2010-05-28,37.28086471557617
2010-06-01,37.57502365112305
2010-06-02,38.19529342651367
2010-06-03,38.220890045166016
2010-06-04,37.09541702270508
2010-06-07,37.08903121948242
2010-06-08,37.498287200927734
2010-06-09,37.197731018066406
2010-06-10,37.40876388549805
2010-06-11,37.3831787109375
2010-06-14,37.35760498046875
2010-06-15,37.81802749633789
2010-06-16,37.88196563720703
2010-06-17,37.843597412109375
2010-06-18,37.843597412109375
2010-06-21,37.81163787841797
2010-06-22,37.83083724975586
2010-06-23,37.88196563720703
2010-06-24,38.11217498779297
2010-06-25,37.536659240722656
2010-06-28,38.01624298095703
2010-06-29,37.88196563720703
2010-06-30,37.76686477661133
2010-07-01,37.773250579833984
2010-07-02,37.779659271240234
2010-07-06,37.779659271240234
2010-07-07,38.75802993774414
2010-07-08,39.25043487548828
2010-07-09,38.71326446533203
2010-07-12,38.50224685668945
2010-07-13,38.68769836425781
2010-07-14,38.764434814453125
2010-07-15,38.534202575683594
2010-07-16,38.009857177734375
2010-07-19,38.092987060546875
2010-07-20,37.45991897583008
2010-07-21,36.526302337646484
2010-07-22,36.462345123291016
2010-07-23,36.8524169921875
2010-07-26,36.92277908325195
2010-07-27,37.152976989746094
2010-07-28,36.98031234741211
2010-07-29,36.98031234741211
2010-07-30,37.14657211303711
2010-08-02,37.5494499206543
2010-08-03,37.95229721069336
2010-08-04,38.201698303222656
2010-08-05,38.2144889831543
2010-08-06,38.342384338378906
2010-08-09,38.399940490722656
2010-08-10,38.00346755981445
2010-08-11,37.40876388549805
2010-08-12,37.42155075073242
2010-08-13,37.18495178222656
2010-08-16,37.09541702270508
2010-08-17,37.86918258666992
2010-08-18,37.95229721069336
2010-08-19,37.5494499206543
2010-08-20,37.562232971191406
2010-08-23,37.645362854003906
2010-08-24,37.09541702270508
2010-08-25,37.07624053955078
2010-08-26,36.96113586425781
2010-08-27,37.18060302734375
2010-08-30,36.986961364746094
2010-08-31,36.80621337890625
2010-09-01,37.625999450683594
2010-09-02,37.83256149291992
2010-09-03,38.039119720458984
2010-09-07,37.89064025878906
2010-09-08,37.987457275390625
2010-09-09,38.61360168457031
2010-09-10,38.71688461303711
2010-09-13,38.93635940551758
2010-09-14,39.10417556762695
2010-09-15,39.407569885253906
2010-09-16,39.5624885559082
2010-09-17,39.743221282958984
2010-09-20,40.078895568847656
2010-09-21,39.9820442199707
2010-09-22,40.00141143798828
2010-09-23,39.89815139770508
2010-09-24,40.11116027832031
2010-09-27,40.04014587402344
2010-09-28,40.29835510253906
