Date,EOG
2010-01-04,35.971160888671875
2010-01-05,35.53038024902344
2010-01-06,35.648651123046875
2010-01-07,35.31538009643555
2010-01-08,35.494544982910156
2010-01-11,35.16845703125
2010-01-12,34.1937370300293
2010-01-13,35.08560562133789
2010-01-14,35.17173385620117
2010-01-15,34.766178131103516
2010-01-19,34.93844223022461
2010-01-20,34.57236862182617
2010-01-21,34.66568374633789
2010-01-22,33.754093170166016
2010-01-25,34.08427429199219
2010-01-26,33.427494049072266
2010-01-27,33.15831756591797
2010-01-28,32.842498779296875
2010-01-29,32.4512939453125
2010-02-01,34.29244613647461
2010-02-02,34.823604583740234
2010-02-03,34.88462829589844
2010-02-04,33.34137725830078
2010-02-05,33.32701873779297
2010-02-08,32.867637634277344
2010-02-09,33.92995834350586
2010-02-10,31.668907165527344
2010-02-11,32.680999755859375
2010-02-12,32.65229415893555
2010-02-16,33.312652587890625
2010-02-17,33.32701873779297
2010-02-18,33.85818099975586
2010-02-19,33.96583557128906
2010-02-22,33.057838439941406
2010-02-23,32.268280029296875
2010-02-24,33.262393951416016
2010-02-25,33.456207275390625
2010-02-26,33.754093170166016
2010-03-01,33.969425201416016
2010-03-02,34.034034729003906
2010-03-03,34.38933563232422
2010-03-04,34.16682052612305
2010-03-05,34.949214935302734
2010-03-08,34.94563293457031
2010-03-09,35.189674377441406
2010-03-10,35.47319412231445
2010-03-11,35.09276580810547
2010-03-12,35.02100372314453
2010-03-15,34.77334976196289
2010-03-16,34.62621307373047
2010-03-17,34.3857536315918
2010-03-18,33.47774887084961
2010-03-19,32.910675048828125
2010-03-22,32.83891296386719
2010-03-23,33.78640365600586
2010-03-24,33.22292709350586
2010-03-25,32.0924072265625
2010-03-26,32.15341567993164
2010-03-29,33.36288833618164
2010-03-30,33.49927520751953
2010-03-31,33.3557014465332
2010-04-01,34.303199768066406
2010-04-05,35.08919143676758
2010-04-06,34.949214935302734
2010-04-07,37.231781005859375
2010-04-08,38.387428283691406
2010-04-09,37.601463317871094
2010-04-12,38.46638870239258
2010-04-13,38.53816223144531
2010-04-14,39.28034591674805
2010-04-15,39.715248107910156
2010-04-16,38.6262321472168
2010-04-19,38.8130989074707
2010-04-20,40.07825469970703
2010-04-21,40.207645416259766
2010-04-22,40.61738586425781
2010-04-23,40.8725700378418
2010-04-26,40.4268913269043
2010-04-27,39.04313278198242
2010-04-28,39.327091217041016
2010-04-29,39.9884033203125
2010-04-30,40.297515869140625
2010-05-03,40.81504440307617
2010-05-04,39.621788024902344
2010-05-05,37.799564361572266
2010-05-06,36.79320526123047
2010-05-07,36.24330139160156
2010-05-10,38.273990631103516
2010-05-11,37.645023345947266
2010-05-12,38.95328140258789
2010-05-13,38.84546661376953
2010-05-14,38.13023376464844
2010-05-17,37.102317810058594
2010-05-18,36.96213912963867
2010-05-19,36.742889404296875
2010-05-20,34.60797882080078
2010-05-21,36.153446197509766
2010-05-24,34.992549896240234
2010-05-25,35.477760314941406
2010-05-26,35.84794235229492
2010-05-27,38.28117752075195
2010-05-28,37.68095779418945
2010-06-01,36.23971176147461
2010-06-02,38.72686767578125
2010-06-03,39.438507080078125
2010-06-04,37.01605987548828
2010-06-07,36.35112762451172
2010-06-08,37.86783981323242
2010-06-09,37.3107795715332
2010-06-10,39.09346389770508
2010-06-11,39.48522186279297
2010-06-14,39.158164978027344
2010-06-15,39.66493606567383
2010-06-16,39.67571258544922
2010-06-17,39.55711364746094
2010-06-18,39.61460876464844
2010-06-21,39.75477600097656
2010-06-22,38.25961685180664
2010-06-23,38.399784088134766
2010-06-24,37.59111404418945
2010-06-25,39.45646667480469
2010-06-28,37.88942337036133
2010-06-29,36.02765655517578
2010-06-30,35.35555648803711
2010-07-01,35.61072540283203
2010-07-02,35.34476089477539
2010-07-06,35.88747787475586
2010-07-07,37.30716323852539
2010-07-08,38.17695999145508
2010-07-09,37.94334411621094
2010-07-12,37.93256759643555
2010-07-13,38.388999938964844
2010-07-14,38.38361740112305
2010-07-15,38.22163772583008
2010-07-16,36.81428146362305
2010-07-19,36.717105865478516
2010-07-20,37.48736572265625
2010-07-21,36.86467361450195
2010-07-22,37.14542770385742
2010-07-23,36.83229064941406
2010-07-26,37.33259201049805
2010-07-27,36.19519805908203
2010-07-28,36.19519805908203
2010-07-29,36.202396392822266
2010-07-30,35.09380340576172
2010-08-02,36.8970832824707
2010-08-03,36.605525970458984
2010-08-04,37.073448181152344
2010-08-05,36.87187194824219
2010-08-06,35.727272033691406
2010-08-09,35.972042083740234
2010-08-10,36.24558639526367
2010-08-11,34.967811584472656
2010-08-12,34.323524475097656
2010-08-13,33.895206451416016
2010-08-16,33.866397857666016
2010-08-17,34.25154495239258
2010-08-18,33.60006332397461
2010-08-19,32.94137954711914
2010-08-20,32.90538024902344
2010-08-23,33.016963958740234
2010-08-24,31.89396095275879
2010-08-25,31.480030059814453
2010-08-26,31.17768096923828
2010-08-27,32.17831802368164
2010-08-30,31.516027450561523
2010-08-31,31.26766014099121
2010-09-01,32.37266540527344
2010-09-02,32.210689544677734
2010-09-03,32.51304626464844
2010-09-07,31.92995834350586
2010-09-08,32.49144744873047
2010-09-09,32.167503356933594
2010-09-10,33.18612289428711
2010-09-13,33.218502044677734
2010-09-14,33.18612289428711
2010-09-15,32.96296310424805
2010-09-16,32.75419998168945
2010-09-17,32.07392120361328
2010-09-20,31.577205657958984
2010-09-21,32.257484436035156
2010-09-22,32.52384567260742
2010-09-23,32.27547836303711
2010-09-24,33.15373229980469
2010-09-27,32.84418869018555
2010-09-28,33.03493881225586
