Date,WEC
2010-01-04,14.836198806762695
2010-01-05,14.64228343963623
2010-01-06,14.791446685791016
2010-01-07,14.761612892150879
2010-01-08,14.848125457763672
2010-01-11,15.068897247314453
2010-01-12,15.006243705749512
2010-01-13,15.107683181762695
2010-01-14,15.071878433227539
2010-01-15,15.000277519226074
2010-01-19,15.128564834594727
2010-01-20,15.074862480163574
2010-01-21,14.967461585998535
2010-01-22,14.624377250671387
2010-01-25,14.71388053894043
2010-01-26,14.618412017822266
2010-01-27,14.603497505187988
2010-01-28,14.588578224182129
2010-01-29,14.600513458251953
2010-02-01,14.657194137573242
2010-02-02,14.79741096496582
2010-02-03,14.639293670654297
2010-02-04,14.373778343200684
2010-02-05,14.516976356506348
2010-02-08,14.352900505065918
2010-02-09,14.349907875061035
2010-02-10,14.361943244934082
2010-02-11,14.521392822265625
2010-02-12,14.401052474975586
2010-02-16,14.677823066711426
2010-02-17,14.63870906829834
2010-02-18,14.710914611816406
2010-02-19,14.981670379638672
2010-02-22,14.939549446105957
2010-02-23,14.771081924438477
2010-02-24,14.7048978805542
2010-02-25,14.635705947875977
2010-02-26,14.56951904296875
2010-03-01,14.834257125854492
2010-03-02,15.02077865600586
2010-03-03,14.9967041015625
2010-03-04,14.960616111755371
2010-03-05,15.023784637451172
2010-03-08,15.059879302978516
2010-03-09,14.999722480773926
2010-03-10,15.005729675292969
2010-03-11,15.083951950073242
2010-03-12,15.038824081420898
2010-03-15,15.10501480102539
2010-03-16,15.267454147338867
2010-03-17,15.399826049804688
2010-03-18,15.351696014404297
2010-03-19,15.210304260253906
2010-03-22,15.108016014099121
2010-03-23,15.144118309020996
2010-03-24,15.008748054504395
2010-03-25,14.921504020690918
2010-03-26,14.915480613708496
2010-03-29,14.954587936401367
2010-03-30,14.879382133483887
2010-03-31,14.864341735839844
2010-04-01,15.01475715637207
2010-04-05,15.168188095092773
2010-04-06,15.315598487854004
2010-04-07,15.195256233215332
2010-04-08,15.095990180969238
2010-04-09,15.186240196228027
2010-04-12,15.294537544250488
2010-04-13,15.330636978149414
2010-04-14,15.453981399536133
2010-04-15,15.324623107910156
2010-04-16,15.210304260253906
2010-04-19,15.273473739624023
2010-04-20,15.456989288330078
2010-04-21,15.541218757629395
2010-04-22,15.58935832977295
2010-04-23,15.63748836517334
2010-04-26,15.598377227783203
2010-04-27,15.30656623840332
2010-04-28,15.342665672302246
2010-04-29,15.700665473937988
2010-04-30,15.796932220458984
2010-05-03,16.07671356201172
2010-05-04,15.935320854187012
2010-05-05,15.821002960205078
2010-05-06,15.18323040008545
2010-05-07,15.095990180969238
2010-05-10,15.592364311218262
2010-05-11,15.694649696350098
2010-05-12,15.734060287475586
2010-05-13,15.543068885803223
2010-05-14,15.421802520751953
2010-05-17,15.50669002532959
2010-05-18,15.367240905761719
2010-05-19,15.342984199523926
2010-05-20,14.800324440002441
2010-05-21,14.766973495483398
2010-05-24,14.682090759277344
2010-05-25,14.615395545959473
2010-05-26,14.651774406433105
2010-05-27,14.851862907409668
2010-05-28,14.854896545410156
2010-06-01,14.645711898803711
2010-06-02,14.909460067749023
2010-06-03,14.930686950683594
2010-06-04,14.579015731811523
2010-06-07,14.44865608215332
2010-06-08,14.715435981750488
2010-06-09,14.55173110961914
2010-06-10,14.985252380371094
2010-06-11,15.067100524902344
2010-06-14,15.048913955688477
2010-06-15,15.342984199523926
2010-06-16,15.524877548217773
2010-06-17,15.755279541015625
2010-06-18,15.694647789001465
2010-06-21,15.543068885803223
2010-06-22,15.258101463317871
2010-06-23,15.085301399230957
2010-06-24,15.379363059997559
2010-06-25,15.552164077758789
2010-06-28,15.694647789001465
2010-06-29,15.594605445861816
2010-06-30,15.382394790649414
2010-07-01,15.13379955291748
2010-07-02,15.321762084960938
2010-07-06,15.573385238647461
2010-07-07,15.99477767944336
2010-07-08,16.061471939086914
2010-07-09,16.094825744628906
2010-07-12,16.140296936035156
2010-07-13,16.26460075378418
2010-07-14,16.294904708862305
2010-07-15,16.340389251708984
2010-07-16,16.025094985961914
2010-07-19,16.30400848388672
2010-07-20,16.470739364624023
2010-07-21,16.188800811767578
2010-07-22,16.52227783203125
2010-07-23,16.682958602905273
2010-07-26,16.74964714050293
2010-07-27,16.88001251220703
2010-07-28,16.78299903869629
2010-07-29,16.62232208251953
2010-07-30,16.455577850341797
2010-08-02,16.786033630371094
2010-08-03,16.707212448120117
2010-08-04,16.737529754638672
2010-08-05,16.81331443786621
2010-08-06,16.92852020263672
2010-08-09,16.961864471435547
2010-08-10,17.013397216796875
2010-08-11,16.851573944091797
2010-08-12,16.808822631835938
2010-08-13,16.860733032226562
2010-08-16,16.903478622436523
2010-08-17,17.120262145996094
2010-08-18,17.15385627746582
2010-08-19,16.96454429626465
2010-08-20,16.985925674438477
2010-08-23,17.00729751586914
2010-08-24,17.0530948638916
2010-08-25,17.059200286865234
2010-08-26,16.915691375732422
2010-08-27,17.25766944885254
2010-08-30,16.99203109741211
2010-08-31,17.01951026916504
2010-09-01,17.398130416870117
2010-09-02,17.40728759765625
2010-09-03,17.520261764526367
2010-09-07,17.416446685791016
2010-09-08,17.294309616088867
2010-09-09,17.425609588623047
2010-09-10,17.446975708007812
2010-09-13,17.611862182617188
2010-09-14,17.642396926879883
2010-09-15,17.504993438720703
2010-09-16,17.398130416870117
2010-09-17,17.2973575592041
2010-09-20,17.746212005615234
2010-09-21,17.62713050842285
2010-09-22,17.66377067565918
2010-09-23,17.413393020629883
2010-09-24,17.733997344970703
2010-09-27,17.72789192199707
2010-09-28,17.850025177001953
