Date,SCHW
2010-01-04,16.18535804748535
2010-01-05,16.13625717163086
2010-01-06,15.841691017150879
2010-01-07,15.78441047668457
2010-01-08,15.678033828735352
2010-01-11,15.637112617492676
2010-01-12,15.62075424194336
2010-01-13,15.628935813903809
2010-01-14,15.694408416748047
2010-01-15,15.547109603881836
2010-01-19,15.78441047668457
2010-01-20,15.5634765625
2010-01-21,15.669852256774902
2010-01-22,15.399819374084473
2010-01-25,15.514379501342773
2010-01-26,15.244351387023926
2010-01-27,15.334352493286133
2010-01-28,15.07250690460205
2010-01-29,14.966133117675781
2010-02-01,15.088879585266113
2010-02-02,14.91704273223877
2010-02-03,14.867945671081543
2010-02-04,14.393352508544922
2010-02-05,14.786120414733887
2010-02-08,14.499728202819824
2010-02-09,14.319704055786133
2010-02-10,14.672768592834473
2010-02-11,14.516759872436523
2010-02-12,14.459293365478516
2010-02-16,14.623503684997559
2010-02-17,14.566033363342285
2010-02-18,14.623503684997559
2010-02-19,15.378900527954102
2010-02-22,15.362486839294434
2010-02-23,15.116156578063965
2010-02-24,15.132575035095215
2010-02-25,14.992996215820312
2010-02-26,15.03404712677002
2010-03-01,14.984786987304688
2010-03-02,14.992996215820312
2010-03-03,14.878046989440918
2010-03-04,15.132575035095215
2010-03-05,15.567754745483398
2010-03-08,15.63343620300293
2010-03-09,15.575967788696289
2010-03-10,15.649862289428711
2010-03-11,15.682703971862793
2010-03-12,15.132575035095215
2010-03-15,14.97657299041748
2010-03-16,15.165419578552246
2010-03-17,15.181843757629395
2010-03-18,15.428163528442383
2010-03-19,15.255735397338867
2010-03-22,15.222904205322266
2010-03-23,15.206477165222168
2010-03-24,15.149002075195312
2010-03-25,15.370691299438477
2010-03-26,15.403541564941406
2010-03-29,15.378900527954102
2010-03-30,15.3953218460083
2010-03-31,15.346057891845703
2010-04-01,15.288586616516113
2010-04-05,15.502070426940918
2010-04-06,15.797651290893555
2010-04-07,15.822285652160645
2010-04-08,15.699129104614258
2010-04-09,15.789448738098145
2010-04-12,16.052196502685547
2010-04-13,16.101455688476562
2010-04-14,15.887978553771973
2010-04-15,15.84691333770752
2010-04-16,15.567754745483398
2010-04-19,15.649862289428711
2010-04-20,15.838705062866211
2010-04-21,16.002927780151367
2010-04-22,16.093242645263672
2010-04-23,16.32315444946289
2010-04-26,16.043983459472656
2010-04-27,15.502070426940918
2010-04-28,15.584178924560547
2010-04-29,15.822285652160645
2010-04-30,15.838705062866211
2010-05-03,16.060394287109375
2010-05-04,15.52669906616211
2010-05-05,15.49375057220459
2010-05-06,15.007762908935547
2010-05-07,14.184074401855469
2010-05-10,14.933639526367188
2010-05-11,14.530031204223633
2010-05-12,14.562968254089355
2010-05-13,14.41470718383789
2010-05-14,13.89577579498291
2010-05-17,14.31585693359375
2010-05-18,13.969908714294434
2010-05-19,14.085225105285645
2010-05-20,13.36037540435791
2010-05-21,13.731036186218262
2010-05-24,13.36037540435791
2010-05-25,13.500399589538574
2010-05-26,13.34389877319336
2010-05-27,13.805170059204102
2010-05-28,13.459220886230469
2010-06-01,13.14621353149414
2010-06-02,13.549826622009277
2010-06-03,13.755754470825195
2010-06-04,13.434501647949219
2010-06-07,13.07208251953125
2010-06-08,13.187400817871094
2010-06-09,12.965002059936523
2010-06-10,13.278003692626953
2010-06-11,13.44274616241455
2010-06-14,13.05560302734375
2010-06-15,13.13797664642334
2010-06-16,12.99794864654541
2010-06-17,12.684942245483398
2010-06-18,12.726126670837402
2010-06-21,12.594335556030273
2010-06-22,12.264856338500977
2010-06-23,12.264856338500977
2010-06-24,12.04245662689209
2010-06-25,12.306038856506348
2010-06-28,12.338988304138184
2010-06-29,11.680031776428223
2010-06-30,11.680031776428223
2010-07-01,11.482343673706055
2010-07-02,11.482343673706055
2010-07-06,11.638842582702637
2010-07-07,11.729453086853027
2010-07-08,11.622373580932617
2010-07-09,11.729453086853027
2010-07-12,11.877717971801758
2010-07-13,12.01774787902832
2010-07-14,11.94361400604248
2010-07-15,11.9848051071167
2010-07-16,12.470786094665527
2010-07-19,12.495487213134766
2010-07-20,12.421358108520508
2010-07-21,12.108355522155762
2010-07-22,12.454306602478027
2010-07-23,12.536675453186035
2010-07-26,12.627284049987793
2010-07-27,12.553153038024902
2010-07-28,12.355464935302734
2010-07-29,12.388408660888672
2010-07-30,12.182485580444336
2010-08-02,12.355464935302734
2010-08-03,12.273096084594727
2010-08-04,12.684942245483398
2010-08-05,12.709651947021484
2010-08-06,12.586100578308105
2010-08-09,12.709651947021484
2010-08-10,12.536675453186035
2010-08-11,12.123198509216309
2010-08-12,12.197619438171387
2010-08-13,12.007424354553223
2010-08-16,11.784147262573242
2010-08-17,11.924728393554688
2010-08-18,11.866842269897461
2010-08-19,11.577404975891113
2010-08-20,11.684913635253906
2010-08-23,11.668373107910156
2010-08-24,11.378931999206543
2010-08-25,11.155655860900879
2010-08-26,10.874490737915039
2010-08-27,10.932382583618164
2010-08-30,10.60159683227539
2010-08-31,10.551977157592773
2010-09-01,11.197004318237305
2010-09-02,11.387207984924316
2010-09-03,11.461633682250977
2010-09-07,11.238351821899414
2010-09-08,11.354126930236816
2010-09-09,11.180466651916504
2010-09-10,11.304512023925781
2010-09-13,11.593947410583496
2010-09-14,11.453363418579102
2010-09-15,11.511248588562012
2010-09-16,11.304512023925781
2010-09-17,11.354126930236816
2010-09-20,11.560866355895996
2010-09-21,11.511248588562012
2010-09-22,11.271430015563965
2010-09-23,11.139118194580078
2010-09-24,11.552594184875488
2010-09-27,11.519515991210938
2010-09-28,11.734529495239258
