Date,ERIE
2010-01-04,25.396291732788086
2010-01-05,25.02196502685547
2010-01-06,25.028413772583008
2010-01-07,25.125221252441406
2010-01-08,25.047779083251953
2010-01-11,25.047779083251953
2010-01-12,24.847698211669922
2010-01-13,25.073589324951172
2010-01-14,25.067140579223633
2010-01-15,24.847698211669922
2010-01-19,25.176864624023438
2010-01-20,25.015506744384766
2010-01-21,24.821889877319336
2010-01-22,24.647624969482422
2010-01-25,24.95097541809082
2010-01-26,24.82834815979004
2010-01-27,25.125221252441406
2010-01-28,24.85416030883789
2010-01-29,25.1704044342041
2010-02-01,25.054231643676758
2010-02-02,25.176864624023438
2010-02-03,24.84125328063965
2010-02-04,24.61536407470703
2010-02-05,24.84125328063965
2010-02-08,24.544363021850586
2010-02-09,24.660537719726562
2010-02-10,24.673444747924805
2010-02-11,24.83479881286621
2010-02-12,24.87998390197754
2010-02-16,25.092960357666016
2010-02-17,25.254308700561523
2010-02-18,25.493104934692383
2010-02-19,25.55763053894043
2010-02-22,25.55118179321289
2010-02-23,25.42210578918457
2010-02-24,25.577001571655273
2010-02-25,25.647994995117188
2010-02-26,25.570539474487305
2010-03-01,25.609268188476562
2010-03-02,25.751258850097656
2010-03-03,26.00941276550293
2010-03-04,26.1126651763916
2010-03-05,26.351478576660156
2010-03-08,26.086875915527344
2010-03-09,26.209491729736328
2010-03-10,26.22885513305664
2010-03-11,26.351478576660156
2010-03-12,26.39665985107422
2010-03-15,26.48702049255371
2010-03-16,26.770977020263672
2010-03-17,26.893613815307617
2010-03-18,26.848424911499023
2010-03-19,27.016220092773438
2010-03-22,26.958148956298828
2010-03-23,27.113040924072266
2010-03-24,27.048505783081055
2010-03-25,27.119495391845703
2010-03-26,27.397018432617188
2010-03-29,27.52608871459961
2010-03-30,27.42928695678711
2010-03-31,27.835886001586914
2010-04-01,27.79673194885254
2010-04-05,28.103473663330078
2010-04-06,28.20137596130371
2010-04-07,28.52117156982422
2010-04-08,28.358013153076172
2010-04-09,28.625608444213867
2010-04-12,28.54728126525879
2010-04-13,28.645183563232422
2010-04-14,29.226045608520508
2010-04-15,29.421844482421875
2010-04-16,28.98457145690918
2010-04-19,28.978050231933594
2010-04-20,29.108564376831055
2010-04-21,29.519742965698242
2010-04-22,29.8460693359375
2010-04-23,29.79385757446289
2010-04-26,29.970077514648438
2010-04-27,29.291318893432617
2010-04-28,29.50016212463379
2010-04-29,30.1397705078125
2010-04-30,30.028812408447266
2010-05-03,30.45305061340332
2010-05-04,30.32904052734375
2010-05-05,30.342090606689453
2010-05-06,29.709012985229492
2010-05-07,28.84750747680664
2010-05-10,29.748165130615234
2010-05-11,30.263776779174805
2010-05-12,30.603160858154297
2010-05-13,30.407371520996094
2010-05-14,30.21808433532715
2010-05-17,30.420412063598633
2010-05-18,30.13324546813965
2010-05-19,30.244199752807617
2010-05-20,28.951932907104492
2010-05-21,29.212995529174805
2010-05-24,28.76266098022461
2010-05-25,28.592967987060547
2010-05-26,28.997615814208984
2010-05-27,30.38776969909668
2010-05-28,29.93744659423828
2010-06-01,29.454479217529297
2010-06-02,30.19197654724121
2010-06-03,30.302927017211914
2010-06-04,29.258684158325195
2010-06-07,29.2717342376709
2010-06-08,29.66332244873047
2010-06-09,29.454479217529297
2010-06-10,30.02229118347168
2010-06-11,30.172393798828125
2010-06-14,30.04841423034668
2010-06-15,30.407371520996094
2010-06-16,30.420412063598633
2010-06-17,30.426939010620117
2010-06-18,30.4334716796875
2010-06-21,30.250728607177734
2010-06-22,30.152816772460938
2010-06-23,29.79385757446289
2010-06-24,29.480575561523438
2010-06-25,30.270301818847656
2010-06-28,30.30946922302246
2010-06-29,29.800386428833008
2010-06-30,29.695955276489258
2010-07-01,29.273807525634766
2010-07-02,29.570634841918945
2010-07-06,29.458505630493164
2010-07-07,30.33580780029297
2010-07-08,30.566652297973633
2010-07-09,30.88987159729004
2010-07-12,30.837108612060547
2010-07-13,31.417560577392578
2010-07-14,31.496713638305664
2010-07-15,31.635229110717773
2010-07-16,31.087751388549805
2010-07-19,31.424156188964844
2010-07-20,31.82652473449707
2010-07-21,31.384586334228516
2010-07-22,31.463733673095703
2010-07-23,31.87930679321289
2010-07-26,32.1959114074707
2010-07-27,32.45974349975586
2010-07-28,32.156333923339844
2010-07-29,32.11016082763672
2010-07-30,32.34101867675781
2010-08-02,32.9742546081543
2010-08-03,33.15895080566406
2010-08-04,33.35683822631836
2010-08-05,33.495365142822266
2010-08-06,33.52832794189453
2010-08-09,33.97029113769531
2010-08-10,33.87793731689453
2010-08-11,33.27769470214844
2010-08-12,33.07979965209961
2010-08-13,32.55870819091797
2010-08-16,32.71040725708008
2010-08-17,33.15236282348633
2010-08-18,33.54153823852539
2010-08-19,33.17214584350586
2010-08-20,33.84495162963867
2010-08-23,33.57450485229492
2010-08-24,33.264488220214844
2010-08-25,33.60750198364258
2010-08-26,33.83176803588867
2010-08-27,34.42543029785156
2010-08-30,34.02304458618164
2010-08-31,34.6298942565918
2010-09-01,35.65890884399414
2010-09-02,35.586341857910156
2010-09-03,35.61932373046875
2010-09-07,35.19717025756836
2010-09-08,35.38846969604492
2010-09-09,35.784202575683594
2010-09-10,35.86997604370117
2010-09-13,36.00851058959961
2010-09-14,36.25914764404297
2010-09-15,36.2789306640625
2010-09-16,36.410865783691406
2010-09-17,36.57576370239258
2010-09-20,36.91876983642578
2010-09-21,37.070491790771484
2010-09-22,36.70769500732422
2010-09-23,36.450439453125
2010-09-24,36.72087860107422
2010-09-27,36.50321960449219
2010-09-28,36.93195343017578
