Date,GLW
2010-01-04,13.322808265686035
2010-01-05,13.37048625946045
2010-01-06,13.20020580291748
2010-01-07,13.329623222351074
2010-01-08,13.547579765319824
2010-01-11,13.956254959106445
2010-01-12,13.738297462463379
2010-01-13,13.833651542663574
2010-01-14,13.758732795715332
2010-01-15,13.390922546386719
2010-01-19,13.47946834564209
2010-01-20,13.465848922729492
2010-01-21,13.356866836547852
2010-01-22,12.641679763793945
2010-01-25,12.750663757324219
2010-01-26,12.702980041503906
2010-01-27,13.036735534667969
2010-01-28,12.675738334655762
2010-01-29,12.31474494934082
2010-02-01,12.36923599243164
2010-02-02,12.74384880065918
2010-02-03,12.907323837280273
2010-02-04,12.430536270141602
2010-02-05,12.294310569763184
2010-02-08,12.15127182006836
2010-02-09,12.096779823303223
2010-02-10,11.933317184448242
2010-02-11,12.226198196411133
2010-02-12,12.18532657623291
2010-02-16,12.362420082092285
2010-02-17,12.267062187194824
2010-02-18,12.253442764282227
2010-02-19,12.457780838012695
2010-02-22,12.096779823303223
2010-02-23,11.722166061401367
2010-02-24,11.954421997070312
2010-02-25,11.954421997070312
2010-02-26,12.04322624206543
2010-03-01,12.138859748840332
2010-03-02,12.02956771850586
2010-03-03,12.02956771850586
2010-03-04,11.961255073547363
2010-03-05,12.364286422729492
2010-03-08,12.535066604614258
2010-03-09,12.569223403930664
2010-03-10,12.623870849609375
2010-03-11,12.535066604614258
2010-03-12,12.323302268981934
2010-03-15,12.350627899169922
2010-03-16,12.623870849609375
2010-03-17,12.897114753723145
2010-03-18,13.143033981323242
2010-03-19,13.245498657226562
2010-03-22,13.265989303588867
2010-03-23,13.443605422973633
2010-03-24,13.293323516845703
2010-03-25,13.450432777404785
2010-03-26,13.518743515014648
2010-03-29,13.730509757995605
2010-03-30,13.778326034545898
2010-03-31,13.805649757385254
2010-04-01,13.921778678894043
2010-04-05,14.113052368164062
2010-04-06,13.969598770141602
2010-04-07,13.710010528564453
2010-04-08,13.539236068725586
2010-04-09,13.436768531799316
2010-04-12,13.648530960083008
2010-04-13,13.682695388793945
2010-04-14,13.873958587646484
2010-04-15,13.812482833862305
2010-04-16,13.593890190124512
2010-04-19,13.648530960083008
2010-04-20,13.730509757995605
2010-04-21,13.935442924499512
2010-04-22,14.13354206085205
2010-04-23,14.236013412475586
2010-04-26,14.290666580200195
2010-04-27,13.744171142578125
2010-04-28,13.710010528564453
2010-04-29,13.621213912963867
2010-04-30,13.149862289428711
2010-05-03,13.5324068069458
2010-05-04,12.93809700012207
2010-05-05,12.753661155700684
2010-05-06,11.954421997070312
2010-05-07,11.981745719909668
2010-05-10,12.576055526733398
2010-05-11,12.446260452270508
2010-05-12,12.658026695251465
2010-05-13,12.65119743347168
2010-05-14,12.26865291595459
2010-05-17,12.514571189880371
2010-05-18,12.323302268981934
2010-05-19,11.981745719909668
2010-05-20,11.483074188232422
2010-05-21,11.59920883178711
2010-05-24,11.517232894897461
2010-05-25,11.578714370727539
2010-05-26,11.537602424621582
2010-05-27,12.003491401672363
2010-05-28,11.941832542419434
2010-06-01,11.236145973205566
2010-06-02,11.530754089355469
2010-06-03,11.517047882080078
2010-06-04,11.119673728942871
2010-06-07,10.962091445922852
2010-06-08,11.681480407714844
2010-06-09,11.845911026000977
2010-06-10,12.202181816101074
2010-06-11,12.428276062011719
2010-06-14,12.585855484008789
2010-06-15,12.839353561401367
2010-06-16,12.510486602783203
2010-06-17,12.544743537902832
2010-06-18,12.489935874938965
2010-06-21,12.620111465454102
2010-06-22,12.42142391204834
2010-06-23,12.428276062011719
2010-06-24,12.119966506958008
2010-06-25,11.873320579528809
2010-06-28,11.818513870239258
2010-06-29,11.277251243591309
2010-06-30,11.064864158630371
2010-07-01,11.064864158630371
2010-07-02,11.188188552856445
2010-07-06,11.222442626953125
2010-07-07,11.702034950256348
2010-07-08,11.921276092529297
2010-07-09,11.99664306640625
2010-07-12,11.85961627960205
2010-07-13,12.147370338439941
2010-07-14,12.12681770324707
2010-07-15,12.072006225585938
2010-07-16,11.619818687438965
2010-07-19,11.633525848388672
2010-07-20,11.414278984069824
2010-07-21,11.510202407836914
2010-07-22,12.400866508483887
2010-07-23,12.33920669555664
2010-07-26,12.263840675354004
2010-07-27,12.332356452941895
2010-07-28,12.099411964416504
2010-07-29,12.441978454589844
2010-07-30,12.414572715759277
2010-08-02,13.120261192321777
2010-08-03,13.044896125793457
2010-08-04,13.181918144226074
2010-08-05,13.168213844299316
2010-08-06,12.880460739135742
2010-08-09,12.976375579833984
2010-08-10,12.709174156188965
2010-08-11,12.366613388061523
2010-08-12,11.989789962768555
2010-08-13,11.558161735534668
2010-08-16,11.33891487121582
2010-08-17,11.352617263793945
2010-08-18,11.455390930175781
2010-08-19,10.982647895812988
2010-08-20,11.030609130859375
2010-08-23,10.920988082885742
2010-08-24,10.770259857177734
2010-08-25,11.085417747497559
2010-08-26,10.865497589111328
2010-08-27,10.982330322265625
2010-08-30,10.961710929870605
2010-08-31,10.776152610778809
2010-09-01,11.215996742248535
2010-09-02,11.305337905883789
2010-09-03,11.552748680114746
2010-09-07,11.580245018005371
2010-09-08,11.477153778076172
2010-09-09,11.202247619628906
2010-09-10,11.051056861877441
2010-09-13,11.552748680114746
2010-09-14,12.102557182312012
2010-09-15,11.77954387664795
2010-09-16,11.70394515991211
2010-09-17,11.683329582214355
2010-09-20,12.102557182312012
2010-09-21,12.102557182312012
2010-09-22,11.793290138244629
2010-09-23,11.958230018615723
2010-09-24,12.198771476745605
2010-09-27,12.205644607543945
2010-09-28,12.55614185333252
