Date,FIS
2010-01-04,18.40688705444336
2010-01-05,19.195093154907227
2010-01-06,19.086902618408203
2010-01-07,18.97871971130371
2010-01-08,18.584613800048828
2010-01-11,18.491893768310547
2010-01-12,18.430065155029297
2010-01-13,18.73917007446289
2010-01-14,18.81644058227539
2010-01-15,18.53825569152832
2010-01-19,18.862804412841797
2010-01-20,18.73917007446289
2010-01-21,18.808717727661133
2010-01-22,18.515071868896484
2010-01-25,18.600069046020508
2010-01-26,18.553709030151367
2010-01-27,18.715984344482422
2010-01-28,18.35279083251953
2010-01-29,18.205978393554688
2010-02-01,18.36052703857422
2010-02-02,18.507347106933594
2010-02-03,18.53825569152832
2010-02-04,18.190519332885742
2010-02-05,17.804141998291016
2010-02-08,17.711408615112305
2010-02-09,17.603229522705078
2010-02-10,17.216856002807617
2010-02-11,17.363683700561523
2010-02-12,17.278667449951172
2010-02-16,17.402318954467773
2010-02-17,17.47186279296875
2010-02-18,17.47186279296875
2010-02-19,17.525955200195312
2010-02-22,17.50277328491211
2010-02-23,17.46413230895996
2010-02-24,17.680505752563477
2010-02-25,17.618680953979492
2010-02-26,17.417770385742188
2010-03-01,17.82732391357422
2010-03-02,17.757770538330078
2010-03-03,17.719144821166992
2010-03-04,17.796403884887695
2010-03-05,18.144153594970703
2010-03-08,18.082332611083984
2010-03-09,17.88142204284668
2010-03-10,17.91233253479004
2010-03-11,17.927785873413086
2010-03-12,17.958765029907227
2010-03-15,18.08266830444336
2010-03-16,18.21431541442871
2010-03-17,18.45438575744629
2010-03-18,18.2530460357666
2010-03-19,18.299501419067383
2010-03-22,18.36145782470703
2010-03-23,18.407917022705078
2010-03-24,18.26852798461914
2010-03-25,18.113643646240234
2010-03-26,18.322736740112305
2010-03-29,18.2530460357666
2010-03-30,18.144617080688477
2010-03-31,18.152362823486328
2010-04-01,18.345972061157227
2010-04-05,18.446643829345703
2010-04-06,18.508596420288086
2010-04-07,18.748672485351562
2010-04-08,18.83384895324707
2010-04-09,18.988733291625977
2010-04-12,19.19782257080078
2010-04-13,19.104907989501953
2010-04-14,19.252037048339844
2010-04-15,19.63150405883789
2010-04-16,19.507598876953125
2010-04-19,19.4843692779541
2010-04-20,19.848339080810547
2010-04-21,19.801876068115234
2010-04-22,19.94127082824707
2010-04-23,19.949018478393555
2010-04-26,19.86382293701172
2010-04-27,19.391427993774414
2010-04-28,20.398170471191406
2010-04-29,20.7001953125
2010-04-30,20.359455108642578
2010-05-03,20.36720085144043
2010-05-04,20.103900909423828
2010-05-05,20.134870529174805
2010-05-06,22.210315704345703
2010-05-07,22.27227020263672
2010-05-10,22.94601058959961
2010-05-11,22.34971046447754
2010-05-12,23.000219345092773
2010-05-13,23.155109405517578
2010-05-14,22.992473602294922
2010-05-17,22.36519432067871
2010-05-18,21.02545928955078
2010-05-19,20.917034149169922
2010-05-20,19.98773956298828
2010-05-21,20.26653289794922
2010-05-24,20.227807998657227
2010-05-25,20.568546295166016
2010-05-26,21.273263931274414
2010-05-27,21.644989013671875
2010-05-28,21.31199073791504
2010-06-01,21.141611099243164
2010-06-02,21.34296417236328
2010-06-03,21.281017303466797
2010-06-04,21.017709732055664
2010-06-07,20.715686798095703
2010-06-08,20.816356658935547
2010-06-09,20.707950592041016
2010-06-10,21.141611099243164
2010-06-11,21.07192039489746
2010-06-14,20.97881507873535
2010-06-15,21.157264709472656
2010-06-16,21.44432258605957
2010-06-17,21.560701370239258
2010-06-18,21.3201961517334
2010-06-21,21.44432258605957
2010-06-22,21.157264709472656
2010-06-23,21.14950180053711
2010-06-24,21.056406021118164
2010-06-25,21.366741180419922
2010-06-28,21.258119583129883
2010-06-29,20.986574172973633
2010-06-30,20.808134078979492
2010-07-01,20.583141326904297
2010-07-02,20.490039825439453
2010-07-06,21.079681396484375
2010-07-07,21.374496459960938
2010-07-08,21.452085494995117
2010-07-09,21.490877151489258
2010-07-12,21.5296688079834
2010-07-13,21.545188903808594
2010-07-14,21.66931915283203
2010-07-15,21.70035171508789
2010-07-16,21.351224899291992
2010-07-19,21.436567306518555
2010-07-20,21.646047592163086
2010-07-21,21.49863052368164
2010-07-22,21.746902465820312
2010-07-23,21.80121421813965
2010-07-26,21.878801345825195
2010-07-27,22.00293731689453
2010-07-28,22.111557006835938
2010-07-29,22.227928161621094
2010-07-30,22.243452072143555
2010-08-02,22.2822322845459
2010-08-03,22.3365421295166
2010-08-04,21.3356990814209
2010-08-05,21.459848403930664
2010-08-06,21.490877151489258
2010-08-09,21.630531311035156
2010-08-10,21.025367736816406
2010-08-11,20.451244354248047
2010-08-12,20.459007263183594
2010-08-13,20.55986976623535
2010-08-16,20.43572425842285
2010-08-17,20.823652267456055
2010-08-18,20.808134078979492
2010-08-19,20.505542755126953
2010-08-20,20.552104949951172
2010-08-23,20.365903854370117
2010-08-24,20.040048599243164
2010-08-25,19.90815544128418
2010-08-26,19.90815544128418
2010-08-27,20.629690170288086
2010-08-30,20.27280044555664
2010-08-31,20.05556869506836
2010-09-01,20.513307571411133
2010-09-02,21.141748428344727
2010-09-03,21.3356990814209
2010-09-07,21.126230239868164
2010-09-08,21.22709083557129
2010-09-09,21.265880584716797
2010-09-10,21.234851837158203
2010-09-13,21.467599868774414
2010-09-14,21.374326705932617
2010-09-15,21.366558074951172
2010-09-16,21.366558074951172
2010-09-17,21.29660415649414
2010-09-20,21.483142852783203
2010-09-21,21.288843154907227
2010-09-22,21.234426498413086
2010-09-23,21.047883987426758
2010-09-24,21.405426025390625
2010-09-27,21.29660415649414
2010-09-28,21.389881134033203
