Date,TXT
2010-01-04,18.446056365966797
2010-01-05,18.097278594970703
2010-01-06,18.72700309753418
2010-01-07,19.560182571411133
2010-01-08,19.74424934387207
2010-01-11,20.800243377685547
2010-01-12,20.664615631103516
2010-01-13,20.26740074157715
2010-01-14,22.079071044921875
2010-01-15,21.197458267211914
2010-01-19,22.263147354125977
2010-01-20,21.61403465270996
2010-01-21,20.76150131225586
2010-01-22,20.65493392944336
2010-01-25,20.470857620239258
2010-01-26,19.928325653076172
2010-01-27,20.344913482666016
2010-01-28,18.969209671020508
2010-01-29,18.92076873779297
2010-02-01,19.996139526367188
2010-02-02,20.034894943237305
2010-02-03,19.82175636291504
2010-02-04,18.949840545654297
2010-02-05,18.320104598999023
2010-02-08,18.1263484954834
2010-02-09,18.3104190826416
2010-02-10,18.291044235229492
2010-02-11,18.36855697631836
2010-02-12,17.74851417541504
2010-02-16,18.484811782836914
2010-02-17,18.465431213378906
2010-02-18,19.133899688720703
2010-02-19,19.066091537475586
2010-02-22,19.25984764099121
2010-02-23,18.92076873779297
2010-02-24,18.97889518737793
2010-02-25,18.8432674407959
2010-02-26,19.298603057861328
2010-03-01,19.579547882080078
2010-03-02,20.248027801513672
2010-03-03,20.577423095703125
2010-03-04,20.403039932250977
2010-03-05,21.12964630126953
2010-03-08,21.061826705932617
2010-03-09,20.94556427001953
2010-03-10,21.149206161499023
2010-03-11,21.57588005065918
2010-03-12,21.5855712890625
2010-03-15,21.381935119628906
2010-03-16,21.721330642700195
2010-03-17,21.847389221191406
2010-03-18,21.478906631469727
2010-03-19,21.537084579467773
2010-03-22,21.507997512817383
2010-03-23,21.76981544494629
2010-03-24,21.604970932006836
2010-03-25,21.11041831970215
2010-03-26,21.02314567565918
2010-03-29,21.042537689208984
2010-03-30,20.906787872314453
2010-03-31,20.586776733398438
2010-04-01,20.751623153686523
2010-04-05,20.68375015258789
2010-04-06,20.91648292541504
2010-04-07,21.507997512817383
2010-04-08,21.4982967376709
2010-04-09,21.42072296142578
2010-04-12,21.90557861328125
2010-04-13,21.866788864135742
2010-04-14,22.070425033569336
2010-04-15,21.653461456298828
2010-04-16,21.275272369384766
2010-04-19,20.906787872314453
2010-04-20,21.207395553588867
2010-04-21,20.94556427001953
2010-04-22,23.49588966369629
2010-04-23,23.12740707397461
2010-04-26,23.806194305419922
2010-04-27,22.545578002929688
2010-04-28,22.894672393798828
2010-04-29,22.807401657104492
2010-04-30,22.148000717163086
2010-05-03,22.7783145904541
2010-05-04,22.23527717590332
2010-05-05,22.564973831176758
2010-05-06,21.818309783935547
2010-05-07,19.762537002563477
2010-05-10,21.711637496948242
2010-05-11,21.954051971435547
2010-05-12,23.360132217407227
2010-05-13,22.81709098815918
2010-05-14,21.886180877685547
2010-05-17,21.284969329833984
2010-05-18,20.848600387573242
2010-05-19,20.431631088256836
2010-05-20,18.821916580200195
2010-05-21,19.946775436401367
2010-05-24,19.607378005981445
2010-05-25,18.9285888671875
2010-05-26,19.65587615966797
2010-05-27,20.615859985351562
2010-05-28,20.043750762939453
2010-06-01,19.287378311157227
2010-06-02,19.849807739257812
2010-06-03,20.024356842041016
2010-06-04,18.38555908203125
2010-06-07,17.65827751159668
2010-06-08,18.38555908203125
2010-06-09,18.133167266845703
2010-06-10,18.735017776489258
2010-06-11,18.890331268310547
2010-06-14,18.735017776489258
2010-06-15,19.647497177124023
2010-06-16,19.433944702148438
2010-06-17,19.36598777770996
2010-06-18,19.443653106689453
2010-06-21,19.424236297607422
2010-06-22,18.783554077148438
2010-06-23,18.463218688964844
2010-06-24,18.04580307006836
2010-06-25,18.744722366333008
2010-06-28,18.113752365112305
2010-06-29,16.308204650878906
2010-06-30,16.473228454589844
2010-07-01,15.890789985656738
2010-07-02,15.599571228027344
2010-07-06,15.803427696228027
2010-07-07,16.667375564575195
2010-07-08,16.541168212890625
2010-07-09,17.2789249420166
2010-07-12,17.162446975708008
2010-07-13,17.851654052734375
2010-07-14,17.715757369995117
2010-07-15,17.7254581451416
2010-07-16,16.832395553588867
2010-07-19,17.055660247802734
2010-07-20,17.550731658935547
2010-07-21,19.074769973754883
2010-07-22,19.628087997436523
2010-07-23,20.16197967529297
2010-07-26,20.55027961730957
2010-07-27,20.10373878479004
2010-07-28,20.026079177856445
2010-07-29,20.084327697753906
2010-07-30,20.152280807495117
2010-08-02,20.66676139831543
2010-08-03,20.472620010375977
2010-08-04,20.851198196411133
2010-08-05,20.734718322753906
2010-08-06,20.210521697998047
2010-08-09,20.36583709716797
2010-08-10,19.5310115814209
2010-08-11,18.414676666259766
2010-08-12,17.89048194885254
2010-08-13,17.628387451171875
2010-08-16,17.337169647216797
2010-08-17,17.832242965698242
2010-08-18,18.12346076965332
2010-08-19,17.61867904663086
2010-08-20,17.366300582885742
2010-08-23,16.910045623779297
2010-08-24,16.910045623779297
2010-08-25,16.8518009185791
2010-08-26,16.90034294128418
2010-08-27,17.337169647216797
2010-08-30,17.28862953186035
2010-08-31,16.570293426513672
2010-09-01,17.570154190063477
2010-09-02,17.871065139770508
2010-09-03,18.35643196105957
2010-09-07,17.706043243408203
2010-09-08,18.133636474609375
2010-09-09,18.075328826904297
2010-09-10,18.366859436035156
2010-09-13,18.638965606689453
2010-09-14,18.405736923217773
2010-09-15,18.376590728759766
2010-09-16,18.697275161743164
2010-09-17,18.67784309387207
2010-09-20,19.620481491088867
2010-09-21,19.7176570892334
2010-09-22,19.591325759887695
2010-09-23,19.047115325927734
2010-09-24,20.15496253967285
2010-09-27,20.17439842224121
2010-09-28,20.291017532348633
