Date,NEM
2010-01-04,34.32094192504883
2010-01-05,34.41304016113281
2010-01-06,35.142662048339844
2010-01-07,34.91598129272461
2010-01-08,35.14974594116211
2010-01-11,35.54644775390625
2010-01-12,34.37054443359375
2010-01-13,34.5334587097168
2010-01-14,34.29970169067383
2010-01-15,33.72590255737305
2010-01-19,34.3138542175293
2010-01-20,32.87583923339844
2010-01-21,31.480337142944336
2010-01-22,31.473257064819336
2010-01-25,31.260744094848633
2010-01-26,31.338668823242188
2010-01-27,31.303251266479492
2010-01-28,31.16156768798828
2010-01-29,30.361106872558594
2010-02-01,32.259559631347656
2010-02-02,32.06830978393555
2010-02-03,32.49332809448242
2010-02-04,30.842790603637695
2010-02-05,32.74834442138672
2010-02-08,31.45909309387207
2010-02-09,32.457908630371094
2010-02-10,32.11081314086914
2010-02-11,33.123775482177734
2010-02-12,32.96086120605469
2010-02-16,33.59130096435547
2010-02-17,33.46380615234375
2010-02-18,34.2926139831543
2010-02-19,34.38469314575195
2010-02-22,33.81092071533203
2010-02-23,32.99626922607422
2010-02-24,32.925437927246094
2010-02-25,34.7247200012207
2010-02-26,34.90889358520508
2010-03-01,35.61727523803711
2010-03-02,36.62317657470703
2010-03-03,36.793190002441406
2010-03-04,36.02812194824219
2010-03-05,36.51691818237305
2010-03-08,36.1698112487793
2010-03-09,36.24773406982422
2010-03-10,35.6799201965332
2010-03-11,35.78639602661133
2010-03-12,35.51668167114258
2010-03-15,35.2966423034668
2010-03-16,36.43936538696289
2010-03-17,36.36130142211914
2010-03-18,36.38968276977539
2010-03-19,36.02770233154297
2010-03-22,36.48194885253906
2010-03-23,36.51744079589844
2010-03-24,35.28955841064453
2010-03-25,34.31716537475586
2010-03-26,35.048221588134766
2010-03-29,35.750892639160156
2010-03-30,36.01350784301758
2010-03-31,36.14836502075195
2010-04-01,37.55371856689453
2010-04-05,38.192501068115234
2010-04-06,37.80921936035156
2010-04-07,38.39121627807617
2010-04-08,38.25636672973633
2010-04-09,38.47639846801758
2010-04-12,38.00796127319336
2010-04-13,38.17118453979492
2010-04-14,38.00796127319336
2010-04-15,37.638858795166016
2010-04-16,37.014286041259766
2010-04-19,37.06396484375
2010-04-20,36.574222564697266
2010-04-21,36.84394073486328
2010-04-22,37.220115661621094
2010-04-23,37.68856430053711
2010-04-26,37.75244140625
2010-04-27,37.80210876464844
2010-04-28,38.873863220214844
2010-04-29,39.604915618896484
2010-04-30,39.803653717041016
2010-05-03,38.987430572509766
2010-05-04,38.52608871459961
2010-05-05,37.98666763305664
2010-05-06,38.78159713745117
2010-05-07,37.89439392089844
2010-05-10,39.384910583496094
2010-05-11,41.30835723876953
2010-05-12,41.67033386230469
2010-05-13,40.548912048339844
2010-05-14,40.93928909301758
2010-05-17,40.48503112792969
2010-05-18,39.789451599121094
2010-05-19,38.689327239990234
2010-05-20,36.95749282836914
2010-05-21,37.14912796020508
2010-05-24,37.14912796020508
2010-05-25,38.00086212158203
2010-05-26,37.731136322021484
2010-05-27,38.987430572509766
2010-05-28,38.1995849609375
2010-06-01,38.78159713745117
2010-06-02,39.541053771972656
2010-06-03,38.55448532104492
2010-06-04,38.12860107421875
2010-06-07,39.15066909790039
2010-06-08,40.066287994384766
2010-06-09,39.533935546875
2010-06-10,39.824947357177734
2010-06-11,39.99559783935547
2010-06-14,39.064151763916016
2010-06-15,40.052490234375
2010-06-16,41.47454833984375
2010-06-17,42.43444061279297
2010-06-18,43.55077362060547
2010-06-21,42.292240142822266
2010-06-22,42.3206672668457
2010-06-23,42.00783157348633
2010-06-24,41.91539001464844
2010-06-25,43.84939193725586
2010-06-28,43.7000846862793
2010-06-29,43.47967529296875
2010-06-30,43.899169921875
2010-07-01,41.9438362121582
2010-07-02,41.78030014038086
2010-07-06,41.680755615234375
2010-07-07,42.654850006103516
2010-07-08,42.90372848510742
2010-07-09,44.034278869628906
2010-07-12,43.7854118347168
2010-07-13,43.85651397705078
2010-07-14,43.884952545166016
2010-07-15,43.15970230102539
2010-07-16,41.87983703613281
2010-07-19,41.2541389465332
2010-07-20,41.9438362121582
2010-07-21,41.36078643798828
2010-07-22,41.95805358886719
2010-07-23,41.98649978637695
2010-07-26,41.3110237121582
2010-07-27,39.66141891479492
2010-07-28,39.391231536865234
2010-07-29,39.61874008178711
2010-07-30,39.74673843383789
2010-08-02,39.53342819213867
2010-08-03,39.441001892089844
2010-08-04,39.99559783935547
2010-08-05,40.32266616821289
2010-08-06,40.55729675292969
2010-08-09,40.69951629638672
2010-08-10,40.813289642333984
2010-08-11,39.846282958984375
2010-08-12,41.06215286254883
2010-08-13,40.329795837402344
2010-08-16,41.03371810913086
2010-08-17,41.51011276245117
2010-08-18,42.299339294433594
2010-08-19,41.55276870727539
2010-08-20,41.2541389465332
2010-08-23,40.941287994384766
2010-08-24,40.614200592041016
2010-08-25,41.76606750488281
2010-08-26,42.2637825012207
2010-08-27,42.62642288208008
2010-08-30,42.6050910949707
2010-08-31,43.60054397583008
2010-09-01,42.889503479003906
2010-09-02,43.7498664855957
2010-09-03,43.386322021484375
2010-09-07,44.24166488647461
2010-09-08,43.88528060913086
2010-09-09,42.92304611206055
2010-09-10,43.25091552734375
2010-09-13,43.065608978271484
2010-09-14,44.797630310058594
2010-09-15,44.833255767822266
2010-09-16,45.0328483581543
2010-09-17,44.91166687011719
2010-09-20,45.09698486328125
2010-09-21,45.7099723815918
2010-09-22,46.28731918334961
2010-09-23,45.51039505004883
2010-09-24,45.18964767456055
2010-09-27,44.65507888793945
2010-09-28,45.781246185302734
