Date,SYY
2010-01-04,18.00414276123047
2010-01-05,17.92725944519043
2010-01-06,17.978513717651367
2010-01-07,17.997732162475586
2010-01-08,17.88240623474121
2010-01-11,17.84396743774414
2010-01-12,17.74785804748535
2010-01-13,17.94007110595703
2010-01-14,18.055400848388672
2010-01-15,18.02336311340332
2010-01-19,18.189956665039062
2010-01-20,18.21558380126953
2010-01-21,17.811925888061523
2010-01-22,17.600492477416992
2010-01-25,17.786296844482422
2010-01-26,17.683786392211914
2010-01-27,17.6901912689209
2010-01-28,17.64534568786621
2010-01-29,17.93366241455078
2010-02-01,18.177133560180664
2010-02-02,18.042587280273438
2010-02-03,17.811925888061523
2010-02-04,17.485157012939453
2010-02-05,17.433900833129883
2010-02-08,17.299358367919922
2010-02-09,17.510786056518555
2010-02-10,17.568456649780273
2010-02-11,17.67737579345703
2010-02-12,17.64534568786621
2010-02-16,18.055400848388672
2010-02-17,18.241212844848633
2010-02-18,18.266836166381836
2010-02-19,18.67049217224121
2010-02-22,18.580787658691406
2010-02-23,18.52952003479004
2010-02-24,18.561567306518555
2010-02-25,18.71533203125
2010-02-26,18.516714096069336
2010-03-01,18.561567306518555
2010-03-02,18.625638961791992
2010-03-03,18.420604705810547
2010-03-04,18.567970275878906
2010-03-05,18.606412887573242
2010-03-08,18.548751831054688
2010-03-09,18.38857078552246
2010-03-10,18.2027587890625
2010-03-11,18.35653305053711
2010-03-12,18.350133895874023
2010-03-15,18.375764846801758
2010-03-16,18.343721389770508
2010-03-17,18.61923599243164
2010-03-18,18.52312660217285
2010-03-19,18.433422088623047
2010-03-22,18.548751831054688
2010-03-23,18.856294631958008
2010-03-24,18.63844871520996
2010-03-25,18.587190628051758
2010-03-26,18.68971061706543
2010-03-29,19.016475677490234
2010-03-30,19.203855514526367
2010-03-31,19.06170654296875
2010-04-01,19.12632179260254
2010-04-05,19.210323333740234
2010-04-06,19.371862411499023
2010-04-07,19.262014389038086
2010-04-08,19.106935501098633
2010-04-09,19.30724334716797
2010-04-12,19.300785064697266
2010-04-13,19.56571388244629
2010-04-14,19.488170623779297
2010-04-15,19.333097457885742
2010-04-16,19.197399139404297
2010-04-19,19.333097457885742
2010-04-20,19.682022094726562
2010-04-21,19.707868576049805
2010-04-22,19.946950912475586
2010-04-23,20.15371322631836
2010-04-26,20.29587745666504
2010-04-27,19.785409927368164
2010-04-28,19.914644241333008
2010-04-29,20.179569244384766
2010-04-30,20.37987518310547
2010-05-03,20.05033302307129
2010-05-04,19.953411102294922
2010-05-05,20.056795120239258
2010-05-06,19.30724334716797
2010-05-07,19.016475677490234
2010-05-10,19.55278968811035
2010-05-11,19.630327224731445
2010-05-12,19.830638885498047
2010-05-13,19.869409561157227
2010-05-14,19.4946346282959
2010-05-17,19.623865127563477
2010-05-18,19.753097534179688
2010-05-19,19.669099807739258
2010-05-20,18.984169006347656
2010-05-21,19.087554931640625
2010-05-24,18.8226261138916
2010-05-25,18.674015045166016
2010-05-26,18.78386116027832
2010-05-27,19.28786277770996
2010-05-28,19.262014389038086
2010-06-01,19.11986541748047
2010-06-02,19.514022827148438
2010-06-03,19.501094818115234
2010-06-04,18.990633010864258
2010-06-07,19.06170654296875
2010-06-08,19.417095184326172
2010-06-09,19.636791229248047
2010-06-10,19.856491088867188
2010-06-11,19.998640060424805
2010-06-14,19.862947463989258
2010-06-15,19.99217987060547
2010-06-16,20.02448844909668
2010-06-17,20.04387855529785
2010-06-18,20.102020263671875
2010-06-21,19.953411102294922
2010-06-22,19.81771469116211
2010-06-23,19.66263771057129
2010-06-24,19.339555740356445
2010-06-25,19.132781982421875
2010-06-28,19.34601593017578
2010-06-29,18.88078498840332
2010-06-30,18.620080947875977
2010-07-01,18.600536346435547
2010-07-02,18.424570083618164
2010-07-06,18.502777099609375
2010-07-07,18.97853660583496
2010-07-08,19.193613052368164
2010-07-09,19.304410934448242
2010-07-12,19.2587890625
2010-07-13,19.512964248657227
2010-07-14,19.53251838684082
2010-07-15,19.66937828063965
2010-07-16,19.46734619140625
2010-07-19,19.454307556152344
2010-07-20,19.793209075927734
2010-07-21,19.55858039855957
2010-07-22,19.93007469177246
2010-07-23,20.164703369140625
2010-07-26,20.301563262939453
2010-07-27,20.171215057373047
2010-07-28,20.106046676635742
2010-07-29,20.060426712036133
2010-07-30,20.18425941467285
2010-08-02,20.4449520111084
2010-08-03,20.490568161010742
2010-08-04,20.386293411254883
2010-08-05,20.12559700012207
2010-08-06,19.949634552001953
2010-08-09,20.236391067504883
2010-08-10,20.171215057373047
2010-08-11,19.66937828063965
2010-08-12,19.688936233520508
2010-08-13,19.53902816772461
2010-08-16,19.082820892333984
2010-08-17,19.030681610107422
2010-08-18,18.83515739440918
2010-08-19,18.444124221801758
2010-08-20,18.561433792114258
2010-08-23,18.659189224243164
2010-08-24,18.229042053222656
2010-08-25,18.398500442504883
2010-08-26,18.144323348999023
2010-08-27,18.281187057495117
2010-08-30,17.785865783691406
2010-08-31,17.916208267211914
2010-09-01,18.339839935302734
2010-09-02,18.53536033630371
2010-09-03,18.613567352294922
2010-09-07,18.463668823242188
2010-09-08,18.502777099609375
2010-09-09,18.567949295043945
2010-09-10,18.750431060791016
2010-09-13,18.87425994873047
2010-09-14,18.730876922607422
2010-09-15,18.906848907470703
2010-09-16,18.965505599975586
2010-09-17,19.011127471923828
2010-09-20,19.28485870361328
2010-09-21,19.369583129882812
2010-09-22,19.40216827392578
2010-09-23,19.252275466918945
2010-09-24,19.53902816772461
2010-09-27,19.2587890625
2010-09-28,19.2587890625
