Date,EXPE
2010-01-04,33.79590606689453
2010-01-05,33.939876556396484
2010-01-06,32.19904708862305
2010-01-07,32.02887725830078
2010-01-08,31.727842330932617
2010-01-11,31.45295524597168
2010-01-12,30.47127914428711
2010-01-13,30.850868225097656
2010-01-14,30.18332290649414
2010-01-15,29.751392364501953
2010-01-19,29.777563095092773
2010-01-20,29.083845138549805
2010-01-21,29.096933364868164
2010-01-22,28.49483871459961
2010-01-25,28.442487716674805
2010-01-26,29.018402099609375
2010-01-27,28.95294952392578
2010-01-28,28.377033233642578
2010-01-29,28.02363395690918
2010-02-01,28.92677879333496
2010-02-02,28.887516021728516
2010-02-03,28.93986701965332
2010-02-04,28.010536193847656
2010-02-05,27.827299118041992
2010-02-08,28.036725997924805
2010-02-09,28.638816833496094
2010-02-10,29.110027313232422
2010-02-11,27.84038543701172
2010-02-12,27.945098876953125
2010-02-16,29.031490325927734
2010-02-17,28.638816833496094
2010-02-18,29.908466339111328
2010-02-19,29.56813621520996
2010-02-22,29.293272018432617
2010-02-23,29.34561538696289
2010-02-24,29.620502471923828
2010-02-25,29.31945037841797
2010-02-26,29.110027313232422
2010-03-01,30.27495574951172
2010-03-02,30.248775482177734
2010-03-03,29.93463706970215
2010-03-04,30.196409225463867
2010-03-05,30.405839920043945
2010-03-08,30.27495574951172
2010-03-09,30.130531311035156
2010-03-10,30.209314346313477
2010-03-11,30.06488609313965
2010-03-12,29.29029655456543
2010-03-15,29.710416793823242
2010-03-16,29.881084442138672
2010-03-17,30.06488609313965
2010-03-18,29.802318572998047
2010-03-19,29.789182662963867
2010-03-22,30.786977767944336
2010-03-23,30.078014373779297
2010-03-24,29.933595657348633
2010-03-25,30.038637161254883
2010-03-26,30.117403030395508
2010-03-29,31.96855926513672
2010-03-30,31.981693267822266
2010-03-31,32.756263732910156
2010-04-01,32.073585510253906
2010-04-05,32.87444305419922
2010-04-06,33.20266342163086
2010-04-07,32.74314498901367
2010-04-08,32.46745300292969
2010-04-09,32.25740051269531
2010-04-12,33.058258056640625
2010-04-13,32.887569427490234
2010-04-14,33.452091217041016
2010-04-15,33.32081604003906
2010-04-16,32.62498474121094
2010-04-19,32.441192626953125
2010-04-20,32.90070343017578
2010-04-21,32.33617401123047
2010-04-22,32.20488357543945
2010-04-23,31.745370864868164
2010-04-26,32.33617401123047
2010-04-27,31.088932037353516
2010-04-28,30.85262107849121
2010-04-29,32.178627014160156
2010-04-30,30.99703025817871
2010-05-03,31.71910285949707
2010-05-04,30.800090789794922
2010-05-05,30.918258666992188
2010-05-06,30.274944305419922
2010-05-07,28.883304595947266
2010-05-10,31.049545288085938
2010-05-11,30.4324951171875
2010-05-12,30.957653045654297
2010-05-13,30.85262107849121
2010-05-14,29.933595657348633
2010-05-17,30.340593338012695
2010-05-18,29.802318572998047
2010-05-19,29.723548889160156
2010-05-20,28.450048446655273
2010-05-21,28.594470977783203
2010-05-24,28.26624870300293
2010-05-25,28.46381950378418
2010-05-26,28.503326416015625
2010-05-27,29.030200958251953
2010-05-28,28.397960662841797
2010-06-01,27.660350799560547
2010-06-02,28.121356964111328
2010-06-03,28.09501075744629
2010-06-04,26.580280303955078
2010-06-07,26.18512725830078
2010-06-08,25.974388122558594
2010-06-09,26.07975959777832
2010-06-10,27.067630767822266
2010-06-11,27.067630767822266
2010-06-14,27.396915435791016
2010-06-15,28.318933486938477
2010-06-16,28.490154266357422
2010-06-17,27.502290725708008
2010-06-18,27.62083625793457
2010-06-21,26.922746658325195
2010-06-22,26.909568786621094
2010-06-23,26.619792938232422
2010-06-24,25.526548385620117
2010-06-25,25.763643264770508
2010-06-28,25.948043823242188
2010-06-29,24.93383026123047
2010-06-30,24.736255645751953
2010-07-01,24.99968719482422
2010-07-02,24.143531799316406
2010-07-06,24.3806209564209
2010-07-07,25.236774444580078
2010-07-08,24.99968719482422
2010-07-09,24.867961883544922
2010-07-12,24.7889404296875
2010-07-13,25.948043823242188
2010-07-14,26.685653686523438
2010-07-15,27.19934844970703
2010-07-16,26.395875930786133
2010-07-19,26.791019439697266
2010-07-20,27.344226837158203
2010-07-21,27.14665985107422
2010-07-22,27.91061019897461
2010-07-23,28.92482566833496
2010-07-26,28.45064926147461
2010-07-27,28.46381950378418
2010-07-28,28.055500030517578
2010-07-29,27.752552032470703
2010-07-30,29.87318229675293
2010-08-02,29.99172592163086
2010-08-03,30.110271453857422
2010-08-04,32.033321380615234
2010-08-05,31.967472076416016
2010-08-06,32.41529083251953
2010-08-09,32.30991744995117
2010-08-10,32.50750732421875
2010-08-11,31.04544448852539
2010-08-12,31.308887481689453
2010-08-13,31.190336227416992
2010-08-16,31.37473487854004
2010-08-17,32.033321380615234
2010-08-18,31.269363403320312
2010-08-19,30.953248977661133
2010-08-20,31.137638092041016
2010-08-23,31.00594139099121
2010-08-24,29.86980628967285
2010-08-25,30.411441802978516
2010-08-26,30.47749900817871
2010-08-27,30.92667007446289
2010-08-30,30.04154396057129
2010-08-31,30.200071334838867
2010-09-01,32.35343933105469
2010-09-02,33.529205322265625
2010-09-03,33.56884002685547
2010-09-07,32.55160140991211
2010-09-08,33.27821350097656
2010-09-09,33.74059295654297
2010-09-10,34.163330078125
2010-09-13,35.00883102416992
2010-09-14,35.458003997802734
2010-09-15,35.22022247314453
2010-09-16,36.580928802490234
2010-09-17,37.994483947753906
2010-09-20,38.11338424682617
2010-09-21,37.84917068481445
2010-09-22,37.51890563964844
2010-09-23,37.39999771118164
2010-09-24,39.15704345703125
2010-09-27,38.694679260253906
2010-09-28,38.32476043701172
