Date,STX
2010-01-04,9.840493202209473
2010-01-05,9.647745132446289
2010-01-06,9.580021858215332
2010-01-07,9.397695541381836
2010-01-08,9.319555282592773
2010-01-11,9.559185981750488
2010-01-12,9.230995178222656
2010-01-13,9.475833892822266
2010-01-14,9.553975105285645
2010-01-15,9.257040977478027
2010-01-19,9.460205078125
2010-01-20,9.251832008361816
2010-01-21,10.153055191040039
2010-01-22,9.58523178100586
2010-01-25,9.856118202209473
2010-01-26,10.059283256530762
2010-01-27,9.93946647644043
2010-01-28,9.56439208984375
2010-01-29,8.704849243164062
2010-02-01,9.324762344360352
2010-02-02,9.679000854492188
2010-02-03,9.814443588256836
2010-02-04,9.387274742126465
2010-02-05,9.387274742126465
2010-02-08,9.470623970031738
2010-02-09,9.548768043518066
2010-02-10,9.62690258026123
2010-02-11,9.772770881652832
2010-02-12,9.741514205932617
2010-02-16,10.278078079223633
2010-02-17,10.418726921081543
2010-02-18,10.799012184143066
2010-02-19,10.684406280517578
2010-02-22,10.799012184143066
2010-02-23,10.590635299682617
2010-02-24,10.158260345458984
2010-02-25,10.153055191040039
2010-02-26,10.371845245361328
2010-03-01,11.12199592590332
2010-03-02,10.94487476348877
2010-03-03,10.225984573364258
2010-03-04,10.278078079223633
2010-03-05,10.377053260803223
2010-03-08,10.361427307128906
2010-03-09,10.210358619689941
2010-03-10,9.986350059509277
2010-03-11,10.017608642578125
2010-03-12,10.038442611694336
2010-03-15,9.783188819885254
2010-03-16,9.965513229370117
2010-03-17,10.064493179321289
2010-03-18,10.064493179321289
2010-03-19,9.861327171325684
2010-03-22,10.267659187316895
2010-03-23,10.653153419494629
2010-03-24,10.434359550476074
2010-03-25,10.220778465270996
2010-03-26,9.861327171325684
2010-03-29,9.845705032348633
2010-03-30,9.46541690826416
2010-03-31,9.512296676635742
2010-04-01,9.434162139892578
2010-04-05,9.62690258026123
2010-04-06,9.929047584533691
2010-04-07,9.81965446472168
2010-04-08,9.731093406677246
2010-04-09,9.970725059509277
2010-04-12,9.93946647644043
2010-04-13,9.574810981750488
2010-04-14,10.038442611694336
2010-04-15,10.257242202758789
2010-04-16,10.028026580810547
2010-04-19,9.944676399230957
2010-04-20,10.06969928741455
2010-04-21,10.17910099029541
2010-04-22,10.257242202758789
2010-04-23,10.819849967956543
2010-04-26,10.658356666564941
2010-04-27,10.225984573364258
2010-04-28,10.142637252807617
2010-04-29,9.970725059509277
2010-04-30,9.559185981750488
2010-05-03,9.871748924255371
2010-05-04,9.845705032348633
2010-05-05,9.56439208984375
2010-05-06,9.298718452453613
2010-05-07,9.246623992919922
2010-05-10,9.62690258026123
2010-05-11,9.58523178100586
2010-05-12,9.892585754394531
2010-05-13,9.6529541015625
2010-05-14,9.366437911987305
2010-05-17,9.293508529663086
2010-05-18,8.887177467346191
2010-05-19,8.657966613769531
2010-05-20,8.387076377868652
2010-05-21,8.517312049865723
2010-05-24,8.407915115356445
2010-05-25,8.08493423461914
2010-05-26,7.741117477416992
2010-05-27,8.168285369873047
2010-05-28,8.001583099365234
2010-06-01,7.532740592956543
2010-06-02,8.012002944946289
2010-06-03,8.303729057312012
2010-06-04,7.892188549041748
2010-06-07,7.563994407653809
2010-06-08,7.506692886352539
2010-06-09,7.54836893081665
2010-06-10,7.751533031463623
2010-06-11,7.683815002441406
2010-06-14,7.761955261230469
2010-06-15,8.1370267868042
2010-06-16,8.05888843536377
2010-06-17,8.090144157409668
2010-06-18,7.996374130249023
2010-06-21,7.7463250160217285
2010-06-22,7.527534008026123
2010-06-23,7.454606056213379
2010-06-24,7.115993499755859
2010-06-25,7.126410961151123
2010-06-28,7.2305989265441895
2010-06-29,6.970128059387207
2010-06-30,6.793012619018555
2010-07-01,6.923245906829834
2010-07-02,6.8607378005981445
2010-07-06,6.64193868637085
2010-07-07,7.011804103851318
2010-07-08,7.131621837615967
2010-07-09,7.19413423538208
2010-07-12,7.329575538635254
2010-07-13,7.532740592956543
2010-07-14,7.8036322593688965
2010-07-15,7.694231033325195
2010-07-16,7.376459121704102
2010-07-19,7.4337615966796875
2010-07-20,7.569210529327393
2010-07-21,6.84510612487793
2010-07-22,6.865942478179932
2010-07-23,6.662776947021484
2010-07-26,6.933665752410889
2010-07-27,6.8919901847839355
2010-07-28,6.6888251304626465
2010-07-29,6.563798427581787
2010-07-30,6.537752628326416
2010-08-02,6.735710144042969
2010-08-03,6.496079921722412
2010-08-04,6.537752628326416
2010-08-05,6.511704444885254
2010-08-06,6.360634803771973
2010-08-09,6.183517932891846
2010-08-10,5.782395839691162
2010-08-11,5.876164436340332
2010-08-12,5.72509241104126
2010-08-13,5.824070930480957
2010-08-16,5.85011625289917
2010-08-17,5.735510349273682
2010-08-18,5.870953559875488
2010-08-19,5.782395839691162
2010-08-20,5.72509241104126
2010-08-23,5.657367706298828
2010-08-24,5.40211296081543
2010-08-25,5.49587869644165
2010-08-26,5.2822957038879395
2010-08-27,5.5375566482543945
2010-08-30,5.511509895324707
2010-08-31,5.2822957038879395
2010-09-01,5.594859600067139
2010-09-02,5.72509241104126
2010-09-03,5.824070930480957
2010-09-07,5.646950721740723
2010-09-08,5.751138210296631
2010-09-09,5.745931148529053
2010-09-10,5.600065231323242
2010-09-13,5.855326175689697
2010-09-14,5.787604808807373
2010-09-15,5.933466911315918
2010-09-16,5.8865814208984375
2010-09-17,5.813650608062744
2010-09-20,5.881373405456543
2010-09-21,5.954306125640869
2010-09-22,5.782395839691162
2010-09-23,5.777186870574951
2010-09-24,6.053283214569092
2010-09-27,6.016819000244141
