Date,EFX
2010-01-04,26.42984390258789
2010-01-05,26.421443939208984
2010-01-06,26.706993103027344
2010-01-07,26.816171646118164
2010-01-08,26.824567794799805
2010-01-11,26.57261848449707
2010-01-12,26.41305160522461
2010-01-13,26.68179702758789
2010-01-14,26.85816192626953
2010-01-15,26.65659523010254
2010-01-19,26.816171646118164
2010-01-20,26.68179702758789
2010-01-21,26.547420501708984
2010-01-22,26.39624786376953
2010-01-25,26.74897575378418
2010-01-26,26.530620574951172
2010-01-27,27.000940322875977
2010-01-28,26.648193359375
2010-01-29,26.87495994567871
2010-02-01,28.050739288330078
2010-02-02,28.033946990966797
2010-02-03,27.74839210510254
2010-02-04,26.639802932739258
2010-02-05,26.513826370239258
2010-02-08,26.18629264831543
2010-02-09,26.42984390258789
2010-02-10,26.329055786132812
2010-02-11,26.539024353027344
2010-02-12,26.404651641845703
2010-02-16,26.84136199951172
2010-02-17,27.286481857299805
2010-02-18,26.9164981842041
2010-02-19,26.9080810546875
2010-02-22,26.88286018371582
2010-02-23,26.66423225402832
2010-02-24,27.16035270690918
2010-02-25,27.16035270690918
2010-02-26,27.12671661376953
2010-03-01,27.46306037902832
2010-03-02,27.555564880371094
2010-03-03,27.46306037902832
2010-03-04,27.53875160217285
2010-03-05,28.034860610961914
2010-03-08,27.7825927734375
2010-03-09,27.7825927734375
2010-03-10,27.92555046081543
2010-03-11,27.992826461791992
2010-03-12,28.17780876159668
2010-03-15,28.3796329498291
2010-03-16,29.136423110961914
2010-03-17,29.556852340698242
2010-03-18,30.02775001525879
2010-03-19,29.87637710571289
2010-03-22,30.1959228515625
2010-03-23,30.15387725830078
2010-03-24,30.145463943481445
2010-03-25,30.187522888183594
2010-03-26,30.347286224365234
2010-03-29,30.60794448852539
2010-03-30,30.42295265197754
2010-03-31,30.103418350219727
2010-04-01,30.0445499420166
2010-04-05,30.22954750061035
2010-04-06,30.095016479492188
2010-04-07,29.800710678100586
2010-04-08,29.93524932861328
2010-04-09,29.910030364990234
2010-04-12,29.767074584960938
2010-04-13,29.93524932861328
2010-04-14,30.1202392578125
2010-04-15,29.985694885253906
2010-04-16,29.28777313232422
2010-04-19,29.32140350341797
2010-04-20,29.598888397216797
2010-04-21,29.657766342163086
2010-04-22,30.1959228515625
2010-04-23,30.22115707397461
2010-04-26,30.212738037109375
2010-04-27,29.767074584960938
2010-04-28,29.649337768554688
2010-04-29,28.194631576538086
2010-04-30,28.25348663330078
2010-05-03,28.497346878051758
2010-05-04,27.96759796142578
2010-05-05,27.824644088745117
2010-05-06,26.681047439575195
2010-05-07,26.55491828918457
2010-05-10,27.723739624023438
2010-05-11,27.59760856628418
2010-05-12,27.950780868530273
2010-05-13,27.580781936645508
2010-05-14,27.210813522338867
2010-05-17,27.093080520629883
2010-05-18,26.89967918395996
2010-05-19,26.605375289916992
2010-05-20,25.318830490112305
2010-05-21,25.16727066040039
2010-05-24,25.040977478027344
2010-05-25,24.92308235168457
2010-05-26,25.21778106689453
2010-05-27,25.773509979248047
2010-05-28,25.470380783081055
2010-06-01,24.704172134399414
2010-06-02,25.116748809814453
2010-06-03,25.05780601501465
2010-06-04,24.333688735961914
2010-06-07,24.005308151245117
2010-06-08,24.232648849487305
2010-06-09,24.114768981933594
2010-06-10,24.8978271484375
2010-06-11,24.990446090698242
2010-06-14,24.948348999023438
2010-06-15,25.571420669555664
2010-06-16,25.596677780151367
2010-06-17,25.453554153442383
2010-06-18,25.520904541015625
2010-06-21,25.15043067932129
2010-06-22,24.872577667236328
2010-06-23,24.796789169311523
2010-06-24,24.5526065826416
2010-06-25,24.36737823486328
2010-06-28,24.695743560791016
2010-06-29,23.76955223083496
2010-06-30,23.62641143798828
2010-07-01,23.752714157104492
2010-07-02,23.643259048461914
2010-07-06,23.390655517578125
2010-07-07,24.005308151245117
2010-07-08,24.224239349365234
2010-07-09,24.375797271728516
2010-07-12,24.207387924194336
2010-07-13,24.948348999023438
2010-07-14,25.2598876953125
2010-07-15,25.09148597717285
2010-07-16,24.56945037841797
2010-07-19,24.645231246948242
2010-07-20,25.06623077392578
2010-07-21,24.71258544921875
2010-07-22,25.386180877685547
2010-07-23,25.655624389648438
2010-07-26,26.295541763305664
2010-07-27,25.933483123779297
2010-07-28,25.470380783081055
2010-07-29,26.421846389770508
2010-07-30,26.388166427612305
2010-08-02,26.87651824951172
2010-08-03,26.49762725830078
2010-08-04,26.716541290283203
2010-08-05,26.842844009399414
2010-08-06,26.716541290283203
2010-08-09,27.129119873046875
2010-08-10,26.649181365966797
2010-08-11,25.647201538085938
2010-08-12,25.428295135498047
2010-08-13,25.428295135498047
2010-08-16,25.47880744934082
2010-08-17,26.017688751220703
2010-08-18,25.9671630859375
2010-08-19,25.73140525817871
2010-08-20,25.369352340698242
2010-08-23,24.973085403442383
2010-08-24,24.652706146240234
2010-08-25,24.863473892211914
2010-08-26,24.71172523498535
2010-08-27,25.20072364807129
2010-08-30,24.888774871826172
2010-08-31,24.84661865234375
2010-09-01,25.487388610839844
2010-09-02,25.6475887298584
2010-09-03,25.571697235107422
2010-09-07,25.150131225585938
2010-09-08,25.285032272338867
2010-09-09,25.04053497314453
2010-09-10,25.192291259765625
2010-09-13,25.512676239013672
2010-09-14,25.242889404296875
2010-09-15,25.091114044189453
2010-09-16,25.00680923461914
2010-09-17,25.30189323425293
2010-09-20,25.757179260253906
2010-09-21,25.731887817382812
2010-09-22,25.462093353271484
2010-09-23,25.2766056060791
2010-09-24,26.018556594848633
2010-09-27,25.89207649230957
2010-09-28,26.161874771118164
