Date,NXPI
2011-01-06,20.744516372680664
2011-01-07,20.458877563476562
2011-01-10,20.90518569946289
2011-01-11,21.422903060913086
2011-01-12,21.06586265563965
2011-01-13,20.824848175048828
2011-01-14,20.878406524658203
2011-01-18,21.04800796508789
2011-01-19,20.494583129882812
2011-01-20,19.34309196472168
2011-01-21,19.610885620117188
2011-01-24,20.21786880493164
2011-01-25,21.67284393310547
2011-01-26,23.199220657348633
2011-01-27,23.279560089111328
2011-01-28,21.931699752807617
2011-01-31,22.976062774658203
2011-02-01,24.306072235107422
2011-02-02,24.270368576049805
2011-02-03,24.2792911529541
2011-02-04,24.41318702697754
2011-02-07,23.484859466552734
2011-02-08,23.547340393066406
2011-02-09,23.690166473388672
2011-02-10,23.359893798828125
2011-02-11,22.556537628173828
2011-02-14,22.708284378051758
2011-02-15,22.32445526123047
2011-02-16,24.03829002380371
2011-02-17,24.377483367919922
2011-02-18,26.15379524230957
2011-02-22,26.28769302368164
2011-02-23,25.35936737060547
2011-02-24,25.993127822875977
2011-02-25,27.269577026367188
2011-02-28,28.51924705505371
2011-03-01,26.760778427124023
2011-03-02,26.109163284301758
2011-03-03,27.822999954223633
2011-03-04,27.44809913635254
2011-03-07,26.028831481933594
2011-03-08,25.627155303955078
2011-03-09,24.797012329101562
2011-03-10,23.663389205932617
2011-03-11,24.51137351989746
2011-03-14,23.05640411376953
2011-03-15,23.458087921142578
2011-03-16,23.154592514038086
2011-03-17,24.047212600708008
2011-03-18,24.59170913696289
2011-03-21,24.859498977661133
2011-03-22,24.297142028808594
2011-03-23,24.163259506225586
2011-03-24,25.26117515563965
2011-03-25,24.88627815246582
2011-03-28,25.609302520751953
2011-03-29,27.930116653442383
2011-03-30,28.01044464111328
2011-03-31,26.751853942871094
2011-04-01,27.305278778076172
2011-04-04,27.78729248046875
2011-04-05,28.554946899414062
2011-04-06,29.688573837280273
2011-04-07,29.402935028076172
2011-04-08,29.117300033569336
2011-04-11,28.751325607299805
2011-04-12,27.68910789489746
2011-04-13,28.153268814086914
2011-04-14,28.742401123046875
2011-04-15,28.867366790771484
2011-04-18,28.3317928314209
2011-04-19,28.072935104370117
2011-04-20,29.95636749267578
2011-04-21,29.867107391357422
2011-04-25,29.867107391357422
2011-04-26,30.509782791137695
2011-04-27,29.831398010253906
2011-04-28,29.518985748291016
2011-04-29,29.813541412353516
2011-05-02,29.49220085144043
2011-05-03,28.385345458984375
2011-05-04,28.394269943237305
2011-05-05,27.671255111694336
2011-05-06,27.581993103027344
2011-05-09,27.68910789489746
2011-05-10,26.885751724243164
2011-05-11,25.88600730895996
2011-05-12,26.63581657409668
2011-05-13,26.207353591918945
2011-05-16,24.68990135192871
2011-05-17,24.77916717529297
2011-05-18,25.636079788208008
2011-05-19,25.279033660888672
2011-05-20,25.761045455932617
2011-05-23,24.431041717529297
2011-05-24,24.288217544555664
2011-05-25,24.297142028808594
2011-05-26,25.48433494567871
2011-05-27,25.332584381103516
2011-05-31,25.466476440429688
2011-06-01,24.190025329589844
2011-06-02,23.663389205932617
2011-06-03,23.83298683166504
2011-06-06,23.69908905029297
2011-06-07,23.725866317749023
2011-06-08,22.717208862304688
2011-06-09,22.42264747619629
2011-06-10,21.72640037536621
2011-06-13,21.538944244384766
2011-06-14,22.66364288330078
2011-06-15,21.431833267211914
2011-06-16,21.690692901611328
2011-06-17,20.21786880493164
2011-06-20,20.396394729614258
2011-06-21,21.012304306030273
2011-06-22,20.70880889892578
2011-06-23,20.896259307861328
2011-06-24,20.94089126586914
2011-06-27,21.128339767456055
2011-06-28,22.476200103759766
2011-06-29,22.592241287231445
2011-06-30,23.859760284423828
2011-07-01,24.556011199951172
2011-07-05,24.02043342590332
2011-07-06,23.565195083618164
2011-07-07,23.690166473388672
2011-07-08,23.270627975463867
2011-07-11,22.32445526123047
2011-07-12,20.717729568481445
2011-07-13,20.316057205200195
2011-07-14,19.7269229888916
2011-07-15,19.3609561920166
2011-07-18,18.89679527282715
2011-07-19,19.7269229888916
2011-07-20,19.69121551513672
2011-07-21,19.38772964477539
2011-07-22,20.298206329345703
2011-07-25,19.476985931396484
2011-07-26,19.655519485473633
2011-07-27,18.316587448120117
2011-07-28,18.334440231323242
2011-07-29,17.65604591369629
2011-08-01,17.23651123046875
2011-08-02,16.77235221862793
2011-08-03,17.04905891418457
2011-08-04,15.254891395568848
2011-08-05,13.31790828704834
2011-08-08,12.523472785949707
2011-08-09,14.826437950134277
2011-08-10,14.594352722167969
2011-08-11,16.513484954833984
2011-08-12,16.07610511779785
2011-08-15,16.683090209960938
2011-08-16,16.102890014648438
2011-08-17,15.83509635925293
2011-08-18,14.879992485046387
2011-08-19,14.228382110595703
2011-08-22,14.380126953125
2011-08-23,15.094221115112305
2011-08-24,14.87106990814209
2011-08-25,14.34442138671875
2011-08-26,14.746100425720215
2011-08-29,15.317381858825684
2011-08-30,14.942477226257324
2011-08-31,14.540800094604492
2011-09-01,14.75502872467041
2011-09-02,14.647911071777344
2011-09-06,14.192672729492188
2011-09-07,15.603010177612305
2011-09-08,15.32630443572998
2011-09-09,14.75502872467041
2011-09-12,15.362007141113281
2011-09-13,16.165372848510742
2011-09-14,17.04905891418457
2011-09-15,18.11128807067871
2011-09-16,17.727453231811523
2011-09-19,16.6920166015625
2011-09-20,16.004695892333984
2011-09-21,15.281672477722168
2011-09-22,15.049592018127441
2011-09-23,15.013887405395508
2011-09-26,14.81750774383545
2011-09-27,15.43342113494873
2011-09-28,14.674691200256348
2011-09-29,13.380389213562012
2011-09-30,12.603811264038086
2011-10-03,12.21105670928955
2011-10-04,13.014415740966797
2011-10-05,13.335759162902832
2011-10-06,13.862405776977539
2011-10-07,13.666031837463379
2011-10-10,14.469388961791992
2011-10-11,14.33549690246582
2011-10-12,15.112080574035645
2011-10-13,15.317381858825684
2011-10-14,15.460195541381836
2011-10-17,14.763954162597656
2011-10-18,15.379859924316406
2011-10-19,14.692543029785156
2011-10-20,14.201600074768066
2011-10-21,14.264083862304688
2011-10-24,16.06717872619629
2011-10-25,15.74583625793457
2011-10-26,16.424230575561523
2011-10-27,17.548925399780273
2011-10-28,16.986574172973633
2011-10-31,16.0404052734375
2011-11-01,15.03173828125
2011-11-02,15.406639099121094
2011-11-03,15.522679328918457
2011-11-04,15.817245483398438
2011-11-07,15.32630443572998
2011-11-08,15.03173828125
2011-11-09,13.924891471862793
2011-11-10,13.915962219238281
2011-11-11,14.835365295410156
2011-11-14,14.75502872467041
2011-11-15,15.611943244934082
2011-11-16,15.603010177612305
2011-11-17,14.781803131103516
2011-11-18,14.52294635772705
2011-11-21,14.15696907043457
2011-11-22,13.88918399810791
2011-11-23,13.576766014099121
2011-11-25,13.389315605163574
2011-11-28,13.862405776977539
2011-11-29,13.630322456359863
2011-11-30,15.085294723510742
2011-12-01,15.254891395568848
2011-12-02,15.638721466064453
2011-12-05,15.83509635925293
2011-12-06,15.781545639038086
2011-12-07,16.558120727539062
2011-12-08,15.888654708862305
2011-12-09,15.74583625793457
2011-12-12,14.808584213256836
2011-12-13,13.701733589172363
2011-12-14,13.514286041259766
2011-12-15,13.648177146911621
2011-12-16,13.666031837463379
2011-12-19,12.78233528137207
2011-12-20,13.344687461853027
2011-12-21,13.175086975097656
2011-12-22,14.103412628173828
2011-12-23,14.121265411376953
2011-12-27,14.085561752319336
2011-12-28,13.514286041259766
2011-12-29,13.755289077758789
2011-12-30,13.719586372375488
2012-01-03,14.290863037109375
2012-01-04,14.433683395385742
2012-01-05,14.728252410888672
2012-01-06,15.085294723510742
2012-01-09,15.781545639038086
2012-01-10,15.567314147949219
2012-01-11,15.692282676696777
2012-01-12,15.710131645202637
2012-01-13,15.317381858825684
2012-01-17,15.344156265258789
2012-01-18,16.94194793701172
2012-01-19,17.174030303955078
2012-01-20,18.3522891998291
2012-01-23,18.343368530273438
2012-01-24,19.414508819580078
2012-01-25,18.780746459960938
2012-01-26,19.01282501220703
2012-01-27,19.432363510131836
2012-01-30,18.628999710083008
2012-01-31,18.95034408569336
2012-02-01,19.700149536132812
2012-02-02,19.69121551513672
2012-02-03,20.3071346282959
2012-02-06,19.40558624267578
2012-02-07,19.4412899017334
2012-02-08,19.53054428100586
2012-02-09,19.628738403320312
2012-02-10,19.307395935058594
2012-02-13,20.19109344482422
2012-02-14,21.110488891601562
2012-02-15,22.270893096923828
2012-02-16,23.05640411376953
2012-02-17,22.64579963684082
2012-02-21,21.646059036254883
2012-02-22,21.110488891601562
2012-02-23,21.913854598999023
2012-02-24,22.297677993774414
2012-02-27,22.217336654663086
2012-02-28,22.395864486694336
2012-02-29,22.137006759643555
