Date,TKO
2010-01-04,9.84500789642334
2010-01-05,10.053268432617188
2010-01-06,10.128997802734375
2010-01-07,10.274147033691406
2010-01-08,10.286765098571777
2010-01-11,10.084816932678223
2010-01-12,10.078509330749512
2010-01-13,10.147927284240723
2010-01-14,10.116377830505371
2010-01-15,10.091130256652832
2010-01-19,10.160547256469727
2010-01-20,10.255212783813477
2010-01-21,9.996467590332031
2010-01-22,9.91442584991455
2010-01-25,10.160547256469727
2010-01-26,10.312010765075684
2010-01-27,10.324630737304688
2010-01-28,10.229969024658203
2010-01-29,10.097436904907227
2010-02-01,10.223663330078125
2010-02-02,10.293078422546387
2010-02-03,10.30570125579834
2010-02-04,10.059576988220215
2010-02-05,10.160547256469727
2010-02-08,10.097436904907227
2010-02-09,10.128997802734375
2010-02-10,10.261524200439453
2010-02-11,10.14161491394043
2010-02-12,10.147927284240723
2010-02-16,10.160547256469727
2010-02-17,10.198416709899902
2010-02-18,10.312010765075684
2010-02-19,10.3751220703125
2010-02-22,10.274147033691406
2010-02-23,10.267837524414062
2010-02-24,10.368809700012207
2010-02-25,10.734844207763672
2010-02-26,10.760083198547363
2010-03-01,11.006211280822754
2010-03-02,11.201849937438965
2010-03-03,11.157673835754395
2010-03-04,11.056693077087402
2010-03-05,11.328064918518066
2010-03-08,11.258644104003906
2010-03-09,11.271271705627441
2010-03-10,11.384864807128906
2010-03-11,11.449259757995605
2010-03-12,11.120847702026367
2010-03-15,11.172368049621582
2010-03-16,11.101532936096191
2010-03-17,11.024256706237793
2010-03-18,11.017823219299316
2010-03-19,11.0693359375
2010-03-22,11.088652610778809
2010-03-23,11.101532936096191
2010-03-24,11.198121070861816
2010-03-25,11.307591438293457
2010-03-26,11.33335018157959
2010-03-29,11.178801536560059
2010-03-30,11.217440605163574
2010-03-31,11.140167236328125
2010-04-01,10.959864616394043
2010-04-05,11.223877906799316
2010-04-06,11.107970237731934
2010-04-07,11.062893867492676
2010-04-08,11.017823219299316
2010-04-09,11.075775146484375
2010-04-12,11.088652610778809
2010-04-13,11.256073951721191
2010-04-14,11.307591438293457
2010-04-15,11.371987342834473
2010-04-16,11.320470809936523
2010-04-19,11.307591438293457
2010-04-20,11.751910209655762
2010-04-21,11.91289234161377
2010-04-22,12.003046989440918
2010-04-23,12.02236270904541
2010-04-26,12.1575927734375
2010-04-27,12.086759567260742
2010-04-28,12.061001777648926
2010-04-29,11.91289234161377
2010-04-30,11.751910209655762
2010-05-03,11.848501205444336
2010-05-04,11.73259449005127
2010-05-05,11.397741317749023
2010-05-06,10.438272476196289
2010-05-07,10.567063331604004
2010-05-10,10.927665710449219
2010-05-11,11.133728981018066
2010-05-12,10.573497772216797
2010-05-13,10.882593154907227
2010-05-14,10.805320739746094
2010-05-17,11.120847702026367
2010-05-18,10.934103965759277
2010-05-19,10.567063331604004
2010-05-20,10.219334602355957
2010-05-21,10.528426170349121
2010-05-24,10.386757850646973
2010-05-25,10.309484481811523
2010-05-26,10.483349800109863
2010-05-27,10.87614917755127
2010-05-28,10.670090675354004
2010-06-01,10.72160530090332
2010-06-02,10.792442321777344
2010-06-03,10.78600025177002
2010-06-04,10.489787101745605
2010-06-07,10.361000061035156
2010-06-08,10.328804016113281
2010-06-09,10.425394058227539
2010-06-10,10.76024055480957
2010-06-11,10.85237979888916
2010-06-14,10.720757484436035
2010-06-15,10.687851905822754
2010-06-16,10.779986381530762
2010-06-17,10.720757484436035
2010-06-18,10.85237979888916
2010-06-21,10.668105125427246
2010-06-22,10.681267738342285
2010-06-23,10.66152572631836
2010-06-24,10.562808990478516
2010-06-25,10.70101547241211
2010-06-28,10.582550048828125
2010-06-29,10.25348949432373
2010-06-30,10.240328788757324
2010-07-01,10.174516677856445
2010-07-02,10.082379341125488
2010-07-06,10.214005470275879
2010-07-07,10.595712661743164
2010-07-08,10.536481857299805
2010-07-09,10.556229591369629
2010-07-12,10.437763214111328
2010-07-13,10.806310653686523
2010-07-14,10.71417236328125
2010-07-15,10.582550048828125
2010-07-16,10.34563159942627
2010-07-19,10.470667839050293
2010-07-20,10.582550048828125
2010-07-21,10.385114669799805
2010-07-22,10.529899597167969
2010-07-23,10.720757484436035
2010-07-26,10.76682186126709
2010-07-27,10.569389343261719
2010-07-28,10.628617286682129
2010-07-29,10.66152572631836
2010-07-30,10.556229591369629
2010-08-02,10.687851905822754
2010-08-03,10.76682186126709
2010-08-04,10.891867637634277
2010-08-05,10.325884819030762
2010-08-06,10.121866226196289
2010-08-09,9.891524314880371
2010-08-10,9.634860038757324
2010-08-11,9.628275871276855
2010-08-12,9.476910591125488
2010-08-13,9.299219131469727
2010-08-16,9.220246315002441
2010-08-17,9.23998737335205
2010-08-18,9.404515266418457
2010-08-19,9.20050048828125
2010-08-20,9.246569633483887
2010-08-23,9.114947319030762
2010-08-24,8.94383430480957
2010-08-25,9.101784706115723
2010-08-26,9.101784706115723
2010-08-27,9.345288276672363
2010-08-30,9.147852897644043
2010-08-31,9.226827621459961
2010-09-01,9.391357421875
2010-09-02,9.292637825012207
2010-09-03,9.365028381347656
2010-09-07,9.378195762634277
2010-09-08,9.404515266418457
2010-09-09,9.490073204040527
2010-09-10,9.582206726074219
2010-09-13,9.453998565673828
2010-09-14,9.258304595947266
2010-09-15,9.312289237976074
2010-09-16,9.298792839050293
2010-09-17,9.406760215759277
2010-09-20,9.453998565673828
2010-09-21,9.3190336227417
2010-09-22,9.238059043884277
2010-09-23,9.292045593261719
2010-09-24,9.332534790039062
2010-09-27,9.278549194335938
2010-09-28,9.3190336227417
