Date,ZBH
2010-01-04,51.98998260498047
2010-01-05,53.63579177856445
2010-01-06,53.61847686767578
2010-01-07,54.84849548339844
2010-01-08,53.69643783569336
2010-01-11,54.88312911987305
2010-01-12,53.826377868652344
2010-01-13,54.18151092529297
2010-01-14,54.33744430541992
2010-01-15,53.488529205322266
2010-01-19,55.18630599975586
2010-01-20,54.16417694091797
2010-01-21,53.14205551147461
2010-01-22,52.48374557495117
2010-01-25,52.70028305053711
2010-01-26,52.544368743896484
2010-01-27,51.86872482299805
2010-01-28,49.244102478027344
2010-01-29,48.78500747680664
2010-02-01,49.400028228759766
2010-02-02,50.50010681152344
2010-02-03,49.48664474487305
2010-02-04,48.17866134643555
2010-02-05,48.01408386230469
2010-02-08,48.005409240722656
2010-02-09,48.577125549316406
2010-02-10,49.09685516357422
2010-02-11,49.89375686645508
2010-02-12,49.58193588256836
2010-02-16,50.552093505859375
2010-02-17,50.53477096557617
2010-02-18,50.58673095703125
2010-02-19,50.32685852050781
2010-02-22,50.361507415771484
2010-02-23,49.70320510864258
2010-02-24,49.75516891479492
2010-02-25,49.58193588256836
2010-02-26,49.65989303588867
2010-03-01,50.439483642578125
2010-03-02,51.15843200683594
2010-03-03,51.14109802246094
2010-03-04,50.91590118408203
2010-03-05,52.05928039550781
2010-03-08,51.58287811279297
2010-03-09,51.201759338378906
2010-03-10,50.98518753051758
2010-03-11,49.400028228759766
2010-03-12,51.31435012817383
2010-03-15,50.4481315612793
2010-03-16,50.075679779052734
2010-03-17,49.92841720581055
2010-03-18,49.75516891479492
2010-03-19,49.348060607910156
2010-03-22,50.41348648071289
2010-03-23,50.63869857788086
2010-03-24,50.2835578918457
2010-03-25,49.78981399536133
2010-03-26,49.64257049560547
2010-03-29,50.76863479614258
2010-03-30,51.132450103759766
2010-03-31,51.279701232910156
2010-04-01,51.9640007019043
2010-04-05,51.539573669433594
2010-04-06,51.06313705444336
2010-04-07,51.175758361816406
2010-04-08,51.175758361816406
2010-04-09,51.58287811279297
2010-04-12,51.400970458984375
2010-04-13,52.050621032714844
2010-04-14,52.8648681640625
2010-04-15,52.8388671875
2010-04-16,52.38844299316406
2010-04-19,52.29317092895508
2010-04-20,52.994808197021484
2010-04-21,52.163230895996094
2010-04-22,52.509727478027344
2010-04-23,52.812889099121094
2010-04-26,52.96014404296875
2010-04-27,52.68296432495117
2010-04-28,53.228694915771484
2010-04-29,53.367279052734375
2010-04-30,52.760929107666016
2010-05-03,53.12472915649414
2010-05-04,52.180564880371094
2010-05-05,52.24120330810547
2010-05-06,51.7474365234375
2010-05-07,50.6733512878418
2010-05-10,52.73493957519531
2010-05-11,52.57902908325195
2010-05-12,52.925498962402344
2010-05-13,52.53571319580078
2010-05-14,51.59154510498047
2010-05-17,51.14109802246094
2010-05-18,50.846595764160156
2010-05-19,50.56074905395508
2010-05-20,48.56845474243164
2010-05-21,48.36056900024414
2010-05-24,48.170005798339844
2010-05-25,47.51166915893555
2010-05-26,46.97463607788086
2010-05-27,47.9188117980957
2010-05-28,48.447181701660156
2010-06-01,46.92266845703125
2010-06-02,47.728233337402344
2010-06-03,47.84083557128906
2010-06-04,46.06511306762695
2010-06-07,45.614681243896484
2010-06-08,45.900543212890625
2010-06-09,46.09975051879883
2010-06-10,46.82736587524414
2010-06-11,46.78407287597656
2010-06-14,46.48088836669922
2010-06-15,47.08723068237305
2010-06-16,47.78021240234375
2010-06-17,47.6502799987793
2010-06-18,47.6849250793457
2010-06-21,47.6416130065918
2010-06-22,47.27780532836914
2010-06-23,46.93132400512695
2010-06-24,46.09109115600586
2010-06-25,46.143070220947266
2010-06-28,47.26913070678711
2010-06-29,47.29513168334961
2010-06-30,46.81871795654297
2010-07-01,46.67145538330078
2010-07-02,47.052589416503906
2010-07-06,47.6762809753418
2010-07-07,48.698402404785156
2010-07-08,48.79366683959961
2010-07-09,48.698402404785156
2010-07-12,48.5164794921875
2010-07-13,49.30473327636719
2010-07-14,49.798484802246094
2010-07-15,50.170955657958984
2010-07-16,48.42986297607422
2010-07-19,48.49917221069336
2010-07-20,47.771541595458984
2010-07-21,45.88320541381836
2010-07-22,45.48474884033203
2010-07-23,45.85721969604492
2010-07-26,46.18639373779297
2010-07-27,46.66280746459961
2010-07-28,46.324974060058594
2010-07-29,45.181575775146484
2010-07-30,45.900543212890625
2010-08-02,46.62815475463867
2010-08-03,46.939979553222656
2010-08-04,47.494354248046875
2010-08-05,47.20851516723633
2010-08-06,46.75807571411133
2010-08-09,46.76673889160156
2010-08-10,46.688777923583984
2010-08-11,45.051639556884766
2010-08-12,45.04298782348633
2010-08-13,44.55791091918945
2010-08-16,44.17677307128906
2010-08-17,44.35866165161133
2010-08-18,44.93038558959961
2010-08-19,43.501121520996094
2010-08-20,43.154640197753906
2010-08-23,42.764869689941406
2010-08-24,40.68592834472656
2010-08-25,41.3355827331543
2010-08-26,40.954471588134766
2010-08-27,41.5868034362793
2010-08-30,41.17101287841797
2010-08-31,40.85917663574219
2010-09-01,41.31828308105469
2010-09-02,42.05454635620117
2010-09-03,42.686885833740234
2010-09-07,42.4443473815918
2010-09-08,42.184486389160156
2010-09-09,42.401039123535156
2010-09-10,42.435699462890625
2010-09-13,42.704227447509766
2010-09-14,43.197959899902344
2010-09-15,43.80430221557617
2010-09-16,43.80430221557617
2010-09-17,43.89958190917969
2010-09-20,44.69650650024414
2010-09-21,44.63584899902344
2010-09-22,43.83028793334961
2010-09-23,43.596412658691406
2010-09-24,44.87838363647461
2010-09-27,43.40583801269531
2010-09-28,44.774452209472656
