Date,VTRS
2010-01-04,15.479573249816895
2010-01-05,15.314189910888672
2010-01-06,15.165350914001465
2010-01-07,14.909008979797363
2010-01-08,14.40460205078125
2010-01-11,14.694014549255371
2010-01-12,14.396333694458008
2010-01-13,14.727090835571289
2010-01-14,14.776708602905273
2010-01-15,15.049581527709961
2010-01-19,15.496108055114746
2010-01-20,15.066117286682129
2010-01-21,14.834589004516602
2010-01-22,14.702281951904297
2010-01-25,14.619595527648926
2010-01-26,14.958621978759766
2010-01-27,15.090928077697754
2010-01-28,14.826322555541992
2010-01-29,15.074389457702637
2010-02-01,14.98343563079834
2010-02-02,15.049581527709961
2010-02-03,14.892470359802246
2010-02-04,14.702281951904297
2010-02-05,14.793241500854492
2010-02-08,14.685746192932129
2010-02-09,14.619595527648926
2010-02-10,14.561711311340332
2010-02-11,15.124002456665039
2010-02-12,15.14053726196289
2010-02-16,15.446496963500977
2010-02-17,15.603609085083008
2010-02-18,15.5953369140625
2010-02-19,15.768989562988281
2010-02-22,16.215517044067383
2010-02-23,15.843404769897461
2010-02-24,16.058401107788086
2010-02-25,17.116832733154297
2010-02-26,17.646045684814453
2010-03-01,17.679126739501953
2010-03-02,17.65431785583496
2010-03-03,17.47239875793457
2010-03-04,17.604703903198242
2010-03-05,18.001617431640625
2010-03-08,17.71219825744629
2010-03-09,17.869314193725586
2010-03-10,18.034692764282227
2010-03-11,18.175268173217773
2010-03-12,18.150461196899414
2010-03-15,18.150461196899414
2010-03-16,18.266225814819336
2010-03-17,18.27449607849121
2010-03-18,18.48948860168457
2010-03-19,18.63006019592285
2010-03-22,18.94428253173828
2010-03-23,18.952550888061523
2010-03-24,18.73755645751953
2010-03-25,18.406797409057617
2010-03-26,18.506027221679688
2010-03-29,18.911205291748047
2010-03-30,18.729284286499023
2010-03-31,18.778905868530273
2010-04-01,19.1510066986084
2010-04-05,19.22542381286621
2010-04-06,18.878129959106445
2010-04-07,18.78717041015625
2010-04-08,18.6466007232666
2010-04-09,18.638334274291992
2010-04-12,18.63006019592285
2010-04-13,18.63006019592285
2010-04-14,18.27449607849121
2010-04-15,18.23314666748047
2010-04-16,17.985078811645508
2010-04-19,17.836233139038086
2010-04-20,18.034692764282227
2010-04-21,18.257957458496094
2010-04-22,18.15872573852539
2010-04-23,18.390260696411133
2010-04-26,17.985078811645508
2010-04-27,17.662588119506836
2010-04-28,17.952001571655273
2010-04-29,18.001617431640625
2010-04-30,18.200069427490234
2010-05-03,18.216611862182617
2010-05-04,17.662588119506836
2010-05-05,18.051233291625977
2010-05-06,17.670856475830078
2010-05-07,17.646045684814453
2010-05-10,18.04296112060547
2010-05-11,18.001617431640625
2010-05-12,17.861042022705078
2010-05-13,17.48066520690918
2010-05-14,16.96799087524414
2010-05-17,17.03414535522461
2010-05-18,16.52973747253418
2010-05-19,16.72818946838379
2010-05-20,16.074941635131836
2010-05-21,16.13282012939453
2010-05-24,15.909562110900879
2010-05-25,15.835140228271484
2010-05-26,15.9757080078125
2010-05-27,16.389158248901367
2010-05-28,16.074941635131836
2010-06-01,15.66148853302002
2010-06-02,15.669757843017578
2010-06-03,15.587067604064941
2010-06-04,15.297652244567871
2010-06-07,15.239766120910645
2010-06-08,14.74362850189209
2010-06-09,14.851126670837402
2010-06-10,15.115737915039062
2010-06-11,15.148811340332031
2010-06-14,14.842859268188477
2010-06-15,15.206692695617676
2010-06-16,14.801509857177734
2010-06-17,15.18188762664795
2010-06-18,15.405146598815918
2010-06-21,14.859395980834961
2010-06-22,14.942083358764648
2010-06-23,14.710552215576172
2010-06-24,14.669208526611328
2010-06-25,14.826322555541992
2010-06-28,14.611324310302734
2010-06-29,14.264028549194336
2010-06-30,14.09037971496582
2010-07-01,13.94153881072998
2010-07-02,13.966341972351074
2010-07-06,14.073841094970703
2010-07-07,14.421136856079102
2010-07-08,14.760168075561523
2010-07-09,14.561711311340332
2010-07-12,14.487292289733887
2010-07-13,14.760168075561523
2010-07-14,14.760168075561523
2010-07-15,15.148811340332031
2010-07-16,14.644399642944336
2010-07-19,14.975163459777832
2010-07-20,15.024775505065918
2010-07-21,14.702281951904297
2010-07-22,14.710552215576172
2010-07-23,14.685746192932129
2010-07-26,15.115737915039062
2010-07-27,14.958621978759766
2010-07-28,14.809778213500977
2010-07-29,14.462482452392578
2010-07-30,14.388062477111816
2010-08-02,14.710552215576172
2010-08-03,14.454214096069336
2010-08-04,14.669208526611328
2010-08-05,14.578248023986816
2010-08-06,14.5947904586792
2010-08-09,14.96689510345459
2010-08-10,14.96689510345459
2010-08-11,14.495561599731445
2010-08-12,14.429408073425293
2010-08-13,14.437674522399902
2010-08-16,14.40460205078125
2010-08-17,14.842859268188477
2010-08-18,14.694014549255371
2010-08-19,14.553443908691406
2010-08-20,14.503829002380371
2010-08-23,14.512094497680664
2010-08-24,14.34671688079834
2010-08-25,14.371525764465332
2010-08-26,14.03249740600586
2010-08-27,14.338448524475098
2010-08-30,14.082108497619629
2010-08-31,14.189605712890625
2010-09-01,14.429408073425293
2010-09-02,14.421136856079102
2010-09-03,14.710552215576172
2010-09-07,14.5947904586792
2010-09-08,14.528635025024414
2010-09-09,14.636134147644043
2010-09-10,14.801509857177734
2010-09-13,14.842859268188477
2010-09-14,14.900740623474121
2010-09-15,14.900740623474121
2010-09-16,15.008237838745117
2010-09-17,15.049581527709961
2010-09-20,15.214966773986816
2010-09-21,15.132271766662598
2010-09-22,15.190155029296875
2010-09-23,15.256308555603027
2010-09-24,15.644952774047852
2010-09-27,15.421686172485352
2010-09-28,15.545722007751465
