Date,SYK
2010-01-04,42.89146423339844
2010-01-05,43.29438781738281
2010-01-06,43.9604606628418
2010-01-07,45.43238067626953
2010-01-08,45.572181701660156
2010-01-11,45.43238067626953
2010-01-12,45.39948272705078
2010-01-13,45.61329650878906
2010-01-14,46.06556701660156
2010-01-15,46.07379913330078
2010-01-19,46.838531494140625
2010-01-20,45.99155044555664
2010-01-21,45.00480270385742
2010-01-22,44.43738555908203
2010-01-25,44.76631164550781
2010-01-26,44.86499786376953
2010-01-27,43.50819778442383
2010-01-28,42.916133880615234
2010-01-29,42.6941032409668
2010-02-01,42.92435073852539
2010-02-02,43.70555877685547
2010-02-03,43.20393753051758
2010-02-04,42.0116081237793
2010-02-05,41.98691940307617
2010-02-08,42.29117202758789
2010-02-09,42.685874938964844
2010-02-10,42.44740676879883
2010-02-11,42.899681091308594
2010-02-12,42.809234619140625
2010-02-16,43.417728424072266
2010-02-17,43.63976287841797
2010-02-18,43.779544830322266
2010-02-19,43.71377182006836
2010-02-22,43.656211853027344
2010-02-23,43.26972198486328
2010-02-24,43.49174118041992
2010-02-25,43.45062255859375
2010-02-26,43.6644287109375
2010-03-01,44.25648498535156
2010-03-02,44.78278732299805
2010-03-03,44.49496078491211
2010-03-04,44.44561767578125
2010-03-05,45.259708404541016
2010-03-08,45.2679328918457
2010-03-09,45.22681427001953
2010-03-10,45.465274810791016
2010-03-11,45.82707977294922
2010-03-12,45.41594314575195
2010-03-15,45.572181701660156
2010-03-16,45.580413818359375
2010-03-17,46.271141052246094
2010-03-18,46.59184265136719
2010-03-19,46.57539749145508
2010-03-22,46.74809265136719
2010-03-23,46.87142562866211
2010-03-24,47.66084671020508
2010-03-25,47.430599212646484
2010-03-26,46.75454330444336
2010-03-29,47.14201736450195
2010-03-30,47.414093017578125
2010-03-31,47.17500686645508
2010-04-01,47.529541015625
2010-04-05,47.69441604614258
2010-04-06,47.6367073059082
2010-04-07,47.13379669189453
2010-04-08,47.0760612487793
2010-04-09,47.521278381347656
2010-04-12,47.521278381347656
2010-04-13,47.14201736450195
2010-04-14,47.57899475097656
2010-04-15,47.89229202270508
2010-04-16,47.191497802734375
2010-04-19,47.381134033203125
2010-04-20,48.189083099365234
2010-04-21,47.7603759765625
2010-04-22,47.58723449707031
2010-04-23,48.551822662353516
2010-04-26,48.48589324951172
2010-04-27,47.43882751464844
2010-04-28,47.88404083251953
2010-04-29,48.3127555847168
2010-04-30,47.35639190673828
2010-05-03,47.91699981689453
2010-05-04,47.364627838134766
2010-05-05,47.17500686645508
2010-05-06,46.37530517578125
2010-05-07,44.61922073364258
2010-05-10,46.87822341918945
2010-05-11,46.78752899169922
2010-05-12,47.17500686645508
2010-05-13,47.381134033203125
2010-05-14,46.54843521118164
2010-05-17,46.63087463378906
2010-05-18,46.09498596191406
2010-05-19,45.93833541870117
2010-05-20,44.42135238647461
2010-05-21,43.44850540161133
2010-05-24,43.84423828125
2010-05-25,43.35782241821289
2010-05-26,43.02802276611328
2010-05-27,44.08333206176758
2010-05-28,43.72056198120117
2010-06-01,43.21765899658203
2010-06-02,44.28118896484375
2010-06-03,44.54500961303711
2010-06-04,42.84665298461914
2010-06-07,41.733642578125
2010-06-08,41.68417739868164
2010-06-09,40.79375457763672
2010-06-10,40.69485092163086
2010-06-11,41.70891189575195
2010-06-14,41.5934944152832
2010-06-15,42.64053726196289
2010-06-16,43.061012268066406
2010-06-17,42.90435791015625
2010-06-18,42.72299575805664
2010-06-21,42.52512741088867
2010-06-22,41.99745559692383
2010-06-23,42.16233825683594
2010-06-24,41.38737869262695
2010-06-25,41.304927825927734
2010-06-28,42.20627212524414
2010-06-29,41.47859191894531
2010-06-30,41.395877838134766
2010-07-01,41.14781188964844
2010-07-02,41.247032165527344
2010-07-06,41.69357681274414
2010-07-07,43.20685577392578
2010-07-08,43.39704895019531
2010-07-09,43.31435775756836
2010-07-12,43.11587905883789
2010-07-13,43.92628860473633
2010-07-14,43.8683967590332
2010-07-15,43.463218688964844
2010-07-16,42.338565826416016
2010-07-19,42.6114501953125
2010-07-20,42.41300582885742
2010-07-21,38.65876007080078
2010-07-22,38.97299575805664
2010-07-23,39.551841735839844
2010-07-26,38.997802734375
2010-07-27,39.27068328857422
2010-07-28,38.741458892822266
2010-07-29,38.16261672973633
2010-07-30,38.509910583496094
2010-08-02,39.35337448120117
2010-08-03,39.49394226074219
2010-08-04,39.62627029418945
2010-08-05,39.742042541503906
2010-08-06,39.667606353759766
2010-08-09,39.75029754638672
2010-08-10,39.38645553588867
2010-08-11,38.55126953125
2010-08-12,38.592613220214844
2010-08-13,38.509910583496094
2010-08-16,38.44375991821289
2010-08-17,38.60915756225586
2010-08-18,38.74972915649414
2010-08-19,37.92280578613281
2010-08-20,37.88146209716797
2010-08-23,38.154335021972656
2010-08-24,35.72317123413086
2010-08-25,35.65703582763672
2010-08-26,35.45855712890625
2010-08-27,36.38472366333008
2010-08-30,36.01261520385742
2010-08-31,35.71492004394531
2010-09-01,36.913963317871094
2010-09-02,37.807044982910156
2010-09-03,38.11300277709961
2010-09-07,38.02203369140625
2010-09-08,37.60856246948242
2010-09-09,38.13779830932617
2010-09-10,38.592613220214844
2010-09-13,39.113582611083984
2010-09-14,40.023189544677734
2010-09-15,40.26298904418945
2010-09-16,40.304344177246094
2010-09-17,39.717227935791016
2010-09-20,40.304344177246094
2010-09-21,40.1141471862793
2010-09-22,39.70895767211914
2010-09-23,39.63454055786133
2010-09-24,41.09819793701172
2010-09-27,40.64338302612305
2010-09-28,41.56407928466797
