Date,MA
2010-01-04,23.649154663085938
2010-01-05,23.579172134399414
2010-01-06,23.54509162902832
2010-01-07,23.391225814819336
2010-01-08,23.399526596069336
2010-01-11,23.014408111572266
2010-01-12,23.001510620117188
2010-01-13,23.599445343017578
2010-01-14,23.99837875366211
2010-01-15,24.198301315307617
2010-01-19,24.391773223876953
2010-01-20,24.2664794921875
2010-01-21,23.816877365112305
2010-01-22,23.19959259033203
2010-01-25,23.258567810058594
2010-01-26,22.904781341552734
2010-01-27,23.61602210998535
2010-01-28,22.982162475585938
2010-01-29,23.02362823486328
2010-02-01,23.347932815551758
2010-02-02,23.26870346069336
2010-02-03,22.80988311767578
2010-02-04,20.46329116821289
2010-02-05,20.33707618713379
2010-02-08,20.85854148864746
2010-02-09,20.586746215820312
2010-02-10,20.90460968017578
2010-02-11,21.098079681396484
2010-02-12,20.773775100708008
2010-02-16,20.757198333740234
2010-02-17,20.71388816833496
2010-02-18,20.453166961669922
2010-02-19,20.511201858520508
2010-02-22,20.65953254699707
2010-02-23,20.455005645751953
2010-02-24,20.43013572692871
2010-02-25,20.40617561340332
2010-02-26,20.671510696411133
2010-03-01,21.442655563354492
2010-03-02,21.356977462768555
2010-03-03,21.388296127319336
2010-03-04,21.46660804748535
2010-03-05,22.069141387939453
2010-03-08,22.628381729125977
2010-03-09,22.708534240722656
2010-03-10,22.99597930908203
2010-03-11,23.050344467163086
2010-03-12,23.030075073242188
2010-03-15,23.040210723876953
2010-03-16,22.972034454345703
2010-03-17,22.908456802368164
2010-03-18,22.691957473754883
2010-03-19,22.513225555419922
2010-03-22,22.763818740844727
2010-03-23,22.62653923034668
2010-03-24,22.542705535888672
2010-03-25,22.672609329223633
2010-03-26,22.686424255371094
2010-03-29,22.8494930267334
2010-03-30,23.254863739013672
2010-03-31,23.4013671875
2010-04-01,23.395837783813477
2010-04-05,23.546939849853516
2010-04-06,23.838998794555664
2010-04-07,23.567960739135742
2010-04-08,23.680435180664062
2010-04-09,23.864803314208984
2010-04-12,23.92841148376465
2010-04-13,23.82977294921875
2010-04-14,24.2565860748291
2010-04-15,24.210493087768555
2010-04-16,23.921955108642578
2010-04-19,23.719152450561523
2010-04-20,24.096189498901367
2010-04-21,24.022432327270508
2010-04-22,24.115543365478516
2010-04-23,24.633625030517578
2010-04-26,24.50088119506836
2010-04-27,23.493297576904297
2010-04-28,23.32275390625
2010-04-29,23.542160034179688
2010-04-30,22.865524291992188
2010-05-03,23.114412307739258
2010-05-04,23.16142463684082
2010-05-05,21.934444427490234
2010-05-06,21.23015785217285
2010-05-07,20.56551170349121
2010-05-10,21.231077194213867
2010-05-11,20.57933235168457
2010-05-12,21.44403648376465
2010-05-13,21.41545295715332
2010-05-14,19.584665298461914
2010-05-17,19.433473587036133
2010-05-18,18.695993423461914
2010-05-19,18.662813186645508
2010-05-20,18.943971633911133
2010-05-21,19.713716506958008
2010-05-24,19.34406089782715
2010-05-25,19.070270538330078
2010-05-26,18.897876739501953
2010-05-27,19.156005859375
2010-05-28,18.600133895874023
2010-06-01,18.472915649414062
2010-06-02,18.530988693237305
2010-06-03,18.621326446533203
2010-06-04,18.129993438720703
2010-06-07,18.44340705871582
2010-06-08,18.210180282592773
2010-06-09,18.018442153930664
2010-06-10,18.908946990966797
2010-06-11,18.886821746826172
2010-06-14,18.82137107849121
2010-06-15,19.319169998168945
2010-06-16,19.41596221923828
2010-06-17,19.727542877197266
2010-06-18,19.75151824951172
2010-06-21,20.58854866027832
2010-06-22,20.367311477661133
2010-06-23,20.266822814941406
2010-06-24,19.809595108032227
2010-06-25,20.132238388061523
2010-06-28,19.498939514160156
2010-06-29,18.712589263916016
2010-06-30,18.39362907409668
2010-07-01,18.699922561645508
2010-07-02,18.70637321472168
2010-07-06,18.453596115112305
2010-07-07,19.149198532104492
2010-07-08,19.342937469482422
2010-07-09,19.882614135742188
2010-07-12,19.711938858032227
2010-07-13,19.800514221191406
2010-07-14,19.665821075439453
2010-07-15,19.540353775024414
2010-07-16,18.19436264038086
2010-07-19,18.066123962402344
2010-07-20,18.939777374267578
2010-07-21,18.589214324951172
2010-07-22,19.225765228271484
2010-07-23,19.644594192504883
2010-07-26,19.63445281982422
2010-07-27,19.76360321044922
2010-07-28,19.381681442260742
2010-07-29,19.22299575805664
2010-07-30,19.377059936523438
2010-08-02,18.68330955505371
2010-08-03,18.5347900390625
2010-08-04,18.939777374267578
2010-08-05,18.60120391845703
2010-08-06,19.13535499572754
2010-08-09,19.824495315551758
2010-08-10,19.959190368652344
2010-08-11,19.342002868652344
2010-08-12,19.542194366455078
2010-08-13,19.432422637939453
2010-08-16,19.413963317871094
2010-08-17,19.745159149169922
2010-08-18,19.637224197387695
2010-08-19,19.270967483520508
2010-08-20,19.038496017456055
2010-08-23,18.929628372192383
2010-08-24,18.68238639831543
2010-08-25,19.01449966430664
2010-08-26,18.743276596069336
2010-08-27,19.061548233032227
2010-08-30,18.699922561645508
2010-08-31,18.299531936645508
2010-09-01,18.550466537475586
2010-09-02,18.887195587158203
2010-09-03,19.094762802124023
2010-09-07,18.498804092407227
2010-09-08,17.934207916259766
2010-09-09,17.71095085144043
2010-09-10,18.279237747192383
2010-09-13,17.807815551757812
2010-09-14,18.427764892578125
2010-09-15,19.389978408813477
2010-09-16,19.400123596191406
2010-09-17,19.711938858032227
2010-09-20,20.176912307739258
2010-09-21,20.018232345581055
2010-09-22,20.2064266204834
2010-09-23,20.24332618713379
2010-09-24,20.44074821472168
2010-09-27,20.51456069946289
2010-09-28,20.57267951965332
