Date,ALL
2010-01-04,21.30791473388672
2010-01-05,21.658254623413086
2010-01-06,21.665260314941406
2010-01-07,21.77737045288086
2010-01-08,21.86845588684082
2010-01-11,21.86845588684082
2010-01-12,21.84743881225586
2010-01-13,22.04363441467285
2010-01-14,22.169761657714844
2010-01-15,21.658254623413086
2010-01-19,21.99458122253418
2010-01-20,21.875478744506836
2010-01-21,21.60219955444336
2010-01-22,21.006620407104492
2010-01-25,21.265867233276367
2010-01-26,21.216819763183594
2010-01-27,21.216819763183594
2010-01-28,20.985593795776367
2010-01-29,20.971586227416992
2010-02-01,20.985593795776367
2010-02-02,21.384984970092773
2010-02-03,20.90151023864746
2010-02-04,20.102733612060547
2010-02-05,20.25687599182129
2010-02-08,19.871501922607422
2010-02-09,20.13075828552246
2010-02-10,20.039669036865234
2010-02-11,20.607227325439453
2010-02-12,20.69130516052246
2010-02-16,21.384984970092773
2010-02-17,21.504112243652344
2010-02-18,21.8964900970459
2010-02-19,21.875478744506836
2010-02-22,22.00860023498535
2010-02-23,21.84743881225586
2010-02-24,21.91750717163086
2010-02-25,21.931522369384766
2010-02-26,21.8964900970459
2010-03-01,22.12071418762207
2010-03-02,22.436017990112305
2010-03-03,22.41499900817871
2010-03-04,22.379962921142578
2010-03-05,22.520103454589844
2010-03-08,22.41499900817871
2010-03-09,22.330915451049805
2010-03-10,22.281557083129883
2010-03-11,22.408479690551758
2010-03-12,22.189897537231445
2010-03-15,21.80912971496582
2010-03-16,21.87259292602539
2010-03-17,22.048870086669922
2010-03-18,22.126436233520508
2010-03-19,22.041818618774414
2010-03-22,21.914899826049805
2010-03-23,22.168737411499023
2010-03-24,22.091176986694336
2010-03-25,22.253355026245117
2010-03-26,22.70462417602539
2010-03-29,22.746936798095703
2010-03-30,22.605907440185547
2010-03-31,22.782190322875977
2010-04-01,22.909109115600586
2010-04-05,23.007823944091797
2010-04-06,23.00077247619629
2010-04-07,23.106536865234375
2010-04-08,23.339229583740234
2010-04-09,23.2475643157959
2010-04-12,23.296918869018555
2010-04-13,23.3110294342041
2010-04-14,24.206518173217773
2010-04-15,24.185361862182617
2010-04-16,23.868072509765625
2010-04-19,24.1077938079834
2010-04-20,24.982133865356445
2010-04-21,24.601377487182617
2010-04-22,24.798810958862305
2010-04-23,24.812908172607422
2010-04-26,24.537919998168945
2010-04-27,23.459095001220703
2010-04-28,23.8116512298584
2010-04-29,23.459095001220703
2010-04-30,23.036033630371094
2010-05-03,23.296918869018555
2010-05-04,22.620012283325195
2010-05-05,23.05013084411621
2010-05-06,22.605907440185547
2010-05-07,22.422578811645508
2010-05-10,23.494354248046875
2010-05-11,23.09244155883789
2010-05-12,23.346277236938477
2010-05-13,22.95847511291504
2010-05-14,22.471948623657227
2010-05-17,22.556549072265625
2010-05-18,22.126436233520508
2010-05-19,22.126436233520508
2010-05-20,21.202735900878906
2010-05-21,21.534149169921875
2010-05-24,21.040563583374023
2010-05-25,21.18158721923828
2010-05-26,20.961536407470703
2010-05-27,21.841726303100586
2010-05-28,21.74234962463379
2010-06-01,21.053810119628906
2010-06-02,21.451326370239258
2010-06-03,21.41583251953125
2010-06-04,20.542726516723633
2010-06-07,20.351070404052734
2010-06-08,20.76278305053711
2010-06-09,20.47884178161621
2010-06-10,21.153194427490234
2010-06-11,21.28095817565918
2010-06-14,21.259668350219727
2010-06-15,21.7707462310791
2010-06-16,21.451326370239258
2010-06-17,21.33774757385254
2010-06-18,21.678478240966797
2010-06-21,21.48680877685547
2010-06-22,21.68556785583496
2010-06-23,21.61458396911621
2010-06-24,20.989925384521484
2010-06-25,21.884328842163086
2010-06-28,21.29515266418457
2010-06-29,20.592418670654297
2010-06-30,20.393667221069336
2010-07-01,20.152315139770508
2010-07-02,20.074230194091797
2010-07-06,19.82579231262207
2010-07-07,20.450443267822266
2010-07-08,20.734376907348633
2010-07-09,20.897642135620117
2010-07-12,20.66340446472168
2010-07-13,20.812467575073242
2010-07-14,20.585315704345703
2010-07-15,20.500139236450195
2010-07-16,19.754802703857422
2010-07-19,19.80449676513672
2010-07-20,20.067134857177734
2010-07-21,19.470863342285156
2010-07-22,19.91806411743164
2010-07-23,20.074230194091797
2010-07-26,20.10972785949707
2010-07-27,20.308481216430664
2010-07-28,20.052947998046875
2010-07-29,20.052947998046875
2010-07-30,20.04584503173828
2010-08-02,20.464641571044922
2010-08-03,20.265892028808594
2010-08-04,20.308481216430664
2010-08-05,20.87635612487793
2010-08-06,20.571125030517578
2010-08-09,21.032508850097656
2010-08-10,20.883451461791992
2010-08-11,20.031646728515625
2010-08-12,20.031646728515625
2010-08-13,19.94645881652832
2010-08-16,19.832887649536133
2010-08-17,20.04584503173828
2010-08-18,20.131025314331055
2010-08-19,19.90387535095215
2010-08-20,19.698020935058594
2010-08-23,19.811599731445312
2010-08-24,19.534759521484375
2010-08-25,19.747713088989258
2010-08-26,19.45667839050293
2010-08-27,20.01442527770996
2010-08-30,19.492427825927734
2010-08-31,19.73554229736328
2010-09-01,20.500654220581055
2010-09-02,20.464895248413086
2010-09-03,21.03695297241211
2010-09-07,20.522109985351562
2010-09-08,20.80813217163086
2010-09-09,21.058399200439453
2010-09-10,21.358722686767578
2010-09-13,21.659046173095703
2010-09-14,21.64474105834961
2010-09-15,21.80205726623535
2010-09-16,22.059476852416992
2010-09-17,22.159584045410156
2010-09-20,22.531414031982422
2010-09-21,22.402706146240234
2010-09-22,22.138132095336914
2010-09-23,21.773454666137695
2010-09-24,22.59577178955078
2010-09-27,22.452760696411133
2010-09-28,22.996200561523438
