Date,BAC
2010-01-04,12.232426643371582
2010-01-05,12.630041122436523
2010-01-06,12.77817153930664
2010-01-07,13.199174880981445
2010-01-08,13.082226753234863
2010-01-11,13.199174880981445
2010-01-12,12.754785537719727
2010-01-13,12.957484245300293
2010-01-14,13.113408088684082
2010-01-15,12.676819801330566
2010-01-19,12.723593711853027
2010-01-20,12.856135368347168
2010-01-21,12.060907363891602
2010-01-22,11.6165189743042
2010-01-25,11.678890228271484
2010-01-26,11.515168190002441
2010-01-27,11.842609405517578
2010-01-28,11.982946395874023
2010-01-29,11.834815979003906
2010-02-01,12.021925926208496
2010-02-02,12.162262916564941
2010-02-03,12.107687950134277
2010-02-04,11.4995756149292
2010-02-05,11.694480895996094
2010-02-08,11.28907299041748
2010-02-09,11.281279563903809
2010-02-10,11.437202453613281
2010-02-11,11.406015396118164
2010-02-12,11.265681266784668
2010-02-16,11.81922435760498
2010-02-17,12.20903491973877
2010-02-18,12.380558967590332
2010-02-19,12.380558967590332
2010-02-22,12.637839317321777
2010-02-23,12.427332878112793
2010-02-24,12.731392860412598
2010-02-25,12.902910232543945
2010-02-26,12.988670349121094
2010-03-01,13.027649879455566
2010-03-02,12.832742691040039
2010-03-03,12.77033519744873
2010-03-04,12.79373550415039
2010-03-05,13.027771949768066
2010-03-08,13.058974266052246
2010-03-09,13.105782508850098
2010-03-10,13.347615242004395
2010-03-11,13.35541820526123
2010-03-12,13.14478874206543
2010-03-15,13.14478874206543
2010-03-16,13.285209655761719
2010-03-17,13.472429275512695
2010-03-18,13.324212074279785
2010-03-19,13.121381759643555
2010-03-22,13.230597496032715
2010-03-23,13.3632173538208
2010-03-24,13.706464767456055
2010-03-25,13.839083671569824
2010-03-26,13.963891983032227
2010-03-29,14.073113441467285
2010-03-30,13.854689598083496
2010-03-31,13.92488956451416
2010-04-01,14.073113441467285
2010-04-05,14.143324851989746
2010-04-06,14.424160957336426
2010-04-07,14.525575637817383
2010-04-08,14.548981666564941
2010-04-09,14.502165794372559
2010-04-12,14.556780815124512
2010-04-13,14.564573287963867
2010-04-14,15.134054183959961
2010-04-15,15.196466445922852
2010-04-16,14.361756324768066
2010-04-19,14.346152305603027
2010-04-20,14.51777458190918
2010-04-21,14.26034164428711
2010-04-22,14.463167190551758
2010-04-23,14.37735366821289
2010-04-26,14.080911636352539
2010-04-27,13.628457069396973
2010-04-28,13.870284080505371
2010-04-29,14.27593994140625
2010-04-30,13.909289360046387
2010-05-03,14.088715553283691
2010-05-04,13.69865894317627
2010-05-05,13.675254821777344
2010-05-06,12.700128555297852
2010-05-07,12.622116088867188
2010-05-10,13.495831489562988
2010-05-11,13.386618614196777
2010-05-12,13.31640911102295
2010-05-13,13.160391807556152
2010-05-14,12.746932983398438
2010-05-17,12.75473403930664
2010-05-18,12.442694664001465
2010-05-19,12.723531723022461
2010-05-20,11.935624122619629
2010-05-21,12.473894119262695
2010-05-24,12.013632774353027
2010-05-25,12.083842277526855
2010-05-26,12.068239212036133
2010-05-27,12.622116088867188
2010-05-28,12.278870582580566
2010-06-01,12.044836044311523
2010-06-02,12.403918266296387
2010-06-03,12.341471672058105
2010-06-04,11.982386589050293
2010-06-07,11.576468467712402
2010-06-08,11.966775894165039
2010-06-09,11.716979026794434
2010-06-10,12.068257331848145
2010-06-11,12.17754077911377
2010-06-14,12.029223442077637
2010-06-15,12.333664894104004
2010-06-16,12.388306617736816
2010-06-17,12.349275588989258
2010-06-18,12.349275588989258
2010-06-21,12.32585620880127
2010-06-22,12.16192626953125
2010-06-23,12.044836044311523
2010-06-24,11.724786758422852
2010-06-25,12.037028312683105
2010-06-28,11.896517753601074
2010-06-29,11.373510360717773
2010-06-30,11.217390060424805
2010-07-01,10.944170951843262
2010-07-02,10.803665161132812
2010-07-06,10.9753999710083
2010-07-07,11.482794761657715
2010-07-08,11.599889755249023
2010-07-09,11.795044898986816
2010-07-12,11.873102188110352
2010-07-13,12.232185363769531
2010-07-14,12.232185363769531
2010-07-15,12.013612747192383
2010-07-16,10.912948608398438
2010-07-19,10.624120712280273
2010-07-20,10.749019622802734
2010-07-21,10.428970336914062
2010-07-22,10.663152694702148
2010-07-23,10.725605010986328
2010-07-26,11.045650482177734
2010-07-27,11.076875686645508
2010-07-28,10.920757293701172
2010-07-29,10.95197868347168
2010-07-30,10.959786415100098
2010-08-02,11.272028923034668
2010-08-03,11.193970680236816
2010-08-04,11.076875686645508
2010-08-05,10.944170951843262
2010-08-06,10.897337913513184
2010-08-09,10.858308792114258
2010-08-10,10.639738082885742
2010-08-11,10.296265602111816
2010-08-12,10.194790840148926
2010-08-13,10.327489852905273
2010-08-16,10.296265602111816
2010-08-17,10.311880111694336
2010-08-18,10.397744178771973
2010-08-19,10.163565635681152
2010-08-20,10.046475410461426
2010-08-23,10.046475410461426
2010-08-24,9.866930961608887
2010-08-25,9.882542610168457
2010-08-26,9.734224319458008
2010-08-27,9.866930961608887
2010-08-30,9.617135047912598
2010-08-31,9.726421356201172
2010-09-01,10.32016372680664
2010-09-02,10.374847412109375
2010-09-03,10.546720504760742
2010-09-07,10.32016372680664
2010-09-08,10.445161819458008
2010-09-09,10.546720504760742
2010-09-10,10.585783958435059
2010-09-13,10.89827823638916
2010-09-14,10.687345504760742
2010-09-15,10.710784912109375
2010-09-16,10.585783958435059
2010-09-17,10.468598365783691
2010-09-20,10.73421859741211
2010-09-21,10.663907051086426
2010-09-22,10.484221458435059
2010-09-23,10.288911819458008
2010-09-24,10.62484359741211
2010-09-27,10.343598365783691
2010-09-28,10.367034912109375
