Date,TFC
2010-01-04,14.903926849365234
2010-01-05,15.117576599121094
2010-01-06,15.437004089355469
2010-01-07,16.05843734741211
2010-01-08,15.878399848937988
2010-01-11,15.878399848937988
2010-01-12,15.93066692352295
2010-01-13,16.20362663269043
2010-01-14,16.56371307373047
2010-01-15,16.1223201751709
2010-01-19,16.360435485839844
2010-01-20,16.552093505859375
2010-01-21,16.888952255249023
2010-01-22,16.348817825317383
2010-01-25,16.0119686126709
2010-01-26,15.564770698547363
2010-01-27,16.42432403564453
2010-01-28,16.44755744934082
2010-01-29,16.18621063232422
2010-02-01,16.389476776123047
2010-02-02,16.505626678466797
2010-02-03,16.145551681518555
2010-02-04,15.640275955200195
2010-02-05,15.97712230682373
2010-02-08,15.75643253326416
2010-02-09,15.797086715698242
2010-02-10,15.895818710327148
2010-02-11,15.791275978088379
2010-02-12,15.634474754333496
2010-02-16,15.919049263000488
2010-02-17,15.808701515197754
2010-02-18,15.826118469238281
2010-02-19,15.860974311828613
2010-02-22,16.383668899536133
2010-02-23,16.11651039123535
2010-02-24,16.54047966003418
2010-02-25,16.395288467407227
2010-02-26,16.569517135620117
2010-03-01,16.145551681518555
2010-03-02,16.151363372802734
2010-03-03,15.90162467956543
2010-03-04,16.151363372802734
2010-03-05,16.569517135620117
2010-03-08,16.674057006835938
2010-03-09,16.737947463989258
2010-03-10,17.20836639404297
2010-03-11,17.667179107666016
2010-03-12,17.82979965209961
2010-03-15,17.876264572143555
2010-03-16,18.346691131591797
2010-03-17,18.677730560302734
2010-03-18,18.53253173828125
2010-03-19,18.497692108154297
2010-03-22,18.584815979003906
2010-03-23,18.642879486083984
2010-03-24,18.654502868652344
2010-03-25,18.75324058532715
2010-03-26,18.73000717163086
2010-03-29,18.700960159301758
2010-03-30,18.567384719848633
2010-03-31,18.811311721801758
2010-04-01,18.857772827148438
2010-04-05,19.119115829467773
2010-04-06,19.4733943939209
2010-04-07,19.380056381225586
2010-04-08,19.64841079711914
2010-04-09,19.747583389282227
2010-04-12,19.864261627197266
2010-04-13,19.54922866821289
2010-04-14,20.155961990356445
2010-04-15,19.940099716186523
2010-04-16,19.695070266723633
2010-04-19,19.840923309326172
2010-04-20,20.16178321838379
2010-04-21,20.482646942138672
2010-04-22,20.033435821533203
2010-04-23,19.998437881469727
2010-04-26,19.444232940673828
2010-04-27,18.99501609802246
2010-04-28,19.07669448852539
2010-04-29,19.555065155029297
2010-04-30,19.3917179107666
2010-05-03,19.93427276611328
2010-05-04,19.56673812866211
2010-05-05,19.368385314941406
2010-05-06,18.796669006347656
2010-05-07,18.80833625793457
2010-05-10,19.84676170349121
2010-05-11,20.313467025756836
2010-05-12,20.77434730529785
2010-05-13,20.517656326293945
2010-05-14,19.864261627197266
2010-05-17,19.677574157714844
2010-05-18,18.98335075378418
2010-05-19,18.837501525878906
2010-05-20,17.74657440185547
2010-05-21,18.29495620727539
2010-05-24,17.559894561767578
2010-05-25,17.804912567138672
2010-05-26,17.571563720703125
2010-05-27,18.131608963012695
2010-05-28,17.641565322875977
2010-06-01,17.36737823486328
2010-06-02,17.92742347717285
2010-06-03,17.76991081237793
2010-06-04,17.05234718322754
2010-06-07,16.82482147216797
2010-06-08,16.906496047973633
2010-06-09,16.748979568481445
2010-06-10,17.577390670776367
2010-06-11,17.624065399169922
2010-06-14,17.38487434387207
2010-06-15,17.705732345581055
2010-06-16,17.676570892333984
2010-06-17,17.338207244873047
2010-06-18,17.25069236755371
2010-06-21,17.16902732849121
2010-06-22,16.95316505432129
2010-06-23,16.813156127929688
2010-06-24,16.433956146240234
2010-06-25,16.778154373168945
2010-06-28,16.64397430419922
2010-06-29,15.914743423461914
2010-06-30,15.348857879638672
2010-07-01,15.418868064880371
2010-07-02,15.179680824279785
2010-07-06,15.477209091186523
2010-07-07,16.046308517456055
2010-07-08,16.157779693603516
2010-07-09,16.53327178955078
2010-07-12,16.498065948486328
2010-07-13,16.773813247680664
2010-07-14,16.38072395324707
2010-07-15,16.245784759521484
2010-07-16,15.47720718383789
2010-07-19,15.31879711151123
2010-07-20,15.576940536499023
2010-07-21,15.201461791992188
2010-07-22,14.867037773132324
2010-07-23,14.984378814697266
2010-07-26,15.248387336730957
2010-07-27,15.307065963745117
2010-07-28,14.996111869812012
2010-07-29,14.696893692016602
2010-07-30,14.567817687988281
2010-08-02,14.872903823852539
2010-08-03,14.556082725524902
2010-08-04,14.720355987548828
2010-08-05,14.814233779907227
2010-08-06,14.784894943237305
2010-08-09,14.872903823852539
2010-08-10,14.808364868164062
2010-08-11,14.215799331665039
2010-08-12,13.986981391906738
2010-08-13,13.981115341186523
2010-08-16,13.963515281677246
2010-08-17,13.992849349975586
2010-08-18,13.986981391906738
2010-08-19,13.658428192138672
2010-08-20,13.558691024780273
2010-08-23,13.271201133728027
2010-08-24,13.142134666442871
2010-08-25,13.059989929199219
2010-08-26,13.065860748291016
2010-08-27,13.329876899719238
2010-08-30,12.831184387207031
2010-08-31,12.977853775024414
2010-09-01,13.511752128601074
2010-09-02,13.564558029174805
2010-09-03,13.822704315185547
2010-09-07,13.31226921081543
2010-09-08,13.617355346679688
2010-09-09,14.039786338806152
2010-09-10,13.875508308410645
2010-09-13,14.297929763793945
2010-09-14,13.746439933776855
2010-09-15,13.846170425415039
2010-09-16,13.658428192138672
2010-09-17,13.511752128601074
2010-09-20,13.893111228942871
2010-09-21,13.934179306030273
2010-09-22,13.881372451782227
2010-09-23,13.863774299621582
2010-09-24,14.3800687789917
2010-09-27,14.11605167388916
2010-09-28,14.121922492980957
