Date,SWKS
2010-01-04,11.973976135253906
2010-01-05,12.159804344177246
2010-01-06,12.0466890335083
2010-01-07,11.909337043762207
2010-01-08,12.119406700134277
2010-01-11,12.127483367919922
2010-01-12,11.885101318359375
2010-01-13,12.159804344177246
2010-01-14,12.386032104492188
2010-01-15,11.941654205322266
2010-01-19,12.006294250488281
2010-01-20,11.885101318359375
2010-01-21,11.715426445007324
2010-01-22,11.15793514251709
2010-01-25,11.271049499511719
2010-01-26,10.802433013916016
2010-01-27,10.955942153930664
2010-01-28,10.697392463684082
2010-01-29,10.253015518188477
2010-02-01,10.697392463684082
2010-02-02,11.052902221679688
2010-02-03,11.125616073608398
2010-02-04,10.818593978881836
2010-02-05,10.891304016113281
2010-02-08,10.915547370910645
2010-02-09,11.117534637451172
2010-02-10,11.109456062316895
2010-02-11,11.222573280334473
2010-02-12,11.20641040802002
2010-02-16,11.408401489257812
2010-02-17,11.56999397277832
2010-02-18,11.820460319519043
2010-02-19,11.780064582824707
2010-02-22,12.353714942932129
2010-02-23,11.917420387268066
2010-02-24,12.281000137329102
2010-02-25,12.09516716003418
2010-02-26,12.337554931640625
2010-03-01,12.66073989868164
2010-03-02,12.733455657958984
2010-03-03,12.555709838867188
2010-03-04,12.539546966552734
2010-03-05,12.741537094116211
2010-03-08,12.862730026245117
2010-03-09,12.76577377319336
2010-03-10,12.725378036499023
2010-03-11,12.628418922424316
2010-03-12,12.410273551940918
2010-03-15,12.410273551940918
2010-03-16,12.66073989868164
2010-03-17,13.00008487701416
2010-03-18,12.781932830810547
2010-03-19,12.377955436706543
2010-03-22,12.676896095275879
2010-03-23,13.258631706237793
2010-03-24,12.967766761779785
2010-03-25,13.185912132263184
2010-03-26,12.895047187805176
2010-03-29,12.749615669250488
2010-03-30,12.951607704162598
2010-03-31,12.604185104370117
2010-04-01,12.51530647277832
2010-04-05,12.911209106445312
2010-04-06,12.84657096862793
2010-04-07,12.717297554016113
2010-04-08,12.59610366821289
2010-04-09,12.725378036499023
2010-04-12,12.76577377319336
2010-04-13,12.854650497436523
2010-04-14,13.153593063354492
2010-04-15,13.26671028137207
2010-04-16,13.056641578674316
2010-04-19,12.773856163024902
2010-04-20,12.9273681640625
2010-04-21,12.870807647705078
2010-04-22,12.644579887390137
2010-04-23,12.563785552978516
2010-04-26,12.725378036499023
2010-04-27,12.458749771118164
2010-04-28,12.701138496398926
2010-04-29,13.121281623840332
2010-04-30,13.597975730895996
2010-05-03,14.090832710266113
2010-05-04,13.573739051818848
2010-05-05,13.27479076385498
2010-05-06,12.547626495361328
2010-05-07,12.127483367919922
2010-05-10,12.749615669250488
2010-05-11,12.668817520141602
2010-05-12,12.951607704162598
2010-05-13,12.733455657958984
2010-05-14,12.59610366821289
2010-05-17,12.377955436706543
2010-05-18,11.731585502624512
2010-05-19,11.868941307067871
2010-05-20,11.49727725982666
2010-05-21,11.780064582824707
2010-05-24,12.038610458374023
2010-05-25,12.0466890335083
2010-05-26,12.13556957244873
2010-05-27,13.024322509765625
2010-05-28,12.870807647705078
2010-06-01,12.693058967590332
2010-06-02,13.4202241897583
2010-06-03,13.557576179504395
2010-06-04,12.983927726745605
2010-06-07,12.491070747375488
2010-06-08,12.507226943969727
2010-06-09,12.353714942932129
2010-06-10,12.757698059082031
2010-06-11,13.177833557128906
2010-06-14,13.27479076385498
2010-06-15,13.929238319396973
2010-06-16,13.87267780303955
2010-06-17,14.30090045928955
2010-06-18,14.446331024169922
2010-06-21,14.13122844696045
2010-06-22,14.02619457244873
2010-06-23,14.236265182495117
2010-06-24,13.8080415725708
2010-06-25,14.212026596069336
2010-06-28,14.470574378967285
2010-06-29,13.743404388427734
2010-06-30,13.565657615661621
2010-07-01,13.484865188598633
2010-07-02,13.444459915161133
2010-07-06,13.193999290466309
2010-07-07,13.969639778137207
2010-07-08,13.856524467468262
2010-07-09,13.93731689453125
2010-07-12,13.896924018859863
2010-07-13,14.171627044677734
2010-07-14,14.244343757629395
2010-07-15,14.187789916992188
2010-07-16,13.759571075439453
2010-07-19,14.001960754394531
2010-07-20,13.8080415725708
2010-07-21,13.905000686645508
2010-07-22,14.583686828613281
2010-07-23,15.14925765991211
2010-07-26,15.456276893615723
2010-07-27,15.254288673400879
2010-07-28,15.125018119812012
2010-07-29,14.62408447265625
2010-07-30,14.163545608520508
2010-08-02,14.616009712219238
2010-08-03,14.438257217407227
2010-08-04,14.680641174316406
2010-08-05,14.446331024169922
2010-08-06,14.785679817199707
2010-08-09,14.809914588928223
2010-08-10,14.486733436584473
2010-08-11,13.969639778137207
2010-08-12,14.01003360748291
2010-08-13,13.775729179382324
2010-08-16,13.840361595153809
2010-08-17,14.13122844696045
2010-08-18,14.365538597106934
2010-08-19,14.187789916992188
2010-08-20,14.284741401672363
2010-08-23,13.93731689453125
2010-08-24,13.961554527282715
2010-08-25,13.87267780303955
2010-08-26,13.993874549865723
2010-08-27,14.858389854431152
2010-08-30,14.373615264892578
2010-08-31,14.397858619689941
2010-09-01,14.76143741607666
2010-09-02,14.906871795654297
2010-09-03,15.254288673400879
2010-09-07,14.97958755493164
2010-09-08,15.15733814239502
2010-09-09,15.189661026000977
2010-09-10,14.817995071411133
2010-09-13,15.181578636169434
2010-09-14,15.488601684570312
2010-09-15,15.561324119567871
2010-09-16,15.698668479919434
2010-09-17,15.91682243347168
2010-09-20,15.989531517028809
2010-09-21,15.9572172164917
2010-09-22,16.086496353149414
2010-09-23,16.13497543334961
2010-09-24,16.84596824645996
2010-09-27,16.870216369628906
2010-09-28,17.039884567260742
