Date,CVS
2010-01-04,22.69671058654785
2010-01-05,22.607242584228516
2010-01-06,22.40766143798828
2010-01-07,23.233501434326172
2010-01-08,23.39866065979004
2010-01-11,23.35048484802246
2010-01-12,23.09586524963379
2010-01-13,23.378013610839844
2010-01-14,23.364253997802734
2010-01-15,23.336732864379883
2010-01-19,23.364253997802734
2010-01-20,23.35597038269043
2010-01-21,22.935094833374023
2010-01-22,22.935094833374023
2010-01-25,22.797090530395508
2010-01-26,22.63840103149414
2010-01-27,22.40380096435547
2010-01-28,22.307201385498047
2010-01-29,22.334802627563477
2010-02-01,22.71429443359375
2010-02-02,23.031681060791016
2010-02-03,22.369306564331055
2010-02-04,21.493024826049805
2010-02-05,21.437820434570312
2010-02-08,22.576297760009766
2010-02-09,22.576297760009766
2010-02-10,22.583192825317383
2010-02-11,22.91439437866211
2010-02-12,22.762588500976562
2010-02-16,23.128284454345703
2010-02-17,23.452573776245117
2010-02-18,23.54227066040039
2010-02-19,23.67336654663086
2010-02-22,23.611268997192383
2010-02-23,23.562971115112305
2010-02-24,23.81136131286621
2010-02-25,23.459470748901367
2010-02-26,23.28697967529297
2010-03-01,23.742368698120117
2010-03-02,23.914865493774414
2010-03-03,23.970067977905273
2010-03-04,24.059757232666016
2010-03-05,24.170154571533203
2010-03-08,24.03215789794922
2010-03-09,23.92866325378418
2010-03-10,24.045961380004883
2010-03-11,23.914865493774414
2010-03-12,23.894166946411133
2010-03-15,23.96316146850586
2010-03-16,24.101163864135742
2010-03-17,24.294355392456055
2010-03-18,24.211563110351562
2010-03-19,23.838960647583008
2010-03-22,24.280555725097656
2010-03-23,24.78424072265625
2010-03-24,24.50135040283203
2010-03-25,25.129241943359375
2010-03-26,25.38453483581543
2010-03-29,25.57773208618164
2010-03-30,25.550138473510742
2010-03-31,25.2258358001709
2010-04-01,24.998138427734375
2010-04-05,24.846336364746094
2010-04-06,24.735942840576172
2010-04-07,24.604854583740234
2010-04-08,25.163738250732422
2010-04-09,25.688119888305664
2010-04-12,25.515626907348633
2010-04-13,25.65363883972168
2010-04-14,25.708826065063477
2010-04-15,25.784738540649414
2010-04-16,25.626026153564453
2010-04-19,25.550138473510742
2010-04-20,25.667423248291016
2010-04-21,25.520797729492188
2010-04-22,25.472389221191406
2010-04-23,25.596885681152344
2010-04-26,25.500057220458984
2010-04-27,25.07816505432129
2010-04-28,25.666046142578125
2010-04-29,25.769790649414062
2010-04-30,25.53462791442871
2010-05-03,25.645299911499023
2010-05-04,25.230323791503906
2010-05-05,24.939844131469727
2010-05-06,24.372711181640625
2010-05-07,24.109905242919922
2010-05-10,25.015918731689453
2010-05-11,24.725440979003906
2010-05-12,25.119657516479492
2010-05-13,25.24414825439453
2010-05-14,24.746191024780273
2010-05-17,24.808429718017578
2010-05-18,24.34504508972168
2010-05-19,24.17214012145996
2010-05-20,23.418275833129883
2010-05-21,23.722591400146484
2010-05-24,23.48052215576172
2010-05-25,23.563507080078125
2010-05-26,23.35603141784668
2010-05-27,23.923158645629883
2010-05-28,23.950820922851562
2010-06-01,23.750259399414062
2010-06-02,24.34504508972168
2010-06-03,24.24822235107422
2010-06-04,23.369857788085938
2010-06-07,21.467910766601562
2010-06-08,21.550905227661133
2010-06-09,21.212011337280273
2010-06-10,22.06270408630371
2010-06-11,22.187192916870117
2010-06-14,22.04195213317871
2010-06-15,22.277099609375
2010-06-16,22.048866271972656
2010-06-17,22.021203994750977
2010-06-18,22.42925453186035
2010-06-21,21.97970199584961
2010-06-22,21.716880798339844
2010-06-23,21.737638473510742
2010-06-24,21.295001983642578
2010-06-25,21.16359519958496
2010-06-28,21.36416244506836
2010-06-29,20.624126434326172
2010-06-30,20.2783145904541
2010-07-01,20.2160701751709
2010-07-02,20.112327575683594
2010-07-06,19.745765686035156
2010-07-07,20.14691162109375
2010-07-08,20.354400634765625
2010-07-09,20.610300064086914
2010-07-12,20.72787094116211
2010-07-13,21.129003524780273
2010-07-14,21.212011337280273
2010-07-15,21.288084030151367
2010-07-16,20.776290893554688
2010-07-19,20.85927963256836
2010-07-20,21.149227142333984
2010-07-21,20.781585693359375
2010-07-22,20.75383949279785
2010-07-23,21.454425811767578
2010-07-26,21.50298309326172
2010-07-27,21.225522994995117
2010-07-28,21.877553939819336
2010-07-29,21.433618545532227
2010-07-30,21.287948608398438
2010-08-02,21.586214065551758
2010-08-03,21.405868530273438
2010-08-04,21.19777488708496
2010-08-05,20.892568588256836
2010-08-06,20.69835662841797
2010-08-09,20.80933952331543
2010-08-10,20.58737564086914
2010-08-11,19.85210418701172
2010-08-12,20.07406997680664
2010-08-13,19.907596588134766
2010-08-16,19.907596588134766
2010-08-17,20.03245735168457
2010-08-18,20.150373458862305
2010-08-19,19.782745361328125
2010-08-20,19.415119171142578
2010-08-23,19.748056411743164
2010-08-24,19.373483657836914
2010-08-25,19.44285774230957
2010-08-26,19.255571365356445
2010-08-27,19.0821590423584
2010-08-30,19.01973533630371
2010-08-31,18.714527130126953
2010-09-01,19.408170700073242
2010-09-02,19.63707733154297
2010-09-03,19.893722534179688
2010-09-07,19.546907424926758
2010-09-08,19.761924743652344
2010-09-09,19.942283630371094
2010-09-10,20.12956428527832
2010-09-13,20.275230407714844
2010-09-14,20.302978515625
2010-09-15,20.413969039916992
2010-09-16,20.448637008666992
2010-09-17,20.691415786743164
2010-09-20,21.017425537109375
2010-09-21,20.837087631225586
2010-09-22,20.87176513671875
2010-09-23,20.739971160888672
2010-09-24,21.50991439819336
2010-09-27,21.232458114624023
2010-09-28,21.81511878967285
