Date,AAPL
2010-01-04,6.424605369567871
2010-01-05,6.435712814331055
2010-01-06,6.333343982696533
2010-01-07,6.321634769439697
2010-01-08,6.363663673400879
2010-01-11,6.307526588439941
2010-01-12,6.235777854919434
2010-01-13,6.323736667633057
2010-01-14,6.287113189697266
2010-01-15,6.182043552398682
2010-01-19,6.455526351928711
2010-01-20,6.3561601638793945
2010-01-21,6.2462873458862305
2010-01-22,5.936478614807129
2010-01-25,6.096184253692627
2010-01-26,6.182344436645508
2010-01-27,6.240581512451172
2010-01-28,5.982710361480713
2010-01-29,5.7656636238098145
2010-02-01,5.845817565917969
2010-02-02,5.879738807678223
2010-02-03,5.9809064865112305
2010-02-04,5.765364170074463
2010-02-05,5.867732524871826
2010-02-08,5.8275065422058105
2010-02-09,5.8896484375
2010-02-10,5.8575263023376465
2010-02-11,5.964097499847412
2010-02-12,6.015430450439453
2010-02-16,6.106091022491455
2010-02-17,6.080576419830322
2010-02-18,6.091982364654541
2010-02-19,6.05415678024292
2010-02-22,6.01663064956665
2010-02-23,5.915765285491943
2010-02-24,6.023836135864258
2010-02-25,6.064064025878906
2010-02-26,6.142716884613037
2010-03-01,6.2739033699035645
2010-03-02,6.2697014808654785
2010-03-03,6.284111022949219
2010-03-04,6.32553768157959
2010-03-05,6.57290506362915
2010-03-08,6.576808452606201
2010-03-09,6.6950860023498535
2010-03-10,6.749720573425293
2010-03-11,6.769536972045898
2010-03-12,6.802560329437256
2010-03-15,6.719701290130615
2010-03-16,6.7380146980285645
2010-03-17,6.728109359741211
2010-03-18,6.744016170501709
2010-03-19,6.671970367431641
2010-03-22,6.747021675109863
2010-03-23,6.855395793914795
2010-03-24,6.885713577270508
2010-03-25,6.80405855178833
2010-03-26,6.931644439697266
2010-03-29,6.976374626159668
2010-03-30,7.080244064331055
2010-03-31,7.054726600646973
2010-04-01,7.0838470458984375
2010-04-05,7.1594953536987305
2010-04-06,7.191017150878906
2010-04-07,7.222838878631592
2010-04-08,7.203327178955078
2010-04-09,7.258563995361328
2010-04-12,7.2735748291015625
2010-04-13,7.277775287628174
2010-04-14,7.375644207000732
2010-04-15,7.472605228424072
2010-04-16,7.426977634429932
2010-04-19,7.417069911956787
2010-04-20,7.342621803283691
2010-04-21,7.781811714172363
2010-04-22,7.999459266662598
2010-04-23,8.130349159240723
2010-04-26,8.090418815612793
2010-04-27,7.8664727210998535
2010-04-28,7.853265285491943
2010-04-29,8.064606666564941
2010-04-30,7.837947845458984
2010-05-03,7.995858669281006
2010-05-04,7.765603065490723
2010-05-05,7.684849262237549
2010-05-06,7.392454624176025
2010-05-07,7.08054256439209
2010-05-10,7.624809265136719
2010-05-11,7.700758934020996
2010-05-12,7.867975234985352
2010-05-13,7.7559990882873535
2010-05-14,7.619704246520996
2010-05-17,7.6317138671875
2010-05-18,7.575876235961914
2010-05-19,7.455191612243652
2010-05-20,7.1375861167907715
2010-05-21,7.274473667144775
2010-05-24,7.4077630043029785
2010-05-25,7.3615312576293945
2010-05-26,7.328210353851318
2010-05-27,7.605594635009766
2010-05-28,7.71156644821167
2010-06-01,7.8301472663879395
2010-06-02,7.9238128662109375
2010-06-03,7.898891925811768
2010-06-04,7.683948516845703
2010-06-07,7.5332489013671875
2010-06-08,7.4849138259887695
2010-06-09,7.300892353057861
2010-06-10,7.5203399658203125
2010-06-11,7.610397815704346
2010-06-14,7.633514404296875
2010-06-15,7.795921802520752
2010-06-16,8.022876739501953
2010-06-17,8.161567687988281
2010-06-18,8.22761344909668
2010-06-21,8.110536575317383
2010-06-22,8.221009254455566
2010-06-23,8.134552001953125
2010-06-24,8.075409889221191
2010-06-25,8.006365776062012
2010-06-28,8.054394721984863
2010-06-29,7.690252780914307
2010-06-30,7.550959587097168
2010-07-01,7.459396839141846
2010-07-02,7.413165092468262
2010-07-06,7.463902473449707
2010-07-07,7.765301704406738
2010-07-08,7.747891426086426
2010-07-09,7.793821334838867
2010-07-12,7.723873615264893
2010-07-13,7.559065818786621
2010-07-14,7.586982250213623
2010-07-15,7.548558712005615
2010-07-16,7.5020294189453125
2010-07-19,7.372341156005859
2010-07-20,7.561765193939209
2010-07-21,7.632314682006836
2010-07-22,7.775812149047852
2010-07-23,7.803431510925293
2010-07-26,7.78361701965332
2010-07-27,7.927713871002197
2010-07-28,7.834048748016357
2010-07-29,7.748489856719971
2010-07-30,7.722675800323486
2010-08-02,7.860767364501953
2010-08-03,7.8631696701049805
2010-08-04,7.894689083099365
2010-08-05,7.856268882751465
2010-08-06,7.807934284210205
2010-08-09,7.857766151428223
2010-08-10,7.787515163421631
2010-08-11,7.510736465454102
2010-08-12,7.5587663650512695
2010-08-13,7.4780120849609375
2010-08-16,7.434183597564697
2010-08-17,7.564167499542236
2010-08-18,7.597192287445068
2010-08-19,7.501426696777344
2010-08-20,7.4942216873168945
2010-08-23,7.378944396972656
2010-08-24,7.2027268409729
2010-08-25,7.291585445404053
2010-08-26,7.213234901428223
2010-08-27,7.253461837768555
2010-08-30,7.279877662658691
2010-08-31,7.297889709472656
2010-09-01,7.5149335861206055
2010-09-02,7.5701727867126465
2010-09-03,7.768303871154785
2010-09-07,7.7394843101501465
2010-09-08,7.892888069152832
2010-09-09,7.897391319274902
2010-09-10,7.907597541809082
2010-09-13,8.016573905944824
2010-09-14,8.047192573547363
2010-09-15,8.11203384399414
2010-09-16,8.30266284942627
2010-09-17,8.266643524169922
2010-09-20,8.502595901489258
2010-09-21,8.518805503845215
2010-09-22,8.638289451599121
2010-09-23,8.673412322998047
2010-09-24,8.775480270385742
