Date,CSCO
2010-01-04,16.158164978027344
2010-01-05,16.086183547973633
2010-01-06,15.981466293334961
2010-01-07,16.0534610748291
2010-01-08,16.138530731201172
2010-01-11,16.09272003173828
2010-01-12,15.837496757507324
2010-01-13,16.125442504882812
2010-01-14,16.328323364257812
2010-01-15,15.968382835388184
2010-01-19,16.262874603271484
2010-01-20,15.974925994873047
2010-01-21,15.693512916564941
2010-01-22,15.032529830932617
2010-01-25,15.045612335205078
2010-01-26,14.986716270446777
2010-01-27,15.150325775146484
2010-01-28,14.738030433654785
2010-01-29,14.705309867858887
2010-02-01,14.875459671020508
2010-02-02,15.065247535705566
2010-02-03,15.097970008850098
2010-02-04,15.15687370300293
2010-02-05,15.510272979736328
2010-02-08,15.37938117980957
2010-02-09,15.634617805480957
2010-02-10,15.549531936645508
2010-02-11,15.660786628723145
2010-02-12,15.549531936645508
2010-02-16,15.70660400390625
2010-02-17,15.752409934997559
2010-02-18,15.889849662780762
2010-02-19,15.942195892333984
2010-02-22,15.902935028076172
2010-02-23,15.739325523376465
2010-02-24,15.929120063781738
2010-02-25,15.922567367553711
2010-02-26,15.922567367553711
2010-03-01,16.099266052246094
2010-03-02,16.105810165405273
2010-03-03,16.25633430480957
2010-03-04,16.328323364257812
2010-03-05,16.498472213745117
2010-03-08,17.100561141967773
2010-03-09,17.100561141967773
2010-03-10,16.93041229248047
2010-03-11,16.995851516723633
2010-03-12,16.936954498291016
2010-03-15,17.067838668823242
2010-03-16,17.113649368286133
2010-03-17,17.185644149780273
2010-03-18,17.23799705505371
2010-03-19,17.113649368286133
2010-03-22,17.19873046875
2010-03-23,17.434326171875
2010-03-24,17.309986114501953
2010-03-25,17.296892166137695
2010-03-26,17.323078155517578
2010-03-29,17.349252700805664
2010-03-30,17.44087791442871
2010-03-31,17.035123825073242
2010-04-01,16.90423583984375
2010-04-05,17.12674331665039
2010-04-06,17.159461975097656
2010-04-07,17.23799705505371
2010-04-08,17.19873046875
2010-04-09,17.408151626586914
2010-04-12,17.36233901977539
2010-04-13,17.303443908691406
2010-04-14,17.591394424438477
2010-04-15,17.807363510131836
2010-04-16,17.656837463378906
2010-04-19,17.715736389160156
2010-04-20,17.78772735595703
2010-04-21,17.826997756958008
2010-04-22,17.879344940185547
2010-04-23,17.977516174316406
2010-04-26,18.042957305908203
2010-04-27,17.676471710205078
2010-04-28,17.696107864379883
2010-04-29,18.01677894592285
2010-04-30,17.624120712280273
2010-05-03,18.02332305908203
2010-05-04,17.381967544555664
2010-05-05,17.375429153442383
2010-05-06,16.681720733642578
2010-05-07,16.17125701904297
2010-05-10,17.100561141967773
2010-05-11,16.98931121826172
2010-05-12,17.499774932861328
2010-05-13,16.707901000976562
2010-05-14,16.321773529052734
2010-05-17,16.27596664428711
2010-05-18,15.942195892333984
2010-05-19,15.876762390136719
2010-05-20,15.255035400390625
2010-05-21,15.35319995880127
2010-05-24,15.294302940368652
2010-05-25,15.255035400390625
2010-05-26,14.980169296264648
2010-05-27,15.490643501281738
2010-05-28,15.15687370300293
2010-06-01,15.05215835571289
2010-06-02,15.281219482421875
2010-06-03,15.523359298706055
2010-06-04,15.02598762512207
2010-06-07,14.89509391784668
2010-06-08,15.02598762512207
2010-06-09,14.908184051513672
2010-06-10,14.901643753051758
2010-06-11,14.993267059326172
2010-06-14,14.89509391784668
2010-06-15,15.268115997314453
2010-06-16,15.241944313049316
2010-06-17,15.163410186767578
2010-06-18,15.372838020324707
2010-06-21,15.274669647216797
2010-06-22,15.032529830932617
2010-06-23,14.960537910461426
2010-06-24,14.770750045776367
2010-06-25,14.51551628112793
2010-06-28,14.672589302062988
2010-06-29,14.149032592773438
2010-06-30,13.946152687072754
2010-07-01,13.913437843322754
2010-07-02,13.828353881835938
2010-07-06,13.965782165527344
2010-07-07,14.711849212646484
2010-07-08,14.757658004760742
2010-07-09,14.855826377868652
2010-07-12,14.960537910461426
2010-07-13,15.111062049865723
2010-07-14,15.536447525024414
2010-07-15,15.654244422912598
2010-07-16,14.888547897338867
2010-07-19,14.875459671020508
2010-07-20,15.084883689880371
2010-07-21,14.76420783996582
2010-07-22,15.228859901428223
2010-07-23,15.281219482421875
2010-07-26,15.451374053955078
2010-07-27,15.24849796295166
2010-07-28,15.307394981384277
2010-07-29,15.189593315124512
2010-07-30,15.097970008850098
2010-08-02,15.575715065002441
2010-08-03,15.5888032913208
2010-08-04,15.798222541809082
2010-08-05,15.81786060333252
2010-08-06,15.752409934997559
2010-08-09,16.210521697998047
2010-08-10,15.90947437286377
2010-08-11,15.529902458190918
2010-08-12,13.978876113891602
2010-08-13,13.978876113891602
2010-08-16,14.338818550109863
2010-08-17,14.430435180664062
2010-08-18,14.666040420532227
2010-08-19,14.541698455810547
2010-08-20,14.548238754272461
2010-08-23,14.188297271728516
2010-08-24,13.828353881835938
2010-08-25,13.880708694458008
2010-08-26,13.54694652557373
2010-08-27,13.618934631347656
2010-08-30,13.298253059387207
2010-08-31,13.082294464111328
2010-09-01,13.258990287780762
2010-09-02,13.429143905639648
2010-09-03,13.769451141357422
2010-09-07,13.468415260314941
2010-09-08,13.507675170898438
2010-09-09,13.488041877746582
2010-09-10,13.494584083557129
2010-09-13,13.913437843322754
2010-09-14,14.0377779006958
2010-09-15,14.129400253295898
2010-09-16,14.351905822753906
2010-09-17,14.30610179901123
2010-09-20,14.234111785888672
2010-09-21,14.162118911743164
2010-09-22,14.181751251220703
2010-09-23,14.090134620666504
2010-09-24,14.456618309020996
2010-09-27,14.469703674316406
2010-09-28,14.30610179901123
