Date,Close,Volume
2010-01-04,6.800990104675293,2705200
2010-01-05,6.836524963378906,1854400
2010-01-06,6.799213409423828,2583200
2010-01-07,6.761906623840332,2227200
2010-01-08,6.767233848571777,1298800
2010-01-11,6.779670238494873,1304800
2010-01-12,6.847182273864746,1262800
2010-01-13,6.884491443634033,1285600
2010-01-14,6.886269569396973,1430000
2010-01-15,6.85073709487915,1252800
2010-01-19,6.905813217163086,1745200
2010-01-20,6.877230644226074,1169200
2010-01-21,6.889733791351318,2625600
2010-01-22,6.898667812347412,1940800
2010-01-25,6.8950910568237305,1884400
2010-01-26,6.904027938842773,1164800
2010-01-27,6.95225715637207,1581600
2010-01-28,6.907598972320557,1787200
2010-01-29,6.912959098815918,1996800
2010-02-01,6.98798131942749,2498800
2010-02-02,7.080869197845459,2017200
2010-02-03,7.045142650604248,1518400
2010-02-04,6.934391498565674,1852000
2010-02-05,6.96654748916626,2098800
2010-02-08,6.9415388107299805,1730000
2010-02-09,7.009416103363037,1414000
2010-02-10,7.077297687530518,1916000
2010-02-11,7.1094489097595215,1276000
2010-02-12,7.084444046020508,2121200
2010-02-16,7.191620349884033,2831200
2010-02-17,7.250566482543945,2933200
2010-02-18,7.55066442489624,7535600
2010-02-19,7.420262813568115,5826400
2010-02-22,7.432769775390625,2711600
2010-02-23,7.357743263244629,3058400
2010-02-24,7.400615692138672,2748000
2010-02-25,7.355958461761475,2755200
2010-02-26,7.343456745147705,2124400
2010-03-01,7.382756233215332,1599600
2010-03-02,7.4720683097839355,2898800
2010-03-03,7.393470764160156,2535200
2010-03-04,7.466708660125732,1935200
2010-03-05,7.473853588104248,2484800
2010-03-08,7.445271015167236,2328400
2010-03-09,7.445271015167236,2424800
2010-03-10,7.436343669891357,2031600
2010-03-11,7.423838138580322,1496800
2010-03-12,7.372038841247559,2466400
2010-03-15,7.38096809387207,1585600
2010-03-16,7.393470764160156,1366000
2010-03-17,7.425624847412109,1717600
2010-03-18,7.423838138580322,1782800
2010-03-19,7.395257472991943,2388800
2010-03-22,7.432769775390625,1498400
2010-03-23,7.4720683097839355,1370800
2010-03-24,7.477424621582031,1708800
2010-03-25,7.441702365875244,2067600
2010-03-26,7.49350118637085,2565600
2010-03-29,7.58103084564209,2113600
2010-03-30,7.538161277770996,1986000
2010-03-31,7.50421667098999,1378800
2010-04-01,7.532800197601318,1051600
2010-04-05,7.489931106567383,1515600
2010-04-06,7.4649224281311035,1753200
2010-04-07,7.4595627784729,1498000
2010-04-08,7.423838138580322,1508000
2010-04-09,7.4595627784729,1173200
2010-04-12,7.463136672973633,1804000
2010-04-13,7.491718292236328,1595200
2010-04-14,7.533009052276611,1426000
2010-04-15,7.550960540771484,1322000
2010-04-16,7.509671211242676,3335600
2010-04-19,7.50787353515625,2135200
2010-04-20,7.493510723114014,3057200
2010-04-21,7.457603931427002,3566000
2010-04-22,7.215243816375732,5016800
2010-04-23,7.184722423553467,3004800
2010-04-26,7.0105814933776855,5917200
2010-04-27,7.039304256439209,4076400
2010-04-28,7.118298053741455,3115200
2010-04-29,7.290643692016602,4012400
2010-04-30,7.317573070526123,4194000
2010-05-03,7.346296787261963,3177200
2010-05-04,7.236786365509033,3000000
2010-05-05,7.321164608001709,3044000
2010-05-06,7.222424030303955,5147200
2010-05-07,7.2206315994262695,3926800
2010-05-10,7.396567344665527,2565600
2010-05-11,7.3678460121154785,2284400
2010-05-12,7.409137725830078,2544400
2010-05-13,7.401951313018799,1918000
2010-05-14,7.35706901550293,1891200
2010-05-17,7.452221870422363,2484800
2010-05-18,7.500693321228027,3332400
2010-05-19,7.3032145500183105,6141600
2010-05-20,7.218834400177002,4730400
2010-05-21,7.1721577644348145,4329200
2010-05-24,7.17036247253418,2435600
2010-05-25,7.096755504608154,3328400
2010-05-26,7.120094299316406,3886400
2010-05-27,7.164976119995117,3792400
2010-05-28,7.145226001739502,3142800
2010-06-01,7.191903591156006,2926000
2010-06-02,7.317573070526123,2996000
2010-06-03,7.39836311340332,2476400
2010-06-04,7.27089786529541,3379600
2010-06-07,7.247558116912842,2628800
2010-06-08,7.333730220794678,3164000
2010-06-09,7.3355255126953125,2269200
2010-06-10,7.468380451202393,1748400
2010-06-11,7.450424671173096,1735200
2010-06-14,7.504284381866455,2213600
2010-06-15,7.572504043579102,1939200
2010-06-16,7.504284381866455,1863600
2010-06-17,7.651494979858398,2248800
2010-06-18,7.5671186447143555,2014400
2010-06-21,7.520442485809326,1179600
2010-06-22,7.468380451202393,1222400
2010-06-23,7.574299335479736,2835600
2010-06-24,7.541982650756836,2275600
2010-06-25,7.461197376251221,2872800
2010-06-28,7.525827407836914,1366400
2010-06-29,7.405541896820068,2798800
2010-06-30,7.267305850982666,3833200
2010-07-01,7.371435165405273,3376800
2010-07-02,7.385793209075928,2494800
2010-07-06,7.450424671173096,2424400
2010-07-07,7.5114641189575195,2454000
2010-07-08,7.543780326843262,1898800
2010-07-09,7.574299335479736,1896800
2010-07-12,7.543780326843262,1699600
2010-07-13,7.6676530838012695,2432000
2010-07-14,7.678427219390869,1743600
2010-07-15,7.683815956115723,1366000
2010-07-16,7.55634880065918,2158800
2010-07-19,7.570706844329834,1829600
2010-07-20,7.678427219390869,2284800
2010-07-21,7.5719828605651855,2464800
2010-07-22,7.645953178405762,1873200
2010-07-23,7.7145094871521,2289600
2010-07-26,7.929201602935791,4079600
2010-07-27,7.918377876281738,2752800
2010-07-28,7.790283679962158,1906000
2010-07-29,7.707291126251221,1610400
2010-07-30,7.7433762550354,2092000
2010-08-02,7.7975006103515625,1753600
2010-08-03,7.766830921173096,1222800
2010-08-04,7.806520938873291,2408800
2010-08-05,7.756005764007568,1305600
2010-08-06,7.732550621032715,2019600
2010-08-09,7.790283679962158,1322800
2010-08-10,7.862446308135986,2157200
2010-08-11,7.7145094871521,2288800
2010-08-12,7.701879501342773,2245200
2010-08-13,7.739767074584961,1921200
2010-08-16,7.745180606842041,3177600
2010-08-17,7.837193965911865,2576400
2010-08-18,7.867860317230225,2465600
2010-08-19,7.824561595916748,2840800
2010-08-20,7.844409465789795,3010000
2010-08-23,7.884099006652832,2568000
2010-08-24,7.822756290435791,3725200
2010-08-25,7.71992301940918,3568400
2010-08-26,7.766830921173096,2362000
2010-08-27,7.779458999633789,2101200
2010-08-30,7.703686714172363,1748000
2010-08-31,7.784870624542236,3563200
2010-09-01,7.866053581237793,2615200
2010-09-02,7.936416149139404,2004000
2010-09-03,7.9977593421936035,1518400
2010-09-07,7.905750274658203,1680400
2010-09-08,7.949049472808838,1377200
2010-09-09,7.9634809494018555,1209600
2010-09-10,8.037449836730957,1328000
2010-09-13,8.01760482788086,1166000
2010-09-14,8.033838272094727,2062800
2010-09-15,8.035643577575684,2294800
2010-09-16,7.988739490509033,1842000
2010-09-17,7.967088222503662,2147200
2010-09-20,8.008584976196289,1568000
2010-09-21,8.02842903137207,2983200
2010-09-22,8.0194091796875,1867200
2010-09-23,8.001368522644043,1380000
2010-09-24,8.087965965270996,1394000
2010-09-27,8.046469688415527,1328400
2010-09-28,8.071727752685547,2116000
2010-09-29,8.01760482788086,1822000
2010-09-30,8.046469688415527,2197200
2010-10-01,8.057292938232422,1388400
2010-10-04,8.048276901245117,1784800
2010-10-05,8.165543556213379,2244400
2010-10-06,8.201629638671875,1591600
2010-10-07,8.151107788085938,4424400
2010-10-08,8.17636775970459,4840800
2010-10-11,8.095184326171875,1845600
2010-10-12,7.990545272827148,6525600
2010-10-13,8.0807523727417,3553600
2010-10-14,8.133072853088379,2309200
2010-10-15,8.107810020446777,2791200
2010-10-18,8.095184326171875,1639600
2010-10-19,8.053689956665039,2318000
2010-10-20,8.095379829406738,1508000
2010-10-21,8.1116943359375,1244000
2010-10-22,8.166072845458984,1555600
2010-10-25,8.171510696411133,1420800
2010-10-26,8.175135612487793,1531200
2010-10-27,8.155196189880371,1211200
2010-10-28,8.187826156616211,961200
2010-10-29,8.323771476745605,1769200
2010-11-01,8.280271530151367,2261200
2010-11-02,8.29114818572998,2474400
2010-11-03,8.303836822509766,1002400
2010-11-04,8.314713478088379,1614800
2010-11-05,8.327398300170898,1484800
2010-11-08,8.292962074279785,1286000
2010-11-09,8.29114818572998,1310000
2010-11-10,8.314713478088379,1174800
2010-11-11,8.305651664733887,1298000
2010-11-12,8.280271530151367,1694000
2010-11-15,8.356400489807129,1629200
2010-11-16,8.265769958496094,2013600
2010-11-17,8.318336486816406,1634800
2010-11-18,8.501419067382812,1876800
2010-11-19,8.635553359985352,2432400
2010-11-22,8.688122749328613,2234000
2010-11-23,8.90926742553711,5420800
2010-11-24,8.87845230102539,3168000
2010-11-26,8.98177433013916,1755200
2010-11-29,8.90564250946045,2329200
2010-11-30,8.896581649780273,1957600
2010-12-01,9.037969589233398,2676800
2010-12-02,9.021650314331055,2424000
2010-12-03,9.00533676147461,1756400
2010-12-06,9.00715160369873,1394000
2010-12-07,9.048845291137695,1964400
2010-12-08,9.039779663085938,1711200
