Date,COST
2010-01-04,42.2215461730957
2010-01-05,42.09361267089844
2010-01-06,42.64084243774414
2010-01-07,42.43476104736328
2010-01-08,42.12915802001953
2010-01-11,42.17890930175781
2010-01-12,41.951499938964844
2010-01-13,42.21444320678711
2010-01-14,41.73117446899414
2010-01-15,41.78093338012695
2010-01-19,41.894630432128906
2010-01-20,41.411373138427734
2010-01-21,40.87835693359375
2010-01-22,40.55853271484375
2010-01-25,40.899681091308594
2010-01-26,41.16972732543945
2010-01-27,40.885459899902344
2010-01-28,40.757537841796875
2010-01-29,40.814395904541016
2010-02-01,41.15553665161133
2010-02-02,41.7667121887207
2010-02-03,41.51797103881836
2010-02-04,41.58903121948242
2010-02-05,41.63167953491211
2010-02-08,41.31898880004883
2010-02-09,41.75959396362305
2010-02-10,42.16594696044922
2010-02-11,42.53663635253906
2010-02-12,42.25859832763672
2010-02-16,43.249481201171875
2010-02-17,43.520389556884766
2010-02-18,43.45622634887695
2010-02-19,43.584537506103516
2010-02-22,43.33503341674805
2010-02-23,43.135433197021484
2010-02-24,43.38494110107422
2010-02-25,43.769893646240234
2010-02-26,43.463348388671875
2010-03-01,43.9481086730957
2010-03-02,43.7556266784668
2010-03-03,43.25662612915039
2010-03-04,43.3421516418457
2010-03-05,43.25662612915039
2010-03-08,43.249481201171875
2010-03-09,42.86453628540039
2010-03-10,42.65781021118164
2010-03-11,42.70057678222656
2010-03-12,42.893043518066406
2010-03-15,43.1639518737793
2010-03-16,43.42057418823242
2010-03-17,43.71998596191406
2010-03-18,43.677215576171875
2010-03-19,43.285125732421875
2010-03-22,43.39918518066406
2010-03-23,43.313655853271484
2010-03-24,42.82175827026367
2010-03-25,42.80752182006836
2010-03-26,42.86453628540039
2010-03-29,42.87167739868164
2010-03-30,42.893043518066406
2010-03-31,42.565155029296875
2010-04-01,42.87167739868164
2010-04-05,43.35641860961914
2010-04-06,44.012264251708984
2010-04-07,43.99800109863281
2010-04-08,43.47047424316406
2010-04-09,43.63445281982422
2010-04-12,43.02136993408203
2010-04-13,42.69346237182617
2010-04-14,42.500980377197266
2010-04-15,42.08039093017578
2010-04-16,42.19447326660156
2010-04-19,42.39405822753906
2010-04-20,42.408321380615234
2010-04-21,42.42256164550781
2010-04-22,42.9286994934082
2010-04-23,42.9144401550293
2010-04-26,42.82175827026367
2010-04-27,42.1801872253418
2010-04-28,41.952064514160156
2010-04-29,42.30850601196289
2010-04-30,42.11602020263672
2010-05-03,42.280006408691406
2010-05-04,42.686317443847656
2010-05-05,43.176300048828125
2010-05-06,41.50965118408203
2010-05-07,40.994606018066406
2010-05-10,41.14482116699219
2010-05-11,41.44526672363281
2010-05-12,41.40235900878906
2010-05-13,41.252140045166016
2010-05-14,41.30220031738281
2010-05-17,41.73853302001953
2010-05-18,41.330806732177734
2010-05-19,41.32365417480469
2010-05-20,40.47957992553711
2010-05-21,41.087608337402344
2010-05-24,40.6011848449707
2010-05-25,40.41521453857422
2010-05-26,40.043251037597656
2010-05-27,42.01750946044922
2010-05-28,41.66702651977539
2010-06-01,41.47388458251953
2010-06-02,42.16771697998047
2010-06-03,41.438114166259766
2010-06-04,40.17914962768555
2010-06-07,39.95026397705078
2010-06-08,40.52964401245117
2010-06-09,41.05897903442383
2010-06-10,41.23782730102539
2010-06-11,41.14482116699219
2010-06-14,41.14482116699219
2010-06-15,42.31794738769531
2010-06-16,41.73140335083008
2010-06-17,41.9030647277832
2010-06-18,41.63837814331055
2010-06-21,41.330806732177734
2010-06-22,41.20920181274414
2010-06-23,41.087608337402344
2010-06-24,40.21491241455078
2010-06-25,40.37228775024414
2010-06-28,40.52250671386719
2010-06-29,39.79288864135742
2010-06-30,39.220645904541016
2010-07-01,39.27070236206055
2010-07-02,38.79143524169922
2010-07-06,38.626914978027344
2010-07-07,38.83436584472656
2010-07-08,39.85011672973633
2010-07-09,40.19345474243164
2010-07-12,40.00747299194336
2010-07-13,40.422367095947266
2010-07-14,40.30790710449219
2010-07-15,40.45097732543945
2010-07-16,39.32793426513672
2010-07-19,39.21348190307617
2010-07-20,39.4066047668457
2010-07-21,38.34795379638672
2010-07-22,39.27070236206055
2010-07-23,40.021785736083984
2010-07-26,39.85011672973633
2010-07-27,40.9230842590332
2010-07-28,40.422367095947266
2010-07-29,40.207767486572266
2010-07-30,40.5654182434082
2010-08-02,40.65842056274414
2010-08-03,40.45097732543945
2010-08-04,41.2083740234375
2010-08-05,40.533531188964844
2010-08-06,40.590972900390625
2010-08-09,41.03607940673828
2010-08-10,40.90684509277344
2010-08-11,40.10996627807617
2010-08-12,39.96637725830078
2010-08-13,39.70793914794922
2010-08-16,39.75101852416992
2010-08-17,40.08124542236328
2010-08-18,39.97356033325195
2010-08-19,39.492557525634766
2010-08-20,39.51409149169922
2010-08-23,39.413578033447266
2010-08-24,39.91612243652344
2010-08-25,40.97145462036133
2010-08-26,40.40432357788086
2010-08-27,40.339698791503906
2010-08-30,40.253543853759766
2010-08-31,40.56224822998047
2010-09-01,41.48835754394531
2010-09-02,42.062705993652344
2010-09-03,42.04833221435547
2010-09-07,42.09859848022461
2010-09-08,42.50779724121094
2010-09-09,42.3139533996582
2010-09-10,42.74472427368164
2010-09-13,43.11084747314453
2010-09-14,43.821590423583984
2010-09-15,43.92927551269531
2010-09-16,43.965171813964844
2010-09-17,44.001075744628906
2010-09-20,43.9938850402832
2010-09-21,43.98671340942383
2010-09-22,44.747711181640625
2010-09-23,44.86974334716797
2010-09-24,45.98251724243164
2010-09-27,45.75278091430664
2010-09-28,46.66453170776367
