Date,DPZ
2010-01-04,6.955254077911377
2010-01-05,7.019355297088623
2010-01-06,7.219682693481445
2010-01-07,7.508149147033691
2010-01-08,7.508149147033691
2010-01-11,7.564236640930176
2010-01-12,7.948859214782715
2010-01-13,8.237327575683594
2010-01-14,9.062660217285156
2010-01-15,9.078689575195312
2010-01-19,9.150799751281738
2010-01-20,8.942469596862793
2010-01-21,8.838301658630371
2010-01-22,8.870348930358887
2010-01-25,8.990546226501465
2010-01-26,8.814257621765137
2010-01-27,8.950483322143555
2010-01-28,8.910414695739746
2010-01-29,9.054648399353027
2010-02-01,9.102726936340332
2010-02-02,8.910414695739746
2010-02-03,8.878365516662598
2010-02-04,8.573870658874512
2010-02-05,8.509769439697266
2010-02-08,8.533804893493652
2010-02-09,8.926444053649902
2010-02-10,8.942469596862793
2010-02-11,9.190866470336914
2010-02-12,9.238945960998535
2010-02-16,9.479333877563477
2010-02-17,9.847935676574707
2010-02-18,9.815878868103027
2010-02-19,9.839919090270996
2010-02-22,9.87197208404541
2010-02-23,9.727738380432129
2010-02-24,9.960112571716309
2010-02-25,9.960112571716309
2010-02-26,10.008190155029297
2010-03-01,10.208515167236328
2010-03-02,10.72935676574707
2010-03-03,11.266228675842285
2010-03-04,10.977760314941406
2010-03-05,11.130006790161133
2010-03-08,11.049875259399414
2010-03-09,11.370396614074707
2010-03-10,10.873591423034668
2010-03-11,11.00981330871582
2010-03-12,11.138014793395996
2010-03-15,11.03385066986084
2010-03-16,11.282249450683594
2010-03-17,11.370396614074707
2010-03-18,10.865578651428223
2010-03-19,10.697303771972656
2010-03-22,11.154044151306152
2010-03-23,11.138014793395996
2010-03-24,11.081928253173828
2010-03-25,11.194111824035645
2010-03-26,11.049875259399414
2010-03-29,11.041861534118652
2010-03-30,11.105968475341797
2010-03-31,10.929681777954102
2010-04-01,11.041861534118652
2010-04-05,11.21815013885498
2010-04-06,11.170069694519043
2010-04-07,11.226166725158691
2010-04-08,11.787071228027344
2010-04-09,11.586745262145996
2010-04-12,11.554692268371582
2010-04-13,12.14765453338623
2010-04-14,12.299897193908691
2010-04-15,12.083549499511719
2010-04-16,11.875213623046875
2010-04-19,11.907261848449707
2010-04-20,12.315923690795898
2010-04-21,12.436118125915527
2010-04-22,12.163680076599121
2010-04-23,12.171690940856934
2010-04-26,12.94894790649414
2010-04-27,12.580352783203125
2010-04-28,12.299897193908691
2010-04-29,12.64445972442627
2010-04-30,12.347975730895996
2010-05-03,12.868818283081055
2010-05-04,11.234179496765137
2010-05-05,11.442511558532715
2010-05-06,10.705316543579102
2010-05-07,10.072291374206543
2010-05-10,10.785449981689453
2010-05-11,11.130006790161133
2010-05-12,11.39443588256836
2010-05-13,11.162057876586914
2010-05-14,10.857566833496094
2010-05-17,10.985774993896484
2010-05-18,10.897628784179688
2010-05-19,10.641216278076172
2010-05-20,10.216530799865723
2010-05-21,10.400829315185547
2010-05-24,10.384799003601074
2010-05-25,10.392812728881836
2010-05-26,10.432878494262695
2010-05-27,10.697303771972656
2010-05-28,10.416853904724121
2010-06-01,10.240565299987793
2010-06-02,10.472944259643555
2010-06-03,10.6492280960083
2010-06-04,10.168450355529785
2010-06-07,9.679657936096191
2010-06-08,9.70370101928711
2010-06-09,9.82388973236084
2010-06-10,10.048256874084473
2010-06-11,10.152425765991211
2010-06-14,10.240565299987793
2010-06-15,10.416853904724121
2010-06-16,10.384799003601074
2010-06-17,10.264609336853027
2010-06-18,10.296656608581543
2010-06-21,9.904022216796875
2010-06-22,9.74376106262207
2010-06-23,9.63158130645752
2010-06-24,9.367156028747559
2010-06-25,9.447286605834961
2010-06-28,9.22292423248291
2010-06-29,8.806246757507324
2010-06-30,9.054648399353027
2010-07-01,9.062660217285156
2010-07-02,9.2149076461792
2010-07-06,8.942469596862793
2010-07-07,9.11074161529541
2010-07-08,9.511388778686523
2010-07-09,9.783832550048828
2010-07-12,9.671648025512695
2010-07-13,10.08030891418457
2010-07-14,10.208515167236328
2010-07-15,10.23255443572998
2010-07-16,9.74376106262207
2010-07-19,9.679657936096191
2010-07-20,9.87197208404541
2010-07-21,9.639596939086914
2010-07-22,10.312685012817383
2010-07-23,10.57711124420166
2010-07-26,10.889615058898926
2010-07-27,10.585125923156738
2010-07-28,10.521021842956543
2010-07-29,10.3687744140625
2010-07-30,10.248579978942871
2010-08-02,10.152425765991211
2010-08-03,10.000175476074219
2010-08-04,10.272619247436523
2010-08-05,10.280633926391602
2010-08-06,10.416853904724121
2010-08-09,10.769424438476562
2010-08-10,10.625187873840332
2010-08-11,10.320696830749512
2010-08-12,10.432878494262695
2010-08-13,10.553077697753906
2010-08-16,10.633203506469727
2010-08-17,10.65723991394043
2010-08-18,10.65723991394043
2010-08-19,10.50499439239502
2010-08-20,10.480955123901367
2010-08-23,10.5370454788208
2010-08-24,10.312685012817383
2010-08-25,10.360764503479004
2010-08-26,10.096335411071777
2010-08-27,10.304671287536621
2010-08-30,10.248579978942871
2010-08-31,10.272619247436523
2010-09-01,10.561086654663086
2010-09-02,10.849556922912598
2010-09-03,11.081928253173828
2010-09-07,10.72935676574707
2010-09-08,11.057891845703125
2010-09-09,11.274239540100098
2010-09-10,11.105968475341797
2010-09-13,11.20212173461914
2010-09-14,11.226166725158691
2010-09-15,11.234179496765137
2010-09-16,11.178086280822754
2010-09-17,11.194111824035645
2010-09-20,11.322321891784668
2010-09-21,11.138014793395996
2010-09-22,10.833525657653809
2010-09-23,10.57711124420166
2010-09-24,10.697303771972656
2010-09-27,10.569097518920898
2010-09-28,10.61717700958252
