Date,KIM
2010-01-04,6.667531967163086
2010-01-05,6.633365631103516
2010-01-06,6.662651062011719
2010-01-07,6.887179851531982
2010-01-08,6.799319744110107
2010-01-11,6.896940231323242
2010-01-12,6.706579208374023
2010-01-13,6.926229476928711
2010-01-14,6.818844795227051
2010-01-15,6.648007392883301
2010-01-19,6.740749359130859
2010-01-20,6.643126487731934
2010-01-21,6.477171897888184
2010-01-22,6.36490535736084
2010-01-25,6.369784832000732
2010-01-26,6.267282009124756
2010-01-27,6.2624053955078125
2010-01-28,6.14525842666626
2010-01-29,6.159901142120361
2010-02-01,6.311212062835693
2010-02-02,6.35026216506958
2010-02-03,6.1794257164001465
2010-02-04,6.1794257164001465
2010-02-05,6.330738067626953
2010-02-08,6.150138854980469
2010-02-09,6.24776029586792
2010-02-10,6.228235244750977
2010-02-11,6.213594913482666
2010-02-12,6.2575225830078125
2010-02-16,6.45764684677124
2010-02-17,6.550384521484375
2010-02-18,6.706579208374023
2010-02-19,6.6919379234313965
2010-02-22,6.65777063369751
2010-02-23,6.560147285461426
2010-02-24,6.735866546630859
2010-02-25,6.809082508087158
2010-02-26,6.779796123504639
2010-03-01,6.833487510681152
2010-03-02,6.843249320983887
2010-03-03,6.833487510681152
2010-03-04,6.853013038635254
2010-03-05,7.131233215332031
2010-03-08,7.199569225311279
2010-03-09,7.165400981903076
2010-03-10,7.199569225311279
2010-03-11,7.287423610687256
2010-03-12,7.380166053771973
2010-03-15,7.365521430969238
2010-03-16,7.599812984466553
2010-03-17,7.760890007019043
2010-03-18,7.633981227874756
2010-03-19,7.599812984466553
2010-03-22,7.707199573516846
2010-03-23,7.658390045166016
2010-03-24,7.751127243041992
2010-03-25,7.838986396789551
2010-03-26,7.858511924743652
2010-03-29,7.887798309326172
2010-03-30,7.829225540161133
2010-03-31,7.710899353027344
2010-04-01,7.760203838348389
2010-04-05,7.917966842651367
2010-04-06,8.149690628051758
2010-04-07,7.883456707000732
2010-04-08,7.932761192321777
2010-04-09,8.085597038269043
2010-04-12,7.96727180480957
2010-04-13,8.13490104675293
2010-04-14,8.031362533569336
2010-04-15,7.715829849243164
2010-04-16,7.459455490112305
2010-04-19,7.469317436218262
2010-04-20,7.45452880859375
2010-04-21,7.548202037811279
2010-04-22,7.740479469299316
2010-04-23,7.765130996704102
2010-04-26,7.8440165519714355
2010-04-27,7.572850704193115
2010-04-28,7.636946678161621
2010-04-29,8.031362533569336
2010-04-30,7.686248779296875
2010-05-03,7.942619800567627
2010-05-04,7.740479469299316
2010-05-05,7.543269634246826
2010-05-06,7.420016765594482
2010-05-07,7.400294303894043
2010-05-10,8.060946464538574
2010-05-11,8.085597038269043
2010-05-12,8.184203147888184
2010-05-13,7.986990451812744
2010-05-14,7.755268096923828
2010-05-17,7.691177845001221
2010-05-18,7.410154342651367
2010-05-19,7.242524147033691
2010-05-20,6.803732872009277
2010-05-21,7.040387153625488
2010-05-24,6.808664798736572
2010-05-25,6.833316802978516
2010-05-26,6.803732872009277
2010-05-27,7.1784348487854
2010-05-28,7.050243854522705
2010-06-01,6.936850070953369
2010-06-02,7.1389899253845215
2010-06-03,7.104480743408203
2010-06-04,6.562152862548828
2010-06-07,6.62131929397583
2010-06-08,6.749499797821045
2010-06-09,6.7642927169799805
2010-06-10,7.143918991088867
2010-06-11,7.168575286865234
2010-06-14,7.311548709869385
2010-06-15,7.538340091705322
2010-06-16,7.395361423492432
2010-06-17,7.375644207000732
2010-06-18,7.4791741371154785
2010-06-21,7.498897552490234
2010-06-22,7.222806453704834
2010-06-23,7.242524147033691
2010-06-24,7.040387153625488
2010-06-25,7.242524147033691
2010-06-28,7.158710479736328
2010-06-29,6.759898662567139
2010-06-30,6.700074672698975
2010-07-01,6.650224685668945
2010-07-02,6.495683193206787
2010-07-06,6.311232566833496
2010-07-07,6.650224685668945
2010-07-08,6.705063343048096
2010-07-09,6.7798380851745605
2010-07-12,6.819720268249512
2010-07-13,7.03408145904541
2010-07-14,6.9842305183410645
2010-07-15,7.014142990112305
2010-07-16,6.665179252624512
2010-07-19,6.814736366271973
2010-07-20,6.954319953918457
2010-07-21,6.804764270782471
2010-07-22,7.17865514755249
2010-07-23,7.343163967132568
2010-07-26,7.557528018951416
2010-07-27,7.512658596038818
2010-07-28,7.547555923461914
2010-07-29,7.5425705909729
2010-07-30,7.512658596038818
2010-08-02,7.717050552368164
2010-08-03,7.532600402832031
2010-08-04,7.577466011047363
2010-08-05,7.637289047241211
2010-08-06,7.5076727867126465
2010-08-09,7.602391719818115
2010-08-10,7.477763652801514
2010-08-11,7.303285598754883
2010-08-12,7.2534308433532715
2010-08-13,7.268387317657471
2010-08-16,7.318239688873291
2010-08-17,7.532600402832031
2010-08-18,7.5425705909729
2010-08-19,7.223518371582031
2010-08-20,7.168683052062988
2010-08-23,7.168683052062988
2010-08-24,7.0939040184021
2010-08-25,7.283343315124512
2010-08-26,7.313249588012695
2010-08-27,7.452836990356445
2010-08-30,7.383042812347412
2010-08-31,7.43289852142334
2010-09-01,7.627318859100342
2010-09-02,7.771887302398682
2010-09-03,7.90150260925293
2010-09-07,7.746964454650879
2010-09-08,7.736991882324219
2010-09-09,7.6921257972717285
2010-09-10,7.751948356628418
2010-09-13,7.906486511230469
2010-09-14,7.9164581298828125
2010-09-15,7.976280212402344
2010-09-16,7.93141508102417
2010-09-17,8.046073913574219
2010-09-20,8.375093460083008
2010-09-21,8.370108604431152
2010-09-22,8.310286521911621
2010-09-23,8.026134490966797
2010-09-24,8.300315856933594
2010-09-27,8.075984001159668
