Date,DUK
2011-08-10,28.647802352905273
2011-08-11,29.92658042907715
2011-08-12,29.594430923461914
2011-08-15,30.55767250061035
2011-08-16,30.374977111816406
2011-08-17,30.673908233642578
2011-08-18,30.507831573486328
2011-08-19,30.291950225830078
2011-08-22,30.474624633789062
2011-08-23,30.707115173339844
2011-08-24,31.33820343017578
2011-08-25,30.823375701904297
2011-08-26,30.823375701904297
2011-08-29,31.172130584716797
2011-08-30,31.172130584716797
2011-08-31,31.404626846313477
2011-09-01,31.23855972290039
2011-09-02,31.188735961914062
2011-09-06,30.956235885620117
2011-09-07,31.188735961914062
2011-09-08,31.23855972290039
2011-09-09,30.806774139404297
2011-09-12,31.321603775024414
2011-09-13,31.520885467529297
2011-09-14,31.686962127685547
2011-09-15,32.21840286254883
2011-09-16,32.50071716308594
2011-09-19,32.467506408691406
2011-09-20,32.799652099609375
2011-09-21,32.65019989013672
2011-09-22,32.36786651611328
2011-09-23,32.866092681884766
2011-09-26,33.115211486816406
2011-09-27,33.04877853393555
2011-09-28,33.01556396484375
2011-09-29,33.430747985839844
2011-09-30,33.198238372802734
2011-10-03,32.73323059082031
2011-10-04,32.61697769165039
2011-10-05,32.36786651611328
2011-10-06,32.55054473876953
2011-10-07,32.866092681884766
2011-10-10,33.64663314819336
2011-10-11,33.09859848022461
2011-10-12,32.882694244384766
2011-10-13,32.882694244384766
2011-10-14,33.08198547363281
2011-10-17,33.39753341674805
2011-10-18,33.41414260864258
2011-10-19,33.54697799682617
2011-10-20,33.61341857910156
2011-10-21,34.12825393676758
2011-10-24,33.812721252441406
2011-10-25,33.44734573364258
2011-10-26,33.71306610107422
2011-10-27,34.2611198425293
2011-10-28,33.978790283203125
2011-10-31,33.91236114501953
2011-11-01,33.54697799682617
2011-11-02,33.9289665222168
2011-11-03,34.56003952026367
2011-11-04,34.2777099609375
2011-11-07,34.6264762878418
2011-11-08,34.593265533447266
2011-11-09,34.14485549926758
2011-11-10,34.46039962768555
2011-11-11,34.87559127807617
2011-11-14,34.593265533447266
2011-11-15,34.344154357910156
2011-11-16,34.007938385009766
2011-11-17,33.789398193359375
2011-11-18,33.90707015991211
2011-11-21,33.67171859741211
2011-11-22,33.48680877685547
2011-11-23,32.999298095703125
2011-11-25,33.268280029296875
2011-11-28,33.60448455810547
2011-11-29,33.97431182861328
2011-11-30,35.050193786621094
2011-12-01,34.798038482666016
2011-12-02,34.66355895996094
2011-12-05,34.798038482666016
2011-12-06,34.7644157409668
2011-12-07,34.814842224121094
2011-12-08,34.44501876831055
2011-12-09,35.066993713378906
2011-12-12,34.6467399597168
2011-12-13,35.08380889892578
2011-12-14,35.050193786621094
2011-12-15,35.369598388671875
2011-12-16,35.319175720214844
2011-12-19,35.25193405151367
2011-12-20,35.974769592285156
2011-12-21,36.395042419433594
2011-12-22,36.36142349243164
