Date,APD
2010-01-04,52.150936126708984
2010-01-05,51.718223571777344
2010-01-06,51.29178237915039
2010-01-07,50.99703598022461
2010-01-08,51.323150634765625
2010-01-11,52.263824462890625
2010-01-12,51.59907531738281
2010-01-13,52.113319396972656
2010-01-14,51.467376708984375
2010-01-15,51.90636444091797
2010-01-19,51.78720474243164
2010-01-20,51.09739303588867
2010-01-21,50.08145523071289
2010-01-22,48.958919525146484
2010-01-25,50.332298278808594
2010-01-26,49.905879974365234
2010-01-27,49.454341888427734
2010-01-28,48.31298065185547
2010-01-29,47.63572692871094
2010-02-01,48.16874694824219
2010-02-02,48.049598693847656
2010-02-03,47.77992630004883
2010-02-04,46.212162017822266
2010-02-05,43.04521942138672
2010-02-08,42.86336135864258
2010-02-09,42.61252212524414
2010-02-10,42.78181838989258
2010-02-11,42.89470672607422
2010-02-12,42.97623062133789
2010-02-16,44.15520095825195
2010-02-17,44.010982513427734
2010-02-18,43.86674118041992
2010-02-19,43.672332763671875
2010-02-22,43.84791946411133
2010-02-23,43.941986083984375
2010-02-24,43.81657791137695
2010-02-25,43.258445739746094
2010-02-26,43.007591247558594
2010-03-01,43.37131881713867
2010-03-02,44.318260192871094
2010-03-03,44.72588348388672
2010-03-04,45.083335876464844
2010-03-05,46.092979431152344
2010-03-08,46.53197479248047
2010-03-09,46.55079650878906
2010-03-10,46.65739440917969
2010-03-11,46.82044982910156
2010-03-12,46.757728576660156
2010-03-15,46.4818115234375
2010-03-16,46.95841979980469
2010-03-17,46.75146484375
2010-03-18,46.883155822753906
2010-03-19,46.68248748779297
2010-03-22,47.039939880371094
2010-03-23,47.37230682373047
2010-03-24,46.91453170776367
2010-03-25,46.21841049194336
2010-03-26,46.60725021362305
2010-03-29,46.59468460083008
2010-03-30,46.771446228027344
2010-03-31,46.6830940246582
2010-04-01,46.632572174072266
2010-04-05,46.82194519042969
2010-04-06,47.112335205078125
2010-04-07,46.75251007080078
2010-04-08,46.777774810791016
2010-04-09,47.573184967041016
2010-04-12,47.5605583190918
2010-04-13,47.31435775756836
2010-04-14,47.9835090637207
2010-04-15,48.45064163208008
2010-04-16,47.996124267578125
2010-04-19,47.882511138916016
2010-04-20,48.267581939697266
2010-04-21,48.400146484375
2010-04-22,48.81047821044922
2010-04-23,50.009910583496094
2010-04-26,49.87104034423828
2010-04-27,48.87361145019531
2010-04-28,49.27761459350586
2010-04-29,49.2586784362793
2010-04-30,48.46958923339844
2010-05-03,48.614784240722656
2010-05-04,47.200721740722656
2010-05-05,46.80302047729492
2010-05-06,45.62883758544922
2010-05-07,44.80817413330078
2010-05-10,45.82453155517578
2010-05-11,45.243751525878906
2010-05-12,45.811920166015625
2010-05-13,45.11749267578125
2010-05-14,43.91806411743164
2010-05-17,44.5556640625
2010-05-18,44.22108459472656
2010-05-19,43.80445098876953
2010-05-20,41.67070388793945
2010-05-21,42.2578010559082
2010-05-24,41.64546585083008
2010-05-25,42.51662826538086
2010-05-26,43.2931022644043
2010-05-27,44.6187858581543
2010-05-28,43.596126556396484
2010-06-01,42.56081771850586
2010-06-02,43.63399887084961
2010-06-03,43.53929901123047
2010-06-04,42.01161575317383
2010-06-07,41.41189193725586
2010-06-08,42.175743103027344
2010-06-09,42.611331939697266
2010-06-10,43.50143051147461
2010-06-11,43.82967758178711
2010-06-14,43.57086944580078
2010-06-15,44.34102249145508
2010-06-16,44.53041458129883
2010-06-17,44.599849700927734
2010-06-18,45.161678314208984
2010-06-21,44.91548538208008
2010-06-22,44.328399658203125
2010-06-23,43.558250427246094
2010-06-24,42.49769973754883
2010-06-25,43.2931022644043
2010-06-28,42.79438400268555
2010-06-29,41.66253662109375
2010-06-30,41.21106719970703
2010-07-01,41.331878662109375
2010-07-02,41.312808990478516
2010-07-06,41.80243682861328
2010-07-07,43.07417678833008
2010-07-08,43.735496520996094
2010-07-09,44.345924377441406
2010-07-12,43.983482360839844
2010-07-13,45.102622985839844
2010-07-14,44.67658996582031
2010-07-15,44.71474838256836
2010-07-16,44.078861236572266
2010-07-19,44.078861236572266
2010-07-20,45.000877380371094
2010-07-21,44.543033599853516
2010-07-22,45.52866744995117
2010-07-23,45.84023666381836
2010-07-26,46.291717529296875
2010-07-27,46.018287658691406
2010-07-28,46.10730743408203
2010-07-29,46.22175216674805
2010-07-30,46.15180587768555
2010-08-02,47.68428421020508
2010-08-03,48.12303161621094
2010-08-04,48.77162551879883
2010-08-05,49.00053024291992
2010-08-06,48.466392517089844
2010-08-09,48.96237564086914
2010-08-10,48.91786193847656
2010-08-11,47.944976806640625
2010-08-12,47.4998664855957
2010-08-13,48.12303161621094
2010-08-16,48.262935638427734
2010-08-17,48.784324645996094
2010-08-18,48.9814453125
2010-08-19,48.065792083740234
2010-08-20,47.69699478149414
2010-08-23,47.49349594116211
2010-08-24,46.953006744384766
2010-08-25,46.76860427856445
2010-08-26,46.77496337890625
2010-08-27,47.321842193603516
2010-08-30,46.86397933959961
2010-08-31,47.07383728027344
2010-09-01,47.53166580200195
2010-09-02,49.08319091796875
2010-09-03,49.623687744140625
2010-09-07,49.204017639160156
2010-09-08,49.4647102355957
2010-09-09,49.56645965576172
2010-09-10,49.56645965576172
2010-09-13,50.0942497253418
2010-09-14,51.003543853759766
2010-09-15,51.74750900268555
2010-09-16,51.98280715942383
2010-09-17,52.268917083740234
2010-09-20,52.80942153930664
2010-09-21,52.77766036987305
2010-09-22,52.892093658447266
2010-09-23,52.7394905090332
2010-09-24,53.54066848754883
2010-09-27,53.32448959350586
2010-09-28,53.39442443847656
