Date,BEN
2010-01-04,20.40360450744629
2010-01-05,20.562301635742188
2010-01-06,20.577417373657227
2010-01-07,20.392269134521484
2010-01-08,20.413061141967773
2010-01-11,20.858911514282227
2010-01-12,20.951486587524414
2010-01-13,21.087507247924805
2010-01-14,20.979822158813477
2010-01-15,20.462173461914062
2010-01-19,20.921253204345703
2010-01-20,20.583084106445312
2010-01-21,19.783946990966797
2010-01-22,19.130273818969727
2010-01-25,19.553462982177734
2010-01-26,18.98102569580078
2010-01-27,19.6252498626709
2010-01-28,18.954570770263672
2010-01-29,18.7089786529541
2010-02-01,19.166168212890625
2010-02-02,19.230405807495117
2010-02-03,19.237964630126953
2010-02-04,18.567289352416992
2010-02-05,18.51439094543457
2010-02-08,18.19321632385254
2010-02-09,18.36703109741211
2010-02-10,18.382131576538086
2010-02-11,18.512493133544922
2010-02-12,18.487939834594727
2010-02-16,18.888450622558594
2010-02-17,19.062257766723633
2010-02-18,19.158607482910156
2010-02-19,19.196399688720703
2010-02-22,19.14916229248047
2010-02-23,18.897897720336914
2010-02-24,19.203956604003906
2010-02-25,18.924358367919922
2010-02-26,19.217178344726562
2010-03-01,19.428770065307617
2010-03-02,19.67247772216797
2010-03-03,19.6328067779541
2010-03-04,19.96908950805664
2010-03-05,20.64731788635254
2010-03-08,20.464067459106445
2010-03-09,20.433837890625
2010-03-10,20.295928955078125
2010-03-11,20.397947311401367
2010-03-12,20.46784782409668
2010-03-15,20.465953826904297
2010-03-16,20.581199645996094
2010-03-17,21.05916976928711
2010-03-18,21.08184242248535
2010-03-19,20.851360321044922
2010-03-22,21.04973030090332
2010-03-23,21.289653778076172
2010-03-24,20.90047264099121
2010-03-25,21.2027587890625
2010-03-26,20.962820053100586
2010-03-29,21.057470321655273
2010-03-30,21.14454460144043
2010-03-31,20.99310874938965
2010-04-01,21.5098819732666
2010-04-05,21.66889190673828
2010-04-06,21.579931259155273
2010-04-07,21.358449935913086
2010-04-08,21.492849349975586
2010-04-09,21.73516273498535
2010-04-12,21.78058624267578
2010-04-13,22.494232177734375
2010-04-14,22.963695526123047
2010-04-15,22.95423126220703
2010-04-16,22.422298431396484
2010-04-19,22.568071365356445
2010-04-20,22.600242614746094
2010-04-21,22.325756072998047
2010-04-22,22.189470291137695
2010-04-23,22.647573471069336
2010-04-26,22.07399559020996
2010-04-27,21.384952545166016
2010-04-28,21.61779022216797
2010-04-29,22.40148162841797
2010-04-30,21.890380859375
2010-05-03,22.197040557861328
2010-05-04,21.45310401916504
2010-05-05,21.28274917602539
2010-05-06,20.290813446044922
2010-05-07,19.785390853881836
2010-05-10,21.008255004882812
2010-05-11,20.726194381713867
2010-05-12,21.066936492919922
2010-05-13,20.735658645629883
2010-05-14,20.08259391784668
2010-05-17,20.17913818359375
2010-05-18,19.647201538085938
2010-05-19,19.645307540893555
2010-05-20,18.749927520751953
2010-05-21,19.44654083251953
2010-05-24,18.428131103515625
2010-05-25,18.43569564819336
2010-05-26,18.182035446166992
2010-05-27,18.890010833740234
2010-05-28,18.568204879760742
2010-06-01,18.076038360595703
2010-06-02,18.528451919555664
2010-06-03,18.147964477539062
2010-06-04,17.299917221069336
2010-06-07,16.781240463256836
2010-06-08,17.06517791748047
2010-06-09,16.762306213378906
2010-06-10,17.32640838623047
2010-06-11,17.699329376220703
2010-06-14,17.390777587890625
2010-06-15,17.788297653198242
2010-06-16,17.81101417541504
2010-06-17,17.623611450195312
2010-06-18,17.661470413208008
2010-06-21,17.7144718170166
2010-06-22,17.540311813354492
2010-06-23,17.3453426361084
2010-06-24,16.877775192260742
2010-06-25,17.22608757019043
2010-06-28,17.07238006591797
2010-06-29,16.264019012451172
2010-06-30,16.355100631713867
2010-07-01,16.264019012451172
2010-07-02,16.12360191345215
2010-07-06,16.294384002685547
2010-07-07,16.939550399780273
2010-07-08,17.212804794311523
2010-07-09,17.503124237060547
2010-07-12,17.391164779663086
2010-07-13,17.95095443725586
2010-07-14,17.77068519592285
2010-07-15,17.789657592773438
2010-07-16,17.10463523864746
2010-07-19,17.283010482788086
2010-07-20,17.493642807006836
2010-07-21,17.218494415283203
2010-07-22,18.023056030273438
2010-07-23,18.125530242919922
2010-07-26,18.66633415222168
2010-07-27,18.6815128326416
2010-07-28,18.262149810791016
2010-07-29,18.94148063659668
2010-07-30,19.08570098876953
2010-08-02,19.656858444213867
2010-08-03,19.45762062072754
2010-08-04,19.569578170776367
2010-08-05,19.5069522857666
2010-08-06,19.487979888916016
2010-08-09,19.780210494995117
2010-08-10,20.007911682128906
2010-08-11,19.10846519470215
2010-08-12,19.00030517578125
2010-08-13,18.886455535888672
2010-08-16,18.799165725708008
2010-08-17,19.260271072387695
2010-08-18,19.231809616088867
2010-08-19,18.675823211669922
2010-08-20,18.770702362060547
2010-08-23,18.6853084564209
2010-08-24,18.161584854125977
2010-08-25,18.34185028076172
2010-08-26,18.218509674072266
2010-08-27,18.656850814819336
2010-08-30,18.28302574157715
2010-08-31,18.31338882446289
2010-09-01,19.043947219848633
2010-09-02,19.176774978637695
2010-09-03,19.476591110229492
2010-09-07,19.18437385559082
2010-09-08,19.493667602539062
2010-09-09,19.922513961791992
2010-09-10,19.736557006835938
2010-09-13,20.152132034301758
2010-09-14,20.12746238708496
2010-09-15,20.303937911987305
2010-09-16,20.2071590423584
2010-09-17,20.068635940551758
2010-09-20,20.539230346679688
2010-09-21,20.188182830810547
2010-09-22,19.920623779296875
2010-09-23,19.556297302246094
2010-09-24,20.298242568969727
2010-09-27,20.38362693786621
2010-09-28,20.53384017944336
