Date,SBAC
2010-01-04,32.66511154174805
2010-01-05,33.44527816772461
2010-01-06,33.38026428222656
2010-01-07,33.853946685791016
2010-01-08,33.89110565185547
2010-01-11,34.1233024597168
2010-01-12,32.813720703125
2010-01-13,33.696048736572266
2010-01-14,33.81679153442383
2010-01-15,34.039695739746094
2010-01-19,34.104713439941406
2010-01-20,33.72391891479492
2010-01-21,33.556739807128906
2010-01-22,32.04282760620117
2010-01-25,32.21928787231445
2010-01-26,31.810632705688477
2010-01-27,32.10783767700195
2010-01-28,31.290525436401367
2010-01-29,30.733253479003906
2010-02-01,31.634166717529297
2010-02-02,31.634166717529297
2010-02-03,30.79827117919922
2010-02-04,29.5537052154541
2010-02-05,29.525842666625977
2010-02-08,29.888065338134766
2010-02-09,30.621795654296875
2010-02-10,30.872570037841797
2010-02-11,31.401973724365234
2010-02-12,31.532005310058594
2010-02-16,31.88494300842285
2010-02-17,31.88494300842285
2010-02-18,31.99638557434082
2010-02-19,32.302886962890625
2010-02-22,31.782773971557617
2010-02-23,31.93137550354004
2010-02-24,32.40505599975586
2010-02-25,32.91587829589844
2010-02-26,32.84157180786133
2010-03-01,33.008758544921875
2010-03-02,32.897300720214844
2010-03-03,33.11094665527344
2010-03-04,33.166656494140625
2010-03-05,33.17593002319336
2010-03-08,32.83228302001953
2010-03-09,33.67747497558594
2010-03-10,34.05827331542969
2010-03-11,33.89110565185547
2010-03-12,33.67747497558594
2010-03-15,33.073768615722656
2010-03-16,33.7889289855957
2010-03-17,33.75178146362305
2010-03-18,33.343116760253906
2010-03-19,32.75798797607422
2010-03-22,33.24094772338867
2010-03-23,33.71462631225586
2010-03-24,33.148075103759766
2010-03-25,32.330745697021484
2010-03-26,32.34931945800781
2010-03-29,33.09235382080078
2010-03-30,33.668190002441406
2010-03-31,33.500999450683594
2010-04-01,34.0118408203125
2010-04-05,34.336910247802734
2010-04-06,34.0118408203125
2010-04-07,33.27809143066406
2010-04-08,33.3709831237793
2010-04-09,33.65890884399414
2010-04-12,33.59388732910156
2010-04-13,33.01805114746094
2010-04-14,32.869441986083984
2010-04-15,32.60009002685547
2010-04-16,32.34002685546875
2010-04-19,31.810632705688477
2010-04-20,32.674400329589844
2010-04-21,32.83228302001953
2010-04-22,33.24094772338867
2010-04-23,33.21308898925781
2010-04-26,33.25022888183594
2010-04-27,32.70225524902344
2010-04-28,32.275020599365234
2010-04-29,32.97160339355469
2010-04-30,32.82300567626953
2010-05-03,33.25022888183594
2010-05-04,32.25645065307617
2010-05-05,31.28122901916504
2010-05-06,30.47319793701172
2010-05-07,30.287439346313477
2010-05-10,31.374109268188477
2010-05-11,31.039743423461914
2010-05-12,31.68061065673828
2010-05-13,31.847780227661133
2010-05-14,31.559860229492188
2010-05-17,31.55058479309082
2010-05-18,31.188352584838867
2010-05-19,30.501056671142578
2010-05-20,29.29365348815918
2010-05-21,29.748750686645508
2010-05-24,29.405099868774414
2010-05-25,29.628009796142578
2010-05-26,30.02738380432129
2010-05-27,31.336965560913086
2010-05-28,30.67752456665039
2010-06-01,29.813762664794922
2010-06-02,30.81684684753418
2010-06-03,31.857070922851562
2010-06-04,30.454614639282227
2010-06-07,30.129547119140625
2010-06-08,29.962360382080078
2010-06-09,29.906641006469727
2010-06-10,31.55058479309082
2010-06-11,32.47005844116211
2010-06-14,32.13569641113281
2010-06-15,33.055198669433594
2010-06-16,32.85087585449219
2010-06-17,32.572227478027344
2010-06-18,32.813720703125
2010-06-21,32.637237548828125
2010-06-22,32.16356658935547
2010-06-23,32.572227478027344
2010-06-24,31.968523025512695
2010-06-25,32.2843132019043
2010-06-28,32.68369674682617
2010-06-29,31.634166717529297
2010-06-30,31.587717056274414
2010-07-01,31.067609786987305
2010-07-02,30.863283157348633
2010-07-06,31.114046096801758
2010-07-07,32.61867141723633
2010-07-08,33.129493713378906
2010-07-09,32.83228302001953
2010-07-12,31.97780990600586
2010-07-13,32.37718963623047
2010-07-14,32.572227478027344
2010-07-15,32.42362594604492
2010-07-16,31.587717056274414
2010-07-19,31.857070922851562
2010-07-20,33.343116760253906
2010-07-21,32.95302200317383
2010-07-22,33.25952911376953
2010-07-23,33.826087951660156
2010-07-26,33.473148345947266
2010-07-27,32.97160339355469
2010-07-28,32.99946975708008
2010-07-29,32.82300567626953
2010-07-30,33.603172302246094
2010-08-02,34.504085540771484
2010-08-03,33.46385192871094
2010-08-04,34.067562103271484
2010-08-05,33.99326705932617
2010-08-06,33.42670440673828
2010-08-09,33.71462631225586
2010-08-10,33.80750274658203
2010-08-11,32.980892181396484
2010-08-12,33.26881790161133
2010-08-13,33.43598937988281
2010-08-16,33.61246109008789
2010-08-17,34.31834030151367
2010-08-18,34.355491638183594
2010-08-19,33.946815490722656
2010-08-20,34.114013671875
2010-08-23,34.160438537597656
2010-08-24,33.67747497558594
2010-08-25,34.1233024597168
2010-08-26,33.937538146972656
2010-08-27,33.99326705932617
2010-08-30,33.148075103759766
2010-08-31,33.25022888183594
2010-09-01,33.43598937988281
2010-09-02,33.63103103637695
2010-09-03,34.262603759765625
2010-09-07,34.62482833862305
2010-09-08,35.06135177612305
2010-09-09,34.8941764831543
2010-09-10,35.42357635498047
2010-09-13,35.83224868774414
2010-09-14,35.47930908203125
2010-09-15,35.70220947265625
2010-09-16,35.16352081298828
2010-09-17,35.43286895751953
2010-09-20,36.20375442504883
2010-09-21,36.53810501098633
2010-09-22,36.11086654663086
2010-09-23,36.15732192993164
2010-09-24,37.01179504394531
2010-09-27,36.593833923339844
2010-09-28,37.09538269042969
