Date,XOM
2010-01-04,38.21315002441406
2010-01-05,38.36234664916992
2010-01-06,38.69390106201172
2010-01-07,38.57233428955078
2010-01-08,38.41759490966797
2010-01-11,38.8486328125
2010-01-12,38.65522766113281
2010-01-13,38.50050354003906
2010-01-14,38.506011962890625
2010-01-15,38.19102478027344
2010-01-19,38.279457092285156
2010-01-20,37.594215393066406
2010-01-21,36.8592414855957
2010-01-22,36.52766036987305
2010-01-25,36.389503479003906
2010-01-26,36.42818832397461
2010-01-27,36.218204498291016
2010-01-28,35.897682189941406
2010-01-29,35.60481643676758
2010-02-01,36.57187271118164
2010-02-02,37.00291061401367
2010-02-03,36.803977966308594
2010-02-04,35.76506805419922
2010-02-05,35.80927276611328
2010-02-08,35.79258728027344
2010-02-09,36.2653694152832
2010-02-10,36.07068634033203
2010-02-11,36.2876091003418
2010-02-12,36.042884826660156
2010-02-16,36.8660888671875
2010-02-17,36.57685089111328
2010-02-18,36.6880989074707
2010-02-19,36.638038635253906
2010-02-22,36.37661361694336
2010-02-23,36.120750427246094
2010-02-24,36.46003723144531
2010-02-25,36.23200225830078
2010-02-26,36.15412521362305
2010-03-01,36.37661361694336
2010-03-02,36.42667770385742
2010-03-03,36.3932991027832
2010-03-04,36.37661361694336
2010-03-05,36.97178268432617
2010-03-08,36.97732925415039
2010-03-09,37.144187927246094
2010-03-10,37.3889274597168
2010-03-11,37.3889274597168
2010-03-12,37.15532302856445
2010-03-15,36.877197265625
2010-03-16,37.02738571166992
2010-03-17,37.466793060302734
2010-03-18,37.483482360839844
2010-03-19,37.288814544677734
2010-03-22,37.249874114990234
2010-03-23,37.23874282836914
2010-03-24,36.98844528198242
2010-03-25,36.877197265625
2010-03-26,37.01068878173828
2010-03-29,37.43342971801758
2010-03-30,37.294368743896484
2010-03-31,37.25545120239258
2010-04-01,37.60585021972656
2010-04-05,37.9284553527832
2010-04-06,37.76715850830078
2010-04-07,37.45567321777344
2010-04-08,37.74490737915039
2010-04-09,38.245506286621094
2010-04-12,38.21769332885742
2010-04-13,38.18988800048828
2010-04-14,38.162078857421875
2010-04-15,37.96739196777344
2010-04-16,37.783836364746094
2010-04-19,37.95071029663086
2010-04-20,38.362308502197266
2010-04-21,38.334495544433594
2010-04-22,38.134254455566406
2010-04-23,38.512481689453125
2010-04-26,38.54030990600586
2010-04-27,37.97294998168945
2010-04-28,38.484676361083984
2010-04-29,38.18988800048828
2010-04-30,37.694854736328125
2010-05-03,37.733787536621094
2010-05-04,36.97178268432617
2010-05-05,36.80491256713867
2010-05-06,35.53672409057617
2010-05-07,35.43104553222656
2010-05-10,36.282047271728516
2010-05-11,36.09724807739258
2010-05-12,36.3492546081543
2010-05-13,36.254051208496094
2010-05-14,35.615657806396484
2010-05-17,35.43085479736328
2010-05-18,35.16205596923828
2010-05-19,34.97166442871094
2010-05-20,33.78449249267578
2010-05-21,34.09246826171875
2010-05-24,33.706077575683594
2010-05-25,33.43728256225586
2010-05-26,33.21327209472656
2010-05-27,34.417266845703125
2010-05-28,33.85728454589844
2010-06-01,33.17969512939453
2010-06-02,34.03087615966797
2010-06-03,34.47327423095703
2010-06-04,33.33646774291992
2010-06-07,33.20768356323242
2010-06-08,34.294071197509766
2010-06-09,33.616477966308594
2010-06-10,34.6580810546875
2010-06-11,34.64128112792969
2010-06-14,34.36686706542969
2010-06-15,35.00526809692383
2010-06-16,35.00526809692383
2010-06-17,35.055660247802734
2010-06-18,35.335662841796875
2010-06-21,35.352455139160156
2010-06-22,34.68606185913086
2010-06-23,34.215675354003906
2010-06-24,33.63888168334961
2010-06-25,33.09568405151367
2010-06-28,32.742889404296875
2010-06-29,32.08210372924805
2010-06-30,31.958892822265625
2010-07-01,31.701305389404297
2010-07-02,31.67889976501465
2010-07-06,32.17729568481445
2010-07-07,32.720489501953125
2010-07-08,32.93329620361328
2010-07-09,32.91648864746094
2010-07-12,33.00607681274414
2010-07-13,33.27487564086914
2010-07-14,33.18528747558594
2010-07-15,33.190879821777344
2010-07-16,32.45729446411133
2010-07-19,32.720489501953125
2010-07-20,33.011695861816406
2010-07-21,32.57488250732422
2010-07-22,33.25248336791992
2010-07-23,33.44287109375
2010-07-26,33.81806564331055
2010-07-27,34.05327606201172
2010-07-28,34.109275817871094
2010-07-29,33.79010772705078
2010-07-30,33.420475006103516
2010-08-02,34.68606185913086
2010-08-03,35.12287521362305
2010-08-04,35.12287521362305
2010-08-05,35.11726760864258
2010-08-06,34.70286560058594
2010-08-09,34.97166442871094
2010-08-10,34.68046951293945
2010-08-11,34.06005859375
2010-08-12,33.96982955932617
2010-08-13,33.789344787597656
2010-08-16,33.772422790527344
2010-08-17,34.302581787109375
2010-08-18,33.924720764160156
2010-08-19,33.43967819213867
2010-08-20,33.214073181152344
2010-08-23,33.55810546875
2010-08-24,33.24225997924805
2010-08-25,33.225341796875
2010-08-26,32.98283004760742
2010-08-27,33.72731018066406
2010-08-30,33.276100158691406
2010-08-31,33.33814239501953
2010-09-01,34.35335922241211
2010-09-02,34.437957763671875
2010-09-03,34.584590911865234
2010-09-07,34.15031433105469
2010-09-08,34.263118743896484
2010-09-09,34.432315826416016
2010-09-10,34.51690673828125
2010-09-13,34.40410614013672
2010-09-14,34.40974807739258
2010-09-15,34.40410614013672
2010-09-16,34.387184143066406
2010-09-17,34.28002166748047
2010-09-20,34.714317321777344
2010-09-21,34.708675384521484
2010-09-22,34.657901763916016
2010-09-23,34.488712310791016
2010-09-24,34.82711410522461
2010-09-27,34.80453872680664
2010-09-28,35.0019416809082
