Date,TECH
2010-01-04,14.690352439880371
2010-01-05,14.564153671264648
2010-01-06,14.525650024414062
2010-01-07,14.55987548828125
2010-01-08,14.532072067260742
2010-01-11,14.437954902648926
2010-01-12,14.416566848754883
2010-01-13,14.587679862976074
2010-01-14,14.598376274108887
2010-01-15,14.343835830688477
2010-01-19,14.437954902648926
2010-01-20,14.29464340209961
2010-01-21,14.037968635559082
2010-01-22,13.99518871307373
2010-01-25,13.890384674072266
2010-01-26,13.971664428710938
2010-01-27,14.037968635559082
2010-01-28,14.08502197265625
2010-01-29,14.035832405090332
2010-02-01,14.155613899230957
2010-02-02,14.050804138183594
2010-02-03,13.687177658081055
2010-02-04,13.43906307220459
2010-02-05,13.150303840637207
2010-02-08,13.088271141052246
2010-02-09,13.090413093566895
2010-02-10,12.993749618530273
2010-02-11,12.998043060302734
2010-02-12,13.27299976348877
2010-02-16,13.21070384979248
2010-02-17,13.3309965133667
2010-02-18,13.42121410369873
2010-02-19,13.545802116394043
2010-02-22,13.502846717834473
2010-02-23,13.550105094909668
2010-02-24,13.685429573059082
2010-02-25,13.642470359802246
2010-02-26,13.730537414550781
2010-03-01,13.908828735351562
2010-03-02,14.084977149963379
2010-03-03,14.067789077758789
2010-03-04,14.059191703796387
2010-03-05,14.11075210571289
2010-03-08,13.986160278320312
2010-03-09,13.96898078918457
2010-03-10,13.988313674926758
2010-03-11,14.087124824523926
2010-03-12,14.044161796569824
2010-03-15,14.12793254852295
2010-03-16,14.14941692352295
2010-03-17,14.155858039855957
2010-03-18,14.170897483825684
2010-03-19,14.084977149963379
2010-03-22,14.222453117370605
2010-03-23,14.37711238861084
2010-03-24,14.198822021484375
2010-03-25,14.168745994567871
2010-03-26,14.046305656433105
2010-03-29,14.03127670288086
2010-03-30,13.93890380859375
2010-03-31,13.657510757446289
2010-04-01,13.672542572021484
2010-04-05,13.597358703613281
2010-04-06,13.57588005065918
2010-04-07,13.554397583007812
2010-04-08,13.494250297546387
2010-04-09,13.451292991638184
2010-04-12,13.328847885131836
2010-04-13,13.470621109008789
2010-04-14,13.535064697265625
2010-04-15,13.672542572021484
2010-04-16,13.689726829528809
2010-04-19,13.762763023376465
2010-04-20,13.962532997131348
2010-04-21,14.042017936706543
2010-04-22,14.01623249053955
2010-04-23,14.061345100402832
2010-04-26,14.095714569091797
2010-04-27,13.85512924194336
2010-04-28,13.92171859741211
2010-04-29,14.166597366333008
2010-04-30,14.23104476928711
2010-05-03,14.263263702392578
2010-05-04,13.889501571655273
2010-05-05,13.535064697265625
2010-05-06,13.324549674987793
2010-05-07,13.27299976348877
2010-05-10,13.610249519348145
2010-05-11,13.655359268188477
2010-05-12,13.698494911193848
2010-05-13,13.588492393493652
2010-05-14,13.364176750183105
2010-05-17,13.459081649780273
2010-05-18,13.226133346557617
2010-05-19,13.275737762451172
2010-05-20,13.066526412963867
2010-05-21,13.016910552978516
2010-05-24,12.973776817321777
2010-05-25,12.904754638671875
2010-05-26,13.042794227600098
2010-05-27,13.113973617553711
2010-05-28,13.060052871704102
2010-06-01,12.952204704284668
2010-06-02,13.144172668457031
2010-06-03,13.2390775680542
2010-06-04,12.909072875976562
2010-06-07,12.714946746826172
2010-06-08,12.510040283203125
2010-06-09,12.315919876098633
2010-06-10,12.65671157836914
2010-06-11,12.812007904052734
2010-06-14,12.846521377563477
2010-06-15,13.014759063720703
2010-06-16,13.023386001586914
2010-06-17,13.012601852416992
2010-06-18,12.991031646728516
2010-06-21,12.857304573059082
2010-06-22,12.704163551330566
2010-06-23,12.613569259643555
2010-06-24,12.50788402557373
2010-06-25,12.794753074645996
2010-06-28,12.872400283813477
2010-06-29,12.548867225646973
2010-06-30,12.391408920288086
2010-07-01,12.164937019348145
2010-07-02,12.199445724487305
2010-07-06,12.331016540527344
2010-07-07,12.423768043518066
2010-07-08,12.544553756713867
2010-07-09,12.453965187072754
2010-07-12,12.387097358703613
2010-07-13,12.639453887939453
2010-07-14,12.609259605407715
2010-07-15,12.484158515930176
2010-07-16,12.199445724487305
2010-07-19,12.24473762512207
2010-07-20,12.367681503295898
2010-07-21,12.108854293823242
2010-07-22,12.311605453491211
2010-07-23,12.341800689697266
2010-07-26,12.708477020263672
2010-07-27,12.76024341583252
2010-07-28,12.643773078918457
2010-07-29,12.503565788269043
2010-07-30,12.596319198608398
2010-08-02,12.71279239654541
2010-08-03,13.137701988220215
2010-08-04,13.23260498046875
2010-08-05,13.17652702331543
2010-08-06,13.456920623779297
2010-08-09,13.502219200134277
2010-08-10,13.26711368560791
2010-08-11,12.962989807128906
2010-08-12,13.073472023010254
2010-08-13,12.939159393310547
2010-08-16,12.930497169494629
2010-08-17,13.21644401550293
2010-08-18,13.242443084716797
2010-08-19,12.930497169494629
2010-08-20,13.023649215698242
2010-08-23,12.952157974243164
2010-08-24,12.651050567626953
2010-08-25,12.692208290100098
2010-08-26,12.618553161621094
2010-08-27,12.902335166931152
2010-08-30,12.737698554992676
2010-08-31,12.505905151367188
2010-09-01,12.768025398254395
2010-09-02,12.835179328918457
2010-09-03,12.997652053833008
2010-09-07,12.856843948364258
2010-09-08,12.885002136230469
2010-09-09,13.030145645141602
2010-09-10,12.958653450012207
2010-09-13,13.056140899658203
2010-09-14,13.157955169677734
2010-09-15,13.300929069519043
2010-09-16,13.205615043640137
2010-09-17,13.190450668334961
2010-09-20,13.316094398498535
2010-09-21,13.179619789123535
2010-09-22,13.190450668334961
2010-09-23,13.034476280212402
2010-09-24,13.285764694213867
2010-09-27,13.183948516845703
2010-09-28,13.147126197814941
