Date,CMI
2010-01-04,32.281009674072266
2010-01-05,33.044376373291016
2010-01-06,33.346961975097656
2010-01-07,35.03872299194336
2010-01-08,36.909278869628906
2010-01-11,37.82392883300781
2010-01-12,36.68921661376953
2010-01-13,36.297218322753906
2010-01-14,36.37287521362305
2010-01-15,35.575130462646484
2010-01-19,36.407257080078125
2010-01-20,35.396339416503906
2010-01-21,34.02091598510742
2010-01-22,32.851806640625
2010-01-25,32.755516052246094
2010-01-26,32.521705627441406
2010-01-27,31.91651725769043
2010-01-28,31.32509422302246
2010-01-29,31.056888580322266
2010-02-01,32.281009674072266
2010-02-02,35.1349983215332
2010-02-03,35.65077209472656
2010-02-04,34.454166412353516
2010-02-05,34.715492248535156
2010-02-08,34.46104049682617
2010-02-09,35.925872802734375
2010-02-10,35.747047424316406
2010-02-11,37.7276611328125
2010-02-12,37.78953170776367
2010-02-16,39.275001525878906
2010-02-17,38.94733428955078
2010-02-18,39.65785598754883
2010-02-19,39.96136474609375
2010-02-22,39.44401931762695
2010-02-23,38.381683349609375
2010-02-24,38.595523834228516
2010-02-25,38.65070343017578
2010-02-26,39.16807174682617
2010-03-01,40.67189025878906
2010-03-02,40.86503601074219
2010-03-03,40.823646545410156
2010-03-04,41.20305633544922
2010-03-05,41.8721809387207
2010-03-08,41.40309524536133
2010-03-09,42.1688117980957
2010-03-10,41.54795455932617
2010-03-11,41.00299835205078
2010-03-12,41.64453887939453
2010-03-15,41.54106521606445
2010-03-16,41.8721809387207
2010-03-17,41.506568908691406
2010-03-18,40.927120208740234
2010-03-19,40.120033264160156
2010-03-22,41.354820251464844
2010-03-23,43.0103874206543
2010-03-24,42.63789367675781
2010-03-25,42.465431213378906
2010-03-26,43.01728820800781
2010-03-29,43.51395034790039
2010-03-30,42.872432708740234
2010-03-31,42.73445510864258
2010-04-01,43.00348663330078
2010-04-05,45.27299880981445
2010-04-06,44.92118835449219
2010-04-07,44.638362884521484
2010-04-08,44.859100341796875
2010-04-09,45.5765380859375
2010-04-12,44.92808151245117
2010-04-13,45.569637298583984
2010-04-14,46.71473693847656
2010-04-15,46.22494125366211
2010-04-16,45.46615219116211
2010-04-19,45.47993850708008
2010-04-20,46.24565124511719
2010-04-21,46.038692474365234
2010-04-22,46.949249267578125
2010-04-23,48.121971130371094
2010-04-26,48.5013542175293
2010-04-27,49.94309616088867
2010-04-28,50.91572189331055
2010-04-29,52.281585693359375
2010-04-30,49.825828552246094
2010-05-03,50.52943420410156
2010-05-04,48.73590087890625
2010-05-05,48.57035446166992
2010-05-06,46.38361358642578
2010-05-07,45.05226516723633
2010-05-10,49.756813049316406
2010-05-11,49.50161361694336
2010-05-12,51.798709869384766
2010-05-13,51.07440185546875
2010-05-14,49.35675048828125
2010-05-17,49.16358184814453
2010-05-18,48.253021240234375
2010-05-19,47.35055160522461
2010-05-20,44.05184555053711
2010-05-21,45.552520751953125
2010-05-24,44.418365478515625
2010-05-25,44.90937805175781
2010-05-26,45.628578186035156
2010-05-27,48.125091552734375
2010-05-28,47.01169204711914
2010-06-01,45.70465850830078
2010-06-02,48.256473541259766
2010-06-03,48.782073974609375
2010-06-04,45.88447189331055
2010-06-07,43.52626037597656
2010-06-08,45.08226776123047
2010-06-09,45.56634521484375
2010-06-10,48.74057388305664
2010-06-11,49.9438591003418
2010-06-14,50.07527160644531
2010-06-15,52.12226104736328
2010-06-16,51.52753829956055
2010-06-17,51.04341125488281
2010-06-18,51.38228988647461
2010-06-21,51.845645904541016
2010-06-22,49.93695068359375
2010-06-23,50.58702850341797
2010-06-24,49.34913635253906
2010-06-25,50.19975662231445
2010-06-28,48.726741790771484
2010-06-29,45.80838394165039
2010-06-30,45.04076385498047
2010-07-01,44.82638168334961
2010-07-02,44.42528533935547
2010-07-06,43.961944580078125
2010-07-07,46.61751174926758
2010-07-08,47.67557907104492
2010-07-09,49.466705322265625
2010-07-12,48.86504364013672
2010-07-13,50.988121032714844
2010-07-14,51.61741638183594
2010-07-15,50.27580261230469
2010-07-16,48.062835693359375
2010-07-19,48.86504364013672
2010-07-20,50.16517639160156
2010-07-21,50.58702850341797
2010-07-22,52.48878860473633
2010-07-23,53.22871780395508
2010-07-26,53.83730697631836
2010-07-27,54.929969787597656
2010-07-28,55.158145904541016
2010-07-29,54.729408264160156
2010-07-30,55.05443572998047
2010-08-02,56.29922103881836
2010-08-03,55.351810455322266
2010-08-04,56.35456466674805
2010-08-05,56.45830154418945
2010-08-06,56.1056022644043
2010-08-09,56.09869384765625
2010-08-10,56.34765625
2010-08-11,53.809661865234375
2010-08-12,53.92030715942383
2010-08-13,53.768165588378906
2010-08-16,53.781986236572266
2010-08-17,55.718326568603516
2010-08-18,56.589683532714844
2010-08-19,56.36281204223633
2010-08-20,55.1625862121582
2010-08-23,53.07431411743164
2010-08-24,51.874046325683594
2010-08-25,50.97906494140625
2010-08-26,50.34772872924805
2010-08-27,52.859222412109375
2010-08-30,51.214969635009766
2010-08-31,51.624290466308594
2010-09-01,55.419288635253906
2010-09-02,56.751346588134766
2010-09-03,57.69487762451172
2010-09-07,56.1130485534668
2010-09-08,56.8623161315918
2010-09-09,56.50156784057617
2010-09-10,56.83457565307617
2010-09-13,58.83961868286133
2010-09-14,58.98533248901367
2010-09-15,57.80589294433594
2010-09-16,58.33315658569336
2010-09-17,59.068580627441406
2010-09-20,61.01807403564453
2010-09-21,61.836734771728516
2010-09-22,61.32333755493164
2010-09-23,61.26785659790039
2010-09-24,63.03700256347656
2010-09-27,62.162841796875
2010-09-28,63.106353759765625
