Date,OKE
2010-01-04,8.706036567687988
2010-01-05,8.629633903503418
2010-01-06,8.679296493530273
2010-01-07,8.621994972229004
2010-01-08,8.671653747558594
2010-01-11,8.864574432373047
2010-01-12,8.734685897827148
2010-01-13,8.770977020263672
2010-01-14,8.719404220581055
2010-01-15,8.579974174499512
2010-01-19,8.780529975891113
2010-01-20,8.780529975891113
2010-01-21,8.706036567687988
2010-01-22,8.555145263671875
2010-01-25,8.637272834777832
2010-01-26,8.658284187316895
2010-01-27,8.469265937805176
2010-01-28,8.378609657287598
2010-01-29,8.137513160705566
2010-02-01,8.309172630310059
2010-02-02,8.351608276367188
2010-02-03,8.282172203063965
2010-02-04,7.981285095214844
2010-02-05,7.859767436981201
2010-02-08,7.834697246551514
2010-02-09,7.975496292114258
2010-02-10,7.927278518676758
2010-02-11,8.02757453918457
2010-02-12,8.037217140197754
2010-02-16,8.1857328414917
2010-02-17,8.239739418029785
2010-02-18,8.233954429626465
2010-02-19,8.293744087219238
2010-02-22,8.38439655303955
2010-02-23,8.286029815673828
2010-02-24,8.469265937805176
2010-02-25,8.519410133361816
2010-02-26,8.55026912689209
2010-03-01,8.727723121643066
2010-03-02,8.789438247680664
2010-03-03,8.84923267364502
2010-03-04,9.036325454711914
2010-03-05,9.044039726257324
2010-03-08,8.945672035217285
2010-03-09,8.993890762329102
2010-03-10,9.044039726257324
2010-03-11,9.094188690185547
2010-03-12,8.999677658081055
2010-03-15,8.982319831848145
2010-03-16,8.995820045471191
2010-03-17,9.018966674804688
2010-03-18,9.026681900024414
2010-03-19,8.862735748291016
2010-03-22,8.843449592590332
2010-03-23,8.953388214111328
2010-03-24,8.899382591247559
2010-03-25,8.806800842285156
2010-03-26,8.737364768981934
2010-03-29,8.883952140808105
2010-03-30,8.887811660766602
2010-03-31,8.804871559143066
2010-04-01,9.020895957946777
2010-04-05,9.152053833007812
2010-04-06,9.25813102722168
2010-04-07,9.180980682373047
2010-04-08,9.08647346496582
2010-04-09,9.17712688446045
2010-04-12,9.207986831665039
2010-04-13,9.169410705566406
2010-04-14,9.234989166259766
2010-04-15,9.229205131530762
2010-04-16,9.152053833007812
2010-04-19,9.140473365783691
2010-04-20,9.352643966674805
2010-04-21,9.3661470413208
2010-04-22,9.487659454345703
2010-04-23,9.651606559753418
2010-04-26,9.68053913116455
2010-04-27,9.362290382385254
2010-04-28,9.510213851928711
2010-04-29,9.576395034790039
2010-04-30,9.564718246459961
2010-05-03,9.872249603271484
2010-05-04,9.68344783782959
2010-05-05,9.434307098388672
2010-05-06,9.03139591217041
2010-05-07,8.951595306396484
2010-05-10,9.43235969543457
2010-05-11,9.500483512878418
2010-05-12,9.648412704467773
2010-05-13,9.479074478149414
2010-05-14,9.194897651672363
2010-05-17,9.144288063049316
2010-05-18,8.949646949768066
2010-05-19,8.81145191192627
2010-05-20,8.350146293640137
2010-05-21,8.412434577941895
2010-05-24,8.32873821258545
2010-05-25,8.174971580505371
2010-05-26,8.359880447387695
2010-05-27,8.684934616088867
2010-05-28,8.655735969543457
2010-06-01,8.336522102355957
2010-06-02,8.712181091308594
2010-06-03,8.81534481048584
2010-06-04,8.441631317138672
2010-06-07,8.264505386352539
2010-06-08,8.389076232910156
2010-06-09,8.412434577941895
2010-06-10,8.770575523376465
2010-06-11,8.817289352416992
2010-06-14,8.875680923461914
2010-06-15,9.134557723999023
2010-06-16,9.10146427154541
2010-06-17,9.165701866149902
2010-06-18,9.148181915283203
2010-06-21,9.144288063049316
2010-06-22,8.852324485778809
2010-06-23,8.661580085754395
2010-06-24,8.642111778259277
2010-06-25,8.799771308898926
2010-06-28,8.900985717773438
2010-06-29,8.505863189697266
2010-06-30,8.4182710647583
2010-07-01,8.278131484985352
2010-07-02,8.231417655944824
2010-07-06,8.340420722961426
2010-07-07,8.585665702819824
2010-07-08,8.735541343688965
2010-07-09,8.828970909118652
2010-07-12,8.803668022155762
2010-07-13,8.957433700561523
2010-07-14,8.893202781677246
2010-07-15,8.951595306396484
2010-07-16,8.774469375610352
2010-07-19,8.81923770904541
2010-07-20,8.928235054016113
2010-07-21,8.770575523376465
2010-07-22,8.881524085998535
2010-07-23,8.945754051208496
2010-07-26,9.159856796264648
2010-07-27,9.325308799743652
2010-07-28,9.242764472961426
2010-07-29,9.136635780334473
2010-07-30,9.144498825073242
2010-08-02,9.405884742736816
2010-08-03,9.315479278564453
2010-08-04,9.3076171875
2010-08-05,9.276172637939453
2010-08-06,9.170047760009766
2010-08-09,9.223109245300293
2010-08-10,9.189701080322266
2010-08-11,8.861498832702637
2010-08-12,8.82022762298584
2010-08-13,8.8831148147583
2010-08-16,8.841845512390137
2010-08-17,8.991206169128418
2010-08-18,8.92831802368164
2010-08-19,8.763229370117188
2010-08-20,8.645316123962402
2010-08-23,8.604044914245605
2010-08-24,8.531330108642578
2010-08-25,8.562774658203125
2010-08-26,8.5490140914917
2010-08-27,8.70820426940918
2010-08-30,8.492022514343262
2010-08-31,8.433064460754395
2010-09-01,8.692482948303223
2010-09-02,8.65514087677002
2010-09-03,8.810399055480957
2010-09-07,8.572603225708008
2010-09-08,8.623697280883789
2010-09-09,8.712133407592773
2010-09-10,8.737683296203613
2010-09-13,8.74947738647461
2010-09-14,8.767160415649414
2010-09-15,8.721960067749023
2010-09-16,8.68855094909668
2010-09-17,8.63549518585205
2010-09-20,8.718031883239746
2010-09-21,8.653176307678223
2010-09-22,8.682655334472656
2010-09-23,8.623697280883789
2010-09-24,8.810399055480957
2010-09-27,8.745546340942383
2010-09-28,8.763229370117188
