Date,CI
2010-01-04,33.26863098144531
2010-01-05,33.826622009277344
2010-01-06,33.75343322753906
2010-01-07,34.99747085571289
2010-01-08,34.73219680786133
2010-01-11,34.183353424072266
2010-01-12,33.424137115478516
2010-01-13,33.3418083190918
2010-01-14,33.634521484375
2010-01-15,33.69855880737305
2010-01-19,34.68646240234375
2010-01-20,34.94257736206055
2010-01-21,33.890647888183594
2010-01-22,33.58879852294922
2010-01-25,33.250335693359375
2010-01-26,31.43001937866211
2010-01-27,31.640411376953125
2010-01-28,31.548938751220703
2010-01-29,30.890348434448242
2010-02-01,30.908628463745117
2010-02-02,32.23500061035156
2010-02-03,31.795917510986328
2010-02-04,30.661663055419922
2010-02-05,30.515310287475586
2010-02-08,30.259183883666992
2010-02-09,30.625072479248047
2010-02-10,30.240886688232422
2010-02-11,30.496999740600586
2010-02-12,29.966466903686523
2010-02-16,29.929868698120117
2010-02-17,30.359792709350586
2010-02-18,30.323205947875977
2010-02-19,30.003061294555664
2010-02-22,30.57018280029297
2010-02-23,30.186002731323242
2010-02-24,31.036701202392578
2010-02-25,30.981813430786133
2010-02-26,31.33854866027832
2010-03-01,31.63127326965332
2010-03-02,31.503215789794922
2010-03-03,31.731884002685547
2010-03-04,31.137319564819336
2010-03-05,31.80507469177246
2010-03-08,31.832502365112305
2010-03-09,31.18230628967285
2010-03-10,31.43872833251953
2010-03-11,32.00651168823242
2010-03-12,31.631038665771484
2010-03-15,31.40210723876953
2010-03-16,32.01567077636719
2010-03-17,31.896621704101562
2010-03-18,32.82155227661133
2010-03-19,33.957130432128906
2010-03-22,34.14027786254883
2010-03-23,33.82891082763672
2010-03-24,33.325233459472656
2010-03-25,33.05965805053711
2010-03-26,32.87649154663086
2010-03-29,33.28860092163086
2010-03-30,33.499237060546875
2010-03-31,33.499237060546875
2010-04-01,34.02122497558594
2010-04-05,33.88386154174805
2010-04-06,33.96627426147461
2010-04-07,33.19702911376953
2010-04-08,33.53586196899414
2010-04-09,33.54501724243164
2010-04-12,33.35271072387695
2010-04-13,32.7025032043457
2010-04-14,31.759246826171875
2010-04-15,31.795888900756836
2010-04-16,31.585250854492188
2010-04-19,32.327030181884766
2010-04-20,31.988197326660156
2010-04-21,31.136518478393555
2010-04-22,30.706100463867188
2010-04-23,31.127363204956055
2010-04-26,30.110843658447266
2010-04-27,29.634632110595703
2010-04-28,30.312307357788086
2010-04-29,30.962522506713867
2010-04-30,29.359905242919922
2010-05-03,29.964317321777344
2010-05-04,28.590648651123047
2010-05-05,29.304962158203125
2010-05-06,30.15663719177246
2010-05-07,28.746334075927734
2010-05-10,29.900217056274414
2010-05-11,30.339794158935547
2010-05-12,31.099891662597656
2010-05-13,30.989988327026367
2010-05-14,30.614524841308594
2010-05-17,30.83429527282715
2010-05-18,30.90757179260254
2010-05-19,30.898422241210938
2010-05-20,29.881898880004883
2010-05-21,29.900217056274414
2010-05-24,29.955163955688477
2010-05-25,29.45148468017578
2010-05-26,29.69874382019043
2010-05-27,30.843461990356445
2010-05-28,30.651155471801758
2010-06-01,30.092527389526367
2010-06-02,30.916728973388672
2010-06-03,31.86913299560547
2010-06-04,31.200624465942383
2010-06-07,31.054101943969727
2010-06-08,30.797677993774414
2010-06-09,30.486309051513672
2010-06-10,31.26473045349121
2010-06-11,31.585250854492188
2010-06-14,31.640199661254883
2010-06-15,32.153045654296875
2010-06-16,32.22629165649414
2010-06-17,32.36366271972656
2010-06-18,32.244606018066406
2010-06-21,32.244606018066406
2010-06-22,31.328834533691406
2010-06-23,31.09072494506836
2010-06-24,30.532100677490234
2010-06-25,30.486309051513672
2010-06-28,30.394733428955078
2010-06-29,29.185911178588867
2010-06-30,28.444124221801758
2010-07-01,27.34518814086914
2010-07-02,27.26276969909668
2010-07-06,27.647397994995117
2010-07-07,28.11444091796875
2010-07-08,28.39833641052246
2010-07-09,28.654754638671875
2010-07-12,28.508235931396484
2010-07-13,28.728017807006836
2010-07-14,28.801279067993164
2010-07-15,28.94780731201172
2010-07-16,27.78476333618164
2010-07-19,28.526546478271484
2010-07-20,28.618120193481445
2010-07-21,28.105287551879883
2010-07-22,28.865381240844727
2010-07-23,28.39833641052246
2010-07-26,29.103492736816406
2010-07-27,28.874544143676758
2010-07-28,27.812238693237305
2010-07-29,28.041179656982422
2010-07-30,28.169389724731445
2010-08-02,28.929487228393555
2010-08-03,29.094329833984375
2010-08-04,29.442323684692383
2010-08-05,31.099891662597656
2010-08-06,31.493675231933594
2010-08-09,31.72261619567871
2010-08-10,31.924097061157227
2010-08-11,30.587047576904297
2010-08-12,30.605361938476562
2010-08-13,30.568737030029297
2010-08-16,30.559574127197266
2010-08-17,30.935043334960938
2010-08-18,30.92589569091797
2010-08-19,30.110843658447266
2010-08-20,29.68043327331543
2010-08-23,29.964317321777344
2010-08-24,29.094329833984375
2010-08-25,29.60716438293457
2010-08-26,29.304962158203125
2010-08-27,29.781164169311523
2010-08-30,29.222537994384766
2010-08-31,29.506425857543945
2010-09-01,30.74272918701172
2010-09-02,30.239049911499023
2010-09-03,30.916728973388672
2010-09-07,30.66031265258789
2010-09-08,30.815998077392578
2010-09-09,31.493675231933594
2010-09-10,31.72261619567871
2010-09-13,32.29039764404297
2010-09-14,32.116397857666016
2010-09-15,31.731765747070312
2010-09-16,31.72261619567871
2010-09-17,31.566938400268555
2010-09-20,32.03398895263672
2010-09-21,32.592613220214844
2010-09-22,32.48271179199219
2010-09-23,32.180511474609375
2010-09-24,32.97723388671875
2010-09-27,32.63840103149414
2010-09-28,32.54681396484375
